No,Size,Type,IsDegradeRead,replicas,nativeec,microec
0,26443776,GET,false,4407.162,4865.964,4374.507
1,2144,GET,true,19.821,901.102,208.808
2,2310144,GET,false,404.951,386.747,5275.383
3,1980,GET,true,16.852,68.183,90.288
4,1152,GET,true,13.705,56.414,40.485
5,2404,GET,false,13.618,46.626,27.603
6,2628,GET,false,14.3,44.06,24.696
7,1336,GET,true,12.656,62.036,32.504
8,1772,GET,true,13.643,53.226,32.491
9,14708,GET,true,16.179,77.912,46.334
10,40943616,GET,false,6298.371,6354.179,6290.941
11,2195456,GET,true,357.257,1197.417,638.058
12,2404,GET,false,12.976,172.789,32.104
13,4931584,GET,false,768.025,806.683,773.398
14,2420,GET,false,11.518,78.837,25.504
15,30720000,GET,false,4737.677,5461.532,4767.883
16,2212,GET,false,14.658,236.989,36.733
17,1584,GET,true,11.059,179.991,35.295
18,114688,GET,true,31.462,296.148,667.201
19,20365312,GET,false,3153.167,3170.196,3140.432
20,65536,PUT,false,43.589,119.869,8966.425
21,16187392,GET,true,2501.339,6486.152,3712.694
22,4016,GET,false,15.142,109.819,32.822
23,15548416,GET,false,2410.257,2438.731,2399.548
24,10764288,GET,false,1688.337,1750.604,1663.074
25,14663680,GET,false,2279.853,2282.954,2278.17
26,23822336,GET,false,3679.315,3696.821,3660.711
27,1116,GET,true,11.916,138.387,36.797
28,2628,GET,false,10.201,62.257,18.348
29,1152,GET,false,8.913,38.424,15.359
30,10088,GET,false,10.735,34.73,15.565
31,16384,GET,false,12.16,33.787,16.47
32,1980,GET,true,9.987,64.26,23.285
33,1900544,GET,false,303.713,308.994,299.902
34,2628,GET,true,14.714,56.074,25.303
35,2996,GET,false,11.956,38.379,14.967
36,54394880,GET,false,8370.259,8359.813,8345.801
37,3000,GET,false,130.041,161.052,24.229
38,2628,GET,true,20.413,33.491,22.234
39,3784,GET,true,11.722,27.598,21.493
40,851968,GET,false,161.347,141.2,139.658
41,671744,GET,true,128.195,215.097,190.909
42,7476,GET,true,9.9,58.227,23.059
43,2628,GET,false,8.046,56.873,29.075
44,2080768,GET,false,328.683,330.583,333.145
45,3342336,GET,true,524.916,1084.102,674.753
46,3784,GET,true,7.028,54.122,21.481
47,3342336,GET,true,522.135,910.922,25921.38
48,1720,PUT,false,20.199,49.593,58.922
49,1332,GET,false,9.821,22.173,17.608
50,819200,GET,false,152.339,154.179,132.067
51,2628,GET,false,6.718,20.869,9.796
52,12284,GET,false,8.484,19.443,13.014
53,7596,GET,true,9.799,30.381,30.766
54,3376,GET,true,6.539,26.277,19.627
55,9544,GET,false,8.939,31.215,13.965
56,1336,GET,true,6.906,25.913,16.246
57,7852,GET,false,9.19,31.36,13.285
58,2097152,GET,true,330.555,673.102,521.768
59,32768,GET,true,16.559,59.937,27.342
60,1372,GET,false,8.41,55.102,17.931
61,65536,GET,false,17.727,21.4,17.741
62,3020,GET,true,8.289,29.229,17.998
63,86900736,GET,true,13457.727,28719.397,16177.314
64,2340,GET,false,24.645,50.868,17.236
65,12284,GET,true,31.491,72.108,32.244
66,2080768,GET,false,330.691,332.83,327.426
67,2340,GET,true,9.173,30.244,22.933
68,10088,GET,false,9.347,20.795,14.219
69,1900544,GET,true,301.487,594.49,418.277
70,2628,GET,false,14.041,43.635,12.413
71,2844,GET,true,9.329,46.999,18.693
72,28606464,GET,false,4395.288,4411.194,4392.827
73,132939776,GET,false,20396.3,20395.067,20389.672
74,9338880,GET,false,1486.493,1440.505,1439.228
75,2144,GET,false,9.628,16.498,12.992
76,1576,GET,true,7.73,21.968,130.677
77,17743872,GET,false,2729.038,2730.193,2735.079
78,55967744,GET,false,8601.86,8591.663,8588.013
79,14663680,GET,false,2277.908,2261.867,2259.295
80,10764288,GET,false,1659.833,1661.005,1660.344
81,1788,GET,false,11.338,14.632,13.039
82,1966080,GET,true,311.568,496.023,872.153
83,1788,PUT,false,32.505,49.404,32.332
84,62947328,GET,false,9655.525,9679.148,9674.737
85,4524,GET,false,56.981,14.45,30.206
86,1980,GET,false,7.702,12.43,10.275
87,1332,GET,false,6.192,12.154,12.916
88,3680,GET,false,7.146,33.569,10.421
89,1128,GET,false,5.658,14.288,12.247
90,2340,GET,false,6.081,12.223,8.421
91,1336,GET,true,5.741,20.014,21.823
92,10404,GET,true,7.801,22.509,18.73
93,16187392,GET,false,2510.154,2491.367,2490.581
94,2195456,GET,true,345.965,720.958,491.531
95,1788,GET,false,8.88,27.147,11.422
96,1128,GET,false,6.343,17.695,8.207
97,54394880,GET,false,8358.063,8353.475,8352.869
98,32768,GET,false,13.687,19.028,14.875
99,3020,GET,false,6.563,16.458,10.024
100,2844,GET,false,6.827,15.907,9.816
101,3784,GET,true,6.451,36.192,21.224
102,4960,GET,true,7.497,20.385,17.822
