No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec
0,26443776,GET,false,4059.357,4061.732,4073.55,4058.098
1,2144,GET,true,5.29,24.696,20.985,13.42
2,2310144,GET,false,785.451,363.09,360.334,359.843
3,1980,GET,true,4.95,21.167,17.581,12.455
4,1152,GET,true,4.389,28.745,17.482,13.909
5,2404,GET,false,5.691,18.954,14.208,10.261
6,2628,GET,false,4.514,13.702,13.775,7.292
7,1336,GET,true,4.557,19.422,17.318,11.123
8,1772,GET,true,5.002,20.526,14.631,11.646
9,14708,GET,true,7.437,25.204,18.545,13.004
10,40943616,GET,false,6856.376,6279.483,6280.715,6278.648
11,2195456,GET,true,343.391,623.183,510.06,497.743
12,2404,GET,false,4.97,23.039,20.603,9.876
13,4931584,GET,false,1155.21,764.455,760.965,765.424
14,2420,GET,false,5.269,16.336,11.813,8.849
15,30720000,GET,false,4729.3,4717.041,4726.603,4712.207
16,2212,GET,false,5.078,18.145,14.503,9.56
17,1584,GET,true,4.778,39.118,19.015,13.523
18,114688,GET,true,25.162,43.694,36.21,33.01
19,20365312,GET,false,3700.033,3128.956,3128.29,3126.477
20,65536,PUT,false,181.027,187.761,194.869,137.445
21,16187392,GET,true,3048.134,5012.605,4001.223,2722.961
22,4016,GET,false,6.19,33.596,19.963,10.613
23,15548416,GET,false,2388.381,2396.524,2392.258,2388.139
24,10764288,GET,false,2224.415,1657.337,1660.57,1653.768
25,14663680,GET,false,2811.248,2260.591,2270.515,2252.439
26,23822336,GET,false,4217.817,3657.865,3667.378,3654.032
27,1116,GET,true,6.024,40.476,23.072,13.745
28,2628,GET,false,5.74,22.001,24.255,8.421
29,1152,GET,false,4.94,17.643,13.163,8.454
30,10088,GET,false,7.192,15.879,15.113,8.882
31,16384,GET,false,9.465,17.024,16.379,10.086
32,1980,GET,true,4.999,19.407,15.266,12.234
33,1900544,GET,false,297.931,297.68,297.7,296.007
34,2628,GET,true,5.855,16.595,36.153,12.907
35,2996,GET,false,5.473,16.185,14.978,8.504
36,54394880,GET,false,8337.942,8344.151,8360.99,8336.034
37,3000,GET,false,6.265,13.824,19.633,11.032
38,2628,GET,true,5.507,19.633,18.578,12.511
39,3784,GET,true,6.321,21.621,17.78,12.508
40,851968,GET,false,156.501,137.956,137.5,135.856
41,671744,GET,true,124.135,231.338,165.116,166.642
42,7476,GET,true,7.003,46.664,24.821,14.648
43,2628,GET,false,5.81,17.688,31.085,8.862
44,2080768,GET,false,736.86,326.327,325.699,324.294
45,3342336,GET,true,518.702,1244.578,775.282,629.067
46,3784,GET,true,5.424,60.767,18.862,12.274
47,3342336,GET,true,517.757,1132.604,759.51,620.323
48,1720,PUT,false,21.283,61.112,50.307,31.587
49,1332,GET,false,4.924,15.226,12.744,9.217
50,819200,GET,false,152.467,141.333,138.962,130.456
51,2628,GET,false,7.307,12.454,11.441,7.583
52,12284,GET,false,7.466,13.553,12.83,9.131
53,7596,GET,true,7.569,20.291,19.15,14.267
54,3376,GET,true,6.119,17.501,15.861,12.589
55,9544,GET,false,7.391,15.722,18.794,9.782
56,1336,GET,true,5.224,15.835,16.036,9.769
57,7852,GET,false,6.852,15.126,13.564,8.593
58,2097152,GET,true,326.63,658.698,484.126,396.014
59,32768,GET,true,11.454,47.799,24.174,18.649
60,1372,GET,false,5.092,17.726,13.425,9.464
61,65536,GET,false,17.224,17.677,18.031,15.995
62,3020,GET,true,5.937,19.992,14.964,12.866
63,86900736,GET,true,13318.695,28679.717,23863.4,18609.744
64,2340,GET,false,6.578,45.489,33.508,9.1
65,12284,GET,true,8.237,65.466,39.54,15.933
66,2080768,GET,false,325.837,328.15,326.5,324.017
67,2340,GET,true,5.755,26.077,17.569,12.122
68,10088,GET,false,7.06,17.862,22.191,9.155
69,1900544,GET,true,720.19,634.954,503.875,973.586
70,2628,GET,false,5.92,29.388,15.965,9.772
71,2844,GET,true,5.42,47.307,20.954,12.962
72,28606464,GET,false,4389.935,4390.201,4390.337,4386.802
73,132939776,GET,false,20367.99,20408.259,20379.567,20366.773
74,9338880,GET,false,2005.614,1439.688,1441.247,1450.772
75,2144,GET,false,5.964,17.297,14.387,7.949
76,1576,GET,true,4.791,25.645,18.559,11.79
77,17743872,GET,false,2723.967,2742.352,2726.579,2732.786
78,55967744,GET,false,8593.807,8597.357,8583.291,8577.939
79,14663680,GET,false,2254.493,2254.257,2267.749,2252.294
80,10764288,GET,false,1673.56,1673.04,1657.755,1675.216
81,1788,GET,false,5.122,14.927,17.145,7.485
82,1966080,GET,true,307.939,705.113,464.493,25446.321
83,1788,PUT,false,19.404,109.071,55.37,29.477
84,62947328,GET,false,9650.202,9649.68,9649.084,9647.059
85,4524,GET,false,6.887,13.797,22.278,9.891
86,1980,GET,false,5.002,11.978,9.784,7.54
87,1332,GET,false,4.767,13.552,12.666,8.606
88,3680,GET,false,5.449,12.639,11.266,7.963
89,1128,GET,false,4.479,10.338,11.049,7.458
90,2340,GET,false,4.803,9.593,9.228,6.354
91,1336,GET,true,4.667,17.428,20.382,12.905
92,10404,GET,true,6.936,18.182,18.091,13.118
93,16187392,GET,false,2488.149,2500.531,2486.72,2496.531
94,2195456,GET,true,343.274,788.068,520.223,515.403
95,1788,GET,false,6.126,30.123,18.258,9.223
96,1128,GET,false,3.619,19.973,10.439,6.284
97,54394880,GET,false,8353.922,8359.123,8347.843,8352.372
98,32768,GET,false,11.273,19.787,15.962,11.355
99,3020,GET,false,5.282,17.298,11.058,8.117
100,2844,GET,false,5.263,18.293,11.225,8.299
101,3784,GET,true,5.503,38.337,17.111,12.449
102,4960,GET,true,5.693,27.617,15.425,12.222
103,6728,GET,true,6.409,18.516,17.215,12.159
104,110198784,GET,false,17455.2,16924.306,16903.015,16885.574
105,3162112,GET,false,491.379,491.209,493.509,490.406
106,12284,GET,false,7.476,14.257,13.711,9.581
107,14663680,GET,false,2252.432,2254.707,2269.443,2251.492
108,3342336,GET,false,517.933,519.462,521.095,517.474
109,33767424,PUT,false,16663.865,19236.76,44600.462,9062.961
110,2628,GET,true,6.686,50.515,67.326,27.488
111,2310144,GET,true,360.044,869.494,616.475,25554.328
112,6920,GET,true,6.476,50.748,26.364,18.754
