No,Size,Type,IsDegradeRead,replicas,nativeec,microec
0,26443776,GET,TRUE,4056.971,8349.245,4302.888
1,2144,GET,TRUE,5.073,69.958,17.726
2,2310144,GET,TRUE,359.746,695.422,1022.056
3,1980,GET,TRUE,4.518,69.234,15.238
4,1152,GET,TRUE,3.803,34.461,559.077
5,2404,GET,TRUE,4.951,26.606,14.348
6,2628,GET,TRUE,4.571,28.776,16.154
7,1336,GET,TRUE,4.182,24.594,13.755
8,1772,GET,TRUE,4.135,26.828,11.614
9,14708,GET,TRUE,8.285,31.716,13.468
10,40943616,GET,TRUE,6292.469,13256.223,8206.37
11,2195456,GET,TRUE,342.312,843.558,460.186
12,2404,GET,TRUE,4.695,63.591,21.851
13,4931584,GET,TRUE,760.833,1667.628,995.693
14,2420,GET,TRUE,4.435,55.758,17.1
15,30720000,GET,TRUE,4726.581,9823.104,5512.518
16,2212,GET,TRUE,5.297,57.611,20.803
17,1584,GET,TRUE,4.456,35.881,566.577
18,114688,GET,TRUE,25.991,51.476,33.624
19,20365312,GET,TRUE,3140.266,6257.207,3415.317
20,65536,PUT,FALSE,108.569,375.852,744.681
21,16187392,GET,TRUE,2486.775,4825.351,7403.557
22,4016,GET,TRUE,6.456,56.523,23.815
23,15548416,GET,TRUE,2387.175,4608.943,10542.198
24,10764288,GET,TRUE,1654.366,3288.849,2125.15
25,14663680,GET,TRUE,2251.822,4325.196,2861.231
26,23822336,GET,TRUE,3670.934,6433.399,4511.776
27,1116,GET,TRUE,4.756,38.676,15.194
28,2628,GET,TRUE,4.858,23.573,12.619
29,1152,GET,TRUE,3.843,23.624,12.213
30,10088,GET,TRUE,6.828,25.029,13.686
31,16384,GET,TRUE,7.875,27.159,14.905
32,1980,GET,TRUE,4.636,20.499,12.624
33,1900544,GET,TRUE,296.891,605.188,3355.676
34,2628,GET,TRUE,5.008,52.217,14.411
35,2996,GET,TRUE,5.224,26.446,12.876
36,54394880,GET,TRUE,8336.498,15204.664,17961.963
37,3000,GET,TRUE,5.642,79.159,40.875
38,2628,GET,TRUE,4.678,32.937,19.146
39,3784,GET,TRUE,5.188,27.24,16.212
40,851968,GET,TRUE,169.298,336.864,207.715
41,671744,GET,TRUE,124.215,254.135,166.889
42,7476,GET,TRUE,6.384,53.902,18.443
43,2628,GET,TRUE,5.152,27.143,14.753
44,2080768,GET,TRUE,324.688,758.236,412.193
45,3342336,GET,TRUE,517.655,1085.602,638.57
46,3784,GET,TRUE,4.663,46.734,15.72
47,3342336,GET,TRUE,516.889,1030.419,714.072
48,1720,PUT,FALSE,27.933,74.321,47.848
49,1332,GET,TRUE,4.303,24.914,15.794
50,819200,GET,TRUE,149.51,285.939,184.609
51,2628,GET,TRUE,5.475,46.998,13.789
52,12284,GET,TRUE,6.871,26.882,15.176
53,7596,GET,TRUE,5.609,21.355,15.711
54,3376,GET,TRUE,5.197,24.293,600.557
55,9544,GET,TRUE,6.519,21.946,15.278
56,1336,GET,TRUE,3.848,20.209,14.112
57,7852,GET,TRUE,5.888,20.442,15.354
58,2097152,GET,TRUE,326.717,571.53,436.157
59,32768,GET,TRUE,10.236,43.323,21.111
60,1372,GET,TRUE,4.478,23.048,12.156
61,65536,GET,TRUE,16.063,29.82,24.209
62,3020,GET,TRUE,4.653,21.406,13.219
63,86900736,GET,TRUE,13315.262,29801.298,17493.331
64,2340,GET,TRUE,5.429,93.259,15.515
65,12284,GET,TRUE,7.408,33.458,16.443
66,2080768,GET,TRUE,324.392,767.113,434.416
67,2340,GET,TRUE,3.881,59.252,18.389
68,10088,GET,TRUE,6.674,33.117,15.207
69,1900544,GET,TRUE,342.242,691,386.891
70,2628,GET,TRUE,4.803,52.178,14.718
71,2844,GET,TRUE,4.817,30.515,12.294
72,28606464,GET,TRUE,4387.418,9876.855,5128.742
73,132939776,GET,TRUE,20366.774,44120.874,26930.547
74,9338880,GET,TRUE,1457.375,2685.968,1649.463
75,2144,GET,TRUE,4.819,44.919,22.068
