Size,Type,IsDegradeRead,NativeecTimes,MicroecTimes
1028,GET,True,10.71,3.1
1040,GET,True,5.09,3.32
1040,GET,True,6.13,2.89
1040,GET,True,12.99,3.83
1040,GET,True,4.64,2.59
1040,GET,True,6.76,3.25
1040,GET,True,6.68,3.92
1040,GET,True,14.79,3.99
1040,GET,True,6.94,3.55
1064,GET,True,12.09,3.33
1068,GET,True,4.84,3.6
1116,GET,True,6.6,3.62
1116,GET,True,4.95,2.9
1116,GET,True,6.76,3.5
1116,GET,True,6.2,2.78
1116,GET,True,20.95,3.71
1116,GET,True,19.29,6.26
1116,GET,True,5.22,2.88
1116,GET,True,10.53,3.59
1116,GET,True,6.28,2.68
1116,GET,True,14.48,4.07
1116,GET,True,16.11,9.68
1116,GET,True,6.51,3.62
1116,GET,True,13.28,3.71
1116,GET,True,10.02,3.54
1116,GET,True,4.57,2.65
1116,GET,True,6.64,3.01
1116,GET,True,4.23,2.84
1116,GET,True,5.28,3.09
1116,GET,True,5.84,3.49
1116,GET,True,8.13,3.19
1116,GET,True,11.73,3.69
1116,GET,True,16.27,3.39
1116,GET,True,6.21,3.54
1128,GET,True,13.98,3.56
1128,GET,True,6.43,6.15
1128,GET,True,6.31,3.11
1128,GET,True,11.52,3.71
1128,GET,True,9.5,2.93
1128,GET,True,4.27,3.1
1128,GET,True,10.26,3.77
1128,GET,True,6.87,3.34
1128,GET,True,10.79,3.34
1128,GET,True,7.68,3.63
1128,GET,True,4.99,3.86
1128,GET,True,5.33,3.34
1128,GET,True,7.14,3.23
1128,GET,True,7.95,152.18
1128,GET,True,4.96,2.72
1128,GET,True,7.63,3.88
1128,GET,True,6.06,2.85
1152,GET,True,5.57,2.67
1152,GET,True,4.12,2.86
1152,GET,True,18.5,3.31
1152,GET,True,7.34,3.1
1152,GET,True,5.2,3.11
1152,GET,True,11.16,3.7
1152,GET,True,8.0,3.06
1152,GET,True,5.41,3.16
1152,GET,True,6.15,3.18
1152,GET,True,5.55,3.05
1152,GET,True,6.91,3.06
1152,GET,True,14.44,4.28
1152,GET,True,9.06,147.01
1152,GET,True,6.29,1.6
1152,GET,True,6.99,3.2
1152,GET,True,3.98,2.96
1152,GET,True,5.26,2.47
1152,GET,True,6.44,2.79
1152,GET,True,8.17,2.61
1152,GET,True,4.9,3.04
1152,GET,True,9.48,3.5
1152,GET,True,4.41,2.95
1152,GET,True,5.77,3.52
1152,GET,True,5.67,3.18
1152,GET,True,7.05,3.39
1152,GET,True,11.46,3.85
1152,GET,True,6.42,2.86
1152,GET,True,7.01,3.58
1152,GET,True,5.95,3.53
1156,GET,True,10.35,3.24
1156,GET,True,5.48,3.38
1156,GET,True,9.41,3.75
1156,GET,True,5.19,2.9
1156,GET,True,13.71,2.96
1156,GET,True,5.72,3.9
1156,GET,True,6.66,3.08
1156,GET,True,6.82,3.18
1156,GET,True,4.16,2.67
1156,GET,True,18.73,3.19
1156,GET,True,6.65,2.84
1156,GET,True,8.83,3.72
1156,GET,True,16.33,3.6
1156,GET,True,8.18,5.21
1156,GET,True,5.57,3.2
1156,GET,True,5.13,3.37
1156,GET,True,4.8,2.66
1156,GET,True,12.76,147.58
1164,PUT,False,1.91,1.25
1164,GET,True,9.42,2.99
1176,GET,True,17.91,4.07
1228,GET,True,6.63,3.85
1228,GET,True,5.98,3.23
1236,GET,True,6.32,3.14
1236,GET,True,7.25,3.11
1236,GET,True,5.42,3.48
1236,GET,True,4.77,2.62
1236,GET,True,3.77,2.4
1292,PUT,False,6.5,3.22
1332,GET,True,14.53,4.47
1332,GET,True,5.36,3.64
1332,GET,True,5.98,4.11
1332,GET,True,5.06,3.51
1332,GET,True,13.6,5.06
1332,GET,True,5.56,3.55
1332,GET,True,11.78,3.47
1332,GET,True,7.08,3.92
1332,GET,True,13.94,3.83
1332,GET,True,5.93,2.6
1332,GET,True,18.56,7.59
1332,GET,True,5.17,2.91
1332,GET,True,6.45,2.92
1332,GET,True,5.13,4.23
1332,GET,True,5.61,3.23
1332,GET,True,9.41,4.19
1332,GET,True,5.93,3.17
1332,GET,True,10.09,3.47
1332,GET,True,13.31,6.69
1332,GET,True,5.79,3.67
1332,GET,True,8.63,3.31
1332,GET,True,4.71,3.3
1332,GET,True,6.64,2.99
1332,GET,True,5.14,3.45
1332,GET,True,4.87,2.94
1332,GET,True,16.13,3.41
1332,GET,True,10.41,3.57
1332,GET,True,11.03,3.75
1336,GET,True,7.68,2.93
1336,GET,True,5.27,3.7
1336,GET,True,5.45,3.34
1336,GET,True,9.88,4.03
1336,GET,True,6.32,3.36
1336,GET,True,4.74,3.61
1336,GET,True,19.69,3.64
1336,GET,True,4.02,3.54
1336,GET,True,6.13,2.95
1336,GET,True,6.75,3.34
1336,GET,True,6.89,3.42
1336,GET,True,8.27,3.6
1336,GET,True,7.36,2.93
1336,GET,True,6.56,2.9
1336,GET,True,13.48,3.45
1336,GET,True,5.2,2.82
1336,GET,True,6.74,2.97
1336,GET,True,5.7,3.55
1336,GET,True,5.88,3.29
1336,GET,True,16.31,3.08
1336,GET,True,4.6,2.9
1336,GET,True,5.25,3.67
1336,GET,True,6.34,3.37
1336,GET,True,16.14,3.11
1336,GET,True,5.53,3.77
1336,GET,True,5.29,2.85
1336,GET,True,4.02,3.37
1348,GET,True,5.69,2.96
1352,GET,True,5.47,2.51
1356,GET,True,5.46,2.53
1356,GET,True,9.25,2.98
1356,GET,True,5.6,3.22
1356,GET,True,6.6,3.36
1356,GET,True,5.66,2.43
1356,GET,True,6.15,3.56
1356,GET,True,6.46,2.99
1356,GET,True,6.88,2.93
1356,GET,True,6.76,3.98
1356,GET,True,5.83,3.0
1356,GET,True,4.93,2.47
1356,GET,True,13.84,6.73
1356,GET,True,4.99,3.31
1356,GET,True,5.21,3.53
1356,GET,True,5.36,3.22
1356,GET,True,12.2,4.66
1356,GET,True,15.31,3.15
1356,GET,True,5.58,2.99
1356,GET,True,17.29,3.2
1360,GET,True,5.35,2.57
1360,GET,True,5.55,3.24
1364,GET,True,13.71,3.33
1364,GET,True,16.44,3.15
1364,GET,True,11.39,6.18
1364,GET,True,5.78,2.81
1368,GET,True,4.31,3.32
1368,GET,True,17.45,5.83
1368,GET,True,11.44,3.45
1368,GET,True,13.0,4.19
1368,GET,True,5.63,3.38
1368,GET,True,4.39,2.81
1368,GET,True,15.34,11.55
1368,GET,True,20.5,3.04
1368,GET,True,4.91,3.27
1368,GET,True,6.52,3.27
1368,GET,True,12.21,3.45
1368,GET,True,4.57,2.92
1368,GET,True,5.02,3.08
1368,GET,True,14.02,4.27
1368,GET,True,4.72,2.74
1368,GET,True,6.85,4.93
1368,GET,True,5.62,3.57
1368,GET,True,6.14,3.07
1368,GET,True,12.88,5.67
1368,GET,True,15.06,3.8
1368,GET,True,6.26,3.87
1368,GET,True,10.92,3.04
1372,GET,True,5.52,3.49
1372,GET,True,1.9,1.43
1372,GET,True,2.93,1.37
1372,GET,True,4.92,3.77
1372,GET,True,4.41,2.53
1372,GET,True,5.72,2.98
1372,GET,True,7.04,3.56
1372,GET,True,6.27,18.32
1372,GET,True,4.8,2.53
1372,GET,True,13.74,3.7
1372,GET,True,4.69,2.75
1372,GET,True,5.32,2.9
1372,GET,True,14.13,3.02
1372,GET,True,5.08,2.66
1372,GET,True,5.15,2.71
1372,GET,True,5.07,2.74
1372,GET,True,10.55,3.51
1372,GET,True,6.02,3.49
1372,GET,True,7.04,2.78
1372,GET,True,6.59,3.08
1372,GET,True,6.14,2.82
1372,GET,True,12.05,3.32
1416,GET,True,4.63,2.68
1420,GET,True,6.7,3.46
1424,GET,True,16.4,4.12
1464,GET,True,5.24,2.79
1492,GET,True,3.76,2.19
1524,GET,True,6.82,2.9
1532,GET,True,12.3,2.94
1536,GET,True,6.55,2.9
1568,GET,True,4.2,3.03
1568,GET,True,4.53,2.73
1576,GET,True,6.72,3.7
1576,GET,True,4.4,2.81
1576,GET,True,9.02,3.05
1576,GET,True,3.59,2.72
1576,GET,True,13.44,3.43
1576,GET,True,4.62,2.39
1576,GET,True,4.78,3.04
1576,GET,True,12.8,3.28
1576,GET,True,8.39,3.75
1576,GET,True,3.72,2.77
1576,PUT,False,3.32,2.94
1584,GET,True,12.96,3.31
1584,GET,True,5.16,2.61
1584,GET,True,6.91,3.06
1584,GET,True,6.38,3.29
1584,GET,True,5.04,4.44
1584,GET,True,13.25,3.47
1584,GET,True,4.78,3.45
1584,GET,True,5.68,3.34
1584,GET,True,5.89,2.9
1584,GET,True,8.05,127.15
1584,GET,True,2.59,1.37
1584,GET,True,5.53,2.65
1584,GET,True,15.96,2.56
1584,GET,True,15.59,3.37
1584,GET,True,13.33,4.17
1584,GET,True,13.13,4.49
1584,GET,True,6.47,5.5
1584,GET,True,7.45,3.49
1584,GET,True,5.12,3.19
1584,GET,True,5.26,3.6
1584,GET,True,6.47,3.53
1584,GET,True,8.13,3.0
1584,GET,True,4.91,2.95
1584,GET,True,4.78,2.61
1584,GET,True,5.47,3.64
1604,GET,True,7.8,2.95
1656,GET,True,8.77,2.8
1656,GET,True,4.26,4.09
1716,PUT,False,3.2,2.26
1720,PUT,False,1.73,1.24
1720,GET,True,5.75,3.42
1720,GET,True,10.42,3.7
1720,PUT,False,4.48,7.74
1720,GET,True,5.09,3.03
1720,PUT,False,2.47,0.63
1720,PUT,False,2.66,1.71
1720,PUT,False,3.74,2.41
1744,GET,True,5.8,3.36
1760,GET,True,8.24,2.93
1760,GET,True,4.44,2.78
1760,GET,True,5.48,3.3
1760,GET,True,10.38,3.36
1760,GET,True,11.93,4.23
1764,GET,True,4.44,2.72
1772,GET,True,5.12,3.53
