No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec
0,2628,GET,false,5.941,20.794,14.299,12.014
1,1368,GET,true,4.1,65.811,28.548,28.154
2,5948,GET,false,6.497,20.197,27.051,16.821
3,3896,GET,true,6.713,16.371,18.36,18.168
4,16384,GET,true,7.987,21.326,18.932,19.843
5,25640960,GET,false,3934.087,3952.958,3940.546,3934.775
6,1836,GET,true,6.083,24.777,23.814,20.886
7,22609920,GET,false,3487.577,3470.417,3474.066,3472.978
8,5648,GET,false,6.024,15.606,14.895,12.158
9,1388,GET,false,4.312,15.098,11.519,11.619
10,1132,GET,true,4.494,23.401,20.636,16.82
11,2056,GET,false,4.387,15.242,14.593,11.291
12,11120,GET,false,6.254,15.025,15.849,14.175
13,2056,GET,false,4.438,15.696,13.076,11.424
14,2196,GET,false,4.181,15.676,12.766,11.494
15,5420,GET,true,5.721,22.105,16.167,14.817
16,1835008,GET,false,287.156,287.697,288.183,782.07
17,2228224,PUT,false,1200.704,1044.367,4646.981,576.412
18,19070976,GET,true,2928.953,6369.614,5311.487,3852.711
19,1372,GET,true,4.505,49.656,26.592,19.536
20,2876,GET,false,4.822,21.039,18.879,10.862
21,7984,GET,false,6.618,16.492,14.09,12.417
22,16384,GET,false,8.762,20.872,15.466,12.238
23,4898816,GET,false,756.377,757.137,758.317,757.186
24,15826944,GET,true,2431.374,5606.412,3727.841,3033.529
25,1292,GET,true,5.408,56.121,25.787,582.152
26,5232,PUT,false,18.385,49.096,41.241,38.751
27,2832,GET,false,4.096,15.027,14.153,9.133
28,2628,GET,true,5.011,25.251,19.077,15.641
29,2632,GET,false,4.729,16.078,14.113,11.64
30,458752,GET,false,86.06,77.611,76.978,76.575
31,688128,PUT,false,328.528,493.201,342.868,254.7
32,5420,GET,false,5.941,19.402,31.717,9.882
33,12156,GET,false,7.775,17.584,23.311,10.445
34,2628,GET,false,4.821,17.46,26.321,10.524
35,1372,GET,false,3.965,15.476,21.991,8.771
36,8585216,PUT,false,4271.03,4833.403,13565.232,2705.904
37,82493440,GET,true,12644.34,27560.002,26967.626,17355.636
38,1292,PUT,false,14.059,93.949,81.596,32.902
39,1744,PUT,false,14.088,61.009,56.446,28.549
40,15716,GET,true,8.388,34.611,46.503,18.909
41,1392640,GET,false,227.819,220.851,221.534,218.889
42,314654720,PUT,false,163583.269,161423.343,217010.021,113491.203
43,1336,GET,true,5.65,51.014,66.909,19.7
44,147456,GET,false,32.285,32.489,33.649,28.566
45,16172,GET,true,7.533,30.02,27.79,16.89
46,23478272,GET,false,3618.347,3604.65,3609.129,3601.659
47,1916928,GET,false,300.158,302.639,307.142,299.848
48,1753088,PUT,false,813.801,965.159,662.871,624.518
49,2628,GET,true,5.078,42.105,53.208,16.255
50,95813632,GET,true,14683.452,35247.962,31293.181,17151.249
51,99876864,GET,false,15324.49,15341.395,15329.836,15303.833
52,6728,GET,false,6.466,18.846,17.257,12.206
53,1776,GET,true,4.224,52.405,32.564,25.063
54,82509824,GET,true,13051.364,30732.119,25468.373,13253.462
55,2628,GET,false,8.522,41.938,36.097,12.115
56,5136,GET,true,6.899,62.455,32.428,25.332
57,74891264,GET,true,11479.563,27891.946,22335.359,15580.3
58,1032,GET,false,5.423,43.175,33.551,11.924
59,16384,GET,false,8.006,28.613,17.373,11.725
60,5420,GET,true,5.746,69.471,34.492,16.476
61,2628,GET,false,4.663,22.682,14.634,10.864
62,25034752,PUT,false,12857.136,14678.904,9734.368,6584.582
63,16384,GET,false,7.938,23.973,29.517,14.59
64,1900,GET,true,4.543,55.915,50.381,16.806
65,6756,GET,false,6.733,25.245,20.252,11.546
66,1492,GET,true,5.122,28.71,23.712,15.86
67,11368,GET,false,7.937,20.18,31.025,22.319
68,16384,GET,true,7.337,23.341,21.855,17.742
69,6012928,GET,true,928.905,2216.218,1650.415,1028.914
70,18825216,GET,true,2891.275,5560.892,5103.967,3148.642
71,278528,GET,true,55.38,140.906,84.17,98.882
72,6720,GET,true,6.483,54.526,19.96,16.417
73,32768,GET,true,10.022,34.189,28.339,18.884
74,2056,GET,true,5.653,29.174,19.141,13.937
75,2824,GET,false,5.104,17.275,15.46,9.17
