No,Size,Type,IsDegradeRead,replicas,nativeec,microec
0,2628,GET,true,5.983,81.353,20.08
1,1368,GET,true,5.187,35.084,19.109
2,5948,GET,true,6.235,32.115,18.459
3,3896,GET,true,5.836,26.109,17.592
4,16384,GET,true,7.225,27.845,27.071
5,25640960,GET,true,3934.527,8360.391,5506.592
6,1836,GET,true,5.298,34.445,17.217
7,22609920,GET,true,4043.245,7118.924,4779.675
8,5648,GET,true,6.421,65.818,17.337
9,1388,GET,true,4.492,28.694,15.687
10,1132,GET,true,4.266,21.532,16.094
11,2056,GET,true,5.045,22.972,14.171
12,11120,GET,true,7.256,24.0,14.798
13,2056,GET,true,5.116,21.506,14.785
14,2196,GET,true,4.584,22.092,12.354
15,5420,GET,true,6.297,20.898,16.843
16,1835008,GET,true,697.873,724.505,354.088
17,2228224,PUT,false,1211.812,1468.351,815.191
18,19070976,GET,true,3493.936,5863.522,3260.39
19,1372,GET,true,4.59,55.714,18.463
20,2876,GET,true,5.608,29.589,12.401
21,7984,GET,true,6.22,25.294,13.557
22,16384,GET,true,8.164,27.408,17.894
23,4898816,GET,true,772.96,1520.463,884.68
24,15826944,GET,true,2978.637,4727.955,2674.248
25,1292,GET,true,4.599,49.154,13.048
26,5232,PUT,false,31.338,96.451,40.337
27,2832,GET,true,4.793,26.241,12.136
28,2628,GET,true,5.588,22.773,13.539
29,2632,GET,true,4.87,23.715,18.913
30,458752,GET,true,83.09,203.441,127.608
31,688128,PUT,false,328.953,432.053,281.966
32,5420,GET,true,5.403,42.846,14.474
33,12156,GET,true,6.858,30.037,28.677
34,2628,GET,true,5.297,24.063,12.086
35,1372,GET,true,4.571,22.134,15.746
36,8585216,PUT,false,3997.05,5059.754,2937.089
37,82493440,GET,true,12645.444,27906.391,26882.815
38,1292,PUT,false,30.926,140.887,33.72
39,1744,PUT,false,27.253,71.557,28.069
40,15716,GET,true,8.565,33.322,17.455
41,1392640,GET,true,229.806,414.045,314.918
42,314654720,PUT,false,155992.593,171629.057,105813.875
43,1336,GET,true,6.351,53.162,36.379
44,147456,GET,true,32.191,96.988,123.619
45,16172,GET,true,8.533,60.432,67.097
46,23478272,GET,true,3602.116,8109.669,5254.53
47,1916928,GET,true,712.645,626.292,408.288
48,1753088,PUT,false,814.877,977.352,544.232
49,2628,GET,true,5.823,44.724,20.985
50,95813632,GET,true,14680.535,30388.895,17858.758
51,99876864,GET,true,15303.735,32394.426,21577.868
52,6728,GET,true,6.92,78.666,24.41
53,1776,GET,true,5.358,25.757,15.922
54,82509824,GET,true,12647.945,23716.78,19131.649
55,2628,GET,true,5.268,74.717,15.324
56,5136,GET,true,6.098,29.598,15.066
57,74891264,GET,true,12034.89,26932.054,16541.995
58,1032,GET,true,4.892,94.051,14.838
59,16384,GET,true,7.571,29.329,14.894
60,5420,GET,true,5.74,18.849,13.103
61,2628,GET,true,5.148,18.262,12.058
62,25034752,PUT,false,12046.031,14985.926,7488.614
63,16384,GET,true,8.622,65.47,22.703
64,1900,GET,true,4.803,29.495,18.053
65,6756,GET,true,5.784,24.697,14.548
66,1492,GET,true,4.753,23.688,13.864
67,11368,GET,true,7.12,33.809,19.333
68,16384,GET,true,7.732,24.57,36.74
69,6012928,GET,true,1323.853,2223.71,1079.544
70,18825216,GET,true,3445.345,6541.812,3721.598
71,278528,GET,true,54.718,121.359,446.056
72,6720,GET,true,7.269,48.995,16.253
73,32768,GET,true,10.448,27.963,18.562
74,2056,GET,true,5.151,18.858,12.031
75,2824,GET,true,5.207,20.499,13.012
76,51576832,GET,true,8456.605,15009.59,21418.609
77,74366976,PUT,false,36647.898,41346.796,22963.049
78,13910016,GET,true,2136.71,4700.679,27713.91
79,2605056,GET,true,404.583,663.844,12966.65
80,4592,GET,true,6.028,44.792,22.262
81,13484032,GET,true,2075.454,4116.749,2693.11
82,6316,GET,true,6.639,54.68,18.717
83,16068,PUT,false,15.242,49.101,31.682
84,54394880,GET,true,8893.514,18335.742,10018.851
85,61063168,GET,true,9381.167,21000.846,12025.303
86,196608,GET,true,39.057,131.793,61.833
87,1152,GET,true,4.301,63.604,18.736
88,61030400,GET,true,9914.698,20974.075,47013.221
89,373112832,GET,true,57152.902,120514.411,77127.974
90,5236,GET,true,6.96,75.732,23.735
91,7880704,GET,true,1609.405,2945.563,1512.948
92,64733184,GET,true,9937.522,24181.519,14715.871
93,5062656,GET,true,1172.827,1712.612,26688.475
94,66945024,GET,true,10269.742,24566.631,26716.347
95,1132,GET,true,4.7,76.185,14.633
96,1788,GET,true,5.075,32.241,13.005
97,1388,GET,true,4.353,29.606,11.988
98,2628,GET,true,4.799,27.554,12.433
99,16384,GET,true,8.606,28.64,14.349
100,122093568,PUT,false,60346.228,65575.813,36226.573
101,12156,GET,true,8.476,57.684,17.825
102,983040,GET,true,173.984,410.236,220.28
103,49152,GET,true,13.954,66.962,26.152
104,6720,GET,true,5.974,33.742,15.681
105,1156,GET,true,4.5,27.965,12.314
106,13972,GET,true,8.661,27.276,14.797
107,884736,PUT,false,413.558,478.366,298.814
108,82509824,GET,true,13199.09,28204.301,17511.454
109,32768,GET,true,10.782,84.59,20.685
110,2212,GET,true,4.439,32.546,13.035
111,61014016,GET,true,9350.908,20914.727,10187.934
112,1428,GET,true,4.629,73.526,19.045
113,81920,GET,true,19.794,45.992,28.393
114,1372,GET,true,4.588,24.24,18.833
115,1376,GET,true,4.809,27.187,13.589
116,589824,GET,true,111.638,189.885,271.955
117,2628,GET,true,4.993,26.79,15.573
118,3220,GET,true,5.578,24.21,13.233
119,2056,GET,true,4.567,24.978,37.389
120,1372,GET,true,4.282,22.143,12.989
121,2628,GET,true,4.98,52.292,13.632
122,7900,GET,true,6.335,24.629,14.005
123,1900544,GET,true,333.366,711.637,5990.476
124,8260,GET,true,6.052,62.419,15.891
125,22609920,GET,true,3487.557,7812.643,3827.116
126,2748,GET,true,4.725,60.915,16.76
127,100073472,GET,true,15333.383,32149.663,18283.525
128,18530304,GET,true,3397.411,6125.432,3817.495
129,2628,GET,true,5.732,59.167,25.557
130,1080,GET,true,4.609,27.089,15.755
131,16629760,GET,true,3103.969,5947.089,3076.617
132,1156,GET,true,5.509,53.857,23.34
133,16068,GET,true,8.245,44.68,18.517
134,8120,GET,true,6.233,22.676,15.036
135,76365824,GET,true,12263.127,26990.676,17579.623
136,34455552,GET,true,5298.31,13072.661,7678.948
137,1620,GET,true,5.267,99.435,23.698
138,5455872,GET,true,1244.987,1983.358,981.679
139,1988,GET,true,4.915,54.737,17.388
140,2628,GET,true,4.617,30.742,14.989
141,12284,GET,true,6.94,24.507,15.158
142,41893888,GET,true,6971.855,25287.564,9224.669
143,10348,GET,true,7.42,71.715,18.168
144,82493440,GET,true,12648.248,28292.915,14803.624
145,5232,GET,true,6.669,69.058,25.94
146,2056,GET,true,4.998,30.655,17.068
147,82493440,GET,true,12642.77,30369.738,13239.489
148,83574784,GET,true,12807.395,31192.687,18180.932
149,13058048,GET,true,2559.828,4285.337,2270.197
150,10649600,GET,true,1656.465,3270.22,2224.335
151,479412224,GET,true,73457.598,153345.788,97969.437
152,6716,GET,true,27.699,68.278,19.489
153,2056,GET,true,6.531,29.555,12.735
154,17186816,GET,true,2656.296,5770.051,2917.046
155,6740,PUT,false,29.13,65.66,30.707
156,16384,GET,true,9.176,27.935,15.255
157,1824,GET,true,6.151,26.164,12.159
158,6728,GET,true,7.135,23.268,13.843
159,147456,GET,true,32.691,81.222,82.418
160,2628,GET,true,5.432,49.411,49.507
161,6792,PUT,false,18.052,50.4,33.361
162,1376,GET,true,5.768,25.389,15.788
163,44220416,GET,true,6781.729,14688.858,10015.426
164,2608,GET,true,7.386,64.448,15.802
165,2196,GET,true,6.365,33.342,13.065
166,1372,GET,true,4.998,24.724,12.51
167,16384,GET,true,9.231,24.936,14.178
168,2628,GET,true,6.294,22.011,12.034
169,180224,GET,true,37.586,125.29,71.818
170,1376,GET,true,4.68,64.345,32.453
171,1192,GET,true,5.813,32.275,16.145
172,82493440,GET,true,12646.602,27930.2,15525.839
173,2523136,GET,true,797.326,888.871,493.498
174,2064384,GET,true,730.068,676.359,883.133
175,22102016,GET,true,3408.747,7218.757,14321.775
176,2608,GET,true,6.351,53.954,20.849
177,16384,GET,true,9.047,29.592,18.125
178,84525056,GET,true,12969.934,26375.906,19268.377
179,2628,GET,true,6.596,63.386,17.249
180,6780,GET,true,7.332,21.122,14.102
181,14188544,GET,true,2734.215,4754.829,2883.986
182,2056,GET,true,6.702,43.817,15.276
183,7476,GET,true,7.763,24.253,14.883
184,8060928,GET,true,1270.952,2326.202,26943.989
185,1368,GET,true,5.511,41.748,19.756
186,6724,GET,true,7.493,25.862,15.522
187,2056,PUT,false,14.679,39.783,31.16
188,67092480,GET,true,10851.766,22068.236,26109.915
189,2572288,GET,true,400.542,830.46,507.109
190,1188,GET,true,5.533,50.613,15.499
191,2097152,GET,true,733.584,616.621,404.62
192,15974400,GET,true,2453.044,5279.706,3312.205
193,163840,GET,true,34.127,99.322,81.008
194,16384,GET,true,7.489,51.054,57.71
195,16384,GET,true,8.245,26.22,20.73
196,7360,GET,true,6.377,19.303,12.829
197,16384,GET,true,8.003,23.027,12.993
198,2628,GET,true,5.326,17.034,11.634
