Size,Type,IsDegradeRead,NativeecTimes,MicroecTimes
1028,GET,False,3.2,2.17
1028,GET,True,14.78,5.0
1028,GET,False,2.13,2.6
1032,GET,False,2.87,1.6
1032,GET,False,7.96,2.2
1032,GET,True,13.26,3.29
1036,GET,True,10.78,3.35
1040,GET,False,5.02,2.29
1044,GET,False,3.5,2.26
1060,GET,True,6.61,4.14
1068,GET,False,5.7,3.28
1068,GET,True,7.72,3.68
1076,GET,True,9.11,3.09
1076,GET,True,6.22,2.87
1080,GET,False,3.17,2.4
1080,GET,False,6.31,2.37
1088,GET,False,2.66,1.81
1128,GET,False,3.45,2.19
1128,GET,True,5.7,3.32
1128,GET,False,5.1,3.36
1128,GET,True,4.43,2.65
1128,GET,True,5.39,3.44
1128,GET,False,4.74,2.98
1128,GET,False,3.31,2.28
1128,GET,False,3.76,2.41
1132,GET,True,4.43,2.73
1132,GET,False,5.56,2.93
1132,GET,True,8.18,3.57
1132,GET,True,8.34,3.09
1132,GET,True,4.62,128.32
1132,GET,True,13.14,3.83
1132,GET,True,5.0,3.52
1132,GET,True,3.6,3.19
1132,GET,False,5.85,3.34
1132,GET,True,4.45,2.6
1132,GET,False,3.42,2.46
1132,GET,False,2.78,1.83
1132,GET,True,5.97,3.42
1132,GET,False,5.33,2.69
1132,GET,False,3.01,2.66
1132,GET,True,4.0,4.18
1132,GET,False,6.25,1.82
1132,GET,False,6.84,2.45
1132,GET,True,4.67,2.76
1132,GET,False,3.66,2.45
1132,GET,True,4.6,129.39
1132,GET,True,4.64,3.33
1132,GET,True,2.98,2.62
1132,GET,True,5.21,3.74
1132,GET,True,5.27,3.05
1132,GET,True,14.79,4.81
1132,GET,False,4.41,2.74
1132,GET,True,9.78,4.28
1132,PUT,False,5.25,2.03
1132,GET,False,7.57,2.43
1132,GET,False,7.44,2.83
1132,GET,True,6.38,4.08
1132,GET,False,5.07,2.98
1132,GET,True,10.44,5.07
1132,PUT,False,3.58,2.65
1132,PUT,False,3.49,2.81
1132,PUT,False,18.74,4.92
1132,GET,False,2.98,2.76
1136,GET,False,4.97,2.63
1144,PUT,False,5.52,4.79
1144,GET,True,12.48,6.14
1148,GET,False,3.34,2.15
1148,GET,False,4.82,2.98
1152,GET,False,6.4,2.01
1152,GET,False,1.69,1.5
1152,GET,False,6.09,2.31
1152,GET,True,5.8,2.57
1152,GET,False,6.5,1.59
1152,GET,True,10.67,15.36
1152,GET,True,7.27,3.94
1152,GET,False,2.63,2.16
1152,GET,False,3.09,2.54
1152,GET,True,6.6,6.17
1152,PUT,False,3.97,3.03
1152,GET,True,4.92,4.11
1152,GET,False,1.83,1.72
1152,GET,False,4.34,1.92
1152,GET,True,12.49,3.56
1152,GET,True,13.74,6.61
1152,GET,True,13.31,6.98
1152,GET,False,6.4,2.21
1156,GET,True,12.32,3.37
1156,GET,False,2.48,2.5
1156,GET,False,4.06,2.15
1156,GET,True,10.53,8.02
1156,GET,False,5.14,2.53
1156,GET,True,16.94,3.79
1156,GET,False,4.17,1.94
1156,GET,True,3.12,3.06
1156,GET,True,3.58,1.91
1156,GET,True,5.08,4.87
1156,GET,True,15.62,5.16
1156,GET,True,4.69,3.01
1156,GET,True,5.8,3.13
1156,GET,True,10.28,3.79
1156,GET,False,3.14,1.93
1156,GET,False,5.09,2.99
1160,GET,True,18.61,6.1
1164,GET,False,6.57,2.09
1172,GET,True,11.46,4.38
1188,GET,True,9.75,3.39
1192,GET,False,2.87,3.33
1192,GET,True,4.93,4.02
1232,GET,True,3.13,3.05
1232,GET,True,6.76,3.41
1232,GET,False,2.19,2.02
1236,GET,False,2.95,1.83
1236,GET,True,4.67,3.1
1240,GET,False,4.83,1.98
1240,GET,False,3.82,2.15
1240,GET,False,3.64,2.12
1240,GET,False,3.66,1.84
1244,GET,True,3.37,3.02
1244,PUT,False,4.63,3.06
1244,GET,True,3.25,2.91
1244,GET,False,3.59,1.75
1252,GET,True,4.53,2.31
1256,GET,True,4.75,3.0
1256,GET,False,3.23,2.78
1256,GET,False,4.68,1.72
1276,GET,True,9.11,3.35
1288,GET,True,9.43,2.85
1292,GET,False,2.94,2.26
1292,PUT,False,6.68,2.34
1292,GET,True,10.38,107.65
1296,GET,False,3.08,2.22
1304,GET,True,10.81,2.71
1308,GET,True,3.67,3.07
1308,GET,True,11.14,2.78
1316,GET,False,3.74,2.06
1316,GET,True,3.58,2.68
1324,GET,True,4.33,2.34
1336,GET,True,5.32,3.2
1336,GET,False,3.21,2.53
1336,GET,False,4.04,1.73
1336,GET,True,4.09,3.01
1336,GET,True,9.03,3.49
1336,GET,True,6.63,2.69
1336,GET,False,4.37,2.87
1348,PUT,False,3.62,2.75
1356,GET,True,4.96,3.52
1356,GET,False,4.43,3.01
1356,GET,False,3.44,2.01
1356,GET,True,4.93,3.24
1356,GET,False,3.93,3.82
1356,GET,False,3.78,1.84
1356,GET,False,3.43,2.79
1356,GET,False,4.17,3.71
1356,GET,False,4.29,2.85
1360,GET,True,5.67,3.82
1364,GET,False,3.13,2.42
1364,GET,False,3.36,2.82
1364,GET,False,2.67,1.75
1364,GET,False,5.84,1.98
1364,GET,True,13.27,2.95
1364,GET,True,5.89,4.2
1364,GET,True,5.2,2.79
1368,GET,True,8.43,3.78
1368,GET,True,10.2,3.41
1368,GET,False,3.86,2.04
1368,GET,False,5.13,2.15
1368,GET,True,4.64,3.57
1368,GET,False,4.37,2.49
1368,GET,True,4.66,2.91
1368,GET,True,4.27,2.89
1368,GET,False,2.31,1.56
1368,PUT,False,4.99,3.23
1368,GET,False,2.42,1.79
1368,GET,False,4.66,3.0
1368,GET,True,16.05,6.87
1372,GET,True,4.3,2.94
1372,GET,False,3.9,2.21
1372,GET,True,9.5,4.09
1372,GET,False,4.02,2.08
1372,GET,False,6.28,2.04
1372,GET,False,3.56,1.89
1372,GET,True,10.77,4.02
1372,GET,True,8.21,2.95
1372,GET,False,4.64,3.28
1372,GET,True,12.28,3.18
1372,GET,False,5.06,2.92
1372,GET,True,11.02,4.34
1372,GET,False,4.08,3.23
1372,GET,False,4.35,2.95
1372,GET,False,2.08,2.27
1372,GET,False,3.37,3.31
1372,GET,False,2.11,1.59
1372,GET,True,5.52,3.32
1372,GET,True,5.11,3.47
1372,GET,True,6.2,3.83
1372,GET,True,4.17,3.48
1372,GET,True,13.18,3.36
1372,GET,True,7.3,4.22
1372,GET,False,3.58,2.63
1372,GET,True,11.92,4.58
1372,GET,True,5.47,3.19
1372,GET,True,4.83,3.05
1372,GET,False,6.37,3.41
1372,GET,True,3.73,2.86
1372,GET,False,4.48,1.73
1372,GET,False,3.98,2.41
1372,GET,True,5.88,4.12
1372,GET,False,8.1,2.83
1372,GET,True,3.95,2.81
1376,GET,True,4.38,2.46
1376,GET,True,10.22,4.6
1376,GET,True,9.66,8.56
1376,GET,False,4.1,2.26
1376,GET,True,5.54,3.87
1376,GET,False,5.29,3.35
1388,GET,True,11.77,5.74
1388,GET,False,4.93,2.02
1388,GET,False,4.19,3.17
1388,GET,False,2.17,2.05
1388,GET,False,3.34,1.8
1388,GET,False,2.24,2.26
1388,GET,False,3.5,2.69
1388,GET,True,4.79,3.06
1396,GET,True,10.72,2.78
1408,GET,False,5.05,1.99
1408,GET,True,6.03,2.77
1412,GET,True,11.12,5.56
1420,GET,True,3.93,2.99
1420,GET,False,2.04,1.97
1420,GET,False,2.86,1.79
1420,GET,True,4.34,2.69
1420,GET,False,4.49,2.44
1420,GET,True,14.15,3.01
1420,GET,True,6.19,2.93
1420,PUT,False,3.29,2.32
1420,PUT,False,3.03,3.47
1424,GET,False,3.64,2.06
1424,GET,True,4.3,2.45
1428,GET,True,9.09,3.82
1428,GET,False,5.6,1.75
1428,GET,True,4.96,2.73
1436,GET,False,3.72,1.73
1448,GET,True,9.59,3.18
1448,GET,True,3.98,3.1
1452,GET,False,3.07,2.6
1452,GET,False,3.79,3.19
1452,GET,True,4.37,3.11
1452,GET,True,9.17,3.24
1460,GET,True,3.26,3.63
1460,GET,True,4.61,3.07
1460,GET,True,5.64,3.2
1460,GET,True,12.01,3.28
1460,GET,True,4.2,3.0
1468,GET,True,4.25,3.44
1476,GET,False,5.41,2.38
1480,GET,False,2.47,2.21
1480,GET,False,8.52,3.28
1480,GET,True,11.94,3.85
1492,GET,True,5.61,3.1
1496,GET,True,4.73,2.81
1500,GET,False,4.05,2.6
1500,GET,True,4.68,2.67
1500,GET,True,6.52,4.23
1500,GET,True,5.03,2.81
1500,GET,False,10.61,2.32
1500,GET,True,5.3,3.62
1500,GET,False,6.2,2.78
1500,PUT,False,3.2,2.24
1500,GET,False,4.19,2.85
1500,GET,False,3.62,2.45
1504,GET,False,2.58,1.92
1504,GET,False,3.11,2.36
1508,GET,False,5.58,1.91
1508,PUT,False,6.22,3.43
1508,GET,False,3.03,2.24
1508,GET,True,15.86,5.93
1508,GET,False,8.22,3.47
1520,GET,False,5.44,2.46
1520,GET,False,3.13,2.28
1520,GET,False,2.9,1.83
1524,GET,False,7.95,2.23
1528,GET,True,5.47,3.0
1532,GET,False,7.28,1.73
1536,GET,True,3.92,2.88
1560,GET,True,4.88,2.42
1564,GET,True,4.24,2.83
1572,GET,False,4.31,2.05
1584,GET,False,3.19,2.02
1584,GET,True,13.08,16.35
1584,GET,False,5.16,2.66
1584,GET,False,3.38,2.63
1584,GET,False,4.15,2.68
1584,GET,False,2.87,2.16
1584,GET,True,4.75,2.68
1620,GET,True,10.27,2.79
1624,GET,True,4.18,3.08
1624,GET,False,4.82,2.39
1624,GET,True,4.3,2.74
1628,GET,True,5.19,3.17
1664,GET,False,5.72,3.07
1676,GET,False,3.38,2.8
1692,GET,True,7.71,2.63
1696,GET,False,6.08,1.88
1712,GET,False,3.97,2.05
1712,GET,True,4.66,3.55
1720,GET,True,16.77,4.7
1724,PUT,False,6.45,3.27
1728,GET,True,4.72,3.39
1728,GET,True,5.48,3.4
1732,GET,True,10.22,3.46
1732,GET,False,5.29,2.02
1740,GET,True,3.13,3.08
1744,PUT,False,4.33,2.03
1744,GET,True,9.65,3.89
1752,GET,True,3.52,2.2
1756,GET,False,4.52,2.04
1760,GET,False,3.49,1.72
1760,GET,True,11.67,4.02
1772,GET,False,4.81,2.53
1772,GET,True,10.21,3.2
1772,GET,False,3.04,1.68
1772,GET,True,3.09,2.8
1772,GET,False,3.36,3.15
1772,GET,True,4.0,2.34
1772,GET,False,2.84,1.97
1772,GET,False,3.68,2.82
1776,GET,True,12.41,5.93
1780,GET,False,2.94,1.9
1780,GET,True,3.98,3.25
1780,PUT,False,6.52,2.31
1784,GET,False,5.71,1.65
1784,GET,False,1.74,1.57
1784,GET,False,3.28,2.03
1784,GET,False,8.25,2.05
1784,GET,False,6.97,98.69
1784,GET,False,2.61,1.74
1784,GET,True,5.41,2.76
1784,GET,False,2.77,1.65
1788,GET,False,4.91,3.71
1788,GET,False,3.81,2.03
1788,GET,False,3.08,2.25
1800,GET,True,3.01,2.63
1800,GET,False,2.85,1.47
1800,GET,True,4.38,2.53
1804,PUT,False,6.87,3.59
1804,GET,True,6.34,128.91
1804,GET,True,2.92,2.67
1804,GET,True,4.39,3.02
1804,GET,True,6.11,3.55
1804,GET,False,6.55,2.67
1820,GET,False,5.45,2.07
1824,GET,False,4.07,2.57
1824,GET,False,2.95,2.72
1828,GET,False,4.33,1.97
1828,GET,False,2.99,2.35
1828,GET,False,3.96,2.54
1832,GET,False,3.28,2.44
1832,GET,True,5.46,3.41
1836,GET,True,4.07,3.43
1856,GET,False,4.8,2.15
1860,GET,True,12.25,6.95
1864,GET,False,6.46,3.7
1868,GET,True,4.99,3.01
1872,GET,True,5.22,4.36
1896,GET,False,2.33,1.77
1896,GET,False,2.25,1.96
1896,GET,False,4.12,2.91
1896,GET,False,4.03,1.78
1896,GET,False,4.16,2.15
1900,GET,True,12.31,3.7
1900,GET,True,4.41,2.63
1920,GET,False,1.95,1.39
1932,GET,False,4.12,2.45
1956,GET,False,4.69,2.1
1980,GET,False,3.8,1.45
1980,GET,False,4.76,2.28
1980,GET,False,3.68,1.8
1980,GET,False,6.45,2.65
1980,GET,False,2.17,2.02
1980,GET,False,3.49,1.86
1980,GET,True,3.39,4.16
1984,GET,False,3.64,2.08
1984,GET,False,3.18,2.6
1984,GET,False,6.41,3.63
1984,GET,False,2.68,2.48
1988,GET,False,4.66,2.73
1988,GET,False,2.38,1.59
1988,GET,True,4.98,3.1
1988,GET,False,2.32,1.65
1988,GET,False,3.25,1.98
1988,GET,False,4.64,2.62
1988,GET,True,3.92,4.03
1988,GET,False,4.49,2.68
1988,GET,False,3.32,2.83
1988,GET,True,4.25,2.66
1988,GET,False,6.88,2.33
1988,GET,False,2.84,1.83
1996,GET,True,7.76,2.74
1996,GET,False,4.06,1.48
2000,GET,False,3.58,1.73
2000,PUT,False,3.69,2.54
2000,GET,True,3.01,2.18
2000,PUT,False,3.69,2.62
2000,GET,False,2.79,2.29
2000,PUT,False,5.47,2.84
2000,PUT,False,6.33,3.34
2000,PUT,False,5.93,4.39
2000,GET,False,2.7,2.19
2004,GET,False,4.75,2.1
2004,GET,True,3.66,3.21
2008,GET,True,7.83,2.86
2008,GET,True,4.24,2.57
2012,GET,True,15.92,5.54
2012,GET,False,3.57,2.47
2012,GET,False,5.79,2.2
2012,GET,True,5.22,2.63
2024,GET,True,4.18,2.93
2036,GET,True,4.43,3.22
2040,GET,True,4.35,2.08
2040,GET,False,4.66,1.7
2044,GET,False,2.47,2.31
2044,GET,False,2.56,1.78
2044,GET,False,3.89,2.13
2044,PUT,False,3.11,2.01
2048,GET,False,5.34,3.07
2056,GET,False,3.22,2.38
2056,GET,False,2.94,2.13
2056,GET,False,6.16,1.65
2056,GET,False,4.11,2.11
2056,GET,True,6.95,6.55
2056,PUT,False,8.48,4.06
2056,GET,False,2.66,2.16
2056,GET,True,5.99,3.21
2056,GET,False,2.32,1.72
2056,GET,True,12.22,4.64
2056,PUT,False,2.84,2.47
2056,GET,True,3.9,2.52
2056,GET,False,3.71,2.56
2056,GET,False,2.86,2.16
2056,PUT,False,3.8,2.36
2056,GET,False,3.82,2.21
2056,GET,False,2.91,2.1
2056,GET,True,11.34,3.32
2056,GET,False,3.04,1.94
2056,GET,True,12.85,4.84
2056,PUT,False,2.76,2.1
2056,GET,True,4.63,3.11
2056,GET,True,3.07,3.0
2056,PUT,False,7.26,3.54
2056,GET,False,6.71,2.34
2056,GET,True,3.84,3.03
2056,GET,True,16.37,3.43
2056,PUT,False,5.12,2.1
2056,GET,True,2.78,2.76
2056,GET,False,2.02,1.69
2056,GET,False,3.54,2.57
2056,GET,False,4.17,1.84
2056,GET,False,5.89,2.68
2056,GET,True,4.09,3.11
2056,GET,False,3.47,2.57
2056,GET,False,2.99,2.4
2056,GET,False,4.33,2.01
2056,GET,True,12.84,10.2
2056,GET,True,9.09,2.7
2056,GET,True,5.16,2.47
2056,GET,False,3.31,2.0
2056,GET,True,2.68,2.47
2056,GET,False,4.39,2.35
2056,GET,False,4.76,2.49
2056,GET,True,4.06,2.52
2056,GET,False,5.21,2.48
2056,GET,False,3.99,2.55
2056,GET,False,4.16,2.15
2056,GET,False,3.19,1.81
2056,GET,False,2.82,1.73
2056,GET,True,8.65,3.43
2056,GET,False,2.78,1.69
2056,GET,True,3.7,2.6
2056,GET,True,3.25,2.65
2056,GET,False,2.0,1.48
2056,GET,True,3.63,2.43
2056,GET,False,2.91,1.89
2056,GET,False,3.08,3.4
2056,PUT,False,3.1,2.02
2056,GET,False,2.22,1.93
2056,GET,False,2.91,2.45
2056,GET,True,5.31,2.87
2056,GET,False,3.56,2.14
2056,GET,False,4.02,1.99
2056,GET,True,9.21,3.54
2056,GET,True,5.38,3.34
2056,GET,False,2.18,2.05
2056,GET,True,3.37,2.91
2056,GET,True,8.8,3.05
2056,GET,False,2.5,1.73
2056,GET,False,3.1,1.92
2056,GET,False,3.63,2.82
2056,GET,True,3.98,2.96
2056,GET,True,4.69,3.26
2056,GET,True,4.0,2.93
2056,GET,False,3.3,2.56
2056,PUT,False,0.06,0.05
2056,GET,False,2.79,1.87
2056,GET,True,4.31,3.25
2056,GET,False,3.62,1.97
2056,GET,True,5.65,3.36
2056,GET,True,11.63,4.62
2056,GET,True,3.16,2.85
2056,GET,True,3.6,2.97
2056,GET,False,3.04,1.8
2056,GET,False,2.35,1.62
2056,GET,True,5.82,3.42
2056,GET,False,4.24,1.92
2056,GET,False,2.87,1.99
2056,GET,False,2.08,1.84
2056,GET,True,4.66,3.12
2056,GET,True,4.42,2.66
2056,GET,True,5.36,3.4
2056,GET,True,12.69,3.87
2056,GET,True,5.1,3.31
2056,GET,True,9.97,4.75
2060,GET,False,2.9,2.35
2060,GET,False,6.78,1.77
2060,GET,False,5.83,1.81
2060,GET,True,10.81,2.85
2060,GET,True,12.09,4.92
2060,GET,False,1.65,1.66
2064,GET,False,2.72,1.59
2072,GET,True,9.26,2.91
2072,GET,True,11.01,6.45
2100,PUT,False,4.79,8.17
2112,GET,True,6.63,3.63
2112,GET,False,7.48,2.14
2112,GET,False,5.45,2.62
2140,PUT,False,3.82,2.98
2144,GET,False,2.15,1.95
2144,GET,False,5.31,2.13
2144,GET,True,3.97,3.54
2144,GET,True,5.92,3.37
2144,GET,False,4.34,2.48
2144,GET,False,2.25,1.74
2176,GET,False,2.9,2.62
2176,GET,False,3.68,2.26
2176,GET,True,9.26,4.2
2188,GET,True,1.99,1.03
2188,GET,False,2.38,1.71
2188,GET,False,6.72,2.34
2192,GET,True,13.0,5.19
2192,GET,True,3.71,2.74
2192,GET,False,2.8,2.68
2192,GET,True,6.15,2.72
2196,GET,False,3.75,2.75
2196,GET,False,3.45,1.52
2196,GET,True,4.44,3.4
2196,GET,True,3.06,2.46
2196,GET,False,4.33,1.85
2196,GET,False,2.21,1.81
2200,GET,True,8.21,2.56
2200,GET,True,4.06,3.3
2200,GET,True,4.29,2.97
2200,GET,False,3.57,2.47
2200,GET,False,3.85,2.65
2200,GET,True,3.08,2.59
2200,GET,True,5.08,3.25
2200,GET,True,3.48,2.72
2208,GET,True,8.49,3.17
2208,GET,True,3.64,2.91
2208,GET,True,11.98,3.06
2208,GET,False,5.8,2.17
2208,GET,False,2.22,1.83
2208,GET,True,12.09,3.69
2208,GET,False,3.07,1.89
2208,GET,True,11.22,3.4
2208,GET,True,9.46,2.72
2208,GET,True,13.79,4.26
2208,GET,False,2.35,2.2
2212,GET,True,4.15,2.15
2212,GET,False,3.9,2.07
2212,GET,True,7.43,2.67
2212,GET,True,11.79,5.62
2216,GET,False,2.94,1.3
2224,GET,True,12.86,3.72
2224,GET,True,8.95,3.1
2224,PUT,False,3.23,1.89
2252,GET,True,7.06,2.92
2252,GET,False,2.05,1.71
2252,GET,False,2.29,1.81
2252,GET,True,5.63,2.54
2252,GET,False,4.63,2.28
2252,GET,True,9.67,3.7
2256,GET,True,5.24,3.19
2256,GET,True,3.67,2.52
2256,GET,True,3.76,2.55
2256,GET,True,8.11,3.09
2256,GET,True,5.25,3.8
2256,GET,False,2.0,1.92
2260,GET,True,11.86,5.57
2260,GET,False,4.22,3.79
2260,GET,False,4.14,2.68
2260,GET,True,3.6,2.42
2300,GET,False,3.78,2.32
2304,GET,True,8.29,4.21
2340,GET,True,4.89,2.81
2340,GET,False,3.63,2.44
2340,GET,True,11.13,4.41
2340,GET,True,7.46,2.73
2340,GET,True,5.61,3.84
2340,GET,False,3.44,2.22
2340,GET,False,2.57,2.45
2344,GET,False,5.42,1.92
2344,GET,False,4.35,2.09
2344,GET,True,3.75,2.73
2344,GET,True,3.7,2.72
2344,GET,True,4.38,3.16
2360,GET,True,2.98,2.51
2360,GET,True,10.17,3.93
2360,PUT,False,4.24,2.99
2364,GET,True,3.69,2.97
2384,GET,False,4.32,2.47
2404,GET,False,3.04,1.52
2404,GET,False,4.87,2.2
2404,GET,True,4.15,2.86
2416,GET,False,2.08,1.82
2420,GET,False,3.83,2.1
2424,PUT,False,3.75,2.75
2428,GET,False,4.47,2.75
2428,GET,True,8.75,2.74
2472,GET,True,3.28,2.86
2532,GET,True,3.87,3.19
2552,GET,True,5.67,2.62
2552,GET,True,6.15,3.78
2556,GET,False,3.02,2.24
2560,GET,False,3.47,1.51
2584,GET,False,2.47,2.32
2584,GET,True,4.42,3.06
2596,GET,False,4.79,1.75
2600,GET,True,7.52,10.09
2604,GET,False,5.56,2.33
2604,GET,True,4.85,2.94
2604,GET,False,4.51,2.21
2604,GET,False,3.84,2.19
2604,GET,False,3.07,1.83
2604,GET,False,3.24,2.35
2604,GET,True,3.47,2.42
2608,GET,False,3.24,2.1
2608,GET,False,3.66,2.4
2608,GET,False,4.25,2.39
2608,GET,False,2.86,1.91
2608,GET,False,2.73,2.33
2608,GET,False,3.4,1.76
2608,GET,False,6.44,2.46
2608,GET,False,3.78,98.62
2608,GET,False,3.1,1.97
2608,GET,False,2.49,1.68
2608,GET,True,7.46,3.06
2608,GET,False,5.64,2.73
2608,GET,False,5.44,1.78
2608,GET,False,3.49,3.58
2608,GET,True,10.73,3.24
2608,GET,False,3.34,1.92
2608,GET,False,3.24,1.77
2608,GET,True,4.99,3.0
2608,GET,True,4.4,2.8
2608,GET,True,9.22,3.28
2608,GET,True,5.59,2.76
2608,GET,True,10.35,3.52
2608,GET,False,3.41,1.63
2608,GET,False,6.31,4.11
2608,GET,False,4.92,2.84
2608,GET,False,3.82,3.69
2608,GET,False,4.23,2.87
2608,GET,True,5.07,3.68
2608,GET,False,2.22,1.91
2608,GET,False,4.51,2.55
2612,GET,False,5.62,2.12
2616,GET,True,3.18,2.42
2616,GET,True,4.12,2.51
2620,GET,True,4.29,2.75
2620,GET,True,5.15,2.48
2620,GET,True,11.83,6.08
2624,GET,False,4.6,1.46
2628,GET,True,11.39,3.74
2628,GET,True,9.96,3.54
2628,GET,True,7.5,5.36
2628,GET,True,4.02,2.84
2628,GET,True,5.27,3.4
2628,GET,True,3.77,3.1
2628,GET,True,5.74,2.38
2628,GET,True,4.53,3.53
2628,GET,False,7.91,2.53
2628,GET,False,3.19,1.5
2628,GET,False,3.24,2.55
