Size,Type,IsDegradeRead,NativeecTimes,MicroecTimes
1028,GET,False,14.35,2.26
1040,GET,False,4.93,2.21
1040,GET,False,4.49,1.59
1040,GET,False,2.42,2.93
1040,GET,False,3.38,2.35
1040,GET,True,9.77,4.39
1040,GET,True,5.33,2.75
1040,GET,True,9.8,2.79
1040,GET,True,12.62,3.17
1064,GET,False,3.53,2.38
1068,GET,True,5.21,3.6
1116,GET,False,2.47,1.66
1116,GET,True,4.39,3.4
1116,GET,True,13.97,3.6
1116,GET,True,5.71,2.93
1116,GET,True,10.09,3.64
1116,GET,False,4.64,2.54
1116,GET,False,3.17,2.28
1116,GET,False,3.66,3.06
1116,GET,True,5.59,2.54
1116,GET,False,2.94,2.18
1116,GET,True,8.34,5.01
1116,GET,True,13.55,4.5
1116,GET,True,15.77,3.24
1116,GET,False,3.75,1.79
1116,GET,False,3.29,2.04
1116,GET,False,2.84,1.86
1116,GET,False,2.57,2.05
1116,GET,False,3.77,2.16
1116,GET,True,4.04,4.2
1116,GET,True,6.93,2.52
1116,GET,True,5.66,3.46
1116,GET,False,3.85,2.23
1116,GET,False,2.56,2.76
1128,GET,True,7.54,4.35
1128,GET,True,5.66,3.74
1128,GET,False,5.07,2.18
1128,GET,True,14.62,3.94
1128,GET,True,11.95,3.09
1128,GET,False,3.34,2.24
1128,GET,True,7.27,3.65
1128,GET,False,2.33,1.99
1128,GET,True,12.77,6.43
1128,GET,True,7.63,4.52
1128,GET,True,4.4,3.06
1128,GET,False,4.1,2.55
1128,GET,False,4.73,2.29
1128,GET,False,6.25,2.19
1128,GET,True,3.91,2.35
1128,GET,False,4.01,2.69
1128,GET,False,3.72,2.38
1152,GET,True,3.97,4.06
1152,GET,True,3.2,3.6
1152,GET,False,6.74,1.89
1152,GET,True,12.53,4.72
1152,GET,False,3.61,3.05
1152,GET,True,12.37,3.47
1152,GET,False,4.81,2.42
1152,GET,False,3.21,1.55
1152,GET,False,2.9,1.93
1152,GET,True,7.15,2.98
1152,GET,True,9.65,3.23
1152,GET,False,3.35,1.84
1152,GET,True,5.16,3.67
1152,GET,True,19.12,3.81
1152,GET,False,4.05,2.7
1152,GET,True,4.72,2.98
1152,GET,True,5.29,2.77
1152,GET,False,3.43,2.8
1152,GET,True,4.48,2.72
1152,GET,True,4.78,3.46
1152,GET,False,3.51,2.72
1152,GET,False,2.73,2.06
1152,GET,True,4.54,3.59
1152,GET,False,3.54,2.02
1152,GET,True,3.22,2.77
1152,GET,True,11.03,3.78
1152,GET,False,3.75,3.21
1152,GET,False,3.59,2.11
1152,GET,True,18.29,3.51
1156,GET,True,9.76,2.2
1156,GET,False,4.63,2.27
1156,GET,True,10.38,3.72
1156,GET,False,3.61,1.84
1156,GET,True,15.13,5.26
1156,GET,True,7.15,3.97
1156,GET,False,3.18,2.07
1156,GET,False,3.81,2.8
1156,GET,True,3.92,2.86
1156,GET,True,13.49,6.38
1156,GET,False,4.17,2.93
1156,GET,True,15.61,6.97
1156,GET,True,11.83,3.42
1156,GET,False,2.55,1.8
1156,GET,False,3.64,2.58
1156,GET,False,2.98,2.66
1156,GET,True,4.51,3.64
1156,GET,True,6.95,3.61
1164,PUT,False,0.26,0.11
1164,GET,True,4.31,3.62
1176,GET,True,5.71,3.28
1228,GET,False,4.22,1.68
1228,GET,False,3.64,2.97
1236,GET,True,8.22,2.85
1236,GET,False,4.04,2.11
1236,GET,True,4.32,3.24
1236,GET,True,4.04,3.19
1236,GET,False,3.21,2.19
1292,PUT,False,5.62,2.74
1332,GET,True,11.39,3.37
1332,GET,False,3.83,2.36
1332,GET,False,4.0,2.75
1332,GET,False,2.76,2.59
1332,GET,False,5.42,2.21
1332,GET,False,3.54,2.42
1332,GET,True,12.64,3.9
1332,GET,True,8.26,4.77
1332,GET,True,4.98,3.72
1332,GET,True,6.57,4.79
1332,GET,False,3.3,1.91
1332,GET,False,3.16,1.93
1332,GET,True,3.34,3.73
1332,GET,False,5.64,2.09
1332,GET,False,3.78,2.54
1332,GET,True,6.65,3.09
1332,GET,False,5.05,1.93
1332,GET,True,8.66,2.82
1332,GET,False,4.9,3.05
1332,GET,False,2.54,1.91
1332,GET,False,2.2,2.02
1332,GET,True,4.81,4.25
1332,GET,True,5.77,3.24
1332,GET,False,2.54,2.33
1332,GET,False,5.02,2.34
1332,GET,False,3.08,2.54
1332,GET,True,11.89,3.19
1332,GET,True,4.54,3.75
1336,GET,False,3.79,2.73
1336,GET,True,4.31,2.95
1336,GET,True,6.07,3.44
1336,GET,True,4.61,3.53
1336,GET,False,3.23,2.16
1336,GET,False,4.65,2.21
1336,GET,False,6.59,1.63
1336,GET,False,3.54,3.51
1336,GET,True,4.61,3.29
1336,GET,False,2.38,2.06
1336,GET,False,5.46,2.49
1336,GET,False,2.77,2.47
1336,GET,False,2.82,2.11
1336,GET,False,5.75,2.83
1336,GET,False,4.0,2.77
1336,GET,True,4.26,2.11
1336,GET,False,6.42,2.65
1336,GET,True,5.62,4.05
1336,GET,True,4.02,2.81
1336,GET,True,19.09,6.87
1336,GET,False,4.2,2.95
1336,GET,True,3.07,2.15
1336,GET,True,3.74,2.87
1336,GET,False,3.13,2.24
1336,GET,False,5.55,3.45
1336,GET,True,4.68,3.46
1336,GET,False,3.65,2.72
1348,GET,True,3.29,2.71
1352,GET,False,4.05,2.23
1356,GET,False,3.49,1.74
1356,GET,True,11.52,3.01
1356,GET,False,4.29,2.38
1356,GET,True,5.08,3.49
1356,GET,False,3.92,2.79
1356,GET,True,3.85,3.33
1356,GET,True,5.5,3.15
1356,GET,False,4.98,2.55
1356,GET,False,5.04,2.59
1356,GET,True,3.96,2.61
1356,GET,True,7.77,3.01
1356,GET,False,8.07,3.6
1356,GET,False,3.1,2.64
1356,GET,True,10.51,4.72
1356,GET,True,4.61,3.45
1356,GET,False,3.47,2.39
1356,GET,False,2.65,2.36
1356,GET,False,3.74,1.79
1356,GET,False,3.37,2.29
1360,GET,True,5.2,2.55
1360,GET,True,3.85,2.39
1364,GET,True,4.51,2.3
1364,GET,False,6.74,2.1
1364,GET,True,9.49,4.06
1364,GET,True,5.27,2.88
1368,GET,True,5.22,3.35
1368,GET,True,13.23,3.7
1368,GET,True,4.9,4.07
1368,GET,False,3.93,2.14
1368,GET,False,4.0,2.5
1368,GET,False,3.46,2.49
1368,GET,True,4.03,2.87
1368,GET,False,5.96,2.67
1368,GET,True,5.3,2.85
1368,GET,True,5.57,3.39
1368,GET,False,5.77,2.12
1368,GET,False,3.24,2.5
1368,GET,False,3.15,1.83
1368,GET,True,9.15,3.53
1368,GET,True,4.44,2.75
1368,GET,False,5.93,3.24
1368,GET,False,3.16,2.41
1368,GET,True,9.47,3.29
1368,GET,False,2.5,2.5
1368,GET,True,5.63,3.85
1368,GET,True,4.57,3.35
1368,GET,False,2.7,1.18
1372,GET,True,5.33,3.0
1372,GET,True,5.56,3.08
1372,GET,False,4.56,2.38
1372,GET,True,5.51,2.29
1372,GET,True,3.7,3.15
1372,GET,True,4.88,2.39
1372,GET,False,4.95,2.33
1372,GET,True,5.42,3.29
1372,GET,True,5.08,2.97
1372,GET,False,3.82,1.7
1372,GET,False,3.36,1.78
1372,GET,True,3.83,2.59
1372,GET,True,6.02,2.62
1372,GET,False,3.29,1.51
1372,GET,False,3.45,2.08
1372,GET,True,11.3,3.43
1372,GET,False,3.07,1.97
1372,GET,True,7.43,3.55
1372,GET,False,2.87,1.85
1372,GET,False,3.32,2.19
1372,GET,False,4.28,2.21
1372,GET,True,9.33,4.42
1416,GET,False,5.15,2.31
1420,GET,False,6.98,2.07
1424,GET,True,18.81,7.14
1464,GET,True,3.49,3.66
1492,GET,True,3.86,2.97
1524,GET,False,4.07,3.16
1532,GET,False,4.48,3.26
1536,GET,True,5.15,3.95
1568,GET,True,5.61,3.75
1568,GET,True,4.22,2.81
1576,GET,True,4.42,3.36
1576,GET,False,4.75,3.23
1576,GET,False,2.86,1.58
1576,GET,False,3.02,1.92
1576,GET,False,2.99,2.23
1576,GET,True,3.74,2.66
1576,GET,False,2.81,1.25
1576,GET,True,4.55,3.22
1576,GET,False,3.89,2.31
1576,GET,True,2.67,4.79
1576,PUT,False,2.3,2.53
1584,GET,False,4.04,1.77
1584,GET,False,2.76,2.55
1584,GET,True,4.12,2.63
1584,GET,True,4.7,3.97
1584,GET,True,4.04,3.59
1584,GET,True,14.34,3.29
1584,GET,False,3.28,2.58
1584,GET,False,2.91,2.56
1584,GET,False,4.82,2.62
1584,GET,True,7.63,3.14
1584,GET,False,3.56,1.93
1584,GET,True,4.53,2.12
1584,GET,True,4.49,3.32
1584,GET,False,5.95,2.62
1584,GET,True,10.48,4.48
1584,GET,True,10.1,3.98
1584,GET,False,3.28,2.12
1584,GET,True,3.74,2.57
1584,GET,True,11.02,3.26
1584,GET,False,2.62,2.46
1584,GET,True,3.76,5.01
1584,GET,False,4.72,2.27
1584,GET,False,2.49,2.23
1584,GET,True,5.97,3.16
1584,GET,False,2.98,2.49
1604,GET,False,2.69,1.64
1656,GET,True,4.34,3.07
1656,GET,True,3.74,2.7
1716,PUT,False,2.38,1.73
1720,PUT,False,3.72,2.14
1720,GET,True,8.2,3.5
1720,GET,False,8.92,2.53
1720,PUT,False,4.6,2.81
1720,GET,True,5.04,2.95
1720,PUT,False,1.2,0.72
1720,PUT,False,3.54,1.75
1720,PUT,False,7.04,2.48
1744,GET,True,4.58,3.75
1760,GET,True,9.6,3.54
1760,GET,False,3.62,2.26
1760,GET,False,4.18,2.74
1760,GET,False,3.26,2.18
1760,GET,False,6.64,2.56
1764,GET,False,5.39,2.76
1772,GET,True,4.06,3.2
1772,GET,False,4.38,2.53
1772,GET,False,5.38,2.68
1772,GET,True,9.53,3.25
1772,GET,True,10.45,3.24
1772,GET,True,13.37,5.56
1772,GET,True,4.9,3.38
1772,GET,True,11.36,3.84
1772,GET,True,4.48,2.61
1772,GET,True,5.33,3.11
1772,GET,True,8.24,2.88
1772,GET,True,4.62,3.09
1772,GET,False,4.2,2.99
1772,GET,True,5.58,3.58
1772,GET,False,2.62,1.56
1772,GET,False,6.3,1.57
1772,GET,True,3.86,2.57
1772,GET,True,3.97,2.89
1772,GET,False,12.81,3.4
1772,GET,True,4.97,2.36
1772,GET,True,3.76,3.14
1772,GET,False,4.12,2.16
1772,GET,False,3.49,2.77
1772,GET,True,4.99,2.62
1772,GET,True,5.83,3.34
1772,GET,False,4.38,1.8
1772,GET,True,3.69,2.57
1772,GET,False,4.64,2.2
1772,GET,False,6.51,2.04
1772,GET,True,5.3,2.92
1780,GET,False,6.84,2.71
1780,PUT,False,4.43,2.95
1788,GET,False,4.74,1.91
1788,GET,False,2.71,2.28
1788,PUT,False,3.56,2.13
1788,GET,True,4.63,2.36
1792,GET,False,3.05,2.66
1796,GET,True,8.76,3.6
1804,PUT,False,3.47,2.29
1832,GET,False,3.54,2.32
1896,GET,True,9.56,8.33
1896,GET,True,4.13,2.64
1900,GET,True,3.9,2.58
1900,GET,True,8.13,3.84
1900,GET,False,1.89,2.18
1900,GET,False,4.5,1.94
1900,GET,True,4.95,2.4
1900,GET,True,3.54,3.17
1900,GET,False,4.34,2.1
1900,GET,True,6.07,3.19
1900,GET,True,3.34,2.86
1900,GET,False,2.51,1.48
1932,GET,True,11.32,3.05
1940,GET,True,4.62,2.43
1964,GET,True,3.08,2.66
1980,GET,False,7.37,2.67
1980,GET,False,5.69,2.4
1980,GET,False,5.4,1.66
1980,GET,True,4.44,2.91
1980,GET,False,3.0,2.72
1980,GET,False,2.02,2.01
1980,GET,False,3.45,1.58
1980,GET,True,4.64,2.76
1980,GET,True,4.16,2.74
1980,GET,False,3.3,2.14
1980,GET,False,3.26,1.73
1980,GET,True,4.32,2.7
1980,GET,False,3.44,3.03
1980,GET,False,3.97,1.89
1980,GET,False,4.37,2.57
1980,GET,True,14.37,4.27
1980,GET,False,2.82,1.6
1980,GET,False,3.25,1.57
1988,GET,True,8.5,3.25
1988,GET,True,4.93,3.32
1988,GET,False,3.56,2.27
1988,GET,False,2.77,1.34
