No,Size,Type,IsDegradeRead,replicas,nativeec,microec
0,26443776,GET,true,4056.971,19.577,19.276
1,2144,GET,true,5.073,19.762,18.938
2,2310144,GET,true,359.746,18.761,19.079
3,1980,GET,true,4.518,19.314,20.191
4,1152,GET,true,3.803,18.781,19.024
5,2404,GET,true,4.951,18.415,18.76
6,2628,GET,true,4.571,19.644,18.815
7,1336,GET,true,4.182,23.237,19.954
8,1772,GET,true,4.135,19.398,19.426
9,14708,GET,true,8.285,29.26,18.878
10,40943616,GET,true,6292.469,18.773,18.028
11,2195456,GET,true,342.312,19.459,19.043
12,2404,GET,true,4.695,19.417,19.711
13,4931584,GET,true,760.833,18.945,18.855
14,2420,GET,true,4.435,22.083,20.147
15,30720000,GET,true,4726.581,24.067,21.583
16,2212,GET,true,5.297,22.933,23.883
17,1584,GET,true,4.456,19.709,19.404
18,114688,GET,true,25.991,19.446,18.477
19,20365312,GET,true,3140.266,57.242,19.456
20,65536,PUT,false,108.569,22.152,18.858
21,16187392,GET,true,2486.775,20.344,20.749
22,4016,GET,true,6.456,25.067,40.868
23,15548416,GET,true,2387.175,19.891,27.787
24,10764288,GET,true,1654.366,21.4,21.385
25,14663680,GET,true,2251.822,19.091,20.257
26,23822336,GET,true,3670.934,67.161,68.201
27,1116,GET,true,4.756,25.62,22.722
28,2628,GET,true,4.858,23.397,19.926
29,1152,GET,true,3.843,21.141,20.196
30,10088,GET,true,6.828,20.459,29.272
31,16384,GET,true,7.875,19.349,20.199
32,1980,GET,true,4.636,21.671,20.183
33,1900544,GET,true,296.891,18.826,18.997
34,2628,GET,true,5.008,20.749,19.281
35,2996,GET,true,5.224,19.276,19.03
36,54394880,GET,true,8336.498,19.499,19.325
37,3000,GET,true,5.642,18.766,21.846
38,2628,GET,true,4.678,20.392,19.967
39,3784,GET,true,5.188,21.543,18.615
40,851968,GET,true,169.298,19.59,19.588
41,671744,GET,true,124.215,19.681,21.639
42,7476,GET,true,6.384,19.382,19.184
43,2628,GET,true,5.152,19.08,20.393
44,2080768,GET,true,324.688,19.965,20.705
45,3342336,GET,true,517.655,19.138,18.929
46,3784,GET,true,4.663,35.304,40.797
47,3342336,GET,true,516.889,22.214,21.572
48,1720,PUT,false,27.933,19.752,20.395
49,1332,GET,true,4.303,20.733,19.197
50,819200,GET,true,149.51,19.376,20.633
51,2628,GET,true,5.475,20.082,18.565
52,12284,GET,true,6.871,20.155,33.645
53,7596,GET,true,5.609,18.671,20.934
54,3376,GET,true,5.197,19.855,20.776
55,9544,GET,true,6.519,18.924,20.297
56,1336,GET,true,3.848,19.439,19.206
57,7852,GET,true,5.888,19.479,19.112
58,2097152,GET,true,326.717,19.116,20.142
59,32768,GET,true,10.236,19.686,19.396
60,1372,GET,true,4.478,30.064,20.116
61,65536,GET,true,16.063,26.515,19.719
62,3020,GET,true,4.653,21.329,23.044
63,86900736,GET,true,13315.262,21.142,20.242
64,2340,GET,true,5.429,20.123,23.356
65,12284,GET,true,7.408,19.617,20.273
66,2080768,GET,true,324.392,20.147,18.935
67,2340,GET,true,3.881,19.654,19.242
68,10088,GET,true,6.674,19.131,18.581
69,1900544,GET,true,342.242,20.728,19.133
70,2628,GET,true,4.803,18.896,20.171
71,2844,GET,true,4.817,19.929,19.484
72,28606464,GET,true,4387.418,19.537,20.227
73,132939776,GET,true,20366.774,21.401,19.099
74,9338880,GET,true,1457.375,19.341,19.19
75,2144,GET,true,4.819,19.336,18.855
76,1576,GET,true,4.103,19.474,18.953
77,17743872,GET,true,2723.35,19.353,19.034
78,55967744,GET,true,8593.424,22.117,18.735
79,14663680,GET,true,2254.496,19.612,36.584
80,10764288,GET,true,1670.546,18.837,20.001
81,1788,GET,true,4.925,20.176,20.424
82,1966080,GET,true,307.52,18.811,18.899
83,1788,PUT,false,32.276,18.421,18.66
84,62947328,GET,true,9647.081,36.349,33.936
85,4524,GET,true,6.769,20.739,20.229
86,1980,GET,true,4.282,18.897,19.298
87,1332,GET,true,4.121,21.207,19.451
88,3680,GET,true,5.411,20.688,18.822
89,1128,GET,true,3.602,18.783,19.139
90,2340,GET,true,4.153,20.221,19.143
91,1336,GET,true,3.847,22.65,19.753
92,10404,GET,true,7.314,20.171,18.915
93,16187392,GET,true,2485.234,20.559,19.503
94,2195456,GET,true,342.641,23.46,19.578
95,1788,GET,true,4.717,22.05,19.222
96,1128,GET,true,3.838,19.55,18.626
97,54394880,GET,true,8336.216,19.407,18.151
98,32768,GET,true,10.305,20.042,19.979
99,3020,GET,true,4.73,20.412,19.334
100,2844,GET,true,5.396,19.198,18.241
101,3784,GET,true,5.463,19.186,19.132
102,4960,GET,true,5.555,19.817,19.694
103,6728,GET,true,5.704,19.385,19.682
104,110198784,GET,true,16884.044,27.758,18.867
105,3162112,GET,true,489.966,20.098,18.913
106,12284,GET,true,8.088,19.387,18.72
107,14663680,GET,true,2253.582,19.499,18.793
108,3342336,GET,true,517.492,20.252,19.387
109,33767424,PUT,false,17787.123,18.29,18.543
110,2628,GET,true,6.151,19.343,18.944
111,2310144,GET,true,360.266,19.31,19.001
112,6920,GET,true,5.721,20.015,19.406
113,51478528,GET,true,7891.039,20.514,19.941
114,2628,GET,true,5.172,19.723,18.338
115,1156,GET,true,3.781,18.757,29.951
116,2628,GET,true,4.874,20.094,20.495
117,1988,GET,true,4.333,20.197,18.919
118,2112,GET,true,4.429,19.832,18.564
119,2490368,GET,true,418.178,20.504,19.57
120,114688,GET,true,25.192,19.801,19.229
121,55197696,GET,true,8474.425,36.259,36.121
122,16384,GET,true,8.659,19.886,20.309
123,294912,GET,true,56.448,19.568,19.245
124,3000,GET,true,4.741,20.027,19.349
125,2820,GET,true,4.61,18.651,18.175
126,32768,GET,true,10.376,19.22,18.916
127,2628,GET,true,4.884,19.813,20.287
128,2949120,GET,true,457.42,19.327,19.426
129,7476,GET,true,6.402,18.75,19.277
130,2785280,GET,true,432.488,19.403,21.051
131,2060,GET,true,4.579,18.949,18.915
132,2628,GET,true,4.402,19.343,18.643
133,2628,GET,true,4.805,20.574,19.598
134,3024,GET,true,4.942,19.422,19.533
135,1332,GET,true,3.926,19.009,19.653
136,2628,GET,true,4.74,20.212,19.431
137,1772,GET,true,4.252,19.49,19.928
138,2228224,PUT,false,1040.983,39.684,20.323
139,3784,GET,true,6.103,18.539,20.525
140,2628,GET,true,5.743,31.919,33.323
141,54394880,GET,true,8341.579,20.615,20.663
142,2628,GET,true,5.257,19.389,19.296
143,12656,PUT,false,25.223,34.911,32.876
144,1152,GET,true,4.766,23.464,22.54
145,2628,GET,true,4.521,21.198,19.759
146,65536,GET,true,15.649,38.922,32.656
147,4448,GET,true,5.602,21.926,21.612
148,1332,GET,true,4.243,19.41,20.467
149,1900,GET,true,4.508,20.488,19.46
150,16384,GET,true,8.366,19.63,19.385
151,17743872,GET,true,2723.765,19.639,19.532
152,8004,GET,true,7.05,19.868,19.768
153,2628,GET,true,4.459,20.589,19.783
154,2144,GET,true,4.37,19.163,18.7
155,3256,GET,true,5.063,19.596,18.636
156,6908,GET,true,5.746,19.129,19.712
157,5236,GET,true,5.566,19.539,26.959
158,196608,GET,true,39.026,18.733,33.115
159,2628,GET,true,4.102,20.228,17.935
160,1916928,GET,true,299.588,34.318,31.317
161,16384,GET,true,7.617,21.202,27.249
162,54394880,GET,true,8351.885,19.329,18.166
163,1772,GET,true,5.285,34.472,29.374
164,8004,GET,true,6.509,48.359,20.084
165,2628,GET,true,4.467,22.354,18.924
166,1584,GET,true,4.343,19.269,18.405
167,2604,GET,true,4.906,21.134,17.949
168,9576,GET,true,6.227,19.543,17.577
169,1772,GET,true,3.908,18.235,17.554
170,2344,GET,true,4.774,21.077,18.248
171,2420,GET,true,5.414,33.042,31.571
172,147456,GET,true,31.594,22.087,20.103
173,671744,GET,true,119.476,21.068,18.977
174,65536,GET,true,15.595,19.358,18.241
175,196608,GET,true,41.996,18.338,18.403
176,2628,GET,true,4.709,19.572,19.028
177,3376,GET,true,4.691,19.102,18.485
178,2344,GET,true,4.899,18.927,18.21
179,2628,GET,true,4.49,19.315,18.213
180,2424,GET,true,4.725,18.778,18.222
181,26443776,GET,true,4058.398,20.058,17.9
182,32768,GET,true,9.982,33.458,31.136
183,3416,GET,true,5.215,20.58,19.766
184,7028736,GET,true,1081.405,19.695,18.581
185,5184,GET,true,6.173,19.813,18.884
186,1064960,GET,true,194.946,21.683,19.103
187,9576,GET,true,6.665,29.954,19.0
188,1980,GET,true,4.212,19.715,18.0
189,10764288,GET,true,1674.02,21.791,17.656
190,2828,GET,true,5.19,19.601,18.899
191,65536,GET,true,15.919,20.57,19.037
192,5184,GET,true,5.765,20.071,18.512
193,2344,GET,true,4.958,18.708,18.181
194,1964,GET,true,4.479,19.997,17.355
195,7476,GET,true,5.969,19.222,18.255
196,15269888,GET,true,2344.517,18.868,18.015
197,1028,GET,true,4.624,19.196,17.895
198,1720,PUT,false,31.262,19.494,18.116
199,7946240,GET,true,1245.568,20.036,18.124
200,2212,GET,true,4.705,18.777,18.904
201,2628,GET,true,4.942,18.21,27.944
202,16384,GET,true,8.442,19.742,21.519
203,2628,GET,true,4.791,20.492,18.804
204,2628,GET,true,4.37,19.902,18.37
205,1116,GET,true,4.316,19.731,19.108
206,6992,GET,true,5.486,20.163,19.396
207,2628,GET,true,4.493,19.72,18.232
208,2420,GET,true,5.461,21.005,18.095
209,2195456,GET,true,343.073,20.788,17.878
210,65536,GET,true,16.269,19.637,17.71
211,1236,GET,true,4.148,20.51,19.65
212,16384,GET,true,7.755,18.722,19.661
213,5390336,PUT,false,2575.241,20.982,18.653
214,1988,GET,true,4.969,21.738,18.51
215,2628,GET,true,4.57,19.808,19.25
216,16384,GET,true,7.519,20.232,18.858
217,10368,GET,true,6.032,18.782,19.567
218,16384,GET,true,6.52,18.107,18.115
219,2097152,GET,true,326.476,19.945,18.071
220,671744,PUT,false,339.039,19.02,18.405
221,358039552,GET,true,54868.333,18.679,17.697
222,2628,GET,true,6.686,19.717,19.568
223,16384,GET,true,8.757,20.013,18.399
224,1156,GET,true,4.009,19.403,17.9
225,10764288,GET,true,1671.226,18.993,17.495
226,12284,GET,true,7.008,19.436,18.957
227,2012,GET,true,4.202,36.431,31.346
228,12284,GET,true,6.492,21.762,19.208
229,1040,GET,true,4.029,19.396,18.297
230,4964352,GET,true,782.562,18.926,18.499
231,1720,PUT,false,52.597,22.864,19.779
232,3024,GET,true,4.955,21.179,18.768
233,1116,GET,true,3.931,19.63,18.048
234,3342336,GET,true,518.318,20.134,18.625
235,10320,PUT,false,27.68,19.314,37.493
236,1916928,GET,true,302.882,20.146,18.304
237,16187392,GET,true,2487.353,18.245,17.597
238,2310144,GET,true,360.382,18.358,17.769
239,12156,GET,true,7.294,18.403,17.855
240,88768512,GET,true,13619.49,18.192,17.753
241,12156,GET,true,7.027,18.17,17.45
242,6720,PUT,false,29.866,17.906,17.883
243,12284,GET,true,6.715,19.842,18.15
244,4392,GET,true,6.195,20.108,19.15
245,589824,GET,true,109.316,35.264,30.961
246,16384,GET,true,7.307,20.799,25.726
247,32768,GET,true,10.002,19.728,19.143
248,1720,GET,true,4.508,20.309,18.738
249,182452224,GET,true,27951.318,19.033,17.876
250,16384,GET,true,7.601,20.641,17.867
251,16187392,GET,true,2486.729,19.39,17.903
252,2628,GET,true,5.002,18.514,17.497
253,2632,GET,true,5.765,17.855,17.765
254,12284,GET,true,6.422,20.075,18.528
255,11500,GET,true,7.156,19.34,17.654
256,9388032,GET,true,1462.064,20.346,19.014
257,10272768,GET,true,1579.755,20.139,17.32
258,10272768,GET,true,1579.166,19.368,18.731
259,2628,GET,true,4.599,18.1,17.687
260,2420,GET,true,4.636,19.837,18.08
261,2420,GET,true,4.941,19.871,17.987
262,6000,GET,true,5.731,18.581,17.765
263,4833280,GET,true,746.593,18.937,24.098
264,3768320,GET,true,598.992,18.006,17.306
265,1040,GET,true,3.903,18.698,17.97
266,4088,GET,true,5.911,34.768,32.164
267,6728,PUT,false,33.532,20.832,18.683
268,2804,GET,true,5.832,22.699,20.388
269,357416960,GET,true,54767.572,19.648,18.637
270,2420,GET,true,6.674,20.655,20.023
271,1780,PUT,false,34.907,19.51,19.025
272,12156,GET,true,7.906,19.021,18.352
273,2340,GET,true,4.85,22.261,19.669
274,1152,GET,true,4.063,19.332,18.142
275,2628,GET,true,5.257,19.083,18.024
276,1576,GET,true,4.408,23.143,17.665
277,2260,GET,true,4.748,20.834,17.67
278,15548416,GET,true,2391.446,19.153,17.599
279,3342336,GET,true,518.378,19.127,18.264
280,1064960,GET,true,194.864,20.399,18.565
281,2996,GET,true,4.944,21.86,19.237
282,3652,PUT,false,25.633,33.243,30.393
283,17743872,GET,true,2723.553,19.586,18.793
284,3784,GET,true,5.364,20.846,18.341
285,4572,GET,true,5.587,18.683,17.834
286,3000,GET,true,4.848,19.929,20.508
287,1568,GET,true,4.283,18.691,17.28
288,7456,GET,true,5.779,18.655,17.94
289,4592,GET,true,5.057,20.254,19.438
290,1372,GET,true,3.849,18.679,19.397
291,13565952,GET,true,2089.893,19.323,18.135
292,1900,GET,true,4.961,20.045,24.521
293,2260,GET,true,4.697,18.708,18.448
294,819200,GET,true,148.407,19.285,18.147
295,671744,GET,true,123.457,17.953,17.242
296,2404,GET,true,4.706,18.209,17.758
297,26918912,GET,true,4129.244,20.393,18.488
298,6376,PUT,false,27.15,21.956,17.993
299,9240576,GET,true,1447.545,20.089,18.16
300,2310144,GET,true,359.77,20.005,18.838
301,1332,GET,true,4.389,20.239,18.976
302,1116,GET,true,4.339,19.271,18.472
303,9240576,PUT,false,4566.941,19.04,17.548
304,294912,GET,true,56.453,21.767,19.19
305,16384,GET,true,7.51,19.643,17.87
306,819200,GET,true,148.26,18.761,18.441
307,1900544,GET,true,296.836,19.14,18.334
308,4092,GET,true,5.864,19.35,17.977
309,52412416,GET,true,8033.437,18.567,17.411
310,12156,GET,true,7.702,18.663,18.323
311,170737664,PUT,false,89252.404,19.193,17.83
312,2080768,GET,true,324.603,18.556,17.77
313,9544,GET,true,6.075,19.956,17.442
314,3652,GET,true,5.287,20.403,18.66
315,1980,GET,true,5.11,19.134,17.873
316,1916928,GET,true,298.806,19.578,17.984
317,170737664,GET,true,26157.931,18.837,17.565
318,1966080,GET,true,359.253,18.996,18.011
319,2628,GET,true,4.974,19.391,17.674
320,12156,GET,true,6.474,18.945,17.632
321,2310144,GET,true,359.778,19.089,17.88
322,52412416,GET,true,8032.946,25.357,18.044
323,3784,GET,true,5.588,19.426,17.301
324,2628,GET,true,4.798,19.426,17.643
325,2604,GET,true,4.782,18.441,17.581
326,2828,GET,true,4.492,18.643,17.834
327,1128,GET,true,3.975,18.855,17.541
328,294912,GET,true,56.291,20.423,18.301
329,2628,GET,true,4.36,19.123,18.067
330,671744,GET,true,123.913,18.637,20.238
331,17743872,GET,true,2723.306,18.806,18.361
332,4960,GET,true,5.834,19.969,18.693
333,5560,GET,true,5.379,19.502,21.928
334,3784,GET,true,5.092,20.13,19.208
335,3342336,GET,true,517.549,19.949,18.432
336,2628,GET,true,4.269,19.21,18.913
337,12284,GET,true,6.295,18.692,17.723
338,1584,GET,true,4.424,18.564,18.122
339,2996,GET,true,4.835,32.215,18.802
340,6308,GET,true,5.693,18.539,30.276
341,14663680,GET,true,2255.242,19.299,19.101
342,1376256,GET,true,236.493,19.873,18.37
343,16384,GET,true,6.845,19.006,18.543
344,6708,GET,true,6.607,18.713,18.816
345,2628,GET,true,5.295,19.847,17.492
346,4960,GET,true,5.738,19.57,17.884
347,1584,GET,true,4.444,20.573,18.521
348,1352,GET,true,4.372,19.84,18.651
349,1364,GET,true,3.874,18.817,18.071
350,65536,GET,true,16.603,19.53,18.111
351,6916,GET,true,6.163,18.625,17.337
352,54394880,GET,true,8353.402,18.712,17.918
353,4960,GET,true,6.137,18.969,18.915
354,1152,GET,true,4.398,18.753,18.68
355,4960,GET,true,5.36,18.356,17.68
356,7476,GET,true,5.995,20.267,19.064
357,3000,GET,true,5.189,21.004,17.803
358,1336,GET,true,3.842,18.57,17.561
359,6788,GET,true,5.998,19.918,18.44
360,4960,GET,true,4.652,18.345,18.117
361,2628,GET,true,4.737,21.256,17.911
362,2832,GET,true,4.856,21.99,18.625
363,16384,GET,true,7.676,20.022,19.263
364,1372,GET,true,4.148,18.566,18.631
365,1332,GET,true,3.969,19.118,18.272
366,16154624,GET,true,2480.655,18.066,17.839
367,54394880,GET,true,8337.023,18.764,18.374
368,1772,GET,true,4.469,27.867,18.489
369,12156,GET,true,7.295,20.94,18.703
370,7344,PUT,false,12.153,20.123,19.067
371,3240,GET,true,6.022,18.819,17.969
372,2628,GET,true,4.399,19.365,17.843
373,11059200,PUT,false,5580.18,18.828,18.115
374,2404,GET,true,5.154,19.964,18.791
375,12156,GET,true,6.812,20.234,18.543
376,3228,GET,true,5.359,18.986,17.695
377,51478528,GET,true,7905.446,19.28,17.77
378,1332,GET,true,4.516,35.823,32.425
379,54394880,GET,true,8337.21,22.887,19.646
380,54394880,GET,true,8355.968,19.669,18.317
381,16384,GET,true,7.48,19.751,19.731
382,1064960,GET,true,186.38,19.056,17.657
383,557056,GET,true,103.811,20.365,18.516
384,52412416,GET,true,8036.049,19.579,17.916
385,20316160,GET,true,3136.625,18.839,17.421
386,12284,GET,true,7.85,18.926,17.173
387,30720000,GET,true,4732.006,19.27,24.165
