No,Size,Type,IsDegradeRead,replicas,nativeec,microec
0,2612,GET,true,6.831,19.34,40.476
1,65536,GET,true,17.061,27.447,28.365
2,2981888,GET,true,463.874,919.219,11006.11
3,131072,GET,true,28.102,59.492,25777.213
4,1988,GET,true,5.449,21.582,20.652
5,2628,GET,true,6.43,18.97,16.373
6,124403712,GET,true,19068.797,38729.806,24926.495
7,606208,GET,true,112.191,241.135,145.014
8,10508,GET,true,7.333,63.074,28.33
9,294912,GET,true,58.62,168.132,111.044
10,65536,GET,true,16.32,70.615,26.865
11,28737536,PUT,false,14205.513,16675.915,10184.143
12,22052864,GET,true,3388.886,7663.463,3729.049
13,65699840,GET,true,10074.192,24161.903,13676.438
14,458752,GET,true,86.257,200.768,117.072
15,2628,GET,true,5.867,52.061,19.155
16,50413568,GET,true,7729.056,17157.067,9485.034
17,12284,GET,true,7.524,73.809,26.605
18,114688,GET,true,25.896,54.724,53.5
19,10508,GET,true,6.247,28.71,17.209
20,1015808,GET,true,186.001,308.663,220.006
21,458752,GET,true,87.25,217.817,114.865
22,49152,GET,true,13.704,72.377,25.431
23,32768,GET,true,10.37,31.195,22.064
24,114688,GET,true,26.201,46.463,30.186
25,16384,GET,true,7.156,25.331,17.802
26,2628,GET,true,5.946,21.716,18.396
27,16384,GET,true,8.473,43.468,19.375
28,1912,GET,true,5.06,23.85,34.727
29,753664,GET,true,136.933,291.163,183.002
30,2628,GET,true,4.629,57.058,16.637
31,5648,GET,true,5.642,30.364,17.846
32,3044,GET,true,5.113,22.901,16.156
33,16384,GET,true,8.738,24.382,16.578
34,9308,PUT,false,18.657,47.096,55.664
35,10576,GET,true,6.335,25.94,20.652
36,8156,GET,true,6.821,22.728,19.638
37,2192,GET,true,4.761,22.011,14.496
38,12284,GET,true,6.173,21.94,14.419
39,2144,GET,true,5.45,20.637,29.55
40,1364,GET,true,4.607,21.711,15.107
41,2344,GET,true,4.241,20.769,14.324
42,2608,GET,true,5.298,21.859,17.914
43,3040,PUT,false,16.754,32.496,40.53
44,7328,PUT,false,15.685,29.97,27.57
45,2628,GET,true,5.486,23.28,15.103
46,2608,GET,true,4.214,19.528,12.028
47,147456,GET,true,30.973,66.57,67.295
48,2536,GET,true,5.305,24.001,44.781
