Size,Type,IsDegradeRead,NativeecTimes,MicroecTimes
1028,GET,False,2.83,2.07
1028,GET,True,10.54,3.79
1028,GET,False,2.92,2.51
1032,GET,False,3.31,2.28
1032,GET,False,7.46,3.98
1032,GET,True,12.81,3.89
1036,GET,True,10.36,5.49
1040,GET,False,3.45,3.45
1044,GET,False,3.03,2.23
1060,GET,True,5.91,3.98
1068,GET,False,4.4,2.25
1068,GET,True,7.0,4.01
1076,GET,True,12.26,2.87
1076,GET,True,4.17,3.38
1080,GET,False,3.18,2.35
1080,GET,False,3.97,2.43
1088,GET,False,2.86,2.13
1128,GET,False,3.1,2.06
1128,GET,True,10.35,3.48
1128,GET,False,6.92,2.34
1128,GET,True,5.86,4.34
1128,GET,True,5.83,3.28
1128,GET,False,3.59,2.67
1128,GET,False,3.6,2.32
1128,GET,False,3.43,2.66
1132,GET,True,3.48,2.67
1132,GET,False,4.83,4.24
1132,GET,True,5.46,3.51
1132,GET,True,9.69,7.11
1132,GET,True,4.22,3.08
1132,GET,True,11.72,6.12
1132,GET,True,5.9,3.94
1132,GET,True,4.34,2.72
1132,GET,False,5.14,5.68
1132,GET,True,3.88,3.02
1132,GET,False,5.32,2.66
1132,GET,False,2.4,1.85
1132,GET,True,5.67,4.17
1132,GET,False,6.39,2.77
1132,GET,False,4.31,2.41
1132,GET,True,4.57,3.06
1132,GET,False,6.13,2.28
1132,GET,False,8.08,3.51
1132,GET,True,4.15,2.81
1132,GET,False,3.08,1.74
1132,GET,True,3.79,3.56
1132,GET,True,3.81,3.63
1132,GET,True,4.23,2.33
1132,GET,True,5.49,3.77
1132,GET,True,4.21,3.72
1132,GET,True,17.05,4.34
1132,GET,False,3.74,1.95
1132,GET,True,8.39,3.19
1132,PUT,False,5.19,2.65
1132,GET,False,6.36,3.4
1132,GET,False,8.92,2.0
1132,GET,True,5.04,3.65
1132,GET,False,3.53,3.19
1132,GET,True,10.5,4.13
1132,PUT,False,6.81,2.85
1132,PUT,False,3.49,2.4
1132,PUT,False,7.42,7.57
1132,GET,False,3.64,2.62
