No,Size,Type,IsDegradeRead,replicas,nativeec,microec,NativeecTimes,MicroecTimes
4992,1024,GET,True,5.233,54.443,15.919,10.4,3.04
6310,1024,GET,True,4.652,20.803,15.98,4.47,3.44
5502,1024,GET,True,4.466,49.857,14.861,11.16,3.33
7029,1024,GET,True,4.637,18.917,13.821,4.08,2.98
9188,1028,GET,True,4.712,51.892,12.833,11.01,2.72
10083,1028,GET,True,4.823,47.829,19.723,9.92,4.09
197,1028,GET,True,4.624,49.512,14.33,10.71,3.1
10542,1028,GET,True,4.668,21.403,14.803,4.59,3.17
4914,1028,GET,True,4.242,27.433,24.973,6.47,5.89
9106,1032,GET,True,4.945,21.874,11.585,4.42,2.34
8770,1032,GET,True,4.25,52.435,17.322,12.34,4.08
8793,1036,GET,True,4.856,54.796,31.368,11.28,6.46
626,1040,GET,True,3.684,24.617,14.448,6.68,3.92
229,1040,GET,True,4.029,24.714,11.636,6.13,2.89
8509,1040,GET,True,4.352,21.35,14.51,4.91,3.33
1489,1040,GET,True,4.16,19.29,10.782,4.64,2.59
2022,1040,GET,True,3.894,19.831,12.91,5.09,3.32
2416,1040,GET,True,3.806,25.724,12.367,6.76,3.25
1149,1040,GET,True,4.034,28.016,14.316,6.94,3.55
265,1040,GET,True,3.903,50.719,14.939,12.99,3.83
9811,1044,GET,True,4.345,42.416,15.089,9.76,3.47
9457,1060,GET,True,5.189,22.971,14.961,4.43,2.88
5909,1064,GET,True,4.576,28.509,18.53,6.23,4.05
5056,1064,GET,True,5.236,45.626,17.18,8.71,3.28
2425,1064,GET,True,4.002,48.366,13.327,12.09,3.33
7778,1064,GET,True,4.486,34.264,16.147,7.64,3.6
8593,1068,GET,True,4.742,25.47,13.172,5.37,2.78
1722,1068,GET,True,4.221,20.42,15.19,4.84,3.6
4861,1068,GET,True,4.505,29.542,13.635,6.56,3.03
6537,1072,GET,True,6.164,24.028,18.017,3.9,2.92
6601,1076,GET,True,5.439,32.53,16.875,5.98,3.1
10845,1076,GET,True,4.449,20.396,11.713,4.58,2.63
10301,1076,GET,True,4.5,30.821,15.718,6.85,3.49
10626,1080,GET,True,4.152,18.862,15.819,4.54,3.81
4063,1080,GET,True,4.718,25.012,13.596,5.3,2.88
8327,1080,GET,True,4.609,27.089,15.755,5.88,3.42
10510,1088,GET,True,4.582,44.952,14.818,9.81,3.23
6772,1088,GET,True,5.376,46.371,20.42,8.63,3.8
3526,1088,GET,True,4.629,36.47,17.528,7.88,3.79
5420,1096,GET,True,4.505,29.288,17.681,6.5,3.92
3801,1108,GET,True,6.603,30.473,12.962,4.62,1.96
1009,1116,GET,True,4.354,22.722,12.518,5.22,2.88
1036,1116,GET,True,4.349,19.856,11.525,4.57,2.65
818,1116,GET,True,3.707,43.484,13.662,11.73,3.69
1203,1116,GET,True,3.933,24.411,13.934,6.21,3.54
1940,1116,GET,True,3.971,19.675,11.507,4.95,2.9
27,1116,GET,True,4.756,38.676,15.194,8.13,3.19
2708,1116,GET,True,3.59,23.361,13.009,6.51,3.62
504,1116,GET,True,3.887,25.662,14.077,6.6,3.62
1138,1116,GET,True,4.069,23.748,14.219,5.84,3.49
1021,1116,GET,True,4.703,47.143,16.67,10.02,3.54
1971,1116,GET,True,4.479,23.633,13.852,5.28,3.09
2976,1116,GET,True,3.832,25.922,13.402,6.76,3.5
205,1116,GET,True,4.316,18.244,12.242,4.23,2.84
947,1116,GET,True,4.418,27.754,11.855,6.28,2.68
1092,1116,GET,True,4.342,45.74,15.604,10.53,3.59
233,1116,GET,True,3.931,26.087,11.816,6.64,3.01
302,1116,GET,True,4.339,26.908,12.079,6.2,2.78
5113,1120,GET,True,4.333,38.971,14.174,8.99,3.27
5076,1124,GET,True,5.015,34.447,14.516,6.87,2.89
2461,1128,GET,True,4.196,48.343,15.574,11.52,3.71
1478,1128,GET,True,3.884,29.654,15.082,7.63,3.88
9008,1128,GET,True,3.878,27.481,14.434,7.09,3.72
1331,1128,GET,True,4.385,21.866,16.925,4.99,3.86
9971,1128,GET,True,4.637,21.21,11.851,4.57,2.56
9480,1128,GET,True,4.632,54.433,21.811,11.75,4.71
1261,1128,GET,True,4.642,23.004,12.628,4.96,2.72
6315,1128,GET,True,4.866,18.884,17.554,3.88,3.61
8601,1128,GET,True,4.572,51.365,14.877,11.23,3.25
2064,1128,GET,True,3.807,24.497,23.42,6.43,6.15
422,1128,GET,True,3.875,27.667,12.51,7.14,3.23
5046,1128,GET,True,4.511,37.704,12.274,8.36,2.72
8585,1128,GET,True,3.982,19.356,12.645,4.86,3.18
3470,1128,GET,True,3.924,28.62,13.754,7.29,3.51
1876,1128,GET,True,3.778,20.149,12.617,5.33,3.34
89,1128,GET,True,3.602,24.749,12.018,6.87,3.34
2687,1128,GET,True,3.87,39.687,14.606,10.26,3.77
8537,1128,GET,True,3.594,23.92,15.932,6.66,4.43
1985,1128,GET,True,4.462,48.165,14.892,10.79,3.34
571,1128,GET,True,4.741,45.062,13.881,9.5,2.93
327,1128,GET,True,3.975,24.069,11.32,6.06,2.85
3834,1128,GET,True,4.411,47.915,17.561,10.86,3.98
1473,1128,GET,True,4.076,31.309,14.782,7.68,3.63
10550,1128,GET,True,4.578,21.674,12.76,4.73,2.79
1595,1128,GET,True,3.69,23.267,11.476,6.31,3.11
7631,1128,GET,True,4.215,54.966,10.335,13.04,2.45
7621,1128,GET,True,4.097,39.893,14.254,9.74,3.48
8488,1128,GET,True,4.436,48.173,19.228,10.86,4.33
2936,1128,GET,True,4.408,18.844,13.643,4.27,3.1
9754,1132,GET,True,4.947,20.133,11.726,4.07,2.37
4745,1132,GET,True,4.305,34.019,18.562,7.9,4.31
6103,1132,GET,True,4.746,26.609,16.384,5.61,3.45
9203,1132,GET,True,4.373,20.435,12.89,4.67,2.95
10832,1132,PUT,False,9.535,57.949,26.077,6.08,2.73
9575,1132,GET,True,4.196,42.728,17.408,10.18,4.15
10371,1132,GET,True,4.172,20.425,15.743,4.9,3.77
10150,1132,GET,True,4.156,21.163,12.958,5.09,3.12
9879,1132,GET,True,3.86,23.405,14.395,6.06,3.73
10764,1132,GET,True,4.403,52.517,15.793,11.93,3.59
9502,1132,GET,True,4.601,23.154,13.603,5.03,2.96
8207,1132,GET,True,4.266,21.532,16.094,5.05,3.77
10675,1132,GET,True,3.887,20.462,14.615,5.26,3.76
9382,1132,GET,True,4.394,35.778,13.8,8.14,3.14
9532,1132,GET,True,4.154,25.063,15.428,6.03,3.71
9335,1132,GET,True,4.739,31.724,16.362,6.69,3.45
3154,1132,GET,True,4.656,53.378,18.425,11.46,3.96
8541,1132,PUT,False,14.747,35.137,25.948,2.38,1.76
8471,1132,PUT,False,15.969,46.602,27.193,2.92,1.7
5079,1132,GET,True,4.895,60.526,14.723,12.36,3.01
9684,1132,GET,True,5.246,24.042,13.494,4.58,2.57
10916,1132,GET,True,3.202,19.316,9.613,6.03,3.0
8788,1132,GET,True,4.396,27.164,12.432,6.18,2.83
7556,1132,GET,True,4.539,24.443,21.18,5.39,4.67
9311,1132,GET,True,4.426,23.481,14.893,5.31,3.36
9213,1132,GET,True,3.933,33.179,14.245,8.44,3.62
9496,1132,GET,True,4.069,25.232,14.251,6.2,3.5
9685,1132,GET,True,4.44,21.151,12.717,4.76,2.86
