Size,Type,IsDegradeRead,NativeecTimes,MicroecTimes
1024,GET,True,4.08,2.98
1024,GET,True,10.4,3.04
1024,GET,True,4.47,3.44
1028,GET,True,10.71,3.1
1028,GET,True,4.59,3.17
1032,GET,True,4.42,2.34
1040,GET,True,4.91,3.33
1040,GET,True,6.76,3.25
1040,GET,True,6.13,2.89
1040,GET,True,5.09,3.32
1040,GET,True,6.68,3.92
1040,GET,True,4.64,2.59
1040,GET,True,6.94,3.55
1044,GET,True,9.76,3.47
1060,GET,True,4.43,2.88
1064,GET,True,7.64,3.6
1064,GET,True,8.71,3.28
1068,GET,True,6.56,3.03
1068,GET,True,4.84,3.6
1068,GET,True,5.37,2.78
1072,GET,True,3.9,2.92
1076,GET,True,4.58,2.63
1076,GET,True,5.98,3.1
1076,GET,True,6.85,3.49
1080,GET,True,5.3,2.88
1080,GET,True,4.54,3.81
1080,GET,True,5.88,3.42
1088,GET,True,8.63,3.8
1088,GET,True,9.81,3.23
1088,GET,True,7.88,3.79
1096,GET,True,6.5,3.92
1108,GET,True,4.62,1.96
1116,GET,True,5.28,3.09
1116,GET,True,6.6,3.62
1116,GET,True,6.76,3.5
1116,GET,True,6.28,2.68
1116,GET,True,6.51,3.62
1116,GET,True,8.13,3.19
1116,GET,True,4.23,2.84
1116,GET,True,6.64,3.01
1116,GET,True,4.95,2.9
1116,GET,True,10.53,3.59
1116,GET,True,5.22,2.88
1116,GET,True,4.57,2.65
1116,GET,True,10.02,3.54
1116,GET,True,5.84,3.49
1116,GET,True,6.2,2.78
1116,GET,True,6.21,3.54
1120,GET,True,8.99,3.27
1124,GET,True,6.87,2.89
1128,GET,True,6.06,2.85
1128,GET,True,4.86,3.18
1128,GET,True,10.26,3.77
1128,GET,True,8.36,2.72
1128,GET,True,7.29,3.51
1128,GET,True,6.31,3.11
1128,GET,True,7.68,3.63
1128,GET,True,4.27,3.1
1128,GET,True,7.14,3.23
1128,GET,True,4.57,2.56
1128,GET,True,3.88,3.61
1128,GET,True,4.99,3.86
1128,GET,True,4.73,2.79
1128,GET,True,4.96,2.72
1128,GET,True,5.33,3.34
1128,GET,True,9.5,2.93
1128,GET,True,6.87,3.34
1128,GET,True,7.63,3.88
1128,GET,True,7.09,3.72
1128,GET,True,9.74,3.48
1128,GET,True,10.79,3.34
1132,PUT,False,6.08,2.73
1132,GET,True,4.68,3.32
1132,GET,True,5.26,3.76
1132,GET,True,4.58,2.57
1132,GET,True,8.44,3.62
1132,PUT,False,4.3,1.99
1132,GET,True,6.2,3.5
1132,GET,True,5.2,3.91
1132,GET,True,5.31,3.36
1132,GET,True,4.9,3.77
1132,GET,True,4.07,2.37
1132,GET,True,3.95,2.81
1132,GET,True,5.05,3.77
1132,GET,True,6.18,2.83
1132,GET,True,6.03,3.0
1132,GET,True,4.88,3.37
1132,GET,True,5.7,3.51
1132,GET,True,5.61,3.45
1132,GET,True,6.69,3.45
1132,GET,True,8.69,3.14
1132,GET,True,6.44,3.67
1132,PUT,False,2.38,1.76
1132,GET,True,8.14,3.14
1132,GET,True,4.76,2.86
1132,GET,True,6.06,3.73
1132,PUT,False,2.92,1.7
1132,GET,True,5.3,3.27
1132,GET,True,5.03,2.96
1132,GET,True,6.03,3.71
1132,GET,True,4.67,2.95
1132,GET,True,5.09,3.12
1136,GET,True,5.47,3.31
1144,GET,True,7.97,3.42
1144,GET,True,10.01,3.31
1148,GET,True,7.27,3.63
1148,GET,True,5.01,3.53
1148,GET,True,6.38,2.6
1152,GET,True,4.21,3.31
