Size,Type,IsDegradeRead,NativeecTimes,MicroecTimes
1024,GET,True,10.4,3.04
1024,GET,True,4.47,3.44
1024,GET,True,11.16,3.33
1024,GET,True,4.08,2.98
1028,GET,True,11.01,2.72
1028,GET,True,4.59,3.17
1028,GET,True,9.92,4.09
1028,GET,True,6.47,5.89
1028,GET,True,10.71,3.1
1032,GET,True,19.23,3.03
1032,GET,True,12.34,4.08
1032,GET,True,4.42,2.34
1036,GET,True,11.28,6.46
1040,GET,True,12.99,3.83
1040,GET,True,6.76,3.25
1040,GET,True,14.79,3.99
1040,GET,True,6.13,2.89
1040,GET,True,6.94,3.55
1040,GET,True,5.09,3.32
1040,GET,True,4.91,3.33
1040,GET,True,4.64,2.59
1040,GET,True,6.68,3.92
1044,GET,True,9.76,3.47
1060,GET,True,4.43,2.88
1064,GET,True,16.25,7.39
1064,GET,True,7.64,3.6
1064,GET,True,6.23,4.05
1064,GET,True,12.09,3.33
1064,GET,True,8.71,3.28
1068,GET,True,15.93,11.33
1068,GET,True,4.84,3.6
1068,GET,True,13.6,16.67
1068,GET,True,6.56,3.03
1068,GET,True,5.37,2.78
1072,GET,True,3.9,2.92
1076,GET,True,4.58,2.63
1076,GET,True,5.98,3.1
1076,GET,True,6.85,3.49
1080,GET,True,5.88,3.42
1080,GET,True,5.3,2.88
1080,GET,True,4.54,3.81
1088,GET,True,9.81,3.23
1088,GET,True,8.63,3.8
1088,GET,True,7.88,3.79
1096,GET,True,6.5,3.92
1108,GET,True,4.62,1.96
1116,GET,True,5.22,2.88
1116,GET,True,14.48,4.07
1116,GET,True,4.23,2.84
1116,GET,True,11.73,3.69
1116,GET,True,6.28,2.68
1116,GET,True,5.84,3.49
1116,GET,True,6.76,3.5
1116,GET,True,19.29,6.26
1116,GET,True,5.28,3.09
1116,GET,True,6.6,3.62
1116,GET,True,16.27,3.39
1116,GET,True,13.28,3.71
1116,GET,True,6.2,2.78
1116,GET,True,8.13,3.19
1116,GET,True,6.21,3.54
1116,GET,True,10.02,3.54
1116,GET,True,4.95,2.9
1116,GET,True,16.11,9.68
1116,GET,True,20.95,3.71
1116,GET,True,10.53,3.59
1116,GET,True,6.51,3.62
1116,GET,True,6.64,3.01
1116,GET,True,4.57,2.65
1120,GET,True,8.99,3.27
1120,GET,True,18.57,4.87
1124,GET,True,6.87,2.89
1128,GET,True,7.95,152.18
1128,GET,True,11.52,3.71
1128,GET,True,15.43,3.98
