degradeReadErasureCoding, filename /tmp262144eccache.dat, loop 1000
MicroEC Coding Ready

/tmp262144eccache.dat is a ReplicasFile!
starting benchmark...
ops 1000
final loop (us) 88.104
Loop 0 (us) 83.7
Loop 1 (us) 112.702
Loop 2 (us) 97.518
Loop 3 (us) 91.186
Loop 4 (us) 128.664
Loop 5 (us) 102.765
Loop 6 (us) 82.962
Loop 7 (us) 76.903
Loop 8 (us) 113.073
Loop 9 (us) 102.71
Loop 10 (us) 91.406
Loop 11 (us) 90.305
Loop 12 (us) 117.825
Loop 13 (us) 114.013
Loop 14 (us) 105.646
Loop 15 (us) 104.141
Loop 16 (us) 103.903
Loop 17 (us) 91.413
Loop 18 (us) 91.626
Loop 19 (us) 82.772
Loop 20 (us) 114.467
Loop 21 (us) 113.538
Loop 22 (us) 119.673
Loop 23 (us) 98.278
Loop 24 (us) 91.005
Loop 25 (us) 118.267
Loop 26 (us) 105.708
Loop 27 (us) 91.364
Loop 28 (us) 118.343
Loop 29 (us) 96.392
Loop 30 (us) 82.357
Loop 31 (us) 111.429
Loop 32 (us) 111.281
Loop 33 (us) 105.852
Loop 34 (us) 92.995
Loop 35 (us) 117.791
Loop 36 (us) 104.114
Loop 37 (us) 91.329
Loop 38 (us) 93.684
Loop 39 (us) 119.989
Loop 40 (us) 110.884
Loop 41 (us) 101.722
Loop 42 (us) 90.952
Loop 43 (us) 91.402
Loop 44 (us) 90.831
Loop 45 (us) 118.077
Loop 46 (us) 96.224
Loop 47 (us) 118.124
Loop 48 (us) 103.056
Loop 49 (us) 120.132
Loop 50 (us) 112.404
Loop 51 (us) 115.872
Loop 52 (us) 96.056
Loop 53 (us) 137.619
Loop 54 (us) 101.87
Loop 55 (us) 104.389
Loop 56 (us) 95.916
Loop 57 (us) 90.498
Loop 58 (us) 112.076
Loop 59 (us) 116.379
Loop 60 (us) 97.048
Loop 61 (us) 96.051
Loop 62 (us) 117.248
Loop 63 (us) 96.416
Loop 64 (us) 116.172
Loop 65 (us) 111.616
Loop 66 (us) 111.702
Loop 67 (us) 110.047
Loop 68 (us) 109.719
Loop 69 (us) 109.826
Loop 70 (us) 104.586
Loop 71 (us) 89.902
Loop 72 (us) 117.501
Loop 73 (us) 94.877
Loop 74 (us) 81.866
Loop 75 (us) 83.934
Loop 76 (us) 81.776
Loop 77 (us) 83.903
Loop 78 (us) 82.21
Loop 79 (us) 119.213
Loop 80 (us) 95.927
Loop 81 (us) 116.295
Loop 82 (us) 95.672
Loop 83 (us) 118.538
Loop 84 (us) 96.658
Loop 85 (us) 115.712
Loop 86 (us) 94.995
Loop 87 (us) 81.257
Loop 88 (us) 111.726
Loop 89 (us) 96.165
Loop 90 (us) 89.71
Loop 91 (us) 117.388
Loop 92 (us) 95.344
Loop 93 (us) 89.133
Loop 94 (us) 82.691
Loop 95 (us) 84.092
Loop 96 (us) 89.589
Loop 97 (us) 89.596
Loop 98 (us) 82.0
Loop 99 (us) 88.743
Loop 100 (us) 117.568
Loop 101 (us) 95.578
Loop 102 (us) 117.964
Loop 103 (us) 95.042
Loop 104 (us) 115.557
Loop 105 (us) 95.745
Loop 106 (us) 114.51
Loop 107 (us) 122.286
Loop 108 (us) 101.606
Loop 109 (us) 82.071
Loop 110 (us) 112.816
Loop 111 (us) 108.434
Loop 112 (us) 104.76
Loop 113 (us) 90.404
Loop 114 (us) 115.781
Loop 115 (us) 95.737
Loop 116 (us) 89.34
Loop 117 (us) 117.968
Loop 118 (us) 109.781
Loop 119 (us) 90.755
Loop 120 (us) 119.564
Loop 121 (us) 95.989
Loop 122 (us) 128.089
Loop 123 (us) 95.527
Loop 124 (us) 115.786
Loop 125 (us) 116.962
Loop 126 (us) 109.974
Loop 127 (us) 100.596
Loop 128 (us) 90.518
Loop 129 (us) 81.575
Loop 130 (us) 83.534
Loop 131 (us) 118.139
Loop 132 (us) 95.51
Loop 133 (us) 117.38
Loop 134 (us) 96.053
Loop 135 (us) 115.66
Loop 136 (us) 96.505
Loop 137 (us) 89.853
Loop 138 (us) 116.322
Loop 139 (us) 95.247
Loop 140 (us) 116.138
Loop 141 (us) 95.349
Loop 142 (us) 81.392
Loop 143 (us) 111.068
Loop 144 (us) 94.491
Loop 145 (us) 89.95
Loop 146 (us) 89.028
Loop 147 (us) 116.293
Loop 148 (us) 95.155
Loop 149 (us) 81.978
Loop 150 (us) 84.11
Loop 151 (us) 92.22
Loop 152 (us) 116.929
Loop 153 (us) 95.149
Loop 154 (us) 89.611
Loop 155 (us) 116.459
Loop 156 (us) 109.409
Loop 157 (us) 109.907
Loop 158 (us) 96.213
Loop 159 (us) 118.489
Loop 160 (us) 95.151
Loop 161 (us) 91.189
Loop 162 (us) 114.845
Loop 163 (us) 95.588
Loop 164 (us) 137.023
Loop 165 (us) 95.556
Loop 166 (us) 122.761
Loop 167 (us) 96.418
Loop 168 (us) 154.734
Loop 169 (us) 122.929
Loop 170 (us) 117.905
Loop 171 (us) 96.182
Loop 172 (us) 116.279
Loop 173 (us) 96.589
Loop 174 (us) 122.222
Loop 175 (us) 110.168
Loop 176 (us) 111.574
Loop 177 (us) 96.532
Loop 178 (us) 81.75
Loop 179 (us) 84.506
Loop 180 (us) 119.696
Loop 181 (us) 95.657
Loop 182 (us) 82.789
Loop 183 (us) 111.044
Loop 184 (us) 116.091
Loop 185 (us) 97.634
Loop 186 (us) 118.932
Loop 187 (us) 109.364
Loop 188 (us) 110.08
Loop 189 (us) 103.759
Loop 190 (us) 90.81
Loop 191 (us) 118.619
Loop 192 (us) 95.224
Loop 193 (us) 90.706
Loop 194 (us) 95.878
Loop 195 (us) 90.812
Loop 196 (us) 117.442
Loop 197 (us) 101.947
Loop 198 (us) 94.128
Loop 199 (us) 90.88
Loop 200 (us) 118.717
Loop 201 (us) 95.746
Loop 202 (us) 81.766
Loop 203 (us) 122.833
Loop 204 (us) 96.954
Loop 205 (us) 119.215
Loop 206 (us) 111.493
Loop 207 (us) 96.187
Loop 208 (us) 116.194
Loop 209 (us) 102.849
Loop 210 (us) 90.601
Loop 211 (us) 81.789
Loop 212 (us) 84.429
Loop 213 (us) 88.169
Loop 214 (us) 110.668
Loop 215 (us) 97.534
Loop 216 (us) 90.708
Loop 217 (us) 119.259
Loop 218 (us) 111.062
Loop 219 (us) 95.944
Loop 220 (us) 82.314
Loop 221 (us) 84.52
Loop 222 (us) 117.151
Loop 223 (us) 96.538
Loop 224 (us) 119.177
Loop 225 (us) 101.715
Loop 226 (us) 90.352
Loop 227 (us) 89.871
Loop 228 (us) 118.78
Loop 229 (us) 96.352
Loop 230 (us) 115.989
Loop 231 (us) 96.447
Loop 232 (us) 129.807
Loop 233 (us) 97.256
Loop 234 (us) 90.475
Loop 235 (us) 89.988
Loop 236 (us) 118.592
Loop 237 (us) 95.899
Loop 238 (us) 89.954
Loop 239 (us) 83.475
Loop 240 (us) 123.161
Loop 241 (us) 101.965
Loop 242 (us) 94.486
Loop 243 (us) 118.342
Loop 244 (us) 122.165
Loop 245 (us) 91.486
Loop 246 (us) 90.215
Loop 247 (us) 118.594
Loop 248 (us) 108.334
Loop 249 (us) 119.269
Loop 250 (us) 96.126
Loop 251 (us) 124.011
Loop 252 (us) 96.383
Loop 253 (us) 126.523
Loop 254 (us) 96.851
Loop 255 (us) 91.236
Loop 256 (us) 116.925
Loop 257 (us) 117.493
Loop 258 (us) 90.514
Loop 259 (us) 91.04
Loop 260 (us) 125.327
Loop 261 (us) 97.856
Loop 262 (us) 120.821
Loop 263 (us) 114.011
Loop 264 (us) 97.625
Loop 265 (us) 91.262
Loop 266 (us) 91.451
Loop 267 (us) 91.63
Loop 268 (us) 90.924
Loop 269 (us) 91.037
Loop 270 (us) 124.09
Loop 271 (us) 103.582
Loop 272 (us) 91.452
Loop 273 (us) 83.13
Loop 274 (us) 113.99
Loop 275 (us) 96.976
Loop 276 (us) 117.863
Loop 277 (us) 112.129
Loop 278 (us) 98.592
Loop 279 (us) 125.42
Loop 280 (us) 97.773
Loop 281 (us) 92.166
Loop 282 (us) 119.339
Loop 283 (us) 115.155
Loop 284 (us) 112.316
Loop 285 (us) 114.131
Loop 286 (us) 97.637
Loop 287 (us) 120.039
Loop 288 (us) 96.983
Loop 289 (us) 88.289
Loop 290 (us) 112.674
Loop 291 (us) 101.388
Loop 292 (us) 105.988
Loop 293 (us) 98.096
Loop 294 (us) 106.862
Loop 295 (us) 118.492
Loop 296 (us) 104.895
Loop 297 (us) 91.587
Loop 298 (us) 86.587
Loop 299 (us) 84.585
Loop 300 (us) 119.673
Loop 301 (us) 105.287
Loop 302 (us) 106.125
