degradeReadReplicas, filename /tmp262144replicas.dat, loop 1000
/tmp262144replicas.dat is a ReplicasFile!
starting benchmark...
ops 1000
final loop (us) 48.697
Loop 0 (us) 49.976
Loop 1 (us) 49.801
Loop 2 (us) 49.085
Loop 3 (us) 65.934
Loop 4 (us) 59.535
Loop 5 (us) 49.408
Loop 6 (us) 49.255
Loop 7 (us) 48.885
Loop 8 (us) 48.748
Loop 9 (us) 48.721
Loop 10 (us) 50.246
Loop 11 (us) 48.69
Loop 12 (us) 48.677
Loop 13 (us) 48.939
Loop 14 (us) 48.801
Loop 15 (us) 48.377
Loop 16 (us) 48.905
Loop 17 (us) 48.632
Loop 18 (us) 48.632
Loop 19 (us) 48.688
Loop 20 (us) 49.437
Loop 21 (us) 48.639
Loop 22 (us) 49.347
Loop 23 (us) 48.511
Loop 24 (us) 48.672
Loop 25 (us) 48.535
Loop 26 (us) 49.097
Loop 27 (us) 49.237
Loop 28 (us) 48.644
Loop 29 (us) 48.619
Loop 30 (us) 48.635
Loop 31 (us) 48.731
Loop 32 (us) 48.316
Loop 33 (us) 48.5
Loop 34 (us) 48.442
Loop 35 (us) 49.145
Loop 36 (us) 49.359
Loop 37 (us) 48.872
Loop 38 (us) 48.307
Loop 39 (us) 48.521
Loop 40 (us) 48.411
Loop 41 (us) 49.066
Loop 42 (us) 48.666
Loop 43 (us) 48.413
Loop 44 (us) 48.608
Loop 45 (us) 48.843
Loop 46 (us) 48.697
Loop 47 (us) 49.098
Loop 48 (us) 48.672
Loop 49 (us) 48.839
Loop 50 (us) 48.412
Loop 51 (us) 48.504
Loop 52 (us) 48.874
Loop 53 (us) 49.147
Loop 54 (us) 48.792
Loop 55 (us) 49.579
Loop 56 (us) 49.196
Loop 57 (us) 48.185
Loop 58 (us) 48.535
Loop 59 (us) 48.849
Loop 60 (us) 49.745
Loop 61 (us) 48.409
Loop 62 (us) 48.728
Loop 63 (us) 48.952
Loop 64 (us) 48.608
Loop 65 (us) 48.539
Loop 66 (us) 49.002
Loop 67 (us) 49.424
Loop 68 (us) 48.873
Loop 69 (us) 48.626
Loop 70 (us) 48.695
Loop 71 (us) 48.245
Loop 72 (us) 48.478
Loop 73 (us) 49.062
Loop 74 (us) 48.967
Loop 75 (us) 48.707
Loop 76 (us) 48.752
Loop 77 (us) 48.737
Loop 78 (us) 48.735
Loop 79 (us) 48.775
Loop 80 (us) 48.756
Loop 81 (us) 49.161
Loop 82 (us) 48.915
Loop 83 (us) 48.735
Loop 84 (us) 49.029
Loop 85 (us) 48.646
Loop 86 (us) 48.382
Loop 87 (us) 48.863
Loop 88 (us) 49.439
Loop 89 (us) 49.447
Loop 90 (us) 48.827
Loop 91 (us) 49.089
Loop 92 (us) 48.538
Loop 93 (us) 48.371
Loop 94 (us) 48.956
Loop 95 (us) 49.156
Loop 96 (us) 49.136
Loop 97 (us) 48.956
Loop 98 (us) 48.963
Loop 99 (us) 48.8
Loop 100 (us) 49.074
Loop 101 (us) 49.012
Loop 102 (us) 48.756
Loop 103 (us) 49.428
Loop 104 (us) 49.107
Loop 105 (us) 48.449
Loop 106 (us) 48.72
Loop 107 (us) 48.759
Loop 108 (us) 49.584
Loop 109 (us) 49.636
Loop 110 (us) 48.949
Loop 111 (us) 48.706
Loop 112 (us) 48.796
Loop 113 (us) 48.877
Loop 114 (us) 48.832
Loop 115 (us) 48.777
Loop 116 (us) 48.674
Loop 117 (us) 48.846
Loop 118 (us) 49.512
Loop 119 (us) 48.849
Loop 120 (us) 49.316
Loop 121 (us) 48.958
Loop 122 (us) 48.748
Loop 123 (us) 48.505
Loop 124 (us) 48.878
Loop 125 (us) 48.458
Loop 126 (us) 48.775
Loop 127 (us) 49.259
Loop 128 (us) 50.206
Loop 129 (us) 48.903
Loop 130 (us) 49.011
Loop 131 (us) 48.948
Loop 132 (us) 48.601
Loop 133 (us) 48.699
Loop 134 (us) 48.874
Loop 135 (us) 48.836
Loop 136 (us) 48.765
Loop 137 (us) 49.025
Loop 138 (us) 49.209
Loop 139 (us) 48.626
Loop 140 (us) 48.991
Loop 141 (us) 49.022
Loop 142 (us) 48.46
Loop 143 (us) 48.394
Loop 144 (us) 49.054
Loop 145 (us) 48.75
Loop 146 (us) 48.601
Loop 147 (us) 48.916
Loop 148 (us) 48.635
Loop 149 (us) 49.341
Loop 150 (us) 48.503
Loop 151 (us) 49.485
Loop 152 (us) 48.738
Loop 153 (us) 48.772
Loop 154 (us) 48.803
Loop 155 (us) 48.934
Loop 156 (us) 48.397
Loop 157 (us) 48.707
Loop 158 (us) 49.104
Loop 159 (us) 49.101
Loop 160 (us) 48.93
Loop 161 (us) 49.098
Loop 162 (us) 49.032
Loop 163 (us) 48.67
Loop 164 (us) 48.965
Loop 165 (us) 48.993
Loop 166 (us) 48.498
Loop 167 (us) 48.59
Loop 168 (us) 49.058
Loop 169 (us) 51.917
Loop 170 (us) 49.115
Loop 171 (us) 48.946
Loop 172 (us) 48.575
Loop 173 (us) 48.253
Loop 174 (us) 48.962
Loop 175 (us) 49.104
Loop 176 (us) 48.789
Loop 177 (us) 48.956
Loop 178 (us) 48.466
Loop 179 (us) 48.13
Loop 180 (us) 48.568
Loop 181 (us) 48.992
Loop 182 (us) 48.735
Loop 183 (us) 48.434
Loop 184 (us) 48.633
Loop 185 (us) 48.582
Loop 186 (us) 49.258
Loop 187 (us) 48.417
Loop 188 (us) 48.732
Loop 189 (us) 48.826
Loop 190 (us) 49.026
Loop 191 (us) 48.39
Loop 192 (us) 48.529
Loop 193 (us) 48.965
Loop 194 (us) 48.825
Loop 195 (us) 48.487
Loop 196 (us) 49.488
Loop 197 (us) 48.551
Loop 198 (us) 48.62
Loop 199 (us) 47.854
Loop 200 (us) 49.038
Loop 201 (us) 48.559
Loop 202 (us) 48.808
Loop 203 (us) 48.798
Loop 204 (us) 48.677
Loop 205 (us) 48.183
Loop 206 (us) 48.289
Loop 207 (us) 48.913
Loop 208 (us) 47.901
Loop 209 (us) 48.847
Loop 210 (us) 48.727
Loop 211 (us) 48.733
Loop 212 (us) 49.213
Loop 213 (us) 48.703
Loop 214 (us) 50.108
Loop 215 (us) 48.609
Loop 216 (us) 48.696
Loop 217 (us) 48.309
Loop 218 (us) 48.715
Loop 219 (us) 48.998
Loop 220 (us) 48.458
Loop 221 (us) 48.957
Loop 222 (us) 48.88
Loop 223 (us) 48.401
Loop 224 (us) 48.436
Loop 225 (us) 48.69
Loop 226 (us) 48.869
Loop 227 (us) 48.496
Loop 228 (us) 48.801
Loop 229 (us) 47.894
Loop 230 (us) 49.22
Loop 231 (us) 48.852
Loop 232 (us) 49.262
Loop 233 (us) 49.025
Loop 234 (us) 48.648
Loop 235 (us) 48.599
Loop 236 (us) 48.717
Loop 237 (us) 48.887
Loop 238 (us) 48.513
Loop 239 (us) 48.541
Loop 240 (us) 49.102
Loop 241 (us) 48.794
Loop 242 (us) 48.53
Loop 243 (us) 48.879
Loop 244 (us) 48.708
Loop 245 (us) 48.781
Loop 246 (us) 48.808
Loop 247 (us) 49.109
Loop 248 (us) 49.28
Loop 249 (us) 48.914
Loop 250 (us) 48.843
Loop 251 (us) 49.514
Loop 252 (us) 48.608
Loop 253 (us) 48.575
Loop 254 (us) 48.911
Loop 255 (us) 48.734
Loop 256 (us) 48.81
Loop 257 (us) 49.115
Loop 258 (us) 49.021
Loop 259 (us) 48.746
Loop 260 (us) 48.783
Loop 261 (us) 48.929
Loop 262 (us) 49.397
Loop 263 (us) 48.644
Loop 264 (us) 48.756
Loop 265 (us) 49.901
Loop 266 (us) 49.169
Loop 267 (us) 49.877
Loop 268 (us) 48.584
Loop 269 (us) 48.847
Loop 270 (us) 48.839
Loop 271 (us) 49.911
Loop 272 (us) 48.742
Loop 273 (us) 49.036
Loop 274 (us) 48.956
Loop 275 (us) 48.89
Loop 276 (us) 48.805
Loop 277 (us) 48.899
Loop 278 (us) 50.438
Loop 279 (us) 49.362
Loop 280 (us) 48.703
Loop 281 (us) 49.276
Loop 282 (us) 49.016
Loop 283 (us) 48.754
Loop 284 (us) 48.992
Loop 285 (us) 48.724
Loop 286 (us) 49.04
Loop 287 (us) 49.056
Loop 288 (us) 48.834
Loop 289 (us) 49.065
Loop 290 (us) 48.632
Loop 291 (us) 52.331
Loop 292 (us) 49.767
Loop 293 (us) 49.384
Loop 294 (us) 48.983
Loop 295 (us) 48.679
Loop 296 (us) 49.021
Loop 297 (us) 49.087
Loop 298 (us) 48.555
Loop 299 (us) 48.547
Loop 300 (us) 48.789
Loop 301 (us) 48.925
Loop 302 (us) 48.817
Loop 303 (us) 48.884
