degradedReadMicroEC, filename /tmp65536eccache.dat monECSubStripeNum 4 transferSize 16384 loop 1000 degradeNum 1
MicroEC Coding Ready

/tmp65536eccache.dat is a ReplicasFile!
networkSizeArray [16384]
starting benchmark...
ops 1000
final loop (us) 29.384
Loop 0 (us) 76.544
Loop 1 (us) 62.56
Loop 2 (us) 40.095
Loop 3 (us) 54.301
Loop 4 (us) 37.97
Loop 5 (us) 37.873
Loop 6 (us) 38.375
Loop 7 (us) 37.433
Loop 8 (us) 37.449
Loop 9 (us) 36.685
Loop 10 (us) 36.257
Loop 11 (us) 37.464
Loop 12 (us) 35.81
Loop 13 (us) 37.981
Loop 14 (us) 37.335
Loop 15 (us) 37.376
Loop 16 (us) 36.436
Loop 17 (us) 38.622
Loop 18 (us) 45.501
Loop 19 (us) 39.736
Loop 20 (us) 46.745
Loop 21 (us) 38.288
Loop 22 (us) 35.772
Loop 23 (us) 38.316
Loop 24 (us) 40.783
Loop 25 (us) 36.483
Loop 26 (us) 37.058
Loop 27 (us) 36.658
Loop 28 (us) 37.423
Loop 29 (us) 37.444
Loop 30 (us) 37.957
Loop 31 (us) 36.939
Loop 32 (us) 37.75
Loop 33 (us) 35.617
Loop 34 (us) 35.933
Loop 35 (us) 36.618
Loop 36 (us) 47.184
Loop 37 (us) 44.616
Loop 38 (us) 36.762
Loop 39 (us) 34.809
Loop 40 (us) 36.485
Loop 41 (us) 35.827
Loop 42 (us) 35.328
Loop 43 (us) 35.335
Loop 44 (us) 43.487
Loop 45 (us) 36.525
Loop 46 (us) 36.381
Loop 47 (us) 35.446
Loop 48 (us) 36.813
Loop 49 (us) 36.489
Loop 50 (us) 35.712
Loop 51 (us) 36.155
Loop 52 (us) 35.506
Loop 53 (us) 36.682
Loop 54 (us) 35.499
Loop 55 (us) 36.454
Loop 56 (us) 36.142
Loop 57 (us) 35.331
Loop 58 (us) 34.662
Loop 59 (us) 36.778
Loop 60 (us) 35.113
Loop 61 (us) 35.747
Loop 62 (us) 35.065
Loop 63 (us) 35.978
Loop 64 (us) 35.985
Loop 65 (us) 35.845
Loop 66 (us) 39.231
Loop 67 (us) 36.358
Loop 68 (us) 43.654
Loop 69 (us) 36.243
Loop 70 (us) 35.986
Loop 71 (us) 35.328
Loop 72 (us) 35.043
Loop 73 (us) 34.828
Loop 74 (us) 36.017
Loop 75 (us) 52.718
Loop 76 (us) 37.416
Loop 77 (us) 36.161
Loop 78 (us) 35.273
Loop 79 (us) 35.674
Loop 80 (us) 39.047
Loop 81 (us) 35.581
Loop 82 (us) 42.833
Loop 83 (us) 40.444
Loop 84 (us) 38.595
Loop 85 (us) 35.642
Loop 86 (us) 35.506
Loop 87 (us) 37.555
Loop 88 (us) 37.072
Loop 89 (us) 36.5
Loop 90 (us) 38.158
Loop 91 (us) 35.742
Loop 92 (us) 44.376
Loop 93 (us) 36.889
Loop 94 (us) 35.617
Loop 95 (us) 35.57
Loop 96 (us) 35.313
Loop 97 (us) 35.891
Loop 98 (us) 36.543
Loop 99 (us) 36.168
Loop 100 (us) 36.401
Loop 101 (us) 36.759
Loop 102 (us) 36.114
Loop 103 (us) 36.556
Loop 104 (us) 35.903
Loop 105 (us) 49.222
Loop 106 (us) 39.598
Loop 107 (us) 35.9
Loop 108 (us) 35.892
Loop 109 (us) 35.927
Loop 110 (us) 34.901
Loop 111 (us) 50.494
Loop 112 (us) 37.606
Loop 113 (us) 35.719
Loop 114 (us) 35.34
Loop 115 (us) 35.623
Loop 116 (us) 47.192
Loop 117 (us) 36.274
Loop 118 (us) 40.113
Loop 119 (us) 37.373
Loop 120 (us) 768.948
Loop 121 (us) 37.812
Loop 122 (us) 43.116
Loop 123 (us) 37.381
Loop 124 (us) 37.022
Loop 125 (us) 35.619
Loop 126 (us) 34.486
Loop 127 (us) 39.787
Loop 128 (us) 34.289
Loop 129 (us) 33.834
Loop 130 (us) 34.256
Loop 131 (us) 34.711
Loop 132 (us) 34.548
Loop 133 (us) 34.517
Loop 134 (us) 34.322
Loop 135 (us) 34.146
Loop 136 (us) 34.042
Loop 137 (us) 34.173
Loop 138 (us) 34.219
Loop 139 (us) 34.391
Loop 140 (us) 34.269
Loop 141 (us) 35.719
Loop 142 (us) 34.275
Loop 143 (us) 34.674
Loop 144 (us) 37.104
Loop 145 (us) 34.24
Loop 146 (us) 41.714
Loop 147 (us) 41.32
Loop 148 (us) 35.247
Loop 149 (us) 36.523
Loop 150 (us) 34.836
Loop 151 (us) 40.159
Loop 152 (us) 35.191
Loop 153 (us) 34.932
Loop 154 (us) 34.357
Loop 155 (us) 34.458
Loop 156 (us) 34.334
Loop 157 (us) 34.059
Loop 158 (us) 34.345
Loop 159 (us) 34.169
Loop 160 (us) 34.039
Loop 161 (us) 34.052
Loop 162 (us) 34.404
Loop 163 (us) 34.529
Loop 164 (us) 34.716
Loop 165 (us) 34.466
Loop 166 (us) 34.562
Loop 167 (us) 34.289
Loop 168 (us) 35.439
Loop 169 (us) 34.479
Loop 170 (us) 34.129
Loop 171 (us) 34.105
Loop 172 (us) 34.123
Loop 173 (us) 40.894
Loop 174 (us) 34.812
Loop 175 (us) 34.584
Loop 176 (us) 34.488
Loop 177 (us) 34.527
Loop 178 (us) 54.124
Loop 179 (us) 34.98
Loop 180 (us) 34.229
Loop 181 (us) 33.99
Loop 182 (us) 34.223
Loop 183 (us) 33.947
Loop 184 (us) 34.125
Loop 185 (us) 34.758
Loop 186 (us) 34.572
Loop 187 (us) 34.591
Loop 188 (us) 34.446
Loop 189 (us) 34.367
Loop 190 (us) 34.01
Loop 191 (us) 34.129
Loop 192 (us) 33.994
Loop 193 (us) 34.295
Loop 194 (us) 34.375
Loop 195 (us) 34.3
Loop 196 (us) 34.531
Loop 197 (us) 34.736
Loop 198 (us) 41.156
Loop 199 (us) 34.812
Loop 200 (us) 33.915
Loop 201 (us) 34.318
Loop 202 (us) 33.906
Loop 203 (us) 34.086
Loop 204 (us) 34.187
Loop 205 (us) 34.16
Loop 206 (us) 34.136
Loop 207 (us) 34.187
Loop 208 (us) 34.018
Loop 209 (us) 34.096
Loop 210 (us) 41.327
Loop 211 (us) 34.828
Loop 212 (us) 34.431
Loop 213 (us) 34.374
Loop 214 (us) 34.01
Loop 215 (us) 33.819
Loop 216 (us) 33.852
Loop 217 (us) 34.302
Loop 218 (us) 33.868
Loop 219 (us) 34.535
Loop 220 (us) 34.074
Loop 221 (us) 34.22
Loop 222 (us) 34.165
Loop 223 (us) 33.855
Loop 224 (us) 40.25
Loop 225 (us) 34.505
Loop 226 (us) 34.171
Loop 227 (us) 33.97
Loop 228 (us) 34.33
Loop 229 (us) 34.294
Loop 230 (us) 34.247
Loop 231 (us) 34.336
Loop 232 (us) 33.776
Loop 233 (us) 33.989
Loop 234 (us) 34.158
Loop 235 (us) 33.943
Loop 236 (us) 34.051
Loop 237 (us) 34.134
Loop 238 (us) 34.014
Loop 239 (us) 34.262
Loop 240 (us) 50.713
Loop 241 (us) 34.894
Loop 242 (us) 34.643
Loop 243 (us) 34.386
Loop 244 (us) 34.854
Loop 245 (us) 33.906
Loop 246 (us) 33.808
