readErasureCoding, filename /tmp1048576eccache.dat, loop 1000
/tmp1048576eccache.dat is a ReplicasFile!
starting benchmark...
ops 1000
final loop (us) 164.974
Loop 0 (us) 167.346
Loop 1 (us) 166.335
Loop 2 (us) 166.087
Loop 3 (us) 166.373
Loop 4 (us) 166.16
Loop 5 (us) 166.194
Loop 6 (us) 166.843
Loop 7 (us) 166.327
Loop 8 (us) 166.138
Loop 9 (us) 166.526
Loop 10 (us) 166.089
Loop 11 (us) 166.291
Loop 12 (us) 166.471
Loop 13 (us) 166.136
Loop 14 (us) 166.463
Loop 15 (us) 166.118
Loop 16 (us) 166.069
Loop 17 (us) 167.295
Loop 18 (us) 166.266
Loop 19 (us) 166.173
Loop 20 (us) 166.566
Loop 21 (us) 167.091
Loop 22 (us) 166.631
Loop 23 (us) 166.103
Loop 24 (us) 166.36
Loop 25 (us) 166.524
Loop 26 (us) 166.165
Loop 27 (us) 166.382
Loop 28 (us) 166.346
Loop 29 (us) 166.12
Loop 30 (us) 166.67
Loop 31 (us) 166.103
Loop 32 (us) 166.096
Loop 33 (us) 166.461
Loop 34 (us) 166.092
Loop 35 (us) 166.082
Loop 36 (us) 166.679
Loop 37 (us) 166.086
Loop 38 (us) 166.183
Loop 39 (us) 166.513
Loop 40 (us) 166.149
Loop 41 (us) 166.495
Loop 42 (us) 166.397
Loop 43 (us) 166.049
Loop 44 (us) 166.171
Loop 45 (us) 166.34
Loop 46 (us) 166.995
Loop 47 (us) 166.526
Loop 48 (us) 166.388
Loop 49 (us) 166.08
Loop 50 (us) 166.369
Loop 51 (us) 166.177
Loop 52 (us) 166.111
Loop 53 (us) 166.539
Loop 54 (us) 166.353
Loop 55 (us) 166.161
Loop 56 (us) 166.324
Loop 57 (us) 166.42
Loop 58 (us) 166.382
Loop 59 (us) 166.133
Loop 60 (us) 166.315
Loop 61 (us) 166.44
Loop 62 (us) 166.155
Loop 63 (us) 166.289
Loop 64 (us) 166.484
Loop 65 (us) 166.127
Loop 66 (us) 167.661
Loop 67 (us) 166.227
Loop 68 (us) 166.005
Loop 69 (us) 166.37
Loop 70 (us) 182.878
Loop 71 (us) 166.62
Loop 72 (us) 166.324
Loop 73 (us) 166.236
Loop 74 (us) 166.253
Loop 75 (us) 166.178
Loop 76 (us) 166.051
Loop 77 (us) 166.358
Loop 78 (us) 166.296
Loop 79 (us) 166.036
Loop 80 (us) 166.406
Loop 81 (us) 165.987
Loop 82 (us) 166.109
Loop 83 (us) 166.47
Loop 84 (us) 166.849
Loop 85 (us) 166.145
Loop 86 (us) 166.313
Loop 87 (us) 166.935
Loop 88 (us) 167.078
Loop 89 (us) 166.243
Loop 90 (us) 167.111
Loop 91 (us) 166.092
Loop 92 (us) 166.186
Loop 93 (us) 166.238
Loop 94 (us) 166.102
Loop 95 (us) 166.198
Loop 96 (us) 166.637
Loop 97 (us) 166.096
Loop 98 (us) 165.988
Loop 99 (us) 166.446
Loop 100 (us) 166.065
Loop 101 (us) 166.091
Loop 102 (us) 166.732
Loop 103 (us) 166.005
Loop 104 (us) 166.123
Loop 105 (us) 166.537
Loop 106 (us) 166.067
Loop 107 (us) 166.096
Loop 108 (us) 166.503
Loop 109 (us) 167.004
Loop 110 (us) 166.388
Loop 111 (us) 177.84
Loop 112 (us) 171.221
Loop 113 (us) 166.506
Loop 114 (us) 166.358
Loop 115 (us) 166.204
Loop 116 (us) 166.043
Loop 117 (us) 166.059
Loop 118 (us) 174.471
Loop 119 (us) 166.455
Loop 120 (us) 167.096
Loop 121 (us) 166.407
Loop 122 (us) 166.329
Loop 123 (us) 166.149
Loop 124 (us) 166.103
Loop 125 (us) 166.14
Loop 126 (us) 166.388
Loop 127 (us) 166.13
Loop 128 (us) 166.063
Loop 129 (us) 166.437
Loop 130 (us) 166.158
Loop 131 (us) 166.322
Loop 132 (us) 166.638
Loop 133 (us) 166.357
Loop 134 (us) 166.208
Loop 135 (us) 166.22
Loop 136 (us) 166.076
Loop 137 (us) 166.468
Loop 138 (us) 166.076
Loop 139 (us) 166.851
Loop 140 (us) 166.479
Loop 141 (us) 167.058
Loop 142 (us) 167.06
Loop 143 (us) 166.195
Loop 144 (us) 166.326
Loop 145 (us) 166.446
Loop 146 (us) 166.147
Loop 147 (us) 165.943
Loop 148 (us) 166.439
Loop 149 (us) 166.216
Loop 150 (us) 165.976
Loop 151 (us) 168.87
Loop 152 (us) 166.401
Loop 153 (us) 166.23
Loop 154 (us) 166.094
Loop 155 (us) 167.386
Loop 156 (us) 166.047
Loop 157 (us) 166.029
Loop 158 (us) 166.441
Loop 159 (us) 166.019
Loop 160 (us) 166.124
Loop 161 (us) 166.588
Loop 162 (us) 165.973
Loop 163 (us) 166.065
Loop 164 (us) 166.443
Loop 165 (us) 166.033
Loop 166 (us) 166.09
Loop 167 (us) 166.338
Loop 168 (us) 166.122
Loop 169 (us) 166.165
Loop 170 (us) 166.248
Loop 171 (us) 166.023
Loop 172 (us) 166.388
Loop 173 (us) 166.209
Loop 174 (us) 166.025
Loop 175 (us) 166.313
Loop 176 (us) 166.099
Loop 177 (us) 166.01
Loop 178 (us) 166.572
Loop 179 (us) 166.129
Loop 180 (us) 165.962
Loop 181 (us) 166.472
Loop 182 (us) 166.039
Loop 183 (us) 165.929
Loop 184 (us) 166.494
Loop 185 (us) 166.446
Loop 186 (us) 166.163
Loop 187 (us) 166.29
Loop 188 (us) 165.987
Loop 189 (us) 166.105
Loop 190 (us) 166.478
Loop 191 (us) 166.109
Loop 192 (us) 167.047
Loop 193 (us) 166.037
Loop 194 (us) 165.971
Loop 195 (us) 167.29
Loop 196 (us) 166.056
Loop 197 (us) 167.025
Loop 198 (us) 166.109
Loop 199 (us) 166.073
Loop 200 (us) 166.287
Loop 201 (us) 166.103
Loop 202 (us) 166.087
Loop 203 (us) 166.457
Loop 204 (us) 166.331
Loop 205 (us) 165.925
Loop 206 (us) 166.66
Loop 207 (us) 165.979
Loop 208 (us) 166.079
Loop 209 (us) 166.638
Loop 210 (us) 166.051
Loop 211 (us) 166.14
Loop 212 (us) 166.37
Loop 213 (us) 166.056
Loop 214 (us) 166.061
Loop 215 (us) 166.298
Loop 216 (us) 166.06
Loop 217 (us) 166.483
Loop 218 (us) 166.205
Loop 219 (us) 166.872
Loop 220 (us) 166.435
Loop 221 (us) 166.152
Loop 222 (us) 167.009
Loop 223 (us) 183.887
Loop 224 (us) 167.508
Loop 225 (us) 165.985
Loop 226 (us) 166.351
Loop 227 (us) 166.612
Loop 228 (us) 166.034
Loop 229 (us) 166.154
Loop 230 (us) 166.438
Loop 231 (us) 166.079
Loop 232 (us) 166.249
Loop 233 (us) 166.639
Loop 234 (us) 166.156
Loop 235 (us) 173.133
Loop 236 (us) 166.559
Loop 237 (us) 165.925
Loop 238 (us) 166.194
Loop 239 (us) 166.532
Loop 240 (us) 167.239
Loop 241 (us) 166.284
Loop 242 (us) 166.105
Loop 243 (us) 165.927
Loop 244 (us) 166.448
Loop 245 (us) 172.987
Loop 246 (us) 166.451
Loop 247 (us) 166.51
Loop 248 (us) 166.101
Loop 249 (us) 166.282
Loop 250 (us) 166.258
Loop 251 (us) 166.213
Loop 252 (us) 166.311
Loop 253 (us) 165.96
Loop 254 (us) 166.304
Loop 255 (us) 166.336
Loop 256 (us) 165.889
Loop 257 (us) 166.22
Loop 258 (us) 166.155
Loop 259 (us) 166.122
Loop 260 (us) 166.084
Loop 261 (us) 166.486
Loop 262 (us) 166.075
Loop 263 (us) 166.163
Loop 264 (us) 166.399
Loop 265 (us) 166.03
Loop 266 (us) 165.958
Loop 267 (us) 166.364
Loop 268 (us) 166.03
Loop 269 (us) 166.144
Loop 270 (us) 166.45
Loop 271 (us) 166.07
Loop 272 (us) 166.003
Loop 273 (us) 166.621
Loop 274 (us) 166.041
Loop 275 (us) 166.185
Loop 276 (us) 166.247
Loop 277 (us) 165.998
Loop 278 (us) 165.972
Loop 279 (us) 166.502
Loop 280 (us) 166.297
Loop 281 (us) 167.343
Loop 282 (us) 166.98
Loop 283 (us) 166.577
Loop 284 (us) 166.053
Loop 285 (us) 166.016
Loop 286 (us) 166.431
Loop 287 (us) 166.18
Loop 288 (us) 166.138
Loop 289 (us) 174.885
Loop 290 (us) 166.01
Loop 291 (us) 166.366
Loop 292 (us) 166.131
Loop 293 (us) 166.175
Loop 294 (us) 166.315
Loop 295 (us) 166.043
Loop 296 (us) 166.052
Loop 297 (us) 166.462
Loop 298 (us) 166.08
Loop 299 (us) 166.222
Loop 300 (us) 166.379
Loop 301 (us) 166.245
Loop 302 (us) 166.149
Loop 303 (us) 166.28
