readReplicas, filename /tmp16777216replicas.dat, loop 1000
/tmp16777216replicas.dat is a ReplicasFile!
starting benchmark...
ops 1000
final loop (us) 2575.762
Loop 0 (us) 2583.395
Loop 1 (us) 2576.086
Loop 2 (us) 2575.939
Loop 3 (us) 2575.071
Loop 4 (us) 2576.518
Loop 5 (us) 2581.317
Loop 6 (us) 2576.639
Loop 7 (us) 2576.74
Loop 8 (us) 2587.948
Loop 9 (us) 2575.319
Loop 10 (us) 2575.831
Loop 11 (us) 2581.437
Loop 12 (us) 2582.58
Loop 13 (us) 2575.539
Loop 14 (us) 2576.534
Loop 15 (us) 2585.11
Loop 16 (us) 2581.463
Loop 17 (us) 2576.905
Loop 18 (us) 2577.595
Loop 19 (us) 2582.053
Loop 20 (us) 2585.164
Loop 21 (us) 2575.96
Loop 22 (us) 2576.176
Loop 23 (us) 2575.665
Loop 24 (us) 2581.717
Loop 25 (us) 2575.177
Loop 26 (us) 2575.477
Loop 27 (us) 2575.029
Loop 28 (us) 2577.191
Loop 29 (us) 2575.931
Loop 30 (us) 2575.743
Loop 31 (us) 2575.647
Loop 32 (us) 2576.556
Loop 33 (us) 2576.742
Loop 34 (us) 2575.11
Loop 35 (us) 2576.793
Loop 36 (us) 2576.182
Loop 37 (us) 2577.105
Loop 38 (us) 2576.903
Loop 39 (us) 2575.272
Loop 40 (us) 2576.385
Loop 41 (us) 2575.195
Loop 42 (us) 2575.787
Loop 43 (us) 2576.99
Loop 44 (us) 2575.661
Loop 45 (us) 2576.848
Loop 46 (us) 2575.216
Loop 47 (us) 2575.368
Loop 48 (us) 2575.827
Loop 49 (us) 2576.682
Loop 50 (us) 2577.023
Loop 51 (us) 2577.642
Loop 52 (us) 2577.409
Loop 53 (us) 2575.195
Loop 54 (us) 2575.359
Loop 55 (us) 2575.514
Loop 56 (us) 2575.333
Loop 57 (us) 2575.435
Loop 58 (us) 2575.234
Loop 59 (us) 2576.704
Loop 60 (us) 2577.386
Loop 61 (us) 2576.538
Loop 62 (us) 2576.999
Loop 63 (us) 2576.035
Loop 64 (us) 2576.423
Loop 65 (us) 2576.941
Loop 66 (us) 2577.246
Loop 67 (us) 2576.285
Loop 68 (us) 2574.935
Loop 69 (us) 2575.552
Loop 70 (us) 2575.447
Loop 71 (us) 2575.158
Loop 72 (us) 2576.195
Loop 73 (us) 2575.253
Loop 74 (us) 2576.385
Loop 75 (us) 2575.181
Loop 76 (us) 2575.926
Loop 77 (us) 2575.487
Loop 78 (us) 2575.079
Loop 79 (us) 2575.811
Loop 80 (us) 2575.111
Loop 81 (us) 2575.658
Loop 82 (us) 2575.53
Loop 83 (us) 2577.145
Loop 84 (us) 2575.447
Loop 85 (us) 2575.512
Loop 86 (us) 2575.4
Loop 87 (us) 2576.879
Loop 88 (us) 2576.862
Loop 89 (us) 2576.828
Loop 90 (us) 2576.888
Loop 91 (us) 2575.866
Loop 92 (us) 2575.37
Loop 93 (us) 2575.285
Loop 94 (us) 2575.535
Loop 95 (us) 2582.839
Loop 96 (us) 2582.191
Loop 97 (us) 2575.021
Loop 98 (us) 2575.074
Loop 99 (us) 2584.038
Loop 100 (us) 2584.04
Loop 101 (us) 2575.408
Loop 102 (us) 2576.328
Loop 103 (us) 2587.726
Loop 104 (us) 2574.933
Loop 105 (us) 2576.529
Loop 106 (us) 2575.189
Loop 107 (us) 2587.027
Loop 108 (us) 2576.228
Loop 109 (us) 2574.959
Loop 110 (us) 2576.437
Loop 111 (us) 2587.591
Loop 112 (us) 2576.061
Loop 113 (us) 2575.467
Loop 114 (us) 2574.881
Loop 115 (us) 2576.026
Loop 116 (us) 2575.138
Loop 117 (us) 2575.053
Loop 118 (us) 2576.836
Loop 119 (us) 2575.153
Loop 120 (us) 2574.835
Loop 121 (us) 2575.436
Loop 122 (us) 2576.253
Loop 123 (us) 2576.695
Loop 124 (us) 2576.221
Loop 125 (us) 2575.241
Loop 126 (us) 2576.336
Loop 127 (us) 2575.43
Loop 128 (us) 2575.181
Loop 129 (us) 2574.939
Loop 130 (us) 2575.827
Loop 131 (us) 2574.707
Loop 132 (us) 2576.363
Loop 133 (us) 2576.554
Loop 134 (us) 2782.174
Loop 135 (us) 2587.181
Loop 136 (us) 2576.327
Loop 137 (us) 2574.849
Loop 138 (us) 2575.014
Loop 139 (us) 2574.719
Loop 140 (us) 2574.872
Loop 141 (us) 2575.064
Loop 142 (us) 2575.428
Loop 143 (us) 2576.21
Loop 144 (us) 2575.311
Loop 145 (us) 2576.287
Loop 146 (us) 2575.804
Loop 147 (us) 2576.268
Loop 148 (us) 2575.861
Loop 149 (us) 2576.011
Loop 150 (us) 2575.948
Loop 151 (us) 2678.927
Loop 152 (us) 2579.722
Loop 153 (us) 2576.64
Loop 154 (us) 2578.645
Loop 155 (us) 2578.226
Loop 156 (us) 2575.417
Loop 157 (us) 2576.015
Loop 158 (us) 2574.93
Loop 159 (us) 2576.056
Loop 160 (us) 2574.632
Loop 161 (us) 2574.868
Loop 162 (us) 2576.675
Loop 163 (us) 2576.063
Loop 164 (us) 2577.997
Loop 165 (us) 2574.783
Loop 166 (us) 2581.313
Loop 167 (us) 2576.197
Loop 168 (us) 2575.112
Loop 169 (us) 2574.809
Loop 170 (us) 2576.007
Loop 171 (us) 2574.841
Loop 172 (us) 2575.518
Loop 173 (us) 2575.729
Loop 174 (us) 2575.773
Loop 175 (us) 2574.504
Loop 176 (us) 2575.813
Loop 177 (us) 2575.662
Loop 178 (us) 2574.815
Loop 179 (us) 2579.542
Loop 180 (us) 2575.92
Loop 181 (us) 2574.992
Loop 182 (us) 2575.844
Loop 183 (us) 2576.003
Loop 184 (us) 2576.275
Loop 185 (us) 2575.856
Loop 186 (us) 2575.138
Loop 187 (us) 2590.689
Loop 188 (us) 2578.557
Loop 189 (us) 2574.444
Loop 190 (us) 2576.062
Loop 191 (us) 2574.377
Loop 192 (us) 2574.862
Loop 193 (us) 2575.836
Loop 194 (us) 2576.305
Loop 195 (us) 2575.066
Loop 196 (us) 2575.41
Loop 197 (us) 2574.462
Loop 198 (us) 2574.545
Loop 199 (us) 2574.261
Loop 200 (us) 2574.539
Loop 201 (us) 2575.217
Loop 202 (us) 2575.597
Loop 203 (us) 2575.48
Loop 204 (us) 2575.585
Loop 205 (us) 2574.476
Loop 206 (us) 2574.431
Loop 207 (us) 2574.887
Loop 208 (us) 2574.609
Loop 209 (us) 2575.652
Loop 210 (us) 2575.432
Loop 211 (us) 2574.935
Loop 212 (us) 2574.624
Loop 213 (us) 2575.528
Loop 214 (us) 2574.331
Loop 215 (us) 2575.45
Loop 216 (us) 2575.394
Loop 217 (us) 2575.81
Loop 218 (us) 2575.447
Loop 219 (us) 2574.811
Loop 220 (us) 2575.563
Loop 221 (us) 2574.245
Loop 222 (us) 2574.254
Loop 223 (us) 2575.493
Loop 224 (us) 2575.841
Loop 225 (us) 2574.282
Loop 226 (us) 2574.996
Loop 227 (us) 2574.47
Loop 228 (us) 2574.383
Loop 229 (us) 2574.552
Loop 230 (us) 2574.34
Loop 231 (us) 2575.515
Loop 232 (us) 2575.878
Loop 233 (us) 2575.684
Loop 234 (us) 2574.787
Loop 235 (us) 2575.387
Loop 236 (us) 2574.444
Loop 237 (us) 2575.624
Loop 238 (us) 2575.316
Loop 239 (us) 2574.735
Loop 240 (us) 2575.593
Loop 241 (us) 2575.691
Loop 242 (us) 2574.388
Loop 243 (us) 2574.535
Loop 244 (us) 2575.646
Loop 245 (us) 2574.809
Loop 246 (us) 2574.083
Loop 247 (us) 2574.571
Loop 248 (us) 2574.597
Loop 249 (us) 2574.545
Loop 250 (us) 2575.61
Loop 251 (us) 2575.246
Loop 252 (us) 2574.617
Loop 253 (us) 2575.474
Loop 254 (us) 2575.526
Loop 255 (us) 2575.537
Loop 256 (us) 2575.591
Loop 257 (us) 2574.506
Loop 258 (us) 2576.049
Loop 259 (us) 2575.616
Loop 260 (us) 2574.296
Loop 261 (us) 2574.547
Loop 262 (us) 2575.827
Loop 263 (us) 2575.6
Loop 264 (us) 2574.318
Loop 265 (us) 2575.369
Loop 266 (us) 2575.527
Loop 267 (us) 2574.315
Loop 268 (us) 2575.007
Loop 269 (us) 2575.474
Loop 270 (us) 2575.482
Loop 271 (us) 2574.834
Loop 272 (us) 2575.168
Loop 273 (us) 2575.094
Loop 274 (us) 2574.412
Loop 275 (us) 2574.522
Loop 276 (us) 2574.497
Loop 277 (us) 2574.429
Loop 278 (us) 2574.796
Loop 279 (us) 2575.757
Loop 280 (us) 2575.53
Loop 281 (us) 2574.55
Loop 282 (us) 2575.565
Loop 283 (us) 2574.488
