readErasureCoding, filename /tmp4194304eccache.dat, loop 1000
/tmp4194304eccache.dat is a ReplicasFile!
starting benchmark...
ops 1000
final loop (us) 646.642
Loop 0 (us) 649.51
Loop 1 (us) 648.835
Loop 2 (us) 649.259
Loop 3 (us) 648.267
Loop 4 (us) 648.306
Loop 5 (us) 648.375
Loop 6 (us) 648.281
Loop 7 (us) 649.098
Loop 8 (us) 648.324
Loop 9 (us) 648.451
Loop 10 (us) 648.353
Loop 11 (us) 649.384
Loop 12 (us) 648.181
Loop 13 (us) 648.449
Loop 14 (us) 648.467
Loop 15 (us) 648.256
Loop 16 (us) 648.347
Loop 17 (us) 648.473
Loop 18 (us) 648.349
Loop 19 (us) 648.622
Loop 20 (us) 648.564
Loop 21 (us) 648.768
Loop 22 (us) 649.617
Loop 23 (us) 648.292
Loop 24 (us) 648.24
Loop 25 (us) 650.177
Loop 26 (us) 648.248
Loop 27 (us) 648.309
Loop 28 (us) 648.369
Loop 29 (us) 648.371
Loop 30 (us) 648.467
Loop 31 (us) 648.413
Loop 32 (us) 648.094
Loop 33 (us) 648.42
Loop 34 (us) 648.161
Loop 35 (us) 648.819
Loop 36 (us) 648.365
Loop 37 (us) 648.159
Loop 38 (us) 649.013
Loop 39 (us) 648.533
Loop 40 (us) 648.25
Loop 41 (us) 648.549
Loop 42 (us) 648.719
Loop 43 (us) 648.613
Loop 44 (us) 648.671
Loop 45 (us) 648.533
Loop 46 (us) 648.701
Loop 47 (us) 648.372
Loop 48 (us) 648.266
Loop 49 (us) 648.129
Loop 50 (us) 648.358
Loop 51 (us) 648.113
Loop 52 (us) 648.177
Loop 53 (us) 648.623
Loop 54 (us) 648.045
Loop 55 (us) 649.16
Loop 56 (us) 648.02
Loop 57 (us) 648.142
Loop 58 (us) 648.361
Loop 59 (us) 648.191
Loop 60 (us) 648.137
Loop 61 (us) 648.569
Loop 62 (us) 649.023
Loop 63 (us) 647.916
Loop 64 (us) 649.152
Loop 65 (us) 647.999
Loop 66 (us) 649.072
Loop 67 (us) 648.162
Loop 68 (us) 648.87
Loop 69 (us) 648.066
Loop 70 (us) 648.121
Loop 71 (us) 647.886
Loop 72 (us) 648.383
Loop 73 (us) 648.153
Loop 74 (us) 647.821
Loop 75 (us) 648.06
Loop 76 (us) 648.006
Loop 77 (us) 647.924
Loop 78 (us) 648.725
Loop 79 (us) 648.775
Loop 80 (us) 648.029
Loop 81 (us) 648.065
Loop 82 (us) 649.986
Loop 83 (us) 648.722
Loop 84 (us) 648.118
Loop 85 (us) 648.802
Loop 86 (us) 647.935
Loop 87 (us) 648.564
Loop 88 (us) 649.194
Loop 89 (us) 648.565
Loop 90 (us) 648.796
Loop 91 (us) 649.539
Loop 92 (us) 648.571
Loop 93 (us) 648.42
Loop 94 (us) 648.277
Loop 95 (us) 648.329
Loop 96 (us) 648.326
Loop 97 (us) 648.391
Loop 98 (us) 648.362
Loop 99 (us) 649.202
Loop 100 (us) 648.924
Loop 101 (us) 648.087
Loop 102 (us) 649.01
Loop 103 (us) 647.857
Loop 104 (us) 648.463
Loop 105 (us) 648.686
Loop 106 (us) 647.961
Loop 107 (us) 648.207
Loop 108 (us) 648.794
Loop 109 (us) 647.832
Loop 110 (us) 648.26
Loop 111 (us) 663.477
Loop 112 (us) 648.959
Loop 113 (us) 656.601
Loop 114 (us) 648.298
Loop 115 (us) 648.108
Loop 116 (us) 647.995
Loop 117 (us) 648.008
Loop 118 (us) 648.211
Loop 119 (us) 648.041
Loop 120 (us) 648.841
Loop 121 (us) 648.117
Loop 122 (us) 648.441
Loop 123 (us) 648.969
Loop 124 (us) 648.908
Loop 125 (us) 648.11
Loop 126 (us) 648.883
Loop 127 (us) 648.085
Loop 128 (us) 648.396
Loop 129 (us) 647.923
Loop 130 (us) 648.19
Loop 131 (us) 648.35
Loop 132 (us) 648.232
Loop 133 (us) 647.931
Loop 134 (us) 647.873
Loop 135 (us) 648.854
Loop 136 (us) 648.256
Loop 137 (us) 647.859
Loop 138 (us) 648.858
Loop 139 (us) 648.683
Loop 140 (us) 647.881
Loop 141 (us) 648.029
Loop 142 (us) 648.336
Loop 143 (us) 647.783
Loop 144 (us) 648.164
Loop 145 (us) 648.211
Loop 146 (us) 648.717
Loop 147 (us) 648.136
Loop 148 (us) 648.053
Loop 149 (us) 647.912
Loop 150 (us) 648.168
Loop 151 (us) 647.908
Loop 152 (us) 648.033
Loop 153 (us) 648.937
Loop 154 (us) 648.078
Loop 155 (us) 648.035
Loop 156 (us) 648.431
Loop 157 (us) 648.141
Loop 158 (us) 648.061
Loop 159 (us) 648.437
Loop 160 (us) 648.05
Loop 161 (us) 648.252
Loop 162 (us) 649.033
Loop 163 (us) 647.958
Loop 164 (us) 648.998
Loop 165 (us) 648.811
Loop 166 (us) 648.025
Loop 167 (us) 648.221
Loop 168 (us) 648.015
Loop 169 (us) 648.02
Loop 170 (us) 648.033
Loop 171 (us) 647.874
Loop 172 (us) 648.231
Loop 173 (us) 648.374
Loop 174 (us) 648.213
Loop 175 (us) 648.233
Loop 176 (us) 650.123
Loop 177 (us) 647.891
Loop 178 (us) 648.384
Loop 179 (us) 647.959
Loop 180 (us) 647.95
Loop 181 (us) 648.63
Loop 182 (us) 648.056
Loop 183 (us) 647.933
Loop 184 (us) 648.677
Loop 185 (us) 648.106
Loop 186 (us) 647.995
Loop 187 (us) 648.18
Loop 188 (us) 648.055
Loop 189 (us) 648.405
Loop 190 (us) 648.263
Loop 191 (us) 648.059
Loop 192 (us) 648.413
Loop 193 (us) 648.253
Loop 194 (us) 650.02
Loop 195 (us) 648.277
Loop 196 (us) 648.058
Loop 197 (us) 647.946
Loop 198 (us) 648.167
Loop 199 (us) 648.121
Loop 200 (us) 648.655
Loop 201 (us) 647.919
Loop 202 (us) 647.998
Loop 203 (us) 647.89
Loop 204 (us) 648.145
Loop 205 (us) 648.218
Loop 206 (us) 648.412
Loop 207 (us) 648.721
Loop 208 (us) 647.949
Loop 209 (us) 648.083
Loop 210 (us) 648.274
Loop 211 (us) 648.719
Loop 212 (us) 648.248
Loop 213 (us) 648.263
Loop 214 (us) 647.96
Loop 215 (us) 648.183
Loop 216 (us) 648.296
Loop 217 (us) 648.178
Loop 218 (us) 649.663
Loop 219 (us) 649.638
Loop 220 (us) 648.017
Loop 221 (us) 648.061
Loop 222 (us) 656.98
Loop 223 (us) 648.196
Loop 224 (us) 648.843
Loop 225 (us) 647.983
Loop 226 (us) 648.23
Loop 227 (us) 647.986
Loop 228 (us) 647.878
Loop 229 (us) 648.094
Loop 230 (us) 648.108
Loop 231 (us) 647.942
Loop 232 (us) 648.238
Loop 233 (us) 648.068
Loop 234 (us) 648.109
Loop 235 (us) 648.032
Loop 236 (us) 648.957
Loop 237 (us) 647.978
Loop 238 (us) 648.982
Loop 239 (us) 648.171
Loop 240 (us) 656.449
Loop 241 (us) 649.53
Loop 242 (us) 654.81
Loop 243 (us) 648.041
Loop 244 (us) 648.146
Loop 245 (us) 648.405
Loop 246 (us) 648.058
Loop 247 (us) 648.142
Loop 248 (us) 648.179
Loop 249 (us) 648.055
Loop 250 (us) 648.174
Loop 251 (us) 648.225
Loop 252 (us) 647.976
Loop 253 (us) 648.239
Loop 254 (us) 647.896
Loop 255 (us) 648.068
Loop 256 (us) 649.026
Loop 257 (us) 648.086
Loop 258 (us) 648.055
Loop 259 (us) 648.155
Loop 260 (us) 648.091
Loop 261 (us) 648.059
Loop 262 (us) 648.139
Loop 263 (us) 648.479
Loop 264 (us) 648.142
Loop 265 (us) 648.122
Loop 266 (us) 648.274
Loop 267 (us) 648.691
Loop 268 (us) 648.285
Loop 269 (us) 648.165
Loop 270 (us) 648.401
Loop 271 (us) 648.157
Loop 272 (us) 648.211
Loop 273 (us) 648.378
Loop 274 (us) 648.144
Loop 275 (us) 648.25
Loop 276 (us) 648.288
Loop 277 (us) 648.135
Loop 278 (us) 649.114
Loop 279 (us) 648.572
Loop 280 (us) 648.005
Loop 281 (us) 661.591
Loop 282 (us) 648.739
Loop 283 (us) 657.221
Loop 284 (us) 648.509
Loop 285 (us) 647.906
Loop 286 (us) 648.157
Loop 287 (us) 648.211
Loop 288 (us) 648.067
Loop 289 (us) 648.207
Loop 290 (us) 648.872
Loop 291 (us) 647.934
Loop 292 (us) 649.094
Loop 293 (us) 648.03
Loop 294 (us) 647.775
Loop 295 (us) 648.28
Loop 296 (us) 648.117
Loop 297 (us) 647.891
Loop 298 (us) 653.244
Loop 299 (us) 649.511
Loop 300 (us) 647.957
Loop 301 (us) 648.298
Loop 302 (us) 648.022
Loop 303 (us) 648.343
