recoveryReplicas, filename /tmp16777216replicas.dat, loop 1000
/tmp16777216replicas.dat is a ReplicasFile!
starting benchmark...
ops 1000
final loop (us) 5150.531
Loop 0 (us) 5155.043
Loop 1 (us) 5152.635
Loop 2 (us) 5153.509
Loop 3 (us) 5153.581
Loop 4 (us) 5152.837
Loop 5 (us) 5151.713
Loop 6 (us) 5151.713
Loop 7 (us) 5154.42
Loop 8 (us) 5152.877
Loop 9 (us) 5152.351
Loop 10 (us) 5152.222
Loop 11 (us) 5153.377
Loop 12 (us) 5152.164
Loop 13 (us) 5151.505
Loop 14 (us) 5152.581
Loop 15 (us) 5152.26
Loop 16 (us) 5152.482
Loop 17 (us) 5152.749
Loop 18 (us) 5154.59
Loop 19 (us) 5152.517
Loop 20 (us) 5152.811
Loop 21 (us) 5153.477
Loop 22 (us) 5151.93
Loop 23 (us) 5152.486
Loop 24 (us) 5152.686
Loop 25 (us) 5152.927
Loop 26 (us) 5154.326
Loop 27 (us) 5153.475
Loop 28 (us) 5154.162
Loop 29 (us) 5152.978
Loop 30 (us) 5150.961
Loop 31 (us) 5152.316
Loop 32 (us) 5152.523
Loop 33 (us) 5151.833
Loop 34 (us) 5152.417
Loop 35 (us) 5152.427
Loop 36 (us) 5152.428
Loop 37 (us) 5154.077
Loop 38 (us) 5153.693
Loop 39 (us) 5153.719
Loop 40 (us) 5153.008
Loop 41 (us) 5152.375
Loop 42 (us) 5154.792
Loop 43 (us) 5153.217
Loop 44 (us) 5154.179
Loop 45 (us) 5153.352
Loop 46 (us) 5151.086
Loop 47 (us) 5153.357
Loop 48 (us) 5153.854
Loop 49 (us) 5153.64
Loop 50 (us) 5154.101
Loop 51 (us) 5152.732
Loop 52 (us) 5153.321
Loop 53 (us) 5152.113
Loop 54 (us) 5154.771
Loop 55 (us) 5153.22
Loop 56 (us) 5155.663
Loop 57 (us) 5153.35
Loop 58 (us) 5151.365
Loop 59 (us) 5152.583
Loop 60 (us) 5154.045
Loop 61 (us) 5151.037
Loop 62 (us) 5153.367
Loop 63 (us) 5151.729
Loop 64 (us) 5153.159
Loop 65 (us) 5152.473
Loop 66 (us) 5152.17
Loop 67 (us) 5152.668
Loop 68 (us) 5150.845
Loop 69 (us) 5151.994
Loop 70 (us) 5151.705
Loop 71 (us) 5151.712
Loop 72 (us) 5152.545
Loop 73 (us) 5152.41
Loop 74 (us) 5153.613
Loop 75 (us) 5151.424
Loop 76 (us) 5164.235
Loop 77 (us) 5152.484
Loop 78 (us) 5151.915
Loop 79 (us) 5152.464
Loop 80 (us) 5152.012
Loop 81 (us) 5153.208
Loop 82 (us) 5153.052
Loop 83 (us) 5153.659
Loop 84 (us) 5152.089
Loop 85 (us) 5152.473
Loop 86 (us) 5151.477
Loop 87 (us) 5151.379
Loop 88 (us) 5151.001
Loop 89 (us) 5154.406
Loop 90 (us) 5153.444
Loop 91 (us) 5153.603
Loop 92 (us) 5152.939
Loop 93 (us) 5152.042
Loop 94 (us) 5152.435
Loop 95 (us) 5152.685
Loop 96 (us) 5153.33
Loop 97 (us) 5151.851
Loop 98 (us) 5152.491
Loop 99 (us) 5152.608
Loop 100 (us) 5154.464
Loop 101 (us) 5152.277
Loop 102 (us) 5152.307
Loop 103 (us) 5152.421
Loop 104 (us) 5151.009
Loop 105 (us) 5151.448
Loop 106 (us) 5153.441
Loop 107 (us) 5152.084
Loop 108 (us) 5154.899
Loop 109 (us) 5152.609
Loop 110 (us) 5154.556
Loop 111 (us) 5151.249
Loop 112 (us) 5151.248
Loop 113 (us) 5152.505
Loop 114 (us) 5153.638
Loop 115 (us) 5155.276
Loop 116 (us) 5150.857
Loop 117 (us) 5153.379
Loop 118 (us) 5152.591
Loop 119 (us) 5153.043
Loop 120 (us) 5150.937
Loop 121 (us) 5152.318
Loop 122 (us) 5151.455
Loop 123 (us) 5156.674
Loop 124 (us) 5152.86
Loop 125 (us) 5151.903
Loop 126 (us) 5152.305
Loop 127 (us) 5154.728
Loop 128 (us) 5154.544
Loop 129 (us) 5152.579
Loop 130 (us) 5152.324
Loop 131 (us) 5153.607
Loop 132 (us) 5154.921
Loop 133 (us) 5152.735
Loop 134 (us) 5152.348
Loop 135 (us) 5152.775
Loop 136 (us) 5151.887
Loop 137 (us) 5152.941
Loop 138 (us) 5153.399
Loop 139 (us) 5152.244
Loop 140 (us) 5151.361
Loop 141 (us) 5151.867
Loop 142 (us) 5154.204
Loop 143 (us) 5153.353
Loop 144 (us) 5152.017
Loop 145 (us) 5152.956
Loop 146 (us) 5151.168
Loop 147 (us) 5152.105
Loop 148 (us) 5152.438
Loop 149 (us) 5160.613
Loop 150 (us) 5153.452
Loop 151 (us) 5153.48
Loop 152 (us) 5152.165
Loop 153 (us) 5152.527
Loop 154 (us) 5152.848
Loop 155 (us) 5154.94
Loop 156 (us) 5152.207
Loop 157 (us) 5153.373
Loop 158 (us) 5152.445
Loop 159 (us) 5152.606
Loop 160 (us) 5154.994
Loop 161 (us) 5151.861
Loop 162 (us) 5154.138
Loop 163 (us) 5151.853
Loop 164 (us) 5153.9
Loop 165 (us) 5152.212
Loop 166 (us) 5152.352
Loop 167 (us) 5152.806
Loop 168 (us) 5154.317
Loop 169 (us) 5152.439
Loop 170 (us) 5151.392
Loop 171 (us) 5152.44
Loop 172 (us) 5151.78
Loop 173 (us) 5151.027
Loop 174 (us) 5152.896
Loop 175 (us) 5152.169
Loop 176 (us) 5153.605
Loop 177 (us) 5151.424
Loop 178 (us) 5151.686
Loop 179 (us) 5153.753
Loop 180 (us) 5152.27
Loop 181 (us) 5153.292
Loop 182 (us) 5152.664
Loop 183 (us) 5153.07
Loop 184 (us) 5152.901
Loop 185 (us) 5151.605
Loop 186 (us) 5154.025
Loop 187 (us) 5152.363
Loop 188 (us) 5152.578
Loop 189 (us) 5153.822
Loop 190 (us) 5153.479
Loop 191 (us) 5152.373
Loop 192 (us) 5153.281
Loop 193 (us) 5153.923
Loop 194 (us) 5151.649
Loop 195 (us) 5153.276
Loop 196 (us) 5152.637
Loop 197 (us) 5151.451
Loop 198 (us) 5151.894
Loop 199 (us) 5153.577
Loop 200 (us) 5151.318
Loop 201 (us) 5153.336
Loop 202 (us) 5154.546
Loop 203 (us) 5154.043
Loop 204 (us) 5151.683
Loop 205 (us) 5151.593
Loop 206 (us) 5153.613
Loop 207 (us) 5150.786
Loop 208 (us) 5153.976
Loop 209 (us) 5153.809
Loop 210 (us) 5151.398
Loop 211 (us) 5153.144
Loop 212 (us) 5153.467
Loop 213 (us) 5151.243
Loop 214 (us) 5151.358
Loop 215 (us) 5151.043
Loop 216 (us) 5152.883
Loop 217 (us) 5152.846
Loop 218 (us) 5152.242
Loop 219 (us) 5152.032
Loop 220 (us) 5151.753
Loop 221 (us) 5151.564
Loop 222 (us) 5153.2
Loop 223 (us) 5153.468
Loop 224 (us) 5152.909
Loop 225 (us) 5153.86
Loop 226 (us) 5152.411
Loop 227 (us) 5152.185
Loop 228 (us) 5153.981
Loop 229 (us) 5151.984
Loop 230 (us) 5153.799
Loop 231 (us) 5152.245
Loop 232 (us) 5152.604
Loop 233 (us) 5151.424
Loop 234 (us) 5151.593
Loop 235 (us) 5151.81
Loop 236 (us) 5151.348
Loop 237 (us) 5151.626
Loop 238 (us) 5153.236
Loop 239 (us) 5153.103
Loop 240 (us) 5152.498
Loop 241 (us) 5152.859
Loop 242 (us) 5152.205
Loop 243 (us) 5155.042
Loop 244 (us) 5153.488
Loop 245 (us) 5153.339
Loop 246 (us) 5152.356
Loop 247 (us) 5152.334
Loop 248 (us) 5151.951
Loop 249 (us) 5151.282
Loop 250 (us) 5152.106
Loop 251 (us) 5150.666
Loop 252 (us) 5152.882
Loop 253 (us) 5153.5
Loop 254 (us) 5153.654
Loop 255 (us) 5161.096
Loop 256 (us) 5155.01
Loop 257 (us) 5153.6
Loop 258 (us) 5152.407
Loop 259 (us) 5151.337
Loop 260 (us) 5153.483
Loop 261 (us) 5156.879
Loop 262 (us) 5153.759
Loop 263 (us) 5153.523
Loop 264 (us) 5153.432
Loop 265 (us) 5153.297
Loop 266 (us) 5153.093
Loop 267 (us) 5153.062
Loop 268 (us) 5152.589
Loop 269 (us) 5151.944
Loop 270 (us) 5151.641
Loop 271 (us) 5153.044
Loop 272 (us) 5151.204
Loop 273 (us) 5153.542
Loop 274 (us) 5152.038
Loop 275 (us) 5151.814
Loop 276 (us) 5152.853
Loop 277 (us) 5151.595
Loop 278 (us) 5159.037
Loop 279 (us) 5190.046
Loop 280 (us) 5154.301
Loop 281 (us) 5152.762
Loop 282 (us) 5151.834
