recoveryErasureCoding, filename /tmp4194304eccache.dat, loop 1000
MicroEC Coding Ready

/tmp4194304eccache.dat is a ReplicasFile!
starting benchmark...
ops 1000
final loop (us) 1602.536
Loop 0 (us) 1465.991
Loop 1 (us) 1400.162
Loop 2 (us) 1541.024
Loop 3 (us) 1446.525
Loop 4 (us) 1477.363
Loop 5 (us) 1275.164
Loop 6 (us) 1475.141
Loop 7 (us) 1687.71
Loop 8 (us) 1595.793
Loop 9 (us) 1526.271
Loop 10 (us) 1562.713
Loop 11 (us) 1253.003
Loop 12 (us) 1482.128
Loop 13 (us) 1639.97
Loop 14 (us) 1478.555
Loop 15 (us) 1471.092
Loop 16 (us) 1465.555
Loop 17 (us) 1373.829
Loop 18 (us) 1513.935
Loop 19 (us) 1443.509
Loop 20 (us) 1377.248
Loop 21 (us) 1516.958
Loop 22 (us) 1454.269
Loop 23 (us) 1382.975
Loop 24 (us) 1531.753
Loop 25 (us) 1391.24
Loop 26 (us) 1484.192
Loop 27 (us) 1525.534
Loop 28 (us) 1440.861
Loop 29 (us) 1358.017
Loop 30 (us) 1472.258
Loop 31 (us) 1664.458
Loop 32 (us) 1585.066
Loop 33 (us) 1463.748
Loop 34 (us) 1220.636
Loop 35 (us) 1693.433
Loop 36 (us) 1490.606
Loop 37 (us) 1666.37
Loop 38 (us) 1341.057
Loop 39 (us) 1675.035
Loop 40 (us) 1458.514
Loop 41 (us) 1660.4
Loop 42 (us) 1643.283
Loop 43 (us) 1655.822
Loop 44 (us) 1532.425
Loop 45 (us) 1217.062
Loop 46 (us) 1188.606
Loop 47 (us) 1637.515
Loop 48 (us) 1582.527
Loop 49 (us) 1336.802
Loop 50 (us) 1419.467
Loop 51 (us) 1413.076
Loop 52 (us) 1601.483
Loop 53 (us) 1580.119
Loop 54 (us) 1579.675
Loop 55 (us) 1579.086
Loop 56 (us) 1546.51
Loop 57 (us) 1599.789
Loop 58 (us) 1568.359
Loop 59 (us) 1592.557
Loop 60 (us) 1572.662
Loop 61 (us) 1490.176
Loop 62 (us) 1370.969
Loop 63 (us) 1578.758
Loop 64 (us) 1552.701
Loop 65 (us) 1440.233
Loop 66 (us) 1559.689
Loop 67 (us) 1461.913
Loop 68 (us) 1624.001
Loop 69 (us) 1471.89
Loop 70 (us) 1587.278
Loop 71 (us) 1668.496
Loop 72 (us) 1546.017
Loop 73 (us) 1447.575
Loop 74 (us) 1600.423
Loop 75 (us) 1508.579
Loop 76 (us) 1576.481
Loop 77 (us) 1535.302
Loop 78 (us) 1556.567
Loop 79 (us) 1493.346
Loop 80 (us) 1539.981
Loop 81 (us) 1520.292
Loop 82 (us) 1578.337
Loop 83 (us) 1422.733
Loop 84 (us) 1356.364
Loop 85 (us) 1542.8
Loop 86 (us) 1512.699
Loop 87 (us) 1396.753
Loop 88 (us) 1401.101
Loop 89 (us) 1607.509
Loop 90 (us) 1485.076
Loop 91 (us) 1590.927
Loop 92 (us) 1422.117
Loop 93 (us) 1568.658
Loop 94 (us) 1495.898
Loop 95 (us) 1574.663
Loop 96 (us) 1482.535
Loop 97 (us) 1316.019
Loop 98 (us) 1604.968
Loop 99 (us) 1532.298
Loop 100 (us) 1525.276
Loop 101 (us) 1549.197
Loop 102 (us) 1542.032
Loop 103 (us) 1503.493
Loop 104 (us) 1518.848
Loop 105 (us) 1471.696
Loop 106 (us) 1561.799
Loop 107 (us) 1403.171
Loop 108 (us) 1620.895
Loop 109 (us) 1421.217
Loop 110 (us) 1570.546
Loop 111 (us) 1509.584
Loop 112 (us) 1564.522
Loop 113 (us) 1352.585
Loop 114 (us) 1569.136
Loop 115 (us) 1419.261
Loop 116 (us) 1597.823
Loop 117 (us) 1393.151
Loop 118 (us) 1267.862
Loop 119 (us) 1538.55
Loop 120 (us) 1514.209
Loop 121 (us) 1407.945
Loop 122 (us) 1559.055
Loop 123 (us) 1511.359
Loop 124 (us) 1582.217
Loop 125 (us) 1514.563
Loop 126 (us) 1540.857
Loop 127 (us) 1523.447
Loop 128 (us) 1506.482
Loop 129 (us) 1509.573
Loop 130 (us) 1533.583
Loop 131 (us) 1526.844
Loop 132 (us) 1410.561
Loop 133 (us) 1555.698
Loop 134 (us) 1500.399
Loop 135 (us) 1524.669
Loop 136 (us) 1570.459
Loop 137 (us) 1469.317
Loop 138 (us) 1479.533
Loop 139 (us) 1362.561
Loop 140 (us) 1342.421
Loop 141 (us) 1562.043
Loop 142 (us) 1494.04
Loop 143 (us) 1501.996
Loop 144 (us) 1474.123
Loop 145 (us) 1493.571
Loop 146 (us) 1503.482
Loop 147 (us) 1552.549
Loop 148 (us) 1416.551
Loop 149 (us) 1549.106
Loop 150 (us) 1489.384
Loop 151 (us) 1463.062
Loop 152 (us) 1503.691
Loop 153 (us) 1468.693
Loop 154 (us) 1466.028
Loop 155 (us) 1370.103
Loop 156 (us) 1498.011
Loop 157 (us) 1464.73
Loop 158 (us) 1520.259
Loop 159 (us) 1469.031
Loop 160 (us) 1493.444
Loop 161 (us) 1466.796
Loop 162 (us) 1251.156
Loop 163 (us) 1540.401
Loop 164 (us) 1458.442
Loop 165 (us) 1344.539
Loop 166 (us) 1331.93
Loop 167 (us) 1487.483
Loop 168 (us) 1543.436
Loop 169 (us) 1344.664
Loop 170 (us) 1333.383
Loop 171 (us) 1498.886
Loop 172 (us) 1425.327
Loop 173 (us) 1359.942
Loop 174 (us) 1509.972
Loop 175 (us) 1467.184
Loop 176 (us) 1476.228
Loop 177 (us) 1656.979
Loop 178 (us) 1406.954
Loop 179 (us) 1502.904
Loop 180 (us) 1448.058
Loop 181 (us) 1412.03
Loop 182 (us) 1310.71
Loop 183 (us) 1277.082
Loop 184 (us) 1312.621
Loop 185 (us) 1597.715
Loop 186 (us) 1413.292
Loop 187 (us) 1510.413
Loop 188 (us) 1450.71
Loop 189 (us) 1500.731
Loop 190 (us) 1553.13
Loop 191 (us) 1384.634
Loop 192 (us) 1515.176
Loop 193 (us) 1413.981
Loop 194 (us) 1494.756
Loop 195 (us) 1407.595
Loop 196 (us) 1463.37
Loop 197 (us) 1611.08
Loop 198 (us) 1388.424
Loop 199 (us) 1475.32
Loop 200 (us) 1280.058
Loop 201 (us) 1593.488
Loop 202 (us) 1379.618
Loop 203 (us) 1282.335
Loop 204 (us) 1519.904
Loop 205 (us) 1374.943
Loop 206 (us) 1523.409
Loop 207 (us) 1484.643
Loop 208 (us) 1399.652
Loop 209 (us) 1581.863
Loop 210 (us) 1370.561
Loop 211 (us) 1517.132
Loop 212 (us) 1465.179
Loop 213 (us) 1458.429
Loop 214 (us) 1553.707
Loop 215 (us) 1435.214
Loop 216 (us) 1261.882
Loop 217 (us) 1254.963
Loop 218 (us) 1246.947
Loop 219 (us) 1574.002
Loop 220 (us) 1550.678
Loop 221 (us) 1506.2
Loop 222 (us) 1352.547
Loop 223 (us) 1504.606
Loop 224 (us) 1352.262
Loop 225 (us) 1258.29
Loop 226 (us) 1510.515
Loop 227 (us) 1461.664
Loop 228 (us) 1465.005
Loop 229 (us) 1359.374
Loop 230 (us) 1515.788
Loop 231 (us) 1369.261
Loop 232 (us) 1507.689
Loop 233 (us) 1533.565
Loop 234 (us) 1359.39
Loop 235 (us) 1525.526
Loop 236 (us) 1360.904
Loop 237 (us) 1220.153
Loop 238 (us) 1569.14
Loop 239 (us) 1460.028
Loop 240 (us) 1461.235
Loop 241 (us) 1516.946
Loop 242 (us) 6852.453
Loop 243 (us) 1326.824
Loop 244 (us) 1599.868
Loop 245 (us) 1419.188
Loop 246 (us) 1256.336
Loop 247 (us) 1568.411
Loop 248 (us) 1400.142
Loop 249 (us) 1542.395
Loop 250 (us) 1473.981
Loop 251 (us) 1379.317
Loop 252 (us) 1547.337
Loop 253 (us) 1702.699
Loop 254 (us) 1627.04
Loop 255 (us) 1314.301
Loop 256 (us) 1462.823
Loop 257 (us) 1439.936
Loop 258 (us) 1616.387
Loop 259 (us) 1399.135
Loop 260 (us) 1743.401
Loop 261 (us) 1376.98
Loop 262 (us) 1523.377
Loop 263 (us) 1358.334
Loop 264 (us) 1528.62
Loop 265 (us) 1549.797
Loop 266 (us) 1422.672
Loop 267 (us) 1507.907
Loop 268 (us) 1365.784
Loop 269 (us) 1519.063
Loop 270 (us) 1521.165
Loop 271 (us) 1500.172
Loop 272 (us) 1479.684
Loop 273 (us) 1365.651
Loop 274 (us) 1509.793
Loop 275 (us) 1490.767
Loop 276 (us) 1325.215
Loop 277 (us) 1533.429
Loop 278 (us) 1378.49
Loop 279 (us) 1624.859
Loop 280 (us) 2342.158
Loop 281 (us) 1586.996
