recoveryMicroEC, filename /tmp4194304eccache.dat monECSubStripeNum 256 transferSize 131072 loop 1000
MicroEC Coding Ready

/tmp4194304eccache.dat is a ReplicasFile!
networkSizeArray [131072, 262144, 393216, 524288, 655360, 786432, 917504, 983040, 1015808, 1032192, 1040384, 1044480, 1048576]
starting benchmark...
ops 1000
final loop (us) 755.158
Loop 0 (us) 836.952
Loop 1 (us) 806.29
Loop 2 (us) 777.494
Loop 3 (us) 795.092
Loop 4 (us) 766.527
Loop 5 (us) 794.2
Loop 6 (us) 801.099
Loop 7 (us) 767.025
Loop 8 (us) 803.052
Loop 9 (us) 803.966
Loop 10 (us) 765.221
Loop 11 (us) 794.681
Loop 12 (us) 767.704
Loop 13 (us) 765.247
Loop 14 (us) 761.782
Loop 15 (us) 763.344
Loop 16 (us) 762.768
Loop 17 (us) 795.74
Loop 18 (us) 805.277
Loop 19 (us) 767.365
Loop 20 (us) 881.496
Loop 21 (us) 797.129
Loop 22 (us) 801.746
Loop 23 (us) 801.455
Loop 24 (us) 766.82
Loop 25 (us) 793.883
Loop 26 (us) 767.765
Loop 27 (us) 912.027
Loop 28 (us) 769.18
Loop 29 (us) 802.315
Loop 30 (us) 766.861
Loop 31 (us) 792.016
Loop 32 (us) 799.116
Loop 33 (us) 767.689
Loop 34 (us) 763.898
Loop 35 (us) 894.054
Loop 36 (us) 846.307
Loop 37 (us) 765.205
Loop 38 (us) 763.577
Loop 39 (us) 765.299
Loop 40 (us) 764.803
Loop 41 (us) 760.895
Loop 42 (us) 763.172
Loop 43 (us) 862.726
Loop 44 (us) 1278.097
Loop 45 (us) 770.222
Loop 46 (us) 775.77
Loop 47 (us) 764.604
Loop 48 (us) 794.375
Loop 49 (us) 799.144
Loop 50 (us) 770.501
Loop 51 (us) 796.596
Loop 52 (us) 792.297
Loop 53 (us) 779.077
Loop 54 (us) 798.927
Loop 55 (us) 797.622
Loop 56 (us) 839.724
Loop 57 (us) 833.37
Loop 58 (us) 768.036
