recoveryMicroEC, filename /tmp65536eccache.dat monECSubStripeNum 4 transferSize 16384 loop 1000 degradeNum 1
MicroEC Coding Ready

/tmp65536eccache.dat is a ReplicasFile!
networkSizeArray [16384]
starting benchmark...
ops 1000
final loop (us) 45.11
Loop 0 (us) 83.002
Loop 1 (us) 58.154
Loop 2 (us) 67.945
Loop 3 (us) 47.48
Loop 4 (us) 47.055
Loop 5 (us) 47.006
Loop 6 (us) 46.339
Loop 7 (us) 46.312
Loop 8 (us) 46.894
Loop 9 (us) 45.511
Loop 10 (us) 46.024
Loop 11 (us) 46.523
Loop 12 (us) 46.286
Loop 13 (us) 48.5
Loop 14 (us) 48.316
Loop 15 (us) 46.268
Loop 16 (us) 58.302
Loop 17 (us) 47.68
Loop 18 (us) 45.628
Loop 19 (us) 45.497
Loop 20 (us) 45.887
Loop 21 (us) 45.328
Loop 22 (us) 44.822
Loop 23 (us) 61.164
Loop 24 (us) 46.414
Loop 25 (us) 47.447
Loop 26 (us) 46.424
Loop 27 (us) 44.89
Loop 28 (us) 46.111
Loop 29 (us) 47.011
Loop 30 (us) 45.677
Loop 31 (us) 46.026
Loop 32 (us) 45.748
Loop 33 (us) 45.296
Loop 34 (us) 44.42
Loop 35 (us) 45.307
Loop 36 (us) 53.164
Loop 37 (us) 45.582
Loop 38 (us) 44.791
Loop 39 (us) 44.795
Loop 40 (us) 45.391
Loop 41 (us) 45.023
Loop 42 (us) 44.775
Loop 43 (us) 45.38
Loop 44 (us) 45.417
Loop 45 (us) 46.138
Loop 46 (us) 45.923
Loop 47 (us) 45.639
Loop 48 (us) 45.766
Loop 49 (us) 45.636
Loop 50 (us) 55.653
Loop 51 (us) 46.0
Loop 52 (us) 60.358
Loop 53 (us) 55.728
Loop 54 (us) 45.342
Loop 55 (us) 49.767
Loop 56 (us) 45.763
Loop 57 (us) 44.946
Loop 58 (us) 45.492
Loop 59 (us) 61.153
Loop 60 (us) 47.064
Loop 61 (us) 45.817
Loop 62 (us) 44.742
Loop 63 (us) 44.573
Loop 64 (us) 45.302
Loop 65 (us) 45.353
Loop 66 (us) 44.881
Loop 67 (us) 45.085
Loop 68 (us) 45.304
Loop 69 (us) 56.593
Loop 70 (us) 47.015
Loop 71 (us) 68.974
Loop 72 (us) 49.277
Loop 73 (us) 48.782
Loop 74 (us) 71.302
Loop 75 (us) 50.25
Loop 76 (us) 60.376
Loop 77 (us) 49.154
Loop 78 (us) 58.984
Loop 79 (us) 47.961
Loop 80 (us) 46.926
Loop 81 (us) 47.833
Loop 82 (us) 60.342
Loop 83 (us) 50.941
Loop 84 (us) 63.275
Loop 85 (us) 48.861
Loop 86 (us) 52.559
Loop 87 (us) 62.508
Loop 88 (us) 48.878
Loop 89 (us) 60.461
Loop 90 (us) 50.984
Loop 91 (us) 47.979
Loop 92 (us) 47.372
Loop 93 (us) 47.079
Loop 94 (us) 60.009
Loop 95 (us) 47.285
Loop 96 (us) 47.104
Loop 97 (us) 47.095
Loop 98 (us) 57.024
Loop 99 (us) 50.683
Loop 100 (us) 49.317
Loop 101 (us) 47.44
Loop 102 (us) 48.187
Loop 103 (us) 48.041
Loop 104 (us) 48.414
Loop 105 (us) 48.0
Loop 106 (us) 47.866
Loop 107 (us) 47.25
Loop 108 (us) 46.777
Loop 109 (us) 55.314
Loop 110 (us) 46.587
Loop 111 (us) 46.186
Loop 112 (us) 50.355
Loop 113 (us) 66.679
Loop 114 (us) 74.091
Loop 115 (us) 66.462
Loop 116 (us) 54.505
Loop 117 (us) 46.035
Loop 118 (us) 44.761
Loop 119 (us) 46.569
Loop 120 (us) 46.942
Loop 121 (us) 45.522
Loop 122 (us) 44.609
Loop 123 (us) 45.342
Loop 124 (us) 44.866
Loop 125 (us) 45.668
Loop 126 (us) 52.665
Loop 127 (us) 56.878
Loop 128 (us) 46.979
Loop 129 (us) 45.392
Loop 130 (us) 45.01
Loop 131 (us) 44.651
Loop 132 (us) 44.718
Loop 133 (us) 44.878
Loop 134 (us) 45.003
Loop 135 (us) 45.018
Loop 136 (us) 44.713
Loop 137 (us) 44.35
Loop 138 (us) 45.012
Loop 139 (us) 45.307
Loop 140 (us) 44.949
Loop 141 (us) 43.567
Loop 142 (us) 45.271
Loop 143 (us) 45.22
Loop 144 (us) 45.003
Loop 145 (us) 45.118
Loop 146 (us) 45.415
Loop 147 (us) 47.004
Loop 148 (us) 46.568
Loop 149 (us) 44.846
Loop 150 (us) 44.291
Loop 151 (us) 59.113
Loop 152 (us) 68.589
Loop 153 (us) 45.887
Loop 154 (us) 45.584
Loop 155 (us) 44.716
Loop 156 (us) 45.49
Loop 157 (us) 45.498
Loop 158 (us) 45.79
Loop 159 (us) 45.081
Loop 160 (us) 45.725
Loop 161 (us) 45.129
Loop 162 (us) 45.843
Loop 163 (us) 44.037
Loop 164 (us) 44.371
Loop 165 (us) 45.728
Loop 166 (us) 45.831
Loop 167 (us) 51.11
Loop 168 (us) 44.511
Loop 169 (us) 45.457
Loop 170 (us) 44.803
Loop 171 (us) 45.683
Loop 172 (us) 44.679
Loop 173 (us) 45.491
Loop 174 (us) 44.587
Loop 175 (us) 45.794
Loop 176 (us) 45.836
Loop 177 (us) 44.398
Loop 178 (us) 89.198
Loop 179 (us) 46.339
Loop 180 (us) 44.546
Loop 181 (us) 46.008
Loop 182 (us) 45.258
Loop 183 (us) 44.409
Loop 184 (us) 45.035
Loop 185 (us) 44.914
Loop 186 (us) 51.634
Loop 187 (us) 45.517
Loop 188 (us) 44.316
Loop 189 (us) 44.325
Loop 190 (us) 44.826
Loop 191 (us) 45.511
Loop 192 (us) 44.673
Loop 193 (us) 44.206
Loop 194 (us) 44.499
Loop 195 (us) 45.889
Loop 196 (us) 44.522
Loop 197 (us) 44.532
Loop 198 (us) 44.514
Loop 199 (us) 44.462
Loop 200 (us) 44.693
Loop 201 (us) 44.496
Loop 202 (us) 44.805
Loop 203 (us) 44.732
Loop 204 (us) 44.762
Loop 205 (us) 57.191
Loop 206 (us) 52.078
Loop 207 (us) 46.792
Loop 208 (us) 46.412
Loop 209 (us) 44.106
Loop 210 (us) 46.111
Loop 211 (us) 66.175
Loop 212 (us) 53.408
Loop 213 (us) 46.802
Loop 214 (us) 44.417
Loop 215 (us) 43.984
Loop 216 (us) 44.057
Loop 217 (us) 44.928
Loop 218 (us) 44.519
Loop 219 (us) 43.796
Loop 220 (us) 44.025
Loop 221 (us) 46.671
Loop 222 (us) 45.758
Loop 223 (us) 44.719
Loop 224 (us) 44.478
Loop 225 (us) 44.823
Loop 226 (us) 50.888
Loop 227 (us) 44.228
Loop 228 (us) 45.101
Loop 229 (us) 44.502
Loop 230 (us) 44.316
Loop 231 (us) 43.805
Loop 232 (us) 51.101
Loop 233 (us) 44.73
Loop 234 (us) 45.122
Loop 235 (us) 45.744
Loop 236 (us) 44.511
Loop 237 (us) 45.563
Loop 238 (us) 44.541
Loop 239 (us) 44.221
Loop 240 (us) 44.285
Loop 241 (us) 44.642
Loop 242 (us) 51.723
Loop 243 (us) 57.904
Loop 244 (us) 53.868
Loop 245 (us) 70.754
Loop 246 (us) 45.455
