recoveryErasureCoding, filename /tmp262144eccache.dat, loop 1000
MicroEC Coding Ready

/tmp262144eccache.dat is a ReplicasFile!
starting benchmark...
ops 1000
final loop (us) 140.902
Loop 0 (us) 151.672
Loop 1 (us) 155.384
Loop 2 (us) 140.935
Loop 3 (us) 161.242
Loop 4 (us) 145.029
Loop 5 (us) 144.511
Loop 6 (us) 145.286
Loop 7 (us) 152.861
Loop 8 (us) 149.788
Loop 9 (us) 139.568
Loop 10 (us) 129.643
Loop 11 (us) 117.355
Loop 12 (us) 115.724
Loop 13 (us) 149.536
Loop 14 (us) 143.644
Loop 15 (us) 131.323
Loop 16 (us) 140.442
Loop 17 (us) 142.717
Loop 18 (us) 139.178
Loop 19 (us) 129.165
Loop 20 (us) 129.733
Loop 21 (us) 148.675
Loop 22 (us) 140.038
Loop 23 (us) 124.341
Loop 24 (us) 147.836
Loop 25 (us) 139.49
Loop 26 (us) 151.142
Loop 27 (us) 140.1
Loop 28 (us) 149.721
Loop 29 (us) 146.5
Loop 30 (us) 139.397
Loop 31 (us) 150.409
Loop 32 (us) 131.636
Loop 33 (us) 137.768
Loop 34 (us) 152.258
Loop 35 (us) 140.056
Loop 36 (us) 132.507
Loop 37 (us) 127.775
Loop 38 (us) 151.92
Loop 39 (us) 133.411
Loop 40 (us) 140.353
Loop 41 (us) 141.977
Loop 42 (us) 141.055
Loop 43 (us) 121.693
Loop 44 (us) 115.945
Loop 45 (us) 115.259
Loop 46 (us) 148.1
Loop 47 (us) 143.305
Loop 48 (us) 140.775
Loop 49 (us) 129.289
Loop 50 (us) 117.783
Loop 51 (us) 125.467
Loop 52 (us) 127.623
Loop 53 (us) 127.313
Loop 54 (us) 127.649
Loop 55 (us) 127.548
Loop 56 (us) 151.074
Loop 57 (us) 132.258
Loop 58 (us) 146.653
Loop 59 (us) 139.713
Loop 60 (us) 117.939
Loop 61 (us) 126.412
Loop 62 (us) 127.793
Loop 63 (us) 149.362
Loop 64 (us) 138.981
Loop 65 (us) 128.144
Loop 66 (us) 140.108
Loop 67 (us) 150.717
Loop 68 (us) 132.061
Loop 69 (us) 158.561
Loop 70 (us) 133.313
Loop 71 (us) 142.402
Loop 72 (us) 143.543
Loop 73 (us) 165.027
Loop 74 (us) 144.405
Loop 75 (us) 127.564
Loop 76 (us) 117.554
Loop 77 (us) 147.541
Loop 78 (us) 131.891
Loop 79 (us) 141.258
Loop 80 (us) 128.386
Loop 81 (us) 126.258
Loop 82 (us) 149.767
Loop 83 (us) 139.005
Loop 84 (us) 147.43
Loop 85 (us) 129.912
Loop 86 (us) 139.034
Loop 87 (us) 145.437
Loop 88 (us) 149.121
Loop 89 (us) 149.865
Loop 90 (us) 118.47
Loop 91 (us) 126.529
Loop 92 (us) 127.228
Loop 93 (us) 147.849
Loop 94 (us) 131.995
Loop 95 (us) 142.27
Loop 96 (us) 141.314
Loop 97 (us) 147.34
Loop 98 (us) 137.461
Loop 99 (us) 128.977
Loop 100 (us) 117.928
Loop 101 (us) 151.192
Loop 102 (us) 144.43
Loop 103 (us) 140.144
Loop 104 (us) 174.347
Loop 105 (us) 132.845
Loop 106 (us) 140.949
Loop 107 (us) 142.177
Loop 108 (us) 3339.739
Loop 109 (us) 205.027
Loop 110 (us) 140.103
Loop 111 (us) 191.208
Loop 112 (us) 181.526
Loop 113 (us) 133.223
Loop 114 (us) 117.548
Loop 115 (us) 148.01
Loop 116 (us) 130.561
Loop 117 (us) 145.603
Loop 118 (us) 139.098
Loop 119 (us) 128.139
Loop 120 (us) 149.301
Loop 121 (us) 141.243
Loop 122 (us) 129.424
Loop 123 (us) 135.738
Loop 124 (us) 116.593
Loop 125 (us) 145.734
Loop 126 (us) 129.916
Loop 127 (us) 135.821
Loop 128 (us) 147.537
Loop 129 (us) 142.526
Loop 130 (us) 128.446
Loop 131 (us) 148.022
Loop 132 (us) 143.154
Loop 133 (us) 137.589
Loop 134 (us) 127.388
Loop 135 (us) 125.975
Loop 136 (us) 148.685
Loop 137 (us) 139.088
Loop 138 (us) 126.214
Loop 139 (us) 125.554
Loop 140 (us) 148.952
Loop 141 (us) 138.971
Loop 142 (us) 138.752
Loop 143 (us) 131.191
Loop 144 (us) 134.752
Loop 145 (us) 148.924
Loop 146 (us) 137.329
Loop 147 (us) 116.59
Loop 148 (us) 114.27
Loop 149 (us) 145.688
Loop 150 (us) 141.144
Loop 151 (us) 145.686
Loop 152 (us) 126.469
Loop 153 (us) 150.339
Loop 154 (us) 137.962
Loop 155 (us) 126.991
Loop 156 (us) 125.93
Loop 157 (us) 147.058
Loop 158 (us) 131.634
Loop 159 (us) 139.153
Loop 160 (us) 136.556
Loop 161 (us) 126.961
Loop 162 (us) 147.534
Loop 163 (us) 145.447
Loop 164 (us) 137.968
Loop 165 (us) 148.368
Loop 166 (us) 138.812
Loop 167 (us) 147.192
Loop 168 (us) 138.852
Loop 169 (us) 148.772
Loop 170 (us) 140.438
Loop 171 (us) 137.363
Loop 172 (us) 127.224
Loop 173 (us) 145.731
Loop 174 (us) 141.218
Loop 175 (us) 128.432
Loop 176 (us) 135.149
Loop 177 (us) 158.798
Loop 178 (us) 139.419
Loop 179 (us) 148.591
Loop 180 (us) 137.986
Loop 181 (us) 147.21
Loop 182 (us) 137.191
Loop 183 (us) 127.607
Loop 184 (us) 151.598
Loop 185 (us) 141.173
Loop 186 (us) 142.163
Loop 187 (us) 129.673
Loop 188 (us) 129.079
Loop 189 (us) 135.152
Loop 190 (us) 127.523
Loop 191 (us) 154.414
Loop 192 (us) 131.242
Loop 193 (us) 135.083
Loop 194 (us) 126.236
Loop 195 (us) 148.796
Loop 196 (us) 130.612
Loop 197 (us) 136.86
Loop 198 (us) 129.685
Loop 199 (us) 148.62
Loop 200 (us) 137.166
Loop 201 (us) 116.463
Loop 202 (us) 145.759
Loop 203 (us) 131.016
Loop 204 (us) 136.464
Loop 205 (us) 148.883
Loop 206 (us) 140.839
Loop 207 (us) 136.639
Loop 208 (us) 146.998
Loop 209 (us) 129.32
Loop 210 (us) 134.73
Loop 211 (us) 146.991
Loop 212 (us) 131.971
Loop 213 (us) 138.153
Loop 214 (us) 141.661
Loop 215 (us) 148.975
Loop 216 (us) 141.732
Loop 217 (us) 131.426
Loop 218 (us) 135.952
Loop 219 (us) 150.426
Loop 220 (us) 137.374
Loop 221 (us) 148.79
Loop 222 (us) 131.004
Loop 223 (us) 139.797
Loop 224 (us) 141.036
Loop 225 (us) 136.26
Loop 226 (us) 147.371
Loop 227 (us) 142.975
Loop 228 (us) 136.747
Loop 229 (us) 116.636
Loop 230 (us) 146.129
Loop 231 (us) 139.933
Loop 232 (us) 130.265
Loop 233 (us) 136.036
Loop 234 (us) 131.502
Loop 235 (us) 126.836
Loop 236 (us) 147.043
Loop 237 (us) 131.055
Loop 238 (us) 135.763
Loop 239 (us) 148.369
Loop 240 (us) 142.299
Loop 241 (us) 137.961
Loop 242 (us) 117.08
Loop 243 (us) 124.419
Loop 244 (us) 146.231
Loop 245 (us) 137.49
Loop 246 (us) 148.082
Loop 247 (us) 137.915
Loop 248 (us) 127.288
Loop 249 (us) 149.766
Loop 250 (us) 136.992
Loop 251 (us) 146.665
Loop 252 (us) 131.207
Loop 253 (us) 139.23
Loop 254 (us) 139.13
Loop 255 (us) 136.913
Loop 256 (us) 147.676
Loop 257 (us) 137.488
Loop 258 (us) 116.909
Loop 259 (us) 144.892
Loop 260 (us) 142.215
Loop 261 (us) 137.713
Loop 262 (us) 116.949
Loop 263 (us) 129.268
Loop 264 (us) 127.126
Loop 265 (us) 115.99
Loop 266 (us) 145.597
Loop 267 (us) 137.401
Loop 268 (us) 117.222
Loop 269 (us) 125.05
Loop 270 (us) 125.487
Loop 271 (us) 152.057
Loop 272 (us) 139.529
Loop 273 (us) 136.885
Loop 274 (us) 148.643
Loop 275 (us) 141.302
Loop 276 (us) 137.567
Loop 277 (us) 126.573
Loop 278 (us) 148.313
Loop 279 (us) 154.338
Loop 280 (us) 140.7
Loop 281 (us) 138.855
Loop 282 (us) 147.078
Loop 283 (us) 130.114
Loop 284 (us) 139.27
Loop 285 (us) 136.607
Loop 286 (us) 126.958
Loop 287 (us) 148.95
Loop 288 (us) 139.049
Loop 289 (us) 116.08
Loop 290 (us) 114.667
Loop 291 (us) 124.441
Loop 292 (us) 117.291
Loop 293 (us) 147.122
Loop 294 (us) 141.258
Loop 295 (us) 136.976
Loop 296 (us) 148.066
Loop 297 (us) 136.235
Loop 298 (us) 127.57
Loop 299 (us) 147.029
Loop 300 (us) 140.724
Loop 301 (us) 131.406
Loop 302 (us) 138.951
