recoveryMicroEC, filename /tmp4194304eccache.dat monECSubStripeNum 256 transferSize 131072 loop 1000
MicroEC Coding Ready

/tmp4194304eccache.dat is a ReplicasFile!
networkSizeArray [131072, 262144, 393216, 524288, 655360, 786432, 917504, 983040, 1015808, 1032192, 1040384, 1044480, 1048576]
starting benchmark...
ops 1000
final loop (us) 911.919
Loop 0 (us) 936.773
Loop 1 (us) 845.1
Loop 2 (us) 839.828
Loop 3 (us) 849.37
Loop 4 (us) 850.16
Loop 5 (us) 943.432
Loop 6 (us) 871.523
Loop 7 (us) 839.237
Loop 8 (us) 950.119
Loop 9 (us) 879.018
Loop 10 (us) 873.115
Loop 11 (us) 837.901
Loop 12 (us) 961.311
Loop 13 (us) 837.092
Loop 14 (us) 888.415
Loop 15 (us) 868.685
Loop 16 (us) 841.314
Loop 17 (us) 1156.012
Loop 18 (us) 941.186
Loop 19 (us) 854.169
Loop 20 (us) 950.791
Loop 21 (us) 883.72
Loop 22 (us) 1307.159
Loop 23 (us) 931.867
Loop 24 (us) 855.191
Loop 25 (us) 849.921
Loop 26 (us) 1258.866
Loop 27 (us) 937.005
Loop 28 (us) 838.576
Loop 29 (us) 1232.041
Loop 30 (us) 929.103
Loop 31 (us) 852.47
Loop 32 (us) 1163.034
Loop 33 (us) 836.64
Loop 34 (us) 1336.738
Loop 35 (us) 885.78
Loop 36 (us) 867.298
Loop 37 (us) 881.724
Loop 38 (us) 885.764
Loop 39 (us) 853.483
Loop 40 (us) 948.123
Loop 41 (us) 879.984
Loop 42 (us) 867.065
Loop 43 (us) 1207.969
Loop 44 (us) 842.254
Loop 45 (us) 1182.8
Loop 46 (us) 920.493
Loop 47 (us) 853.129
Loop 48 (us) 934.949
Loop 49 (us) 872.644
Loop 50 (us) 867.512
Loop 51 (us) 855.332
Loop 52 (us) 849.806
Loop 53 (us) 836.758
Loop 54 (us) 927.482
Loop 55 (us) 874.177
Loop 56 (us) 884.891
Loop 57 (us) 883.553
