recoveryReplicas, filename /tmp4194304replicas.dat, loop 1000
/tmp4194304replicas.dat is a ReplicasFile!
starting benchmark...
ops 1000
final loop (us) 1939.397
Loop 0 (us) 1944.747
Loop 1 (us) 1942.015
Loop 2 (us) 1941.781
Loop 3 (us) 1941.185
Loop 4 (us) 1941.331
Loop 5 (us) 1941.599
Loop 6 (us) 1941.584
Loop 7 (us) 1941.184
Loop 8 (us) 1941.486
Loop 9 (us) 1941.344
Loop 10 (us) 1940.985
Loop 11 (us) 1940.707
Loop 12 (us) 1941.371
Loop 13 (us) 1941.215
Loop 14 (us) 1942.429
Loop 15 (us) 1941.345
Loop 16 (us) 1941.553
Loop 17 (us) 1941.507
Loop 18 (us) 1941.66
Loop 19 (us) 1941.822
Loop 20 (us) 1941.362
Loop 21 (us) 1942.353
Loop 22 (us) 1940.936
Loop 23 (us) 1941.257
Loop 24 (us) 1941.635
Loop 25 (us) 1941.452
Loop 26 (us) 1941.016
Loop 27 (us) 1941.143
Loop 28 (us) 1940.897
Loop 29 (us) 1941.161
Loop 30 (us) 1941.162
Loop 31 (us) 1940.653
Loop 32 (us) 1941.036
Loop 33 (us) 1940.893
Loop 34 (us) 1940.981
Loop 35 (us) 1942.202
Loop 36 (us) 1941.128
Loop 37 (us) 1962.414
Loop 38 (us) 1942.394
Loop 39 (us) 1941.61
Loop 40 (us) 1941.24
Loop 41 (us) 1942.226
Loop 42 (us) 1941.18
Loop 43 (us) 1942.046
Loop 44 (us) 1941.006
Loop 45 (us) 1942.302
Loop 46 (us) 1940.578
Loop 47 (us) 1941.375
Loop 48 (us) 1942.396
Loop 49 (us) 1941.258
Loop 50 (us) 1944.124
Loop 51 (us) 1941.447
Loop 52 (us) 1941.378
Loop 53 (us) 1941.025
Loop 54 (us) 1941.072
Loop 55 (us) 1942.104
Loop 56 (us) 1941.178
Loop 57 (us) 1941.526
Loop 58 (us) 1940.855
Loop 59 (us) 1941.427
Loop 60 (us) 1941.772
Loop 61 (us) 1940.737
Loop 62 (us) 1940.819
Loop 63 (us) 1941.832
Loop 64 (us) 1940.962
Loop 65 (us) 1941.36
Loop 66 (us) 1941.108
Loop 67 (us) 1940.982
Loop 68 (us) 1942.291
Loop 69 (us) 1941.305
Loop 70 (us) 1940.939
Loop 71 (us) 1940.742
Loop 72 (us) 1941.566
Loop 73 (us) 1941.538
Loop 74 (us) 1941.325
Loop 75 (us) 1941.733
Loop 76 (us) 1941.825
Loop 77 (us) 1941.346
Loop 78 (us) 1942.271
Loop 79 (us) 1941.26
Loop 80 (us) 1941.729
Loop 81 (us) 1940.819
Loop 82 (us) 1941.525
Loop 83 (us) 1942.924
Loop 84 (us) 1941.69
Loop 85 (us) 1942.086
Loop 86 (us) 1942.816
Loop 87 (us) 1942.257
Loop 88 (us) 1942.277
Loop 89 (us) 1941.524
Loop 90 (us) 1942.722
Loop 91 (us) 1942.475
Loop 92 (us) 1942.021
Loop 93 (us) 1941.313
Loop 94 (us) 1941.53
Loop 95 (us) 1941.151
Loop 96 (us) 1941.458
Loop 97 (us) 1940.999
Loop 98 (us) 1941.609
Loop 99 (us) 1940.535
Loop 100 (us) 1941.112
Loop 101 (us) 1942.248
Loop 102 (us) 1941.905
Loop 103 (us) 1941.365
Loop 104 (us) 1941.126
Loop 105 (us) 1940.792
Loop 106 (us) 1940.919
Loop 107 (us) 1949.28
Loop 108 (us) 1940.838
Loop 109 (us) 1951.614
Loop 110 (us) 1945.773
Loop 111 (us) 1945.885
Loop 112 (us) 1943.791
Loop 113 (us) 1941.823
Loop 114 (us) 1942.529
Loop 115 (us) 1943.002
Loop 116 (us) 1941.668
Loop 117 (us) 1941.195
Loop 118 (us) 1941.834
Loop 119 (us) 1947.288
Loop 120 (us) 1941.993
Loop 121 (us) 1942.326
Loop 122 (us) 1941.957
Loop 123 (us) 1941.603
Loop 124 (us) 1942.139
Loop 125 (us) 1942.161
Loop 126 (us) 1943.971
Loop 127 (us) 1942.728
Loop 128 (us) 1943.22
Loop 129 (us) 1941.601
Loop 130 (us) 1954.649
Loop 131 (us) 1941.59
Loop 132 (us) 1940.615
Loop 133 (us) 1941.273
Loop 134 (us) 1940.744
Loop 135 (us) 1940.601
Loop 136 (us) 1940.947
Loop 137 (us) 1942.413
Loop 138 (us) 1940.923
Loop 139 (us) 1941.274
Loop 140 (us) 1940.629
Loop 141 (us) 1941.393
Loop 142 (us) 1940.817
Loop 143 (us) 1940.997
Loop 144 (us) 1940.581
Loop 145 (us) 1941.327
Loop 146 (us) 1941.032
Loop 147 (us) 1941.059
Loop 148 (us) 1941.494
Loop 149 (us) 1940.803
Loop 150 (us) 1940.537
Loop 151 (us) 1941.804
Loop 152 (us) 1971.584
Loop 153 (us) 1947.172
Loop 154 (us) 1944.628
Loop 155 (us) 1940.813
Loop 156 (us) 1940.513
Loop 157 (us) 1939.813
Loop 158 (us) 1939.521
Loop 159 (us) 1939.948
Loop 160 (us) 1940.684
Loop 161 (us) 1940.964
Loop 162 (us) 1939.781
Loop 163 (us) 1940.246
Loop 164 (us) 1940.062
Loop 165 (us) 1940.817
Loop 166 (us) 1939.633
Loop 167 (us) 1940.237
Loop 168 (us) 1940.057
Loop 169 (us) 1940.374
Loop 170 (us) 1940.516
Loop 171 (us) 1939.357
Loop 172 (us) 1939.709
Loop 173 (us) 1940.117
Loop 174 (us) 1940.315
Loop 175 (us) 1940.953
Loop 176 (us) 1940.291
Loop 177 (us) 1939.956
Loop 178 (us) 1940.548
Loop 179 (us) 1939.594
Loop 180 (us) 1940.239
Loop 181 (us) 1939.945
Loop 182 (us) 1940.937
Loop 183 (us) 1940.262
Loop 184 (us) 1940.239
Loop 185 (us) 1940.406
Loop 186 (us) 1940.813
Loop 187 (us) 1940.615
Loop 188 (us) 1939.093
Loop 189 (us) 1939.584
Loop 190 (us) 1940.515
Loop 191 (us) 1939.83
Loop 192 (us) 1940.01
Loop 193 (us) 1939.902
Loop 194 (us) 1941.313
Loop 195 (us) 1939.695
Loop 196 (us) 1940.184
Loop 197 (us) 1939.878
Loop 198 (us) 1939.523
Loop 199 (us) 1940.589
Loop 200 (us) 1941.289
Loop 201 (us) 1939.919
Loop 202 (us) 1939.522
Loop 203 (us) 1940.648
Loop 204 (us) 1939.599
Loop 205 (us) 1943.543
Loop 206 (us) 1940.537
Loop 207 (us) 1939.876
Loop 208 (us) 1940.357
Loop 209 (us) 1940.203
Loop 210 (us) 1940.395
Loop 211 (us) 1939.595
Loop 212 (us) 1940.692
Loop 213 (us) 1939.993
Loop 214 (us) 1940.752
Loop 215 (us) 1939.477
Loop 216 (us) 1940.311
Loop 217 (us) 1942.807
Loop 218 (us) 1940.973
Loop 219 (us) 1940.142
Loop 220 (us) 1939.605
Loop 221 (us) 1940.321
Loop 222 (us) 1941.215
Loop 223 (us) 1939.704
Loop 224 (us) 1940.315
Loop 225 (us) 1940.535
Loop 226 (us) 1940.089
Loop 227 (us) 1939.94
Loop 228 (us) 1940.532
Loop 229 (us) 1940.709
Loop 230 (us) 1940.094
Loop 231 (us) 1942.002
Loop 232 (us) 1940.835
Loop 233 (us) 1939.913
Loop 234 (us) 1942.37
Loop 235 (us) 1940.672
Loop 236 (us) 1940.243
Loop 237 (us) 1939.865
Loop 238 (us) 1940.14
Loop 239 (us) 1944.371
Loop 240 (us) 1939.906
Loop 241 (us) 1939.818
Loop 242 (us) 1939.871
Loop 243 (us) 1939.733
Loop 244 (us) 1940.061
Loop 245 (us) 1940.527
Loop 246 (us) 1940.348
Loop 247 (us) 1939.751
Loop 248 (us) 1939.73
Loop 249 (us) 1939.965
Loop 250 (us) 1940.1
Loop 251 (us) 1939.824
Loop 252 (us) 1939.952
Loop 253 (us) 1940.052
Loop 254 (us) 1940.11
Loop 255 (us) 1940.307
Loop 256 (us) 1939.824
Loop 257 (us) 1939.65
Loop 258 (us) 1939.622
Loop 259 (us) 1940.461
Loop 260 (us) 1939.939
Loop 261 (us) 1939.918
Loop 262 (us) 1939.88
Loop 263 (us) 1939.648
Loop 264 (us) 1940.128
Loop 265 (us) 1940.067
Loop 266 (us) 1940.41
Loop 267 (us) 1939.768
Loop 268 (us) 1940.363
Loop 269 (us) 1940.068
Loop 270 (us) 1939.6
Loop 271 (us) 1941.092
Loop 272 (us) 1939.571
Loop 273 (us) 1940.069
Loop 274 (us) 1939.983
Loop 275 (us) 1939.813
Loop 276 (us) 1941.356
Loop 277 (us) 1939.982
Loop 278 (us) 1939.365
Loop 279 (us) 1952.869
Loop 280 (us) 1942.19
Loop 281 (us) 1940.053
Loop 282 (us) 1939.913
