recoveryMicroEC, filename /tmp65536eccache.dat monECSubStripeNum 4 transferSize 16384 loop 1000 degradeNum 2
MicroEC Coding Ready

/tmp65536eccache.dat is a ReplicasFile!
networkSizeArray [16384]
starting benchmark...
ops 1000
final loop (us) 44.701
Loop 0 (us) 107.986
Loop 1 (us) 96.815
Loop 2 (us) 56.632
Loop 3 (us) 54.518
Loop 4 (us) 53.674
Loop 5 (us) 54.09
Loop 6 (us) 53.981
Loop 7 (us) 59.211
Loop 8 (us) 54.669
Loop 9 (us) 52.92
Loop 10 (us) 53.403
Loop 11 (us) 54.214
Loop 12 (us) 55.92
Loop 13 (us) 55.641
Loop 14 (us) 57.771
Loop 15 (us) 64.346
Loop 16 (us) 75.261
Loop 17 (us) 54.835
Loop 18 (us) 52.105
Loop 19 (us) 52.289
Loop 20 (us) 54.148
Loop 21 (us) 53.08
Loop 22 (us) 54.736
Loop 23 (us) 53.634
Loop 24 (us) 62.486
Loop 25 (us) 55.202
Loop 26 (us) 55.405
Loop 27 (us) 55.061
Loop 28 (us) 54.848
Loop 29 (us) 55.289
Loop 30 (us) 54.381
Loop 31 (us) 54.055
Loop 32 (us) 53.146
Loop 33 (us) 52.153
Loop 34 (us) 52.043
Loop 35 (us) 51.538
Loop 36 (us) 52.775
Loop 37 (us) 52.997
Loop 38 (us) 52.0
Loop 39 (us) 52.196
Loop 40 (us) 51.538
Loop 41 (us) 58.529
Loop 42 (us) 52.294
Loop 43 (us) 52.322
Loop 44 (us) 53.136
Loop 45 (us) 70.803
Loop 46 (us) 52.382
Loop 47 (us) 50.316
Loop 48 (us) 50.765
Loop 49 (us) 51.376
Loop 50 (us) 50.847
Loop 51 (us) 51.41
Loop 52 (us) 51.179
Loop 53 (us) 51.283
Loop 54 (us) 50.665
Loop 55 (us) 51.875
Loop 56 (us) 51.441
Loop 57 (us) 50.178
Loop 58 (us) 56.687
Loop 59 (us) 52.679
Loop 60 (us) 51.367
Loop 61 (us) 51.64
Loop 62 (us) 51.146
Loop 63 (us) 53.044
Loop 64 (us) 51.442
Loop 65 (us) 51.473
Loop 66 (us) 70.883
Loop 67 (us) 54.474
Loop 68 (us) 51.905
Loop 69 (us) 52.579
Loop 70 (us) 51.072
Loop 71 (us) 51.094
Loop 72 (us) 51.309
Loop 73 (us) 50.434
Loop 74 (us) 56.253
Loop 75 (us) 68.505
Loop 76 (us) 52.231
Loop 77 (us) 51.465
Loop 78 (us) 50.762
Loop 79 (us) 59.68
Loop 80 (us) 55.44
Loop 81 (us) 51.314
Loop 82 (us) 70.289
Loop 83 (us) 52.256
Loop 84 (us) 51.681
Loop 85 (us) 67.521
Loop 86 (us) 52.856
Loop 87 (us) 54.616
Loop 88 (us) 64.687
Loop 89 (us) 54.009
Loop 90 (us) 50.829
Loop 91 (us) 58.671
Loop 92 (us) 52.1
Loop 93 (us) 64.521
Loop 94 (us) 58.401
Loop 95 (us) 52.192
Loop 96 (us) 96.321
Loop 97 (us) 73.93
Loop 98 (us) 53.043
Loop 99 (us) 51.656
Loop 100 (us) 50.882
Loop 101 (us) 51.573
Loop 102 (us) 51.682
Loop 103 (us) 51.569
Loop 104 (us) 51.088
Loop 105 (us) 51.24
Loop 106 (us) 50.894
Loop 107 (us) 58.146
Loop 108 (us) 51.522
Loop 109 (us) 61.981
Loop 110 (us) 52.636
Loop 111 (us) 51.72
Loop 112 (us) 50.887
Loop 113 (us) 51.594
Loop 114 (us) 73.389
Loop 115 (us) 52.827
Loop 116 (us) 50.893
Loop 117 (us) 50.618
Loop 118 (us) 51.062
Loop 119 (us) 52.951
Loop 120 (us) 51.471
Loop 121 (us) 51.396
Loop 122 (us) 50.529
Loop 123 (us) 51.246
Loop 124 (us) 56.583
Loop 125 (us) 52.206
Loop 126 (us) 57.694
Loop 127 (us) 55.573
Loop 128 (us) 51.103
Loop 129 (us) 50.618
Loop 130 (us) 51.638
Loop 131 (us) 50.786
Loop 132 (us) 50.972
Loop 133 (us) 50.547
Loop 134 (us) 50.457
Loop 135 (us) 50.847
Loop 136 (us) 54.33
Loop 137 (us) 51.451
Loop 138 (us) 49.722
Loop 139 (us) 49.966
Loop 140 (us) 51.507
Loop 141 (us) 50.785
Loop 142 (us) 56.71
Loop 143 (us) 62.428
Loop 144 (us) 51.066
Loop 145 (us) 51.061
Loop 146 (us) 56.437
Loop 147 (us) 50.847
Loop 148 (us) 51.183
Loop 149 (us) 50.356
Loop 150 (us) 52.751
Loop 151 (us) 52.391
Loop 152 (us) 52.165
Loop 153 (us) 50.793
Loop 154 (us) 50.653
Loop 155 (us) 50.414
Loop 156 (us) 50.317
Loop 157 (us) 49.971
Loop 158 (us) 50.587
Loop 159 (us) 52.921
Loop 160 (us) 78.362
Loop 161 (us) 50.866
Loop 162 (us) 50.334
Loop 163 (us) 50.012
Loop 164 (us) 50.786
Loop 165 (us) 50.002
Loop 166 (us) 50.569
Loop 167 (us) 50.731
Loop 168 (us) 50.164
Loop 169 (us) 49.89
Loop 170 (us) 50.215
Loop 171 (us) 50.385
Loop 172 (us) 50.689
Loop 173 (us) 50.337
Loop 174 (us) 51.015
Loop 175 (us) 60.752
Loop 176 (us) 51.017
Loop 177 (us) 59.235
Loop 178 (us) 50.777
Loop 179 (us) 50.609
Loop 180 (us) 72.416
Loop 181 (us) 60.686
Loop 182 (us) 54.07
Loop 183 (us) 51.898
Loop 184 (us) 50.866
Loop 185 (us) 49.83
Loop 186 (us) 50.35
Loop 187 (us) 50.21
Loop 188 (us) 66.369
Loop 189 (us) 52.105
Loop 190 (us) 51.912
Loop 191 (us) 51.168
Loop 192 (us) 50.203
Loop 193 (us) 50.311
Loop 194 (us) 59.027
Loop 195 (us) 51.225
Loop 196 (us) 50.722
Loop 197 (us) 50.783
Loop 198 (us) 49.528
Loop 199 (us) 50.023
Loop 200 (us) 51.161
Loop 201 (us) 50.811
Loop 202 (us) 49.599
Loop 203 (us) 50.825
Loop 204 (us) 50.26
Loop 205 (us) 49.831
Loop 206 (us) 59.846
Loop 207 (us) 59.265
Loop 208 (us) 50.609
Loop 209 (us) 50.228
Loop 210 (us) 50.696
Loop 211 (us) 50.159
Loop 212 (us) 57.3
Loop 213 (us) 69.468
Loop 214 (us) 50.423
Loop 215 (us) 49.888
Loop 216 (us) 49.84
Loop 217 (us) 49.253
Loop 218 (us) 48.783
Loop 219 (us) 49.197
Loop 220 (us) 48.796
Loop 221 (us) 49.379
Loop 222 (us) 49.468
Loop 223 (us) 49.896
Loop 224 (us) 49.343
Loop 225 (us) 50.089
Loop 226 (us) 49.827
Loop 227 (us) 49.187
Loop 228 (us) 49.154
Loop 229 (us) 49.574
Loop 230 (us) 53.357
Loop 231 (us) 49.952
Loop 232 (us) 49.552
Loop 233 (us) 49.433
Loop 234 (us) 49.402
Loop 235 (us) 50.189
Loop 236 (us) 49.293
Loop 237 (us) 51.477
Loop 238 (us) 50.257
Loop 239 (us) 49.757
Loop 240 (us) 49.321
Loop 241 (us) 50.208
Loop 242 (us) 70.71
Loop 243 (us) 50.617
Loop 244 (us) 50.568
Loop 245 (us) 48.618
Loop 246 (us) 49.368
