writeECPipeline, filename /tmp1024eccache.dat, size 1024, encodingSplitSize 256, loop 1000, storageClass 0, locationClass 0, pureMonECSubStripeNum 1, isPureMonEC false
MicroEC Coding Ready

starting benchmark...
CrailConstants.REPLICATION_FACTOR has changed to 5
replicas primary file /tmp1024eccache.dat capacity 0
replicas slave file /tmp1024eccache.datLQL0 capacity 0
replicas slave file /tmp1024eccache.datLQL1 capacity 0
replicas slave file /tmp1024eccache.datLQL2 capacity 0
replicas slave file /tmp1024eccache.datLQL3 capacity 0
replicas slave file /tmp1024eccache.datLQL4 capacity 0
ops 1000
final loop (us) 20.36
Loop 0 (us) 56.56
Loop 1 (us) 52.364
Loop 2 (us) 50.136
Loop 3 (us) 59.535
Loop 4 (us) 38.763
Loop 5 (us) 44.799
Loop 6 (us) 37.514
Loop 7 (us) 56.818
Loop 8 (us) 37.181
Loop 9 (us) 36.968
Loop 10 (us) 37.302
Loop 11 (us) 35.882
Loop 12 (us) 32.802
Loop 13 (us) 31.805
Loop 14 (us) 32.771
Loop 15 (us) 32.561
Loop 16 (us) 36.044
Loop 17 (us) 32.683
Loop 18 (us) 30.791
Loop 19 (us) 34.423
Loop 20 (us) 31.638
Loop 21 (us) 33.736
Loop 22 (us) 32.632
Loop 23 (us) 29.917
Loop 24 (us) 31.405
Loop 25 (us) 32.35
Loop 26 (us) 31.504
Loop 27 (us) 34.686
Loop 28 (us) 33.498
Loop 29 (us) 33.187
Loop 30 (us) 31.528
Loop 31 (us) 31.118
Loop 32 (us) 30.422
Loop 33 (us) 31.135
Loop 34 (us) 31.73
Loop 35 (us) 31.089
Loop 36 (us) 30.166
Loop 37 (us) 41.466
Loop 38 (us) 37.272
Loop 39 (us) 28.8
Loop 40 (us) 29.008
Loop 41 (us) 40.202
Loop 42 (us) 28.765
Loop 43 (us) 28.605
Loop 44 (us) 28.414
Loop 45 (us) 28.61
Loop 46 (us) 28.528
Loop 47 (us) 30.53
Loop 48 (us) 29.603
Loop 49 (us) 29.491
Loop 50 (us) 29.478
Loop 51 (us) 29.055
Loop 52 (us) 28.37
Loop 53 (us) 29.006
Loop 54 (us) 30.356
Loop 55 (us) 29.128
Loop 56 (us) 29.431
Loop 57 (us) 35.293
Loop 58 (us) 29.124
Loop 59 (us) 29.073
Loop 60 (us) 27.987
Loop 61 (us) 34.88
Loop 62 (us) 47.595
Loop 63 (us) 29.808
Loop 64 (us) 52.948
Loop 65 (us) 56.544
Loop 66 (us) 41.425
Loop 67 (us) 30.819
Loop 68 (us) 135.184
Loop 69 (us) 45.975
Loop 70 (us) 31.706
Loop 71 (us) 27.083
Loop 72 (us) 26.744
Loop 73 (us) 28.132
Loop 74 (us) 27.082
Loop 75 (us) 26.684
Loop 76 (us) 26.842
Loop 77 (us) 26.732
Loop 78 (us) 36.111
Loop 79 (us) 28.122
Loop 80 (us) 27.881
Loop 81 (us) 108.662
Loop 82 (us) 29.662
