writeMicroEC_CodingDescent, filename /tmp1024microec3.dat, size 1024, loop 1000, storageClass 0, locationClass 0, monECSubStripeNum 1
CrailConstants.REPLICATION_FACTOR has changed to 5
networkSizeArray [256]
starting benchmark...
replicas primary file /tmp1024microec3.dat capacity 0
replicas slave file /tmp1024microec3.datLQL0 capacity 0
replicas slave file /tmp1024microec3.datLQL1 capacity 0
replicas slave file /tmp1024microec3.datLQL2 capacity 0
replicas slave file /tmp1024microec3.datLQL3 capacity 0
replicas slave file /tmp1024microec3.datLQL4 capacity 0
CrailConstants.REPLICATION_FACTOR has changed to 5
ops 1000
final loop (us) 20.921
Loop 0 (us) 104.311
Loop 1 (us) 51.542
Loop 2 (us) 48.226
Loop 3 (us) 64.681
Loop 4 (us) 46.051
Loop 5 (us) 59.03
Loop 6 (us) 37.141
Loop 7 (us) 38.419
Loop 8 (us) 43.696
Loop 9 (us) 63.01
Loop 10 (us) 37.564
Loop 11 (us) 38.367
Loop 12 (us) 37.203
Loop 13 (us) 33.695
Loop 14 (us) 35.962
Loop 15 (us) 35.586
Loop 16 (us) 35.126
Loop 17 (us) 35.692
Loop 18 (us) 34.699
Loop 19 (us) 41.806
Loop 20 (us) 34.839
Loop 21 (us) 34.449
Loop 22 (us) 34.267
Loop 23 (us) 35.603
Loop 24 (us) 60.636
Loop 25 (us) 38.158
Loop 26 (us) 35.171
Loop 27 (us) 36.622
Loop 28 (us) 38.103
Loop 29 (us) 36.228
Loop 30 (us) 36.686
Loop 31 (us) 34.811
Loop 32 (us) 35.546
Loop 33 (us) 54.764
Loop 34 (us) 32.579
Loop 35 (us) 31.575
Loop 36 (us) 30.929
Loop 37 (us) 32.593
Loop 38 (us) 31.517
Loop 39 (us) 31.444
Loop 40 (us) 32.08
Loop 41 (us) 31.613
Loop 42 (us) 30.968
Loop 43 (us) 31.802
Loop 44 (us) 31.399
Loop 45 (us) 31.084
Loop 46 (us) 30.98
Loop 47 (us) 31.244
Loop 48 (us) 32.135
Loop 49 (us) 31.05
Loop 50 (us) 31.683
Loop 51 (us) 32.117
Loop 52 (us) 31.124
Loop 53 (us) 31.797
Loop 54 (us) 30.699
Loop 55 (us) 31.133
Loop 56 (us) 31.727
Loop 57 (us) 33.82
Loop 58 (us) 38.663
Loop 59 (us) 32.031
Loop 60 (us) 31.997
Loop 61 (us) 38.604
Loop 62 (us) 31.511
Loop 63 (us) 34.681
Loop 64 (us) 36.714
Loop 65 (us) 50.419
Loop 66 (us) 65.937
Loop 67 (us) 36.715
Loop 68 (us) 31.335
Loop 69 (us) 42.217
Loop 70 (us) 34.428
Loop 71 (us) 32.478
Loop 72 (us) 31.532
Loop 73 (us) 31.145
Loop 74 (us) 31.433
Loop 75 (us) 30.852
Loop 76 (us) 32.082
Loop 77 (us) 51.884
Loop 78 (us) 32.259
Loop 79 (us) 32.721
Loop 80 (us) 31.482
Loop 81 (us) 31.264
Loop 82 (us) 30.513
Loop 83 (us) 30.462
Loop 84 (us) 30.877
Loop 85 (us) 42.028
Loop 86 (us) 146.601
Loop 87 (us) 60.468
Loop 88 (us) 32.937
Loop 89 (us) 30.663
Loop 90 (us) 30.857
Loop 91 (us) 30.808
Loop 92 (us) 29.616
Loop 93 (us) 29.744
Loop 94 (us) 43.631
Loop 95 (us) 32.389
Loop 96 (us) 38.101
Loop 97 (us) 49.364
Loop 98 (us) 42.675
Loop 99 (us) 32.444
Loop 100 (us) 29.815
Loop 101 (us) 29.698
Loop 102 (us) 31.611
Loop 103 (us) 32.149
Loop 104 (us) 56.439
Loop 105 (us) 32.857
Loop 106 (us) 30.285
Loop 107 (us) 30.076
Loop 108 (us) 38.535
Loop 109 (us) 32.677
Loop 110 (us) 30.096
Loop 111 (us) 67.734
Loop 112 (us) 38.209
Loop 113 (us) 30.527
Loop 114 (us) 29.0
Loop 115 (us) 29.676
Loop 116 (us) 29.371
Loop 117 (us) 29.777
Loop 118 (us) 29.051
