write, filename /tmprep2.dat, size 1024, loop 1000, storageClass 0, locationClass 0
starting benchmark...
ops 1000
final loop (us) 6.996
Loop 0 (us) 8.983
Loop 1 (us) 8.565
Loop 2 (us) 7.814
Loop 3 (us) 8.144
Loop 4 (us) 8.199
Loop 5 (us) 7.69
Loop 6 (us) 7.632
Loop 7 (us) 8.129
Loop 8 (us) 8.253
Loop 9 (us) 8.287
Loop 10 (us) 9.31
Loop 11 (us) 7.881
Loop 12 (us) 8.139
Loop 13 (us) 8.143
Loop 14 (us) 8.071
Loop 15 (us) 7.638
Loop 16 (us) 7.682
Loop 17 (us) 7.744
Loop 18 (us) 8.123
Loop 19 (us) 7.638
Loop 20 (us) 7.567
Loop 21 (us) 7.778
Loop 22 (us) 8.935
Loop 23 (us) 8.538
Loop 24 (us) 8.037
Loop 25 (us) 7.793
Loop 26 (us) 7.402
Loop 27 (us) 8.092
Loop 28 (us) 7.728
Loop 29 (us) 13.534
Loop 30 (us) 8.6
Loop 31 (us) 8.297
Loop 32 (us) 7.901
Loop 33 (us) 8.169
Loop 34 (us) 7.302
Loop 35 (us) 7.292
Loop 36 (us) 7.958
Loop 37 (us) 8.079
Loop 38 (us) 7.864
Loop 39 (us) 7.492
Loop 40 (us) 7.586
Loop 41 (us) 8.289
Loop 42 (us) 32.794
Loop 43 (us) 22.898
Loop 44 (us) 8.612
Loop 45 (us) 8.477
Loop 46 (us) 7.841
Loop 47 (us) 7.804
Loop 48 (us) 7.872
Loop 49 (us) 7.788
Loop 50 (us) 7.78
Loop 51 (us) 7.943
Loop 52 (us) 7.959
Loop 53 (us) 8.127
Loop 54 (us) 18.787
Loop 55 (us) 8.644
Loop 56 (us) 7.816
Loop 57 (us) 14.009
Loop 58 (us) 8.816
Loop 59 (us) 7.45
Loop 60 (us) 7.537
Loop 61 (us) 7.621
Loop 62 (us) 7.849
Loop 63 (us) 7.596
Loop 64 (us) 8.001
Loop 65 (us) 7.993
Loop 66 (us) 7.55
Loop 67 (us) 7.53
Loop 68 (us) 7.89
Loop 69 (us) 7.806
Loop 70 (us) 8.732
Loop 71 (us) 7.863
Loop 72 (us) 8.121
Loop 73 (us) 7.5
Loop 74 (us) 19.643
Loop 75 (us) 8.187
Loop 76 (us) 7.735
Loop 77 (us) 7.916
Loop 78 (us) 7.668
Loop 79 (us) 7.73
Loop 80 (us) 7.502
Loop 81 (us) 7.391
Loop 82 (us) 8.044
Loop 83 (us) 7.914
Loop 84 (us) 7.615
Loop 85 (us) 7.332
Loop 86 (us) 8.664
Loop 87 (us) 8.171
Loop 88 (us) 7.982
Loop 89 (us) 7.673
Loop 90 (us) 8.246
Loop 91 (us) 7.661
Loop 92 (us) 7.974
Loop 93 (us) 7.886
Loop 94 (us) 7.573
Loop 95 (us) 7.535
Loop 96 (us) 7.814
Loop 97 (us) 8.011
Loop 98 (us) 7.603
Loop 99 (us) 7.397
Loop 100 (us) 7.634
Loop 101 (us) 17.192
Loop 102 (us) 8.36
Loop 103 (us) 17.358
Loop 104 (us) 16.25
Loop 105 (us) 9.269
Loop 106 (us) 7.766
Loop 107 (us) 7.397
Loop 108 (us) 7.782
Loop 109 (us) 8.267
Loop 110 (us) 7.901
Loop 111 (us) 7.828
Loop 112 (us) 7.841
Loop 113 (us) 9.402
Loop 114 (us) 8.066
Loop 115 (us) 7.771
Loop 116 (us) 7.601
Loop 117 (us) 7.965
Loop 118 (us) 7.44
Loop 119 (us) 7.46
