writeHydra, filename /tmp1048576hydra32.dat, size 1048576, loop 1000, storageClass 0, locationClass 0
CrailConstants.REPLICATION_FACTOR has changed to 5
MicroEC Coding Ready

starting benchmark...
replicas primary file /tmp1048576hydra32.dat capacity 0
replicas slave file /tmp1048576hydra32.datLQL0 capacity 0
replicas slave file /tmp1048576hydra32.datLQL1 capacity 0
replicas slave file /tmp1048576hydra32.datLQL2 capacity 0
replicas slave file /tmp1048576hydra32.datLQL3 capacity 0
replicas slave file /tmp1048576hydra32.datLQL4 capacity 0
ops 1000
final loop (us) 345.579
Loop 0 (us) 329.361
Loop 1 (us) 252.561
Loop 2 (us) 271.925
Loop 3 (us) 332.967
Loop 4 (us) 416.468
Loop 5 (us) 329.858
Loop 6 (us) 342.711
Loop 7 (us) 431.605
Loop 8 (us) 397.163
Loop 9 (us) 347.263
Loop 10 (us) 419.343
Loop 11 (us) 454.127
Loop 12 (us) 332.267
Loop 13 (us) 484.983
Loop 14 (us) 355.907
Loop 15 (us) 438.605
Loop 16 (us) 525.864
Loop 17 (us) 456.879
Loop 18 (us) 547.676
Loop 19 (us) 489.529
Loop 20 (us) 467.224
Loop 21 (us) 490.103
Loop 22 (us) 363.844
Loop 23 (us) 577.793
Loop 24 (us) 542.623
Loop 25 (us) 387.338
Loop 26 (us) 334.186
Loop 27 (us) 352.607
Loop 28 (us) 434.078
Loop 29 (us) 473.348
Loop 30 (us) 464.544
Loop 31 (us) 469.531
Loop 32 (us) 1457.101
Loop 33 (us) 649.227
Loop 34 (us) 581.885
Loop 35 (us) 524.476
Loop 36 (us) 437.278
Loop 37 (us) 558.23
Loop 38 (us) 528.985
Loop 39 (us) 489.614
Loop 40 (us) 395.987
Loop 41 (us) 457.212
Loop 42 (us) 555.795
Loop 43 (us) 542.706
Loop 44 (us) 402.761
Loop 45 (us) 534.478
Loop 46 (us) 395.975
Loop 47 (us) 479.171
Loop 48 (us) 627.141
Loop 49 (us) 402.694
Loop 50 (us) 481.575
Loop 51 (us) 460.637
Loop 52 (us) 408.445
Loop 53 (us) 526.639
Loop 54 (us) 404.795
Loop 55 (us) 392.172
Loop 56 (us) 530.613
Loop 57 (us) 390.267
Loop 58 (us) 526.955
Loop 59 (us) 537.215
Loop 60 (us) 533.403
Loop 61 (us) 656.757
Loop 62 (us) 416.811
Loop 63 (us) 533.984
Loop 64 (us) 341.264
Loop 65 (us) 685.909
Loop 66 (us) 512.488
Loop 67 (us) 438.157
Loop 68 (us) 617.75
Loop 69 (us) 504.245
Loop 70 (us) 517.916
Loop 71 (us) 471.968
Loop 72 (us) 480.078
Loop 73 (us) 616.322
Loop 74 (us) 458.628
Loop 75 (us) 466.558
Loop 76 (us) 337.837
Loop 77 (us) 427.391
Loop 78 (us) 516.966
Loop 79 (us) 481.033
Loop 80 (us) 479.432
Loop 81 (us) 378.508
Loop 82 (us) 456.579
Loop 83 (us) 501.883
Loop 84 (us) 372.753
Loop 85 (us) 462.466
Loop 86 (us) 473.742
Loop 87 (us) 622.233
Loop 88 (us) 611.551
Loop 89 (us) 468.559
Loop 90 (us) 422.38
Loop 91 (us) 401.095
Loop 92 (us) 486.069
Loop 93 (us) 520.576
Loop 94 (us) 361.685
Loop 95 (us) 373.386
Loop 96 (us) 467.86
Loop 97 (us) 450.912
Loop 98 (us) 551.155
Loop 99 (us) 341.476
Loop 100 (us) 348.878
Loop 101 (us) 336.15
Loop 102 (us) 287.464
Loop 103 (us) 475.678
Loop 104 (us) 440.559
Loop 105 (us) 451.376
Loop 106 (us) 456.332
Loop 107 (us) 366.008
Loop 108 (us) 501.154
Loop 109 (us) 519.896
Loop 110 (us) 1290.929
Loop 111 (us) 481.059
Loop 112 (us) 333.865
Loop 113 (us) 485.998
Loop 114 (us) 429.887
Loop 115 (us) 456.931
Loop 116 (us) 457.126
Loop 117 (us) 494.58
Loop 118 (us) 573.045
Loop 119 (us) 340.679
Loop 120 (us) 956.983
Loop 121 (us) 363.565
Loop 122 (us) 443.025
Loop 123 (us) 649.74
Loop 124 (us) 559.218
Loop 125 (us) 350.655
Loop 126 (us) 484.181
Loop 127 (us) 361.44
Loop 128 (us) 546.402
Loop 129 (us) 469.661
Loop 130 (us) 376.692
Loop 131 (us) 357.436
Loop 132 (us) 337.476
Loop 133 (us) 587.108
Loop 134 (us) 454.163
Loop 135 (us) 509.081
Loop 136 (us) 490.151
Loop 137 (us) 500.04
Loop 138 (us) 522.678
Loop 139 (us) 503.429
Loop 140 (us) 470.93
Loop 141 (us) 469.155
Loop 142 (us) 365.245
Loop 143 (us) 493.906
Loop 144 (us) 363.565
Loop 145 (us) 348.106
Loop 146 (us) 343.846
Loop 147 (us) 447.898
Loop 148 (us) 497.494
Loop 149 (us) 375.299
Loop 150 (us) 365.494
Loop 151 (us) 374.384
Loop 152 (us) 447.245
Loop 153 (us) 532.694
Loop 154 (us) 363.307
Loop 155 (us) 465.558
Loop 156 (us) 421.619
Loop 157 (us) 508.504
Loop 158 (us) 571.061
Loop 159 (us) 481.883
Loop 160 (us) 339.229
Loop 161 (us) 423.182
Loop 162 (us) 351.559
Loop 163 (us) 554.232
Loop 164 (us) 481.122
Loop 165 (us) 472.645
Loop 166 (us) 376.369
Loop 167 (us) 327.927
Loop 168 (us) 601.049
Loop 169 (us) 451.07
Loop 170 (us) 478.477
Loop 171 (us) 451.607
Loop 172 (us) 453.1
Loop 173 (us) 527.797
Loop 174 (us) 344.336
Loop 175 (us) 346.739
Loop 176 (us) 435.941
Loop 177 (us) 333.284
Loop 178 (us) 468.822
Loop 179 (us) 367.487
Loop 180 (us) 318.743
Loop 181 (us) 458.58
Loop 182 (us) 469.745
Loop 183 (us) 473.408
Loop 184 (us) 295.456
Loop 185 (us) 273.089
Loop 186 (us) 297.329
Loop 187 (us) 280.298
Loop 188 (us) 578.203
Loop 189 (us) 342.256
Loop 190 (us) 415.11
Loop 191 (us) 415.21
Loop 192 (us) 377.531
Loop 193 (us) 550.157
Loop 194 (us) 480.368
Loop 195 (us) 475.861
Loop 196 (us) 350.103
Loop 197 (us) 442.448
Loop 198 (us) 495.595
Loop 199 (us) 359.38
Loop 200 (us) 440.054
Loop 201 (us) 442.048
Loop 202 (us) 464.751
Loop 203 (us) 502.064
Loop 204 (us) 478.656
Loop 205 (us) 373.168
Loop 206 (us) 453.222
Loop 207 (us) 328.735
Loop 208 (us) 502.162
Loop 209 (us) 363.895
Loop 210 (us) 474.666
Loop 211 (us) 447.054
Loop 212 (us) 358.15
Loop 213 (us) 488.436
Loop 214 (us) 420.132
Loop 215 (us) 363.357
Loop 216 (us) 490.19
Loop 217 (us) 500.285
Loop 218 (us) 535.73
Loop 219 (us) 471.734
Loop 220 (us) 456.058
Loop 221 (us) 444.414
Loop 222 (us) 333.816
Loop 223 (us) 527.455
Loop 224 (us) 408.014
Loop 225 (us) 455.157
Loop 226 (us) 366.356
Loop 227 (us) 536.472
Loop 228 (us) 560.474
Loop 229 (us) 424.806
Loop 230 (us) 422.88
Loop 231 (us) 510.671
Loop 232 (us) 345.986
Loop 233 (us) 542.227
Loop 234 (us) 343.033
Loop 235 (us) 432.233
Loop 236 (us) 412.292
Loop 237 (us) 425.153
Loop 238 (us) 478.381
Loop 239 (us) 420.81
Loop 240 (us) 356.504
Loop 241 (us) 332.245
Loop 242 (us) 338.883
Loop 243 (us) 368.848
Loop 244 (us) 488.975
Loop 245 (us) 341.294
Loop 246 (us) 338.556
Loop 247 (us) 344.773
Loop 248 (us) 471.871
Loop 249 (us) 425.605
Loop 250 (us) 421.331
Loop 251 (us) 330.668
Loop 252 (us) 434.304
Loop 253 (us) 552.711
Loop 254 (us) 462.606
Loop 255 (us) 363.474
Loop 256 (us) 348.557
Loop 257 (us) 370.007
Loop 258 (us) 563.076
Loop 259 (us) 506.662
Loop 260 (us) 465.651
Loop 261 (us) 366.07
Loop 262 (us) 527.544
Loop 263 (us) 495.973
Loop 264 (us) 455.316
Loop 265 (us) 343.081
Loop 266 (us) 433.904
Loop 267 (us) 452.762
Loop 268 (us) 562.156
Loop 269 (us) 355.047
Loop 270 (us) 491.054
Loop 271 (us) 455.567
Loop 272 (us) 468.758
Loop 273 (us) 540.559
Loop 274 (us) 443.939
Loop 275 (us) 477.83
Loop 276 (us) 487.662
Loop 277 (us) 479.118
Loop 278 (us) 5165.755
Loop 279 (us) 403.461
Loop 280 (us) 385.103
Loop 281 (us) 562.853
Loop 282 (us) 484.026
Loop 283 (us) 520.268
Loop 284 (us) 503.407
Loop 285 (us) 424.61
Loop 286 (us) 555.101
Loop 287 (us) 516.722
Loop 288 (us) 624.304
Loop 289 (us) 374.642
Loop 290 (us) 534.91
Loop 291 (us) 378.395
Loop 292 (us) 346.011
Loop 293 (us) 524.157
Loop 294 (us) 373.169
Loop 295 (us) 473.492
Loop 296 (us) 377.05
Loop 297 (us) 473.115
Loop 298 (us) 471.532
Loop 299 (us) 401.925
Loop 300 (us) 429.836
Loop 301 (us) 470.018
Loop 302 (us) 504.216
Loop 303 (us) 537.838
Loop 304 (us) 500.908
Loop 305 (us) 353.746
Loop 306 (us) 429.332
Loop 307 (us) 370.391
Loop 308 (us) 491.579
Loop 309 (us) 404.127
Loop 310 (us) 334.555
Loop 311 (us) 358.268
Loop 312 (us) 455.117
Loop 313 (us) 551.275
Loop 314 (us) 364.067
Loop 315 (us) 378.416
Loop 316 (us) 460.768
Loop 317 (us) 489.775
Loop 318 (us) 479.767
Loop 319 (us) 367.243
Loop 320 (us) 468.993
Loop 321 (us) 360.256
Loop 322 (us) 6111.909
Loop 323 (us) 612.512
Loop 324 (us) 504.987
Loop 325 (us) 506.13
Loop 326 (us) 348.386
Loop 327 (us) 476.396
Loop 328 (us) 599.607
Loop 329 (us) 419.24
Loop 330 (us) 476.937
Loop 331 (us) 370.41
Loop 332 (us) 394.923
Loop 333 (us) 590.611
Loop 334 (us) 369.45
Loop 335 (us) 533.586
Loop 336 (us) 517.486
Loop 337 (us) 425.174
Loop 338 (us) 503.122
Loop 339 (us) 426.318
Loop 340 (us) 347.685
Loop 341 (us) 348.905
Loop 342 (us) 469.115
Loop 343 (us) 543.186
Loop 344 (us) 497.182
Loop 345 (us) 523.844
Loop 346 (us) 545.04
Loop 347 (us) 386.443
Loop 348 (us) 547.263
Loop 349 (us) 373.58
Loop 350 (us) 346.795
Loop 351 (us) 417.97
Loop 352 (us) 461.215
Loop 353 (us) 492.004
Loop 354 (us) 375.861
Loop 355 (us) 475.253
Loop 356 (us) 471.611
Loop 357 (us) 471.287
Loop 358 (us) 576.487
Loop 359 (us) 355.956
Loop 360 (us) 441.762
Loop 361 (us) 464.256
Loop 362 (us) 467.544
