writeMicroEC_CodingDescent, filename /tmp1048576microec37.dat, size 1048576, loop 1000, storageClass 0, locationClass 0, monECSubStripeNum 64
CrailConstants.REPLICATION_FACTOR has changed to 5
MicroEC Coding Ready

networkSizeArray [131072, 196608, 229376, 245760, 253952, 258048, 262144]
starting benchmark...
replicas primary file /tmp1048576microec37.dat capacity 0
replicas slave file /tmp1048576microec37.datLQL0 capacity 0
replicas slave file /tmp1048576microec37.datLQL1 capacity 0
replicas slave file /tmp1048576microec37.datLQL2 capacity 0
replicas slave file /tmp1048576microec37.datLQL3 capacity 0
replicas slave file /tmp1048576microec37.datLQL4 capacity 0
CrailConstants.REPLICATION_FACTOR has changed to 5
ops 1000
final loop (us) 357.861
Loop 0 (us) 271.191
Loop 1 (us) 249.214
Loop 2 (us) 249.13
Loop 3 (us) 311.261
Loop 4 (us) 299.348
Loop 5 (us) 278.711
Loop 6 (us) 261.811
Loop 7 (us) 358.962
Loop 8 (us) 326.322
Loop 9 (us) 247.967
Loop 10 (us) 315.044
Loop 11 (us) 313.581
Loop 12 (us) 382.958
Loop 13 (us) 331.305
Loop 14 (us) 320.028
Loop 15 (us) 322.14
Loop 16 (us) 417.346
Loop 17 (us) 334.26
Loop 18 (us) 328.339
Loop 19 (us) 355.166
Loop 20 (us) 322.288
Loop 21 (us) 344.606
Loop 22 (us) 337.23
Loop 23 (us) 345.599
Loop 24 (us) 346.742
Loop 25 (us) 342.89
Loop 26 (us) 330.811
Loop 27 (us) 365.166
Loop 28 (us) 330.829
Loop 29 (us) 331.379
Loop 30 (us) 351.292
Loop 31 (us) 352.321
Loop 32 (us) 355.794
Loop 33 (us) 386.136
Loop 34 (us) 350.215
Loop 35 (us) 351.672
Loop 36 (us) 354.675
Loop 37 (us) 385.735
Loop 38 (us) 355.293
Loop 39 (us) 379.186
Loop 40 (us) 369.59
Loop 41 (us) 306.571
Loop 42 (us) 360.703
Loop 43 (us) 345.808
Loop 44 (us) 353.579
Loop 45 (us) 319.379
Loop 46 (us) 338.542
Loop 47 (us) 316.173
Loop 48 (us) 345.21
Loop 49 (us) 312.922
Loop 50 (us) 328.681
Loop 51 (us) 313.603
Loop 52 (us) 318.905
Loop 53 (us) 1374.731
Loop 54 (us) 382.24
Loop 55 (us) 323.519
Loop 56 (us) 334.086
Loop 57 (us) 366.336
Loop 58 (us) 335.918
Loop 59 (us) 322.798
Loop 60 (us) 317.496
Loop 61 (us) 281.2
Loop 62 (us) 366.998
Loop 63 (us) 334.352
Loop 64 (us) 304.457
Loop 65 (us) 360.16
Loop 66 (us) 347.602
Loop 67 (us) 326.475
Loop 68 (us) 357.741
Loop 69 (us) 380.473
Loop 70 (us) 333.979
Loop 71 (us) 319.42
Loop 72 (us) 314.652
Loop 73 (us) 346.997
Loop 74 (us) 322.903
Loop 75 (us) 354.092
Loop 76 (us) 349.654
Loop 77 (us) 322.985
Loop 78 (us) 321.66
Loop 79 (us) 312.595
Loop 80 (us) 343.064
Loop 81 (us) 378.972
Loop 82 (us) 325.59
Loop 83 (us) 311.765
Loop 84 (us) 382.596
Loop 85 (us) 460.778
Loop 86 (us) 376.475
Loop 87 (us) 348.058
Loop 88 (us) 364.683
Loop 89 (us) 317.683
Loop 90 (us) 331.117
Loop 91 (us) 337.718
Loop 92 (us) 320.116
Loop 93 (us) 305.753
Loop 94 (us) 319.506
Loop 95 (us) 345.034
Loop 96 (us) 324.155
Loop 97 (us) 295.525
Loop 98 (us) 318.906
Loop 99 (us) 306.557
Loop 100 (us) 337.105
Loop 101 (us) 339.058
Loop 102 (us) 332.312
Loop 103 (us) 334.754
Loop 104 (us) 320.453
Loop 105 (us) 339.927
Loop 106 (us) 368.734
Loop 107 (us) 321.762
Loop 108 (us) 352.45
Loop 109 (us) 349.535
Loop 110 (us) 331.689
Loop 111 (us) 330.478
Loop 112 (us) 330.835
Loop 113 (us) 347.241
Loop 114 (us) 318.412
Loop 115 (us) 343.176
Loop 116 (us) 331.155
Loop 117 (us) 320.999
Loop 118 (us) 313.386
Loop 119 (us) 298.003
Loop 120 (us) 288.255
Loop 121 (us) 356.287
Loop 122 (us) 333.656
Loop 123 (us) 344.793
Loop 124 (us) 343.889
Loop 125 (us) 341.103
Loop 126 (us) 324.512
Loop 127 (us) 351.216
Loop 128 (us) 337.924
Loop 129 (us) 304.546
Loop 130 (us) 308.147
Loop 131 (us) 346.5
Loop 132 (us) 314.158
Loop 133 (us) 357.039
Loop 134 (us) 295.441
Loop 135 (us) 299.6
Loop 136 (us) 314.653
Loop 137 (us) 317.787
Loop 138 (us) 307.247
Loop 139 (us) 343.438
Loop 140 (us) 331.131
Loop 141 (us) 336.563
Loop 142 (us) 377.392
Loop 143 (us) 316.967
Loop 144 (us) 311.835
Loop 145 (us) 343.071
Loop 146 (us) 352.224
Loop 147 (us) 340.116
Loop 148 (us) 300.539
Loop 149 (us) 293.079
Loop 150 (us) 335.125
Loop 151 (us) 324.237
Loop 152 (us) 297.648
Loop 153 (us) 357.588
Loop 154 (us) 336.819
Loop 155 (us) 309.599
Loop 156 (us) 362.842
Loop 157 (us) 326.634
Loop 158 (us) 308.981
Loop 159 (us) 315.954
Loop 160 (us) 294.532
Loop 161 (us) 337.91
Loop 162 (us) 348.12
Loop 163 (us) 328.391
Loop 164 (us) 393.955
Loop 165 (us) 325.693
Loop 166 (us) 359.336
Loop 167 (us) 358.407
Loop 168 (us) 328.795
Loop 169 (us) 350.061
Loop 170 (us) 334.758
Loop 171 (us) 345.527
Loop 172 (us) 346.521
Loop 173 (us) 316.423
Loop 174 (us) 332.993
Loop 175 (us) 331.315
Loop 176 (us) 344.347
Loop 177 (us) 329.328
Loop 178 (us) 361.03
Loop 179 (us) 375.89
Loop 180 (us) 366.015
Loop 181 (us) 350.037
Loop 182 (us) 383.993
Loop 183 (us) 347.498
Loop 184 (us) 332.816
Loop 185 (us) 326.183
Loop 186 (us) 348.921
Loop 187 (us) 349.904
Loop 188 (us) 316.615
Loop 189 (us) 333.193
Loop 190 (us) 347.733
Loop 191 (us) 320.331
Loop 192 (us) 354.544
Loop 193 (us) 330.712
Loop 194 (us) 333.866
Loop 195 (us) 297.625
Loop 196 (us) 342.307
Loop 197 (us) 328.685
Loop 198 (us) 309.293
Loop 199 (us) 340.178
Loop 200 (us) 330.186
Loop 201 (us) 343.193
Loop 202 (us) 311.045
Loop 203 (us) 316.582
Loop 204 (us) 343.881
Loop 205 (us) 326.655
Loop 206 (us) 895.454
Loop 207 (us) 318.881
Loop 208 (us) 292.816
Loop 209 (us) 314.966
Loop 210 (us) 346.847
Loop 211 (us) 315.131
Loop 212 (us) 350.244
Loop 213 (us) 353.464
Loop 214 (us) 315.204
Loop 215 (us) 348.107
Loop 216 (us) 313.03
Loop 217 (us) 297.446
Loop 218 (us) 341.801
Loop 219 (us) 344.619
Loop 220 (us) 321.643
Loop 221 (us) 313.092
Loop 222 (us) 308.922
Loop 223 (us) 369.201
Loop 224 (us) 314.296
Loop 225 (us) 356.679
Loop 226 (us) 332.009
Loop 227 (us) 304.754
Loop 228 (us) 363.432
Loop 229 (us) 327.82
Loop 230 (us) 326.033
Loop 231 (us) 335.84
Loop 232 (us) 352.764
Loop 233 (us) 298.225
Loop 234 (us) 314.251
Loop 235 (us) 294.369
Loop 236 (us) 312.124
Loop 237 (us) 352.726
Loop 238 (us) 337.391
Loop 239 (us) 334.775
Loop 240 (us) 311.486
Loop 241 (us) 330.25
Loop 242 (us) 317.244
Loop 243 (us) 1551.728
Loop 244 (us) 378.222
Loop 245 (us) 316.335
Loop 246 (us) 359.686
Loop 247 (us) 327.088
Loop 248 (us) 361.153
Loop 249 (us) 345.747
Loop 250 (us) 336.748
Loop 251 (us) 307.143
Loop 252 (us) 326.944
Loop 253 (us) 322.325
Loop 254 (us) 362.471
Loop 255 (us) 318.781
Loop 256 (us) 356.399
Loop 257 (us) 320.944
Loop 258 (us) 376.823
Loop 259 (us) 343.369
Loop 260 (us) 354.489
Loop 261 (us) 369.038
Loop 262 (us) 357.748
Loop 263 (us) 361.799
Loop 264 (us) 355.637
Loop 265 (us) 347.35
Loop 266 (us) 344.0
Loop 267 (us) 361.938
Loop 268 (us) 348.914
Loop 269 (us) 333.679
Loop 270 (us) 334.39
Loop 271 (us) 337.766
Loop 272 (us) 326.869
Loop 273 (us) 345.774
Loop 274 (us) 328.574
Loop 275 (us) 345.772
Loop 276 (us) 312.912
Loop 277 (us) 335.264
Loop 278 (us) 329.596
Loop 279 (us) 306.503
Loop 280 (us) 322.256
Loop 281 (us) 313.056
Loop 282 (us) 346.532
Loop 283 (us) 336.922
Loop 284 (us) 346.261
Loop 285 (us) 352.893
Loop 286 (us) 329.966
Loop 287 (us) 329.101
Loop 288 (us) 358.681
Loop 289 (us) 323.353
Loop 290 (us) 299.705
Loop 291 (us) 310.377
Loop 292 (us) 339.663
Loop 293 (us) 336.385
Loop 294 (us) 320.563
Loop 295 (us) 339.329
Loop 296 (us) 345.445
Loop 297 (us) 319.737
Loop 298 (us) 344.304
Loop 299 (us) 318.346
Loop 300 (us) 325.048
Loop 301 (us) 309.563
Loop 302 (us) 345.64
Loop 303 (us) 337.519
Loop 304 (us) 350.856
Loop 305 (us) 341.364
Loop 306 (us) 329.445
Loop 307 (us) 360.103
Loop 308 (us) 401.015
Loop 309 (us) 313.961
Loop 310 (us) 333.204
Loop 311 (us) 298.718
Loop 312 (us) 324.81
Loop 313 (us) 334.518
Loop 314 (us) 332.697
Loop 315 (us) 371.711
Loop 316 (us) 335.4
Loop 317 (us) 322.897
Loop 318 (us) 354.081
Loop 319 (us) 333.996
Loop 320 (us) 317.606
Loop 321 (us) 329.095
Loop 322 (us) 323.939
Loop 323 (us) 293.553
Loop 324 (us) 306.093
Loop 325 (us) 308.401
Loop 326 (us) 307.481
Loop 327 (us) 335.73
Loop 328 (us) 342.946
Loop 329 (us) 341.686
Loop 330 (us) 298.641
Loop 331 (us) 331.392
Loop 332 (us) 350.277
Loop 333 (us) 336.58
Loop 334 (us) 336.757
Loop 335 (us) 314.935
Loop 336 (us) 306.2
Loop 337 (us) 289.404
Loop 338 (us) 293.345
Loop 339 (us) 308.585
Loop 340 (us) 355.102
Loop 341 (us) 301.924
Loop 342 (us) 343.836
Loop 343 (us) 335.996
Loop 344 (us) 339.588
Loop 345 (us) 319.999
Loop 346 (us) 365.322
Loop 347 (us) 351.127
Loop 348 (us) 382.649
Loop 349 (us) 342.578
Loop 350 (us) 300.441
Loop 351 (us) 362.175
Loop 352 (us) 331.496
Loop 353 (us) 327.692
Loop 354 (us) 322.585
Loop 355 (us) 342.699
Loop 356 (us) 312.017
Loop 357 (us) 341.874
Loop 358 (us) 309.767
Loop 359 (us) 348.402
Loop 360 (us) 320.851
Loop 361 (us) 317.957
Loop 362 (us) 295.275
Loop 363 (us) 358.251
Loop 364 (us) 323.233
Loop 365 (us) 344.487
Loop 366 (us) 333.986
Loop 367 (us) 338.519
Loop 368 (us) 348.319
Loop 369 (us) 300.368
Loop 370 (us) 337.905
Loop 371 (us) 326.59
Loop 372 (us) 331.739
Loop 373 (us) 335.82
Loop 374 (us) 341.508
Loop 375 (us) 347.985
Loop 376 (us) 306.098
Loop 377 (us) 318.9
Loop 378 (us) 342.098
Loop 379 (us) 326.121
Loop 380 (us) 359.105
Loop 381 (us) 307.088
Loop 382 (us) 309.974
Loop 383 (us) 332.996
Loop 384 (us) 319.276
Loop 385 (us) 311.996
Loop 386 (us) 340.958
Loop 387 (us) 362.514
Loop 388 (us) 350.851
Loop 389 (us) 317.065
Loop 390 (us) 349.623
Loop 391 (us) 350.293
Loop 392 (us) 300.6
Loop 393 (us) 315.851
Loop 394 (us) 304.984
Loop 395 (us) 339.164
Loop 396 (us) 343.141
Loop 397 (us) 315.998
Loop 398 (us) 354.749
Loop 399 (us) 323.47
Loop 400 (us) 313.949
Loop 401 (us) 322.211
Loop 402 (us) 341.468
Loop 403 (us) 330.774
Loop 404 (us) 331.327
Loop 405 (us) 301.645
Loop 406 (us) 351.154
Loop 407 (us) 348.354
Loop 408 (us) 331.188
Loop 409 (us) 354.08
Loop 410 (us) 343.302
Loop 411 (us) 356.828
Loop 412 (us) 332.645
Loop 413 (us) 319.101
