writeMicroEC_CodingDescent, filename /tmp16384microec.dat, size 16384, loop 1000, storageClass 0, locationClass 0, monECSubStripeNum 1
CrailConstants.REPLICATION_FACTOR has changed to 5
MicroEC Coding Ready

networkSizeArray [4096]
starting benchmark...
replicas primary file /tmp16384microec.dat capacity 0
replicas slave file /tmp16384microec.datLQL0 capacity 0
replicas slave file /tmp16384microec.datLQL1 capacity 0
replicas slave file /tmp16384microec.datLQL2 capacity 0
replicas slave file /tmp16384microec.datLQL3 capacity 0
replicas slave file /tmp16384microec.datLQL4 capacity 0
CrailConstants.REPLICATION_FACTOR has changed to 5
ops 1000
final loop (us) 19.375
Loop 0 (us) 131.538
Loop 1 (us) 63.497
Loop 2 (us) 46.128
Loop 3 (us) 46.115
Loop 4 (us) 42.627
Loop 5 (us) 48.145
Loop 6 (us) 41.276
Loop 7 (us) 38.349
Loop 8 (us) 63.224
Loop 9 (us) 40.064
Loop 10 (us) 37.129
Loop 11 (us) 39.137
Loop 12 (us) 39.514
Loop 13 (us) 39.858
Loop 14 (us) 40.16
Loop 15 (us) 38.928
Loop 16 (us) 36.463
Loop 17 (us) 38.175
Loop 18 (us) 35.683
Loop 19 (us) 35.754
Loop 20 (us) 38.366
Loop 21 (us) 38.052
Loop 22 (us) 61.055
Loop 23 (us) 39.047
Loop 24 (us) 42.023
Loop 25 (us) 45.155
Loop 26 (us) 37.835
Loop 27 (us) 38.829
Loop 28 (us) 39.246
Loop 29 (us) 38.985
Loop 30 (us) 38.234
Loop 31 (us) 39.924
Loop 32 (us) 38.674
Loop 33 (us) 37.079
Loop 34 (us) 36.755
Loop 35 (us) 57.744
Loop 36 (us) 35.933
Loop 37 (us) 35.788
Loop 38 (us) 37.116
Loop 39 (us) 33.888
Loop 40 (us) 33.755
Loop 41 (us) 33.358
Loop 42 (us) 33.539
Loop 43 (us) 32.937
Loop 44 (us) 33.897
Loop 45 (us) 33.172
Loop 46 (us) 37.031
Loop 47 (us) 33.489
Loop 48 (us) 32.982
Loop 49 (us) 32.933
Loop 50 (us) 32.947
Loop 51 (us) 33.352
Loop 52 (us) 34.092
Loop 53 (us) 33.378
Loop 54 (us) 33.25
Loop 55 (us) 33.821
Loop 56 (us) 33.758
Loop 57 (us) 32.746
Loop 58 (us) 32.335
Loop 59 (us) 33.392
Loop 60 (us) 32.494
Loop 61 (us) 37.278
Loop 62 (us) 33.458
Loop 63 (us) 33.771
Loop 64 (us) 210.489
Loop 65 (us) 66.019
Loop 66 (us) 50.052
Loop 67 (us) 35.481
Loop 68 (us) 104.33
Loop 69 (us) 43.983
Loop 70 (us) 34.475
Loop 71 (us) 32.851
Loop 72 (us) 32.821
Loop 73 (us) 77.065
Loop 74 (us) 37.676
Loop 75 (us) 32.529
Loop 76 (us) 32.259
Loop 77 (us) 31.916
Loop 78 (us) 33.325
Loop 79 (us) 33.297
Loop 80 (us) 31.65
Loop 81 (us) 31.566
Loop 82 (us) 47.407
Loop 83 (us) 32.538
Loop 84 (us) 31.777
Loop 85 (us) 43.499
Loop 86 (us) 33.491
Loop 87 (us) 58.331
Loop 88 (us) 32.966
Loop 89 (us) 32.102
Loop 90 (us) 32.082
Loop 91 (us) 32.576
Loop 92 (us) 32.027
Loop 93 (us) 31.663
Loop 94 (us) 32.447
Loop 95 (us) 31.942
Loop 96 (us) 31.466
Loop 97 (us) 42.499
Loop 98 (us) 32.698
Loop 99 (us) 49.816
Loop 100 (us) 45.526
Loop 101 (us) 57.088
Loop 102 (us) 41.619
Loop 103 (us) 46.05
Loop 104 (us) 44.241
Loop 105 (us) 32.769
Loop 106 (us) 32.176
Loop 107 (us) 43.614
Loop 108 (us) 33.092
Loop 109 (us) 43.762
Loop 110 (us) 33.163
Loop 111 (us) 31.517
Loop 112 (us) 51.507
Loop 113 (us) 50.458
Loop 114 (us) 32.177
Loop 115 (us) 32.009
Loop 116 (us) 33.866
Loop 117 (us) 31.271
Loop 118 (us) 31.229
Loop 119 (us) 32.394
Loop 120 (us) 30.989
Loop 121 (us) 32.168
Loop 122 (us) 32.76
Loop 123 (us) 31.279
Loop 124 (us) 31.73
Loop 125 (us) 31.076
Loop 126 (us) 31.847
Loop 127 (us) 37.596
Loop 128 (us) 31.523
Loop 129 (us) 33.583
Loop 130 (us) 32.13
Loop 131 (us) 32.51
Loop 132 (us) 32.404
Loop 133 (us) 31.271
Loop 134 (us) 32.157
Loop 135 (us) 31.353
Loop 136 (us) 36.182
Loop 137 (us) 31.005
Loop 138 (us) 32.118
Loop 139 (us) 32.738
Loop 140 (us) 50.188
Loop 141 (us) 33.048
Loop 142 (us) 31.18
Loop 143 (us) 31.594
Loop 144 (us) 56.211
Loop 145 (us) 31.165
Loop 146 (us) 30.878
Loop 147 (us) 32.642
Loop 148 (us) 30.101
Loop 149 (us) 30.088
Loop 150 (us) 31.812
Loop 151 (us) 31.293
Loop 152 (us) 30.803
Loop 153 (us) 30.541
Loop 154 (us) 29.862
Loop 155 (us) 30.156
Loop 156 (us) 29.815
Loop 157 (us) 30.007
