writeHydra, filename /tmp16777216hydra48.dat, size 16777216, loop 1000, storageClass 0, locationClass 0
CrailConstants.REPLICATION_FACTOR has changed to 5
starting benchmark...
replicas primary file /tmp16777216hydra48.dat capacity 0
replicas slave file /tmp16777216hydra48.datLQL0 capacity 0
replicas slave file /tmp16777216hydra48.datLQL1 capacity 0
replicas slave file /tmp16777216hydra48.datLQL2 capacity 0
replicas slave file /tmp16777216hydra48.datLQL3 capacity 0
replicas slave file /tmp16777216hydra48.datLQL4 capacity 0
ops 1000
final loop (us) 6287.354
Loop 0 (us) 6436.032
Loop 1 (us) 6313.926
Loop 2 (us) 6470.839
Loop 3 (us) 6617.043
Loop 4 (us) 6313.914
Loop 5 (us) 4856.147
Loop 6 (us) 5867.509
Loop 7 (us) 27264.549
Loop 8 (us) 6373.544
Loop 9 (us) 6389.113
Loop 10 (us) 6096.052
Loop 11 (us) 6648.779
Loop 12 (us) 4844.055
Loop 13 (us) 6022.825
Loop 14 (us) 4664.039
Loop 15 (us) 6402.115
Loop 16 (us) 5679.571
Loop 17 (us) 5946.497
Loop 18 (us) 5757.871
Loop 19 (us) 4642.19
Loop 20 (us) 6189.385
Loop 21 (us) 6616.763
Loop 22 (us) 4661.839
Loop 23 (us) 19075.689
Loop 24 (us) 6401.31
Loop 25 (us) 6596.954
Loop 26 (us) 6222.085
Loop 27 (us) 6484.82
Loop 28 (us) 4582.373
Loop 29 (us) 6230.343
Loop 30 (us) 32900.264
Loop 31 (us) 4617.607
Loop 32 (us) 6268.691
Loop 33 (us) 4592.688
Loop 34 (us) 6269.427
Loop 35 (us) 6530.195
Loop 36 (us) 6297.733
Loop 37 (us) 4620.159
Loop 38 (us) 4383.133
Loop 39 (us) 5971.008
Loop 40 (us) 6412.549
Loop 41 (us) 5871.082
Loop 42 (us) 6295.333
Loop 43 (us) 4639.657
Loop 44 (us) 6020.768
Loop 45 (us) 6414.831
Loop 46 (us) 6152.127
Loop 47 (us) 5689.804
Loop 48 (us) 4613.57
Loop 49 (us) 6087.649
Loop 50 (us) 5778.129
Loop 51 (us) 5881.964
Loop 52 (us) 20666.417
Loop 53 (us) 6300.326
Loop 54 (us) 4880.549
Loop 55 (us) 6416.777
Loop 56 (us) 4600.898
Loop 57 (us) 33730.931
Loop 58 (us) 5677.623
Loop 59 (us) 6565.322
Loop 60 (us) 4659.776
Loop 61 (us) 5951.467
Loop 62 (us) 6439.808
Loop 63 (us) 33379.165
Loop 64 (us) 6382.672
Loop 65 (us) 7112.195
Loop 66 (us) 6603.457
Loop 67 (us) 5029.945
Loop 68 (us) 6515.853
Loop 69 (us) 6530.67
Loop 70 (us) 6144.786
Loop 71 (us) 34004.824
Loop 72 (us) 6228.056
Loop 73 (us) 4868.304
Loop 74 (us) 4381.389
Loop 75 (us) 6535.954
Loop 76 (us) 4752.644
Loop 77 (us) 6281.536
Loop 78 (us) 5862.082
Loop 79 (us) 6519.517
Loop 80 (us) 4894.017
Loop 81 (us) 6406.223
Loop 82 (us) 4630.858
Loop 83 (us) 4362.024
Loop 84 (us) 6423.726
Loop 85 (us) 21146.332
Loop 86 (us) 6313.645
Loop 87 (us) 6915.634
Loop 88 (us) 6380.058
Loop 89 (us) 6476.131
Loop 90 (us) 6449.023
Loop 91 (us) 32731.77
Loop 92 (us) 4650.721
Loop 93 (us) 4427.596
Loop 94 (us) 6342.741
Loop 95 (us) 6143.427
Loop 96 (us) 6334.424
Loop 97 (us) 6121.593
Loop 98 (us) 6494.363
Loop 99 (us) 5928.546
Loop 100 (us) 6588.548
Loop 101 (us) 6598.215
Loop 102 (us) 6474.93
Loop 103 (us) 4813.796
Loop 104 (us) 6321.426
Loop 105 (us) 6309.259
Loop 106 (us) 6076.953
Loop 107 (us) 5826.858
Loop 108 (us) 6614.976
Loop 109 (us) 6608.634
Loop 110 (us) 6053.928
Loop 111 (us) 6250.023
Loop 112 (us) 6442.977
Loop 113 (us) 6061.966
Loop 114 (us) 6609.302
Loop 115 (us) 6664.959
Loop 116 (us) 6463.877
Loop 117 (us) 6260.821
Loop 118 (us) 6328.832
Loop 119 (us) 4884.632
Loop 120 (us) 4414.498
Loop 121 (us) 4529.637
Loop 122 (us) 4504.002
Loop 123 (us) 6368.763
Loop 124 (us) 4659.19
Loop 125 (us) 6427.005
Loop 126 (us) 22106.502
Loop 127 (us) 6051.907
Loop 128 (us) 4704.025
Loop 129 (us) 6319.253
Loop 130 (us) 4641.634
Loop 131 (us) 4495.574
Loop 132 (us) 4464.403
Loop 133 (us) 6479.609
Loop 134 (us) 4539.535
Loop 135 (us) 6000.443
Loop 136 (us) 6431.178
Loop 137 (us) 6494.466
Loop 138 (us) 6111.753
Loop 139 (us) 6155.454
Loop 140 (us) 6315.35
Loop 141 (us) 6098.84
Loop 142 (us) 6131.244
Loop 143 (us) 6082.505
Loop 144 (us) 6600.361
Loop 145 (us) 4634.464
Loop 146 (us) 6426.127
Loop 147 (us) 6266.436
Loop 148 (us) 4611.505
Loop 149 (us) 4354.026
Loop 150 (us) 4624.322
Loop 151 (us) 5621.587
Loop 152 (us) 6275.591
Loop 153 (us) 6262.743
Loop 154 (us) 5783.876
Loop 155 (us) 5569.733
Loop 156 (us) 6130.72
Loop 157 (us) 6487.977
Loop 158 (us) 6497.048
Loop 159 (us) 4790.354
Loop 160 (us) 6429.655
Loop 161 (us) 4596.872
Loop 162 (us) 9319.663
Loop 163 (us) 5996.891
Loop 164 (us) 6169.009
Loop 165 (us) 5816.529
Loop 166 (us) 6597.823
Loop 167 (us) 6495.434
Loop 168 (us) 6178.114
Loop 169 (us) 6635.785
Loop 170 (us) 33371.652
Loop 171 (us) 4797.86
Loop 172 (us) 5953.721
Loop 173 (us) 5259.837
Loop 174 (us) 5752.774
Loop 175 (us) 6034.472
Loop 176 (us) 6442.72
Loop 177 (us) 6149.854
Loop 178 (us) 6540.795
Loop 179 (us) 4774.316
Loop 180 (us) 6381.706
Loop 181 (us) 6294.775
Loop 182 (us) 6419.912
Loop 183 (us) 6490.13
Loop 184 (us) 4852.391
Loop 185 (us) 6463.166
Loop 186 (us) 6261.396
Loop 187 (us) 6244.02
Loop 188 (us) 4636.335
Loop 189 (us) 6307.96
Loop 190 (us) 5819.101
Loop 191 (us) 4644.657
Loop 192 (us) 6406.266
Loop 193 (us) 6286.167
Loop 194 (us) 4604.427
Loop 195 (us) 6022.368
Loop 196 (us) 5815.566
Loop 197 (us) 6311.492
Loop 198 (us) 5950.555
Loop 199 (us) 6417.316
Loop 200 (us) 6655.519
Loop 201 (us) 7246.997
Loop 202 (us) 6193.569
Loop 203 (us) 6455.822
Loop 204 (us) 6004.972
Loop 205 (us) 4671.621
Loop 206 (us) 6318.976
Loop 207 (us) 6116.021
Loop 208 (us) 6303.914
Loop 209 (us) 33266.155
Loop 210 (us) 6394.627
Loop 211 (us) 6284.239
Loop 212 (us) 6422.767
Loop 213 (us) 6607.406
Loop 214 (us) 4912.711
Loop 215 (us) 4442.038
Loop 216 (us) 6272.787
Loop 217 (us) 6247.633
Loop 218 (us) 6347.576
Loop 219 (us) 5963.205
Loop 220 (us) 6317.614
Loop 221 (us) 6631.825
Loop 222 (us) 6671.294
Loop 223 (us) 6405.229
Loop 224 (us) 6319.837
Loop 225 (us) 32950.842
Loop 226 (us) 6282.041
Loop 227 (us) 4882.498
Loop 228 (us) 6410.294
Loop 229 (us) 6166.445
Loop 230 (us) 6204.735
Loop 231 (us) 6502.978
Loop 232 (us) 4821.162
Loop 233 (us) 4399.566
Loop 234 (us) 4480.431
Loop 235 (us) 6441.961
Loop 236 (us) 6456.312
Loop 237 (us) 5900.959
Loop 238 (us) 6283.092
Loop 239 (us) 6773.192
Loop 240 (us) 6137.83
Loop 241 (us) 4783.706
Loop 242 (us) 18419.476
Loop 243 (us) 6458.298
Loop 244 (us) 4604.767
Loop 245 (us) 6511.918
Loop 246 (us) 6255.118
Loop 247 (us) 6477.166
Loop 248 (us) 5718.51
Loop 249 (us) 4810.218
Loop 250 (us) 5581.551
Loop 251 (us) 6313.155
Loop 252 (us) 6319.426
Loop 253 (us) 6025.213
Loop 254 (us) 6206.595
Loop 255 (us) 4811.687
Loop 256 (us) 6352.937
Loop 257 (us) 4631.247
Loop 258 (us) 6118.572
Loop 259 (us) 6341.006
Loop 260 (us) 8433.599
Loop 261 (us) 6397.061
Loop 262 (us) 4803.278
Loop 263 (us) 6430.991
Loop 264 (us) 4507.648
Loop 265 (us) 6505.096
Loop 266 (us) 6275.198
Loop 267 (us) 4632.346
Loop 268 (us) 5974.989
Loop 269 (us) 4649.389
Loop 270 (us) 6090.339
Loop 271 (us) 5618.588
Loop 272 (us) 4675.699
Loop 273 (us) 6278.387
Loop 274 (us) 4595.986
Loop 275 (us) 4372.976
Loop 276 (us) 4352.947
Loop 277 (us) 6282.614
Loop 278 (us) 8315.861
Loop 279 (us) 6466.303
Loop 280 (us) 6145.198
Loop 281 (us) 6016.341
Loop 282 (us) 6440.342
Loop 283 (us) 5825.502
Loop 284 (us) 6304.391
Loop 285 (us) 6714.968
Loop 286 (us) 6334.568
Loop 287 (us) 6369.787
Loop 288 (us) 6067.939
Loop 289 (us) 6469.627
Loop 290 (us) 6084.638
Loop 291 (us) 6040.689
Loop 292 (us) 6186.737
Loop 293 (us) 6003.594
Loop 294 (us) 4663.183
Loop 295 (us) 4285.204
Loop 296 (us) 4269.268
Loop 297 (us) 6485.318
Loop 298 (us) 6290.585
Loop 299 (us) 4667.564
Loop 300 (us) 6249.758
Loop 301 (us) 5858.911
Loop 302 (us) 4593.966
Loop 303 (us) 6254.218
Loop 304 (us) 6214.644
Loop 305 (us) 4593.881
Loop 306 (us) 6234.948
Loop 307 (us) 5566.033
Loop 308 (us) 6021.499
Loop 309 (us) 6275.606
Loop 310 (us) 5485.024
Loop 311 (us) 5830.533
Loop 312 (us) 6686.431
Loop 313 (us) 6350.397
Loop 314 (us) 9013.093
Loop 315 (us) 6598.854
Loop 316 (us) 6460.329
Loop 317 (us) 6691.237
Loop 318 (us) 4758.43
Loop 319 (us) 4316.84
Loop 320 (us) 6575.236
Loop 321 (us) 6324.91
Loop 322 (us) 4628.914
Loop 323 (us) 5835.205
Loop 324 (us) 4524.684
Loop 325 (us) 4257.986
Loop 326 (us) 5962.905
Loop 327 (us) 6169.731
Loop 328 (us) 6077.418
Loop 329 (us) 6389.77
Loop 330 (us) 6442.418
Loop 331 (us) 4631.832
Loop 332 (us) 6318.253
Loop 333 (us) 5855.378
Loop 334 (us) 6269.122
Loop 335 (us) 6147.661
Loop 336 (us) 6095.413
Loop 337 (us) 6095.506
Loop 338 (us) 6584.072
Loop 339 (us) 6630.633
Loop 340 (us) 6449.791
Loop 341 (us) 6213.494
Loop 342 (us) 4639.617
Loop 343 (us) 6051.07
Loop 344 (us) 6093.009
Loop 345 (us) 5803.136
Loop 346 (us) 5993.489
Loop 347 (us) 14572.833
Loop 348 (us) 6263.46
Loop 349 (us) 6415.647
Loop 350 (us) 5805.473
Loop 351 (us) 6012.546
Loop 352 (us) 6482.716
Loop 353 (us) 5905.62
Loop 354 (us) 5996.222
Loop 355 (us) 5786.256
Loop 356 (us) 6474.568
Loop 357 (us) 6004.057
Loop 358 (us) 6251.88
Loop 359 (us) 6474.455
Loop 360 (us) 6477.049
Loop 361 (us) 6026.388
Loop 362 (us) 6723.611
Loop 363 (us) 4699.93
Loop 364 (us) 6040.22
Loop 365 (us) 6426.926
Loop 366 (us) 6465.98
Loop 367 (us) 6895.589
Loop 368 (us) 5857.798
Loop 369 (us) 6611.85
Loop 370 (us) 33370.23
Loop 371 (us) 6557.972
Loop 372 (us) 6203.664
Loop 373 (us) 6113.507
Loop 374 (us) 21695.898
Loop 375 (us) 6552.199
Loop 376 (us) 4944.309
Loop 377 (us) 6105.8
Loop 378 (us) 6083.698
Loop 379 (us) 6421.524
Loop 380 (us) 6324.698
Loop 381 (us) 4623.433
Loop 382 (us) 4369.494
Loop 383 (us) 6411.309
Loop 384 (us) 5682.062
Loop 385 (us) 6325.615
Loop 386 (us) 6016.26
Loop 387 (us) 6333.68
Loop 388 (us) 6241.931
