writeECPipeline, filename /tmp262144eccache1.dat, size 262144, encodingSplitSize 65536, loop 1000, storageClass 0, locationClass 0, pureMonECSubStripeNum 1, isPureMonEC false
starting benchmark...
CrailConstants.REPLICATION_FACTOR has changed to 5
replicas primary file /tmp262144eccache1.dat capacity 0
replicas slave file /tmp262144eccache1.datLQL0 capacity 0
replicas slave file /tmp262144eccache1.datLQL1 capacity 0
replicas slave file /tmp262144eccache1.datLQL2 capacity 0
replicas slave file /tmp262144eccache1.datLQL3 capacity 0
replicas slave file /tmp262144eccache1.datLQL4 capacity 0
ops 1000
final loop (us) 171.601
Loop 0 (us) 136.657
Loop 1 (us) 125.812
Loop 2 (us) 131.579
Loop 3 (us) 114.425
Loop 4 (us) 130.18
Loop 5 (us) 137.727
Loop 6 (us) 126.778
Loop 7 (us) 170.033
Loop 8 (us) 158.195
Loop 9 (us) 196.15
Loop 10 (us) 153.818
Loop 11 (us) 170.712
Loop 12 (us) 170.883
Loop 13 (us) 177.421
Loop 14 (us) 188.241
Loop 15 (us) 131.199
Loop 16 (us) 199.264
Loop 17 (us) 159.971
Loop 18 (us) 183.476
Loop 19 (us) 171.625
Loop 20 (us) 163.504
Loop 21 (us) 152.632
Loop 22 (us) 144.337
Loop 23 (us) 127.573
Loop 24 (us) 122.326
Loop 25 (us) 165.476
Loop 26 (us) 141.207
Loop 27 (us) 119.218
Loop 28 (us) 177.622
Loop 29 (us) 166.07
Loop 30 (us) 159.121
Loop 31 (us) 180.096
Loop 32 (us) 180.236
Loop 33 (us) 172.308
Loop 34 (us) 177.95
Loop 35 (us) 165.933
Loop 36 (us) 150.422
Loop 37 (us) 165.121
Loop 38 (us) 172.206
Loop 39 (us) 128.755
Loop 40 (us) 159.115
Loop 41 (us) 148.586
Loop 42 (us) 152.086
Loop 43 (us) 172.879
Loop 44 (us) 161.122
Loop 45 (us) 170.235
Loop 46 (us) 157.123
Loop 47 (us) 156.545
Loop 48 (us) 190.621
Loop 49 (us) 172.068
Loop 50 (us) 168.907
Loop 51 (us) 145.864
Loop 52 (us) 145.692
Loop 53 (us) 183.04
Loop 54 (us) 169.606
Loop 55 (us) 174.156
Loop 56 (us) 167.351
Loop 57 (us) 172.354
Loop 58 (us) 141.025
Loop 59 (us) 151.116
Loop 60 (us) 151.295
Loop 61 (us) 143.416
Loop 62 (us) 183.041
Loop 63 (us) 183.73
Loop 64 (us) 141.364
Loop 65 (us) 197.515
Loop 66 (us) 175.163
Loop 67 (us) 169.435
Loop 68 (us) 136.91
Loop 69 (us) 178.551
Loop 70 (us) 202.932
Loop 71 (us) 189.001
Loop 72 (us) 158.366
Loop 73 (us) 159.52
Loop 74 (us) 184.796
Loop 75 (us) 145.994
Loop 76 (us) 158.435
