writeMicroEC_CodingDescent, filename /tmp262144microec.dat, size 262144, loop 1000, storageClass 0, locationClass 0, monECSubStripeNum 16
CrailConstants.REPLICATION_FACTOR has changed to 5
MicroEC Coding Ready

networkSizeArray [32768, 49152, 57344, 61440, 65536]
starting benchmark...
replicas primary file /tmp262144microec.dat capacity 0
replicas slave file /tmp262144microec.datLQL0 capacity 0
replicas slave file /tmp262144microec.datLQL1 capacity 0
replicas slave file /tmp262144microec.datLQL2 capacity 0
replicas slave file /tmp262144microec.datLQL3 capacity 0
replicas slave file /tmp262144microec.datLQL4 capacity 0
CrailConstants.REPLICATION_FACTOR has changed to 5
ops 1000
final loop (us) 120.706
Loop 0 (us) 250.571
Loop 1 (us) 181.782
Loop 2 (us) 132.91
Loop 3 (us) 117.432
Loop 4 (us) 175.003
Loop 5 (us) 112.091
Loop 6 (us) 117.786
Loop 7 (us) 112.631
Loop 8 (us) 113.685
Loop 9 (us) 154.81
Loop 10 (us) 125.11
Loop 11 (us) 120.275
Loop 12 (us) 106.563
Loop 13 (us) 131.955
Loop 14 (us) 116.537
Loop 15 (us) 124.218
Loop 16 (us) 119.012
Loop 17 (us) 127.501
Loop 18 (us) 124.817
Loop 19 (us) 124.503
Loop 20 (us) 128.133
Loop 21 (us) 122.598
Loop 22 (us) 114.136
Loop 23 (us) 592.286
Loop 24 (us) 128.768
Loop 25 (us) 115.233
Loop 26 (us) 104.954
Loop 27 (us) 115.879
Loop 28 (us) 116.298
Loop 29 (us) 113.798
Loop 30 (us) 130.317
Loop 31 (us) 122.352
Loop 32 (us) 127.501
Loop 33 (us) 127.53
Loop 34 (us) 113.377
Loop 35 (us) 135.033
Loop 36 (us) 106.527
Loop 37 (us) 132.979
Loop 38 (us) 123.474
Loop 39 (us) 134.162
Loop 40 (us) 128.852
Loop 41 (us) 117.155
Loop 42 (us) 127.218
Loop 43 (us) 126.297
Loop 44 (us) 132.027
Loop 45 (us) 136.181
Loop 46 (us) 127.45
Loop 47 (us) 114.505
Loop 48 (us) 167.405
Loop 49 (us) 111.644
Loop 50 (us) 111.807
Loop 51 (us) 132.954
Loop 52 (us) 129.246
Loop 53 (us) 121.831
Loop 54 (us) 140.509
Loop 55 (us) 125.201
Loop 56 (us) 114.294
Loop 57 (us) 255.638
Loop 58 (us) 185.908
Loop 59 (us) 139.985
Loop 60 (us) 136.309
Loop 61 (us) 128.208
Loop 62 (us) 144.617
Loop 63 (us) 128.108
Loop 64 (us) 146.789
Loop 65 (us) 160.609
Loop 66 (us) 588.476
Loop 67 (us) 114.845
Loop 68 (us) 111.196
