write, filename /tmp262144rep1.dat, size 262144, loop 1000, storageClass 0, locationClass 0
starting benchmark...
ops 1000
final loop (us) 49.375
Loop 0 (us) 50.856
Loop 1 (us) 50.053
Loop 2 (us) 50.354
Loop 3 (us) 49.882
Loop 4 (us) 50.141
Loop 5 (us) 50.299
Loop 6 (us) 49.754
Loop 7 (us) 50.974
Loop 8 (us) 50.558
Loop 9 (us) 51.051
Loop 10 (us) 51.194
Loop 11 (us) 49.525
Loop 12 (us) 49.388
Loop 13 (us) 50.386
Loop 14 (us) 49.929
Loop 15 (us) 50.111
Loop 16 (us) 49.84
Loop 17 (us) 50.166
Loop 18 (us) 49.8
Loop 19 (us) 49.801
Loop 20 (us) 50.396
Loop 21 (us) 50.013
Loop 22 (us) 50.961
Loop 23 (us) 50.79
Loop 24 (us) 50.188
Loop 25 (us) 50.15
Loop 26 (us) 50.56
Loop 27 (us) 50.276
Loop 28 (us) 58.629
Loop 29 (us) 60.701
Loop 30 (us) 55.542
Loop 31 (us) 50.97
Loop 32 (us) 50.315
Loop 33 (us) 49.999
Loop 34 (us) 50.141
Loop 35 (us) 49.956
Loop 36 (us) 50.14
Loop 37 (us) 49.914
Loop 38 (us) 50.427
Loop 39 (us) 49.754
Loop 40 (us) 49.538
Loop 41 (us) 49.949
Loop 42 (us) 49.893
Loop 43 (us) 49.867
Loop 44 (us) 49.891
Loop 45 (us) 49.977
Loop 46 (us) 50.225
Loop 47 (us) 50.113
Loop 48 (us) 50.26
Loop 49 (us) 49.659
Loop 50 (us) 50.159
Loop 51 (us) 49.809
Loop 52 (us) 49.9
Loop 53 (us) 49.755
Loop 54 (us) 51.148
Loop 55 (us) 50.137
Loop 56 (us) 49.994
Loop 57 (us) 49.849
Loop 58 (us) 61.045
Loop 59 (us) 50.396
Loop 60 (us) 50.734
Loop 61 (us) 50.383
Loop 62 (us) 50.095
Loop 63 (us) 50.024
Loop 64 (us) 50.382
Loop 65 (us) 50.29
Loop 66 (us) 61.954
Loop 67 (us) 58.398
Loop 68 (us) 56.45
Loop 69 (us) 50.972
Loop 70 (us) 50.402
Loop 71 (us) 50.128
Loop 72 (us) 50.151
Loop 73 (us) 62.092
Loop 74 (us) 51.212
Loop 75 (us) 50.57
Loop 76 (us) 50.581
Loop 77 (us) 50.343
Loop 78 (us) 59.991
Loop 79 (us) 50.941
Loop 80 (us) 50.524
Loop 81 (us) 50.237
Loop 82 (us) 50.14
Loop 83 (us) 49.621
Loop 84 (us) 50.698
Loop 85 (us) 50.625
Loop 86 (us) 51.451
Loop 87 (us) 50.456
Loop 88 (us) 50.461
Loop 89 (us) 59.176
Loop 90 (us) 96.046
Loop 91 (us) 80.969
Loop 92 (us) 51.238
Loop 93 (us) 50.477
Loop 94 (us) 50.635
Loop 95 (us) 50.394
Loop 96 (us) 50.084
Loop 97 (us) 49.958
Loop 98 (us) 50.224
Loop 99 (us) 49.716
Loop 100 (us) 50.321
Loop 101 (us) 49.956
Loop 102 (us) 50.224
Loop 103 (us) 50.782
Loop 104 (us) 50.241
Loop 105 (us) 50.106
Loop 106 (us) 49.951
Loop 107 (us) 49.849
Loop 108 (us) 50.017
Loop 109 (us) 49.911
Loop 110 (us) 49.849
Loop 111 (us) 49.802
Loop 112 (us) 51.185
Loop 113 (us) 49.697
Loop 114 (us) 50.08
Loop 115 (us) 50.048
Loop 116 (us) 50.089
Loop 117 (us) 49.94
Loop 118 (us) 49.966
Loop 119 (us) 49.889
Loop 120 (us) 49.687
Loop 121 (us) 53.545
Loop 122 (us) 50.31
Loop 123 (us) 50.155
Loop 124 (us) 50.166
Loop 125 (us) 49.781
Loop 126 (us) 49.986
Loop 127 (us) 50.179
Loop 128 (us) 49.505
Loop 129 (us) 50.04
Loop 130 (us) 49.683
Loop 131 (us) 50.048
Loop 132 (us) 49.991
Loop 133 (us) 50.091
Loop 134 (us) 50.24
Loop 135 (us) 50.011
Loop 136 (us) 50.343
Loop 137 (us) 49.733
Loop 138 (us) 50.025
Loop 139 (us) 50.207
Loop 140 (us) 50.379
Loop 141 (us) 51.064
Loop 142 (us) 50.199
Loop 143 (us) 50.077
Loop 144 (us) 49.938
Loop 145 (us) 50.253
Loop 146 (us) 49.762
Loop 147 (us) 49.701
Loop 148 (us) 50.099
Loop 149 (us) 49.817
Loop 150 (us) 61.16
Loop 151 (us) 49.538
Loop 152 (us) 50.043
Loop 153 (us) 49.998
Loop 154 (us) 49.894
Loop 155 (us) 49.459
Loop 156 (us) 49.576
Loop 157 (us) 49.74
Loop 158 (us) 49.681
Loop 159 (us) 49.696
Loop 160 (us) 49.592
Loop 161 (us) 50.023
Loop 162 (us) 50.249
Loop 163 (us) 49.898
Loop 164 (us) 50.243
Loop 165 (us) 50.171
Loop 166 (us) 49.656
Loop 167 (us) 49.881
Loop 168 (us) 49.78
Loop 169 (us) 50.167
Loop 170 (us) 49.659
Loop 171 (us) 49.341
Loop 172 (us) 49.62
Loop 173 (us) 49.532
Loop 174 (us) 49.683
Loop 175 (us) 49.831
Loop 176 (us) 49.56
Loop 177 (us) 49.818
Loop 178 (us) 49.602
Loop 179 (us) 49.773
Loop 180 (us) 49.843
Loop 181 (us) 49.807
Loop 182 (us) 49.878
Loop 183 (us) 49.552
Loop 184 (us) 49.547
Loop 185 (us) 49.796
Loop 186 (us) 49.816
Loop 187 (us) 49.956
Loop 188 (us) 49.664
Loop 189 (us) 49.798
Loop 190 (us) 49.696
Loop 191 (us) 49.64
Loop 192 (us) 49.63
Loop 193 (us) 49.573
Loop 194 (us) 49.688
Loop 195 (us) 49.802
Loop 196 (us) 49.97
Loop 197 (us) 49.796
Loop 198 (us) 49.606
Loop 199 (us) 50.016
Loop 200 (us) 49.733
Loop 201 (us) 49.843
Loop 202 (us) 50.299
Loop 203 (us) 49.644
Loop 204 (us) 49.67
Loop 205 (us) 49.322
Loop 206 (us) 49.337
Loop 207 (us) 49.736
Loop 208 (us) 49.501
Loop 209 (us) 50.213
Loop 210 (us) 49.603
Loop 211 (us) 49.708
Loop 212 (us) 49.821
Loop 213 (us) 49.439
Loop 214 (us) 49.913
Loop 215 (us) 49.687
Loop 216 (us) 50.325
Loop 217 (us) 49.948
Loop 218 (us) 49.417
Loop 219 (us) 49.712
Loop 220 (us) 49.736
Loop 221 (us) 50.319
Loop 222 (us) 49.931
Loop 223 (us) 49.962
Loop 224 (us) 49.754
Loop 225 (us) 49.874
Loop 226 (us) 49.902
Loop 227 (us) 49.685
Loop 228 (us) 50.064
Loop 229 (us) 49.732
Loop 230 (us) 49.47
Loop 231 (us) 49.866
Loop 232 (us) 49.449
Loop 233 (us) 49.741
Loop 234 (us) 50.158
Loop 235 (us) 49.352
Loop 236 (us) 50.036
Loop 237 (us) 49.684
Loop 238 (us) 49.571
Loop 239 (us) 49.836
Loop 240 (us) 49.456
Loop 241 (us) 50.349
Loop 242 (us) 50.082
Loop 243 (us) 49.806
Loop 244 (us) 49.357
Loop 245 (us) 49.652
Loop 246 (us) 51.116
Loop 247 (us) 49.671
Loop 248 (us) 49.773
Loop 249 (us) 49.952
Loop 250 (us) 50.211
Loop 251 (us) 49.843
Loop 252 (us) 49.948
Loop 253 (us) 49.794
Loop 254 (us) 49.47
Loop 255 (us) 49.911
Loop 256 (us) 49.463
Loop 257 (us) 49.956
Loop 258 (us) 50.578
Loop 259 (us) 49.776
Loop 260 (us) 49.95
Loop 261 (us) 49.892
Loop 262 (us) 50.282
Loop 263 (us) 49.686
Loop 264 (us) 50.121
Loop 265 (us) 49.987
Loop 266 (us) 49.879
Loop 267 (us) 51.259
Loop 268 (us) 50.036
Loop 269 (us) 51.009
Loop 270 (us) 50.279
Loop 271 (us) 49.778
Loop 272 (us) 50.225
Loop 273 (us) 50.123
Loop 274 (us) 49.856
Loop 275 (us) 50.526
Loop 276 (us) 49.924
Loop 277 (us) 50.027
Loop 278 (us) 51.127
Loop 279 (us) 49.96
Loop 280 (us) 52.791
Loop 281 (us) 50.217
Loop 282 (us) 50.332
Loop 283 (us) 50.701
Loop 284 (us) 49.684
Loop 285 (us) 49.822
Loop 286 (us) 49.525
Loop 287 (us) 50.03
Loop 288 (us) 49.94
Loop 289 (us) 49.626
Loop 290 (us) 50.155
Loop 291 (us) 49.98
Loop 292 (us) 49.997
Loop 293 (us) 49.378
Loop 294 (us) 49.946
Loop 295 (us) 49.823
Loop 296 (us) 49.518
Loop 297 (us) 49.955
Loop 298 (us) 49.693
Loop 299 (us) 49.903
Loop 300 (us) 49.773
Loop 301 (us) 49.622
Loop 302 (us) 49.702
Loop 303 (us) 49.775
Loop 304 (us) 49.57
Loop 305 (us) 49.838
Loop 306 (us) 49.359
Loop 307 (us) 49.623
Loop 308 (us) 49.242
Loop 309 (us) 49.794
Loop 310 (us) 49.919
Loop 311 (us) 49.853
Loop 312 (us) 49.961
Loop 313 (us) 49.925
Loop 314 (us) 49.834
Loop 315 (us) 49.874
Loop 316 (us) 49.709
Loop 317 (us) 49.813
Loop 318 (us) 49.546
Loop 319 (us) 49.956
Loop 320 (us) 49.721
Loop 321 (us) 49.746
Loop 322 (us) 49.704
Loop 323 (us) 49.745
Loop 324 (us) 50.093
Loop 325 (us) 49.475
Loop 326 (us) 49.772
Loop 327 (us) 49.97
Loop 328 (us) 49.708
Loop 329 (us) 49.92
Loop 330 (us) 49.326
Loop 331 (us) 49.414
Loop 332 (us) 49.904
Loop 333 (us) 49.639
Loop 334 (us) 49.862
Loop 335 (us) 49.532
Loop 336 (us) 49.569
Loop 337 (us) 49.764
Loop 338 (us) 49.535
Loop 339 (us) 49.608
Loop 340 (us) 50.063
Loop 341 (us) 50.219
Loop 342 (us) 60.99
Loop 343 (us) 50.673
Loop 344 (us) 50.041
Loop 345 (us) 49.932
Loop 346 (us) 49.419
Loop 347 (us) 49.702
Loop 348 (us) 49.962
Loop 349 (us) 49.551
Loop 350 (us) 49.994
Loop 351 (us) 49.512
Loop 352 (us) 49.818
Loop 353 (us) 49.821
Loop 354 (us) 49.938
Loop 355 (us) 49.699
Loop 356 (us) 49.718
Loop 357 (us) 49.644
Loop 358 (us) 49.878
Loop 359 (us) 49.394
Loop 360 (us) 49.707
Loop 361 (us) 49.939
Loop 362 (us) 49.868
Loop 363 (us) 49.99
Loop 364 (us) 49.388
Loop 365 (us) 49.492
Loop 366 (us) 49.271
Loop 367 (us) 50.065
Loop 368 (us) 49.921
Loop 369 (us) 49.385
Loop 370 (us) 49.915
Loop 371 (us) 51.247
Loop 372 (us) 49.824
Loop 373 (us) 48.799
Loop 374 (us) 76.395
Loop 375 (us) 69.023
Loop 376 (us) 50.046
Loop 377 (us) 49.671
Loop 378 (us) 49.787
Loop 379 (us) 49.326
Loop 380 (us) 49.986
Loop 381 (us) 49.581
Loop 382 (us) 49.328
Loop 383 (us) 49.772
Loop 384 (us) 49.471
Loop 385 (us) 49.911
Loop 386 (us) 49.324
Loop 387 (us) 49.217
Loop 388 (us) 49.777
Loop 389 (us) 49.371
Loop 390 (us) 49.852
Loop 391 (us) 49.789
Loop 392 (us) 49.47
Loop 393 (us) 49.51
Loop 394 (us) 49.305
Loop 395 (us) 49.403
Loop 396 (us) 49.749
Loop 397 (us) 49.151
Loop 398 (us) 49.446
Loop 399 (us) 49.869
Loop 400 (us) 49.982
Loop 401 (us) 49.395
Loop 402 (us) 49.344
Loop 403 (us) 49.503
Loop 404 (us) 49.436
Loop 405 (us) 49.512
