writeECPipeline, filename /tmp4194304eccache.dat, size 4194304, encodingSplitSize 1048576, loop 1000, storageClass 0, locationClass 0, pureMonECSubStripeNum 1, isPureMonEC false
MicroEC Coding Ready

starting benchmark...
CrailConstants.REPLICATION_FACTOR has changed to 5
replicas primary file /tmp4194304eccache.dat capacity 0
replicas slave file /tmp4194304eccache.datLQL0 capacity 0
replicas slave file /tmp4194304eccache.datLQL1 capacity 0
replicas slave file /tmp4194304eccache.datLQL2 capacity 0
replicas slave file /tmp4194304eccache.datLQL3 capacity 0
replicas slave file /tmp4194304eccache.datLQL4 capacity 0
ops 1000
final loop (us) 1809.617
Loop 0 (us) 1843.248
Loop 1 (us) 2161.954
Loop 2 (us) 1971.346
Loop 3 (us) 2182.813
Loop 4 (us) 1925.977
Loop 5 (us) 2141.785
Loop 6 (us) 2174.549
Loop 7 (us) 2001.311
Loop 8 (us) 1930.358
Loop 9 (us) 2033.195
Loop 10 (us) 1737.363
Loop 11 (us) 1990.899
Loop 12 (us) 1850.439
Loop 13 (us) 2286.516
Loop 14 (us) 2117.02
Loop 15 (us) 2293.825
Loop 16 (us) 2126.191
Loop 17 (us) 1987.912
Loop 18 (us) 2179.344
Loop 19 (us) 2287.163
Loop 20 (us) 1751.173
Loop 21 (us) 2175.194
Loop 22 (us) 2216.135
Loop 23 (us) 2118.123
Loop 24 (us) 1777.036
Loop 25 (us) 1937.008
Loop 26 (us) 2237.959
Loop 27 (us) 1906.633
Loop 28 (us) 1750.405
Loop 29 (us) 1807.789
Loop 30 (us) 1804.756
Loop 31 (us) 2236.604
Loop 32 (us) 2313.202
Loop 33 (us) 4512.178
Loop 34 (us) 2334.472
Loop 35 (us) 2077.626
Loop 36 (us) 1940.187
Loop 37 (us) 2123.081
Loop 38 (us) 1998.086
Loop 39 (us) 2228.287
Loop 40 (us) 2381.595
Loop 41 (us) 2016.952
Loop 42 (us) 1756.053
Loop 43 (us) 2209.693
Loop 44 (us) 2079.782
Loop 45 (us) 1727.215
Loop 46 (us) 2201.405
Loop 47 (us) 1916.03
Loop 48 (us) 2404.67
Loop 49 (us) 2143.469
Loop 50 (us) 1870.0
Loop 51 (us) 1847.539
Loop 52 (us) 1839.997
Loop 53 (us) 1866.363
Loop 54 (us) 1895.071
Loop 55 (us) 1754.146
Loop 56 (us) 2371.085
Loop 57 (us) 2080.246
Loop 58 (us) 1909.655
Loop 59 (us) 1780.908
Loop 60 (us) 1791.103
Loop 61 (us) 2321.959
Loop 62 (us) 1988.565
Loop 63 (us) 1837.759
Loop 64 (us) 2148.359
Loop 65 (us) 1957.303
Loop 66 (us) 1975.16
Loop 67 (us) 2341.682
Loop 68 (us) 2134.466
Loop 69 (us) 2341.684
Loop 70 (us) 2291.686
Loop 71 (us) 1983.289
Loop 72 (us) 2275.01
Loop 73 (us) 1766.696
Loop 74 (us) 1744.67
Loop 75 (us) 1974.634
Loop 76 (us) 2378.754
Loop 77 (us) 1909.586
Loop 78 (us) 1817.232
Loop 79 (us) 1759.95
Loop 80 (us) 2298.156
Loop 81 (us) 1937.938
Loop 82 (us) 1782.673
Loop 83 (us) 1740.641
Loop 84 (us) 1802.257
Loop 85 (us) 2049.928
Loop 86 (us) 4826.397
Loop 87 (us) 2221.446
Loop 88 (us) 1928.515
Loop 89 (us) 1939.043
Loop 90 (us) 2309.208
Loop 91 (us) 2344.694
Loop 92 (us) 1902.139
Loop 93 (us) 2081.315
Loop 94 (us) 2074.729
Loop 95 (us) 2315.154
Loop 96 (us) 2070.935
Loop 97 (us) 2411.618
Loop 98 (us) 2384.166
Loop 99 (us) 1731.046
Loop 100 (us) 1811.838
Loop 101 (us) 2359.915
Loop 102 (us) 2275.475
Loop 103 (us) 2281.217
Loop 104 (us) 4200.681
Loop 105 (us) 2271.272
Loop 106 (us) 2292.338
Loop 107 (us) 2033.198
Loop 108 (us) 2297.15
Loop 109 (us) 2063.531
Loop 110 (us) 1855.025
Loop 111 (us) 2205.814
Loop 112 (us) 1990.489
Loop 113 (us) 1854.904
Loop 114 (us) 1891.127
Loop 115 (us) 1784.648
Loop 116 (us) 1806.447
Loop 117 (us) 2338.217
Loop 118 (us) 2000.006
Loop 119 (us) 2011.768
Loop 120 (us) 1908.738
Loop 121 (us) 2162.555
Loop 122 (us) 1903.473
Loop 123 (us) 2169.493
Loop 124 (us) 2176.801
Loop 125 (us) 1877.321
Loop 126 (us) 2284.401
Loop 127 (us) 16702.57
Loop 128 (us) 1926.059
Loop 129 (us) 1728.229
Loop 130 (us) 2005.386
Loop 131 (us) 1947.143
Loop 132 (us) 2281.049
Loop 133 (us) 2016.565
Loop 134 (us) 2677.795
Loop 135 (us) 2170.494
Loop 136 (us) 2181.668
Loop 137 (us) 2372.943
Loop 138 (us) 2289.89
Loop 139 (us) 2301.551
Loop 140 (us) 1819.778
Loop 141 (us) 1950.486
Loop 142 (us) 1872.107
Loop 143 (us) 2171.335
Loop 144 (us) 2002.107
Loop 145 (us) 2269.078
