writeHydra, filename /tmp4194304hydra.dat, size 4194304, loop 1000, storageClass 0, locationClass 0
CrailConstants.REPLICATION_FACTOR has changed to 5
MicroEC Coding Ready

starting benchmark...
replicas primary file /tmp4194304hydra.dat capacity 0
replicas slave file /tmp4194304hydra.datLQL0 capacity 0
replicas slave file /tmp4194304hydra.datLQL1 capacity 0
replicas slave file /tmp4194304hydra.datLQL2 capacity 0
replicas slave file /tmp4194304hydra.datLQL3 capacity 0
replicas slave file /tmp4194304hydra.datLQL4 capacity 0
ops 1000
final loop (us) 1225.099
Loop 0 (us) 1054.893
Loop 1 (us) 1237.544
Loop 2 (us) 1315.169
Loop 3 (us) 1200.665
Loop 4 (us) 2927.114
Loop 5 (us) 1124.159
Loop 6 (us) 1490.362
Loop 7 (us) 1430.243
Loop 8 (us) 1321.407
Loop 9 (us) 1126.083
Loop 10 (us) 1442.885
Loop 11 (us) 1349.57
Loop 12 (us) 1307.256
Loop 13 (us) 1514.207
Loop 14 (us) 1320.056
Loop 15 (us) 1496.574
Loop 16 (us) 1339.861
Loop 17 (us) 1696.617
Loop 18 (us) 1589.928
Loop 19 (us) 1775.302
Loop 20 (us) 1309.704
Loop 21 (us) 1778.036
Loop 22 (us) 1637.247
Loop 23 (us) 1175.585
Loop 24 (us) 1770.543
Loop 25 (us) 1721.891
Loop 26 (us) 1726.654
Loop 27 (us) 1466.098
Loop 28 (us) 1752.309
Loop 29 (us) 1174.249
Loop 30 (us) 1152.98
Loop 31 (us) 1426.874
Loop 32 (us) 1328.688
Loop 33 (us) 1768.023
Loop 34 (us) 1213.75
Loop 35 (us) 1156.609
Loop 36 (us) 1143.696
Loop 37 (us) 1764.023
Loop 38 (us) 1329.425
Loop 39 (us) 1423.725
Loop 40 (us) 1728.303
Loop 41 (us) 2357.467
Loop 42 (us) 1284.277
Loop 43 (us) 1382.642
Loop 44 (us) 1151.023
Loop 45 (us) 1176.836
Loop 46 (us) 1769.079
Loop 47 (us) 1389.994
Loop 48 (us) 1146.461
Loop 49 (us) 1398.558
Loop 50 (us) 1584.114
Loop 51 (us) 1424.734
Loop 52 (us) 1315.021
Loop 53 (us) 1764.234
Loop 54 (us) 1379.178
Loop 55 (us) 1311.785
Loop 56 (us) 1426.96
Loop 57 (us) 1534.734
Loop 58 (us) 1745.791
Loop 59 (us) 1720.739
Loop 60 (us) 1416.518
Loop 61 (us) 1328.549
Loop 62 (us) 1708.464
Loop 63 (us) 1290.084
Loop 64 (us) 1581.479
Loop 65 (us) 1672.895
Loop 66 (us) 1336.418
Loop 67 (us) 1425.135
Loop 68 (us) 1127.096
Loop 69 (us) 1558.437
Loop 70 (us) 1470.945
Loop 71 (us) 1295.333
Loop 72 (us) 1579.01
Loop 73 (us) 1436.175
Loop 74 (us) 1496.264
Loop 75 (us) 1717.363
Loop 76 (us) 1124.765
Loop 77 (us) 1392.447
Loop 78 (us) 1569.469
Loop 79 (us) 1133.092
Loop 80 (us) 1151.05
Loop 81 (us) 1508.25
Loop 82 (us) 1417.737
Loop 83 (us) 1490.347
Loop 84 (us) 1295.153
Loop 85 (us) 1379.224
Loop 86 (us) 1403.634
Loop 87 (us) 1156.508
Loop 88 (us) 1125.467
Loop 89 (us) 1129.613
Loop 90 (us) 1200.635
Loop 91 (us) 1307.203
Loop 92 (us) 1670.946
Loop 93 (us) 1547.045
Loop 94 (us) 1116.943
Loop 95 (us) 1706.702
Loop 96 (us) 1665.323
Loop 97 (us) 1465.541
Loop 98 (us) 1727.081
Loop 99 (us) 2983.292
Loop 100 (us) 1744.846
Loop 101 (us) 1403.97
Loop 102 (us) 1311.137
Loop 103 (us) 1688.745
Loop 104 (us) 1449.606
Loop 105 (us) 1420.752
Loop 106 (us) 1313.779
Loop 107 (us) 1971.372
Loop 108 (us) 1763.772
Loop 109 (us) 1331.765
Loop 110 (us) 1567.81
Loop 111 (us) 1301.251
Loop 112 (us) 1455.32
Loop 113 (us) 1305.106
Loop 114 (us) 1522.72
Loop 115 (us) 1730.74
Loop 116 (us) 1149.885
Loop 117 (us) 1207.911
Loop 118 (us) 1158.767
Loop 119 (us) 1164.671
Loop 120 (us) 1240.853
Loop 121 (us) 1345.335
Loop 122 (us) 1261.534
Loop 123 (us) 1325.266
Loop 124 (us) 1808.843
Loop 125 (us) 1657.722
Loop 126 (us) 2513.484
Loop 127 (us) 1575.749
Loop 128 (us) 1800.459
Loop 129 (us) 1705.022
Loop 130 (us) 1340.178
Loop 131 (us) 1525.103
Loop 132 (us) 1275.69
Loop 133 (us) 1267.624
Loop 134 (us) 1444.487
Loop 135 (us) 1473.525
Loop 136 (us) 1179.3
Loop 137 (us) 1575.801
Loop 138 (us) 1165.138
Loop 139 (us) 1713.105
Loop 140 (us) 1287.801
Loop 141 (us) 1310.725
Loop 142 (us) 1664.972
Loop 143 (us) 1142.849
Loop 144 (us) 1155.071
Loop 145 (us) 1337.816
Loop 146 (us) 1789.459
Loop 147 (us) 1360.772
Loop 148 (us) 1171.598
Loop 149 (us) 1468.303
Loop 150 (us) 1603.693
Loop 151 (us) 1546.791
Loop 152 (us) 1481.857
Loop 153 (us) 1554.542
Loop 154 (us) 1636.433
Loop 155 (us) 1163.966
Loop 156 (us) 1239.542
Loop 157 (us) 1149.327
Loop 158 (us) 1114.997
Loop 159 (us) 1307.545
Loop 160 (us) 3829.868
Loop 161 (us) 1418.054
Loop 162 (us) 1456.194
Loop 163 (us) 1696.618
Loop 164 (us) 1709.487
Loop 165 (us) 1262.729
Loop 166 (us) 1658.122
Loop 167 (us) 1625.778
Loop 168 (us) 1712.943
Loop 169 (us) 1790.025
Loop 170 (us) 1452.757
Loop 171 (us) 1299.591
