writeMicroEC_CodingDescent, filename /tmp4194304microec.dat, size 4194304, loop 1000, storageClass 0, locationClass 0, monECSubStripeNum 256
CrailConstants.REPLICATION_FACTOR has changed to 5
networkSizeArray [524288, 786432, 917504, 983040, 1015808, 1032192, 1048576]
starting benchmark...
replicas primary file /tmp4194304microec.dat capacity 0
replicas slave file /tmp4194304microec.datLQL0 capacity 0
replicas slave file /tmp4194304microec.datLQL1 capacity 0
replicas slave file /tmp4194304microec.datLQL2 capacity 0
replicas slave file /tmp4194304microec.datLQL3 capacity 0
replicas slave file /tmp4194304microec.datLQL4 capacity 0
CrailConstants.REPLICATION_FACTOR has changed to 5
ops 1000
final loop (us) 1181.825
Loop 0 (us) 1033.093
Loop 1 (us) 986.299
Loop 2 (us) 1226.255
Loop 3 (us) 1246.717
Loop 4 (us) 1385.263
Loop 5 (us) 1247.453
Loop 6 (us) 1210.275
Loop 7 (us) 1246.701
Loop 8 (us) 1274.341
Loop 9 (us) 6140.256
Loop 10 (us) 1161.125
Loop 11 (us) 1395.588
Loop 12 (us) 1339.018
Loop 13 (us) 1320.54
Loop 14 (us) 1354.546
Loop 15 (us) 1331.046
Loop 16 (us) 1329.912
Loop 17 (us) 1304.72
Loop 18 (us) 1224.011
Loop 19 (us) 1241.518
Loop 20 (us) 1205.858
Loop 21 (us) 1265.743
Loop 22 (us) 1241.602
Loop 23 (us) 1314.714
Loop 24 (us) 1417.775
Loop 25 (us) 1312.955
Loop 26 (us) 1242.14
Loop 27 (us) 1230.853
Loop 28 (us) 1232.416
Loop 29 (us) 1297.523
Loop 30 (us) 1236.512
Loop 31 (us) 1245.902
Loop 32 (us) 1375.674
Loop 33 (us) 1249.914
Loop 34 (us) 1245.8
Loop 35 (us) 1258.446
Loop 36 (us) 1255.259
Loop 37 (us) 1352.896
Loop 38 (us) 1367.559
Loop 39 (us) 1336.038
Loop 40 (us) 1289.323
Loop 41 (us) 1401.315
Loop 42 (us) 1389.246
Loop 43 (us) 1528.234
Loop 44 (us) 1291.245
Loop 45 (us) 1326.908
Loop 46 (us) 1311.866
Loop 47 (us) 3170.892
Loop 48 (us) 1604.152
Loop 49 (us) 1258.233
Loop 50 (us) 1310.999
Loop 51 (us) 1308.574
Loop 52 (us) 2377.892
Loop 53 (us) 1801.5
Loop 54 (us) 2580.345
Loop 55 (us) 1238.804
Loop 56 (us) 1298.215
Loop 57 (us) 1312.221
Loop 58 (us) 1220.266
Loop 59 (us) 1296.628
Loop 60 (us) 1259.512
Loop 61 (us) 1274.406
Loop 62 (us) 1312.523
Loop 63 (us) 1232.434
Loop 64 (us) 1239.338
Loop 65 (us) 1231.786
Loop 66 (us) 1309.576
Loop 67 (us) 1282.352
Loop 68 (us) 1303.229
Loop 69 (us) 1239.537
Loop 70 (us) 1237.306
Loop 71 (us) 1207.982
Loop 72 (us) 1232.105
Loop 73 (us) 1221.103
Loop 74 (us) 1223.688
Loop 75 (us) 1279.157
Loop 76 (us) 1307.165
Loop 77 (us) 1236.538
Loop 78 (us) 1252.485
Loop 79 (us) 1239.626
Loop 80 (us) 1209.933
Loop 81 (us) 1281.482
Loop 82 (us) 1302.579
Loop 83 (us) 1285.584
Loop 84 (us) 1293.121
Loop 85 (us) 1225.374
Loop 86 (us) 1226.105
Loop 87 (us) 1308.013
Loop 88 (us) 1292.009
Loop 89 (us) 1237.404
Loop 90 (us) 1193.341
Loop 91 (us) 1192.268
Loop 92 (us) 1208.82
Loop 93 (us) 1178.531
Loop 94 (us) 1266.462
Loop 95 (us) 1248.52
Loop 96 (us) 1304.923
Loop 97 (us) 1215.905
Loop 98 (us) 1201.935
Loop 99 (us) 1195.866
Loop 100 (us) 1201.696
Loop 101 (us) 1262.125
Loop 102 (us) 1269.063
Loop 103 (us) 1247.801
Loop 104 (us) 1287.692
Loop 105 (us) 1389.336
Loop 106 (us) 1322.95
Loop 107 (us) 1200.135
Loop 108 (us) 1218.688
Loop 109 (us) 1210.996
Loop 110 (us) 1250.954
Loop 111 (us) 1274.638
Loop 112 (us) 1203.674
Loop 113 (us) 1259.123
Loop 114 (us) 1284.527
Loop 115 (us) 1199.387
Loop 116 (us) 1215.758
