writeMicroEC_CodingDescent, filename /tmp65536microec.dat, size 65536, loop 1000, storageClass 0, locationClass 0, monECSubStripeNum 4
CrailConstants.REPLICATION_FACTOR has changed to 5
MicroEC Coding Ready

networkSizeArray [8192, 12288, 16384]
starting benchmark...
replicas primary file /tmp65536microec.dat capacity 0
replicas slave file /tmp65536microec.datLQL0 capacity 0
replicas slave file /tmp65536microec.datLQL1 capacity 0
replicas slave file /tmp65536microec.datLQL2 capacity 0
replicas slave file /tmp65536microec.datLQL3 capacity 0
replicas slave file /tmp65536microec.datLQL4 capacity 0
CrailConstants.REPLICATION_FACTOR has changed to 5
ops 1000
final loop (us) 55.456
Loop 0 (us) 158.907
Loop 1 (us) 93.15
Loop 2 (us) 125.726
Loop 3 (us) 95.884
Loop 4 (us) 88.788
Loop 5 (us) 83.839
Loop 6 (us) 80.354
Loop 7 (us) 86.441
Loop 8 (us) 92.829
Loop 9 (us) 100.163
Loop 10 (us) 66.23
Loop 11 (us) 59.758
Loop 12 (us) 58.106
Loop 13 (us) 57.615
Loop 14 (us) 56.236
Loop 15 (us) 79.984
Loop 16 (us) 57.338
Loop 17 (us) 55.537
Loop 18 (us) 54.406
Loop 19 (us) 55.925
Loop 20 (us) 57.289
Loop 21 (us) 53.557
Loop 22 (us) 53.998
Loop 23 (us) 54.102
Loop 24 (us) 84.49
Loop 25 (us) 59.586
Loop 26 (us) 71.245
Loop 27 (us) 47.53
Loop 28 (us) 46.618
Loop 29 (us) 46.317
Loop 30 (us) 45.116
Loop 31 (us) 46.0
Loop 32 (us) 45.25
Loop 33 (us) 45.131
Loop 34 (us) 45.652
Loop 35 (us) 44.167
Loop 36 (us) 43.014
Loop 37 (us) 43.536
Loop 38 (us) 43.131
Loop 39 (us) 42.672
Loop 40 (us) 136.702
Loop 41 (us) 69.585
Loop 42 (us) 48.419
Loop 43 (us) 47.841
Loop 44 (us) 47.106
Loop 45 (us) 45.9
Loop 46 (us) 46.593
Loop 47 (us) 46.574
Loop 48 (us) 46.079
Loop 49 (us) 45.435
Loop 50 (us) 60.994
Loop 51 (us) 82.025
Loop 52 (us) 43.902
Loop 53 (us) 42.749
Loop 54 (us) 42.186
Loop 55 (us) 46.185
Loop 56 (us) 42.039
Loop 57 (us) 41.22
Loop 58 (us) 40.998
Loop 59 (us) 41.599
Loop 60 (us) 41.106
Loop 61 (us) 43.957
Loop 62 (us) 41.532
Loop 63 (us) 40.96
Loop 64 (us) 42.984
Loop 65 (us) 41.131
Loop 66 (us) 43.098
Loop 67 (us) 41.065
Loop 68 (us) 40.103
Loop 69 (us) 39.522
Loop 70 (us) 40.826
Loop 71 (us) 44.89
Loop 72 (us) 40.245
Loop 73 (us) 40.418
Loop 74 (us) 39.759
Loop 75 (us) 40.074
Loop 76 (us) 38.81
Loop 77 (us) 39.511
Loop 78 (us) 38.65
Loop 79 (us) 39.781
Loop 80 (us) 39.727
Loop 81 (us) 38.362
Loop 82 (us) 38.753
Loop 83 (us) 38.689
Loop 84 (us) 38.477
Loop 85 (us) 53.752
Loop 86 (us) 51.014
Loop 87 (us) 39.015
Loop 88 (us) 40.079
Loop 89 (us) 39.215
Loop 90 (us) 61.591
Loop 91 (us) 46.734
Loop 92 (us) 39.702
Loop 93 (us) 37.862
Loop 94 (us) 39.973
Loop 95 (us) 39.333
Loop 96 (us) 39.735
Loop 97 (us) 42.422
Loop 98 (us) 38.379
Loop 99 (us) 38.284
Loop 100 (us) 38.442
Loop 101 (us) 38.043
Loop 102 (us) 38.694
Loop 103 (us) 38.375
Loop 104 (us) 39.008
Loop 105 (us) 38.371
Loop 106 (us) 39.061
Loop 107 (us) 38.569
Loop 108 (us) 38.627
Loop 109 (us) 41.065
Loop 110 (us) 38.567
Loop 111 (us) 39.408
Loop 112 (us) 38.878
Loop 113 (us) 38.089
Loop 114 (us) 37.789
Loop 115 (us) 38.874
Loop 116 (us) 41.433
Loop 117 (us) 38.331
Loop 118 (us) 39.14
Loop 119 (us) 38.259
Loop 120 (us) 38.606
Loop 121 (us) 41.44
Loop 122 (us) 38.383
Loop 123 (us) 38.203
Loop 124 (us) 38.267
Loop 125 (us) 38.293
Loop 126 (us) 38.718
Loop 127 (us) 41.726
Loop 128 (us) 38.348
Loop 129 (us) 37.794
Loop 130 (us) 39.669
Loop 131 (us) 38.706
Loop 132 (us) 37.712
Loop 133 (us) 39.288
Loop 134 (us) 38.184
Loop 135 (us) 37.862
Loop 136 (us) 38.439
Loop 137 (us) 38.223
Loop 138 (us) 37.917
Loop 139 (us) 38.257
Loop 140 (us) 53.446
Loop 141 (us) 39.506
Loop 142 (us) 39.638
Loop 143 (us) 40.565
Loop 144 (us) 40.286
Loop 145 (us) 39.908
Loop 146 (us) 39.752
Loop 147 (us) 38.842
Loop 148 (us) 39.997
Loop 149 (us) 39.831
Loop 150 (us) 38.816
Loop 151 (us) 39.9
Loop 152 (us) 40.572
Loop 153 (us) 40.209
Loop 154 (us) 39.589
Loop 155 (us) 39.622
Loop 156 (us) 39.304
Loop 157 (us) 39.39
Loop 158 (us) 38.935
Loop 159 (us) 38.35
Loop 160 (us) 39.008
Loop 161 (us) 38.609
Loop 162 (us) 38.677
Loop 163 (us) 39.053
Loop 164 (us) 38.688
Loop 165 (us) 38.084
Loop 166 (us) 38.867
Loop 167 (us) 39.059
Loop 168 (us) 38.181
Loop 169 (us) 38.966
Loop 170 (us) 38.07
Loop 171 (us) 38.158
Loop 172 (us) 38.106
Loop 173 (us) 37.532
Loop 174 (us) 37.723
Loop 175 (us) 38.296
Loop 176 (us) 39.525
Loop 177 (us) 37.616
Loop 178 (us) 39.844
Loop 179 (us) 37.847
Loop 180 (us) 37.439
Loop 181 (us) 37.977
Loop 182 (us) 38.004
Loop 183 (us) 37.32
Loop 184 (us) 38.608
Loop 185 (us) 37.779
Loop 186 (us) 37.585
Loop 187 (us) 37.844
Loop 188 (us) 38.086
Loop 189 (us) 37.583
Loop 190 (us) 38.664
Loop 191 (us) 37.831
Loop 192 (us) 38.249
Loop 193 (us) 37.987
Loop 194 (us) 38.139
Loop 195 (us) 37.771
Loop 196 (us) 38.772
Loop 197 (us) 38.047
Loop 198 (us) 37.959
Loop 199 (us) 39.266
Loop 200 (us) 38.39
Loop 201 (us) 37.583
Loop 202 (us) 38.639
Loop 203 (us) 38.165
Loop 204 (us) 40.778
Loop 205 (us) 39.055
Loop 206 (us) 38.024
Loop 207 (us) 38.232
Loop 208 (us) 38.498
Loop 209 (us) 37.737
Loop 210 (us) 37.818
Loop 211 (us) 38.269
Loop 212 (us) 37.835
Loop 213 (us) 38.024
Loop 214 (us) 38.645
Loop 215 (us) 38.307
Loop 216 (us) 38.205
Loop 217 (us) 38.347
