writeMicroEC_CodingDescent, filename /tmp67108864microec.dat, size 67108864, loop 1000, storageClass 0, locationClass 0, monECSubStripeNum 4096
CrailConstants.REPLICATION_FACTOR has changed to 5
MicroEC Coding Ready

networkSizeArray [8388608, 12582912, 14680064, 15728640, 16252928, 16515072, 16777216]
starting benchmark...
replicas primary file /tmp67108864microec.dat capacity 0
replicas slave file /tmp67108864microec.datLQL0 capacity 0
replicas slave file /tmp67108864microec.datLQL1 capacity 0
replicas slave file /tmp67108864microec.datLQL2 capacity 0
replicas slave file /tmp67108864microec.datLQL3 capacity 0
replicas slave file /tmp67108864microec.datLQL4 capacity 0
CrailConstants.REPLICATION_FACTOR has changed to 5
ops 1000
final loop (us) 19323.729
Loop 0 (us) 19486.862
Loop 1 (us) 19470.709
Loop 2 (us) 19496.994
Loop 3 (us) 19416.71
Loop 4 (us) 19331.228
Loop 5 (us) 19608.413
Loop 6 (us) 19454.797
Loop 7 (us) 19465.838
Loop 8 (us) 19459.155
Loop 9 (us) 19381.798
Loop 10 (us) 19279.137
Loop 11 (us) 19507.651
Loop 12 (us) 19373.01
Loop 13 (us) 19427.024
Loop 14 (us) 19386.833
Loop 15 (us) 19343.727
Loop 16 (us) 19316.63
Loop 17 (us) 19458.303
Loop 18 (us) 19462.655
Loop 19 (us) 19520.066
Loop 20 (us) 19461.259
Loop 21 (us) 19453.982
Loop 22 (us) 19336.95
Loop 23 (us) 19440.33
Loop 24 (us) 19415.251
Loop 25 (us) 19544.756
Loop 26 (us) 19455.707
Loop 27 (us) 19579.468
Loop 28 (us) 19316.751
Loop 29 (us) 19453.335
Loop 30 (us) 19398.93
Loop 31 (us) 19592.088
Loop 32 (us) 19349.958
Loop 33 (us) 19411.893
Loop 34 (us) 19403.775
Loop 35 (us) 19430.819
Loop 36 (us) 19413.347
Loop 37 (us) 19302.276
Loop 38 (us) 19515.914
Loop 39 (us) 19466.237
Loop 40 (us) 19360.604
Loop 41 (us) 21347.873
Loop 42 (us) 19555.411
Loop 43 (us) 19446.545
Loop 44 (us) 19575.529
Loop 45 (us) 19433.573
Loop 46 (us) 19802.752
Loop 47 (us) 19621.481
Loop 48 (us) 19490.102
Loop 49 (us) 19493.545
Loop 50 (us) 19481.753
Loop 51 (us) 19446.552
Loop 52 (us) 19506.458
