writeReplicas, filename /tmp67108864replicas.dat, size 67108864, loop 1000, storageClass 0, locationClass 0
starting benchmark...
ops 1000
final loop (us) 34316.415
Loop 0 (us) 34307.925
Loop 1 (us) 34370.85
Loop 2 (us) 34330.419
Loop 3 (us) 34325.409
Loop 4 (us) 33682.223
Loop 5 (us) 33668.464
Loop 6 (us) 33661.352
Loop 7 (us) 33666.215
Loop 8 (us) 33673.814
Loop 9 (us) 33667.688
Loop 10 (us) 33672.82
Loop 11 (us) 33661.333
Loop 12 (us) 33672.335
Loop 13 (us) 33650.535
Loop 14 (us) 33666.931
Loop 15 (us) 33662.779
Loop 16 (us) 33659.742
Loop 17 (us) 33647.545
Loop 18 (us) 33660.988
Loop 19 (us) 33650.116
Loop 20 (us) 33650.271
Loop 21 (us) 33649.475
Loop 22 (us) 33634.813
Loop 23 (us) 33628.615
Loop 24 (us) 33623.644
Loop 25 (us) 33619.135
Loop 26 (us) 33624.161
Loop 27 (us) 33602.027
Loop 28 (us) 33637.47
Loop 29 (us) 34174.028
Loop 30 (us) 34152.757
Loop 31 (us) 34293.826
Loop 32 (us) 34318.894
Loop 33 (us) 34298.433
Loop 34 (us) 34328.333
Loop 35 (us) 34906.933
Loop 36 (us) 34314.061
Loop 37 (us) 34310.041
Loop 38 (us) 34351.185
Loop 39 (us) 34310.747
Loop 40 (us) 34308.14
Loop 41 (us) 33635.273
Loop 42 (us) 33633.734
Loop 43 (us) 33638.236
Loop 44 (us) 33632.371
Loop 45 (us) 33633.671
Loop 46 (us) 33647.884
Loop 47 (us) 33648.18
Loop 48 (us) 33776.632
Loop 49 (us) 33683.117
Loop 50 (us) 33645.793
Loop 51 (us) 33632.123
Loop 52 (us) 33619.081
Loop 53 (us) 33623.356
Loop 54 (us) 33627.603
Loop 55 (us) 33639.15
Loop 56 (us) 33634.189
Loop 57 (us) 33635.581
Loop 58 (us) 33635.578
Loop 59 (us) 33617.994
Loop 60 (us) 33626.259
Loop 61 (us) 33615.155
Loop 62 (us) 33628.589
Loop 63 (us) 33641.937
Loop 64 (us) 33641.466
