writeMicroEC_CodingDescent, filename /tmp67108864microec.dat, size 67108864, loop 1000, storageClass 0, locationClass 0, monECSubStripeNum 4096
CrailConstants.REPLICATION_FACTOR has changed to 5
networkSizeArray [8388608, 12582912, 14680064, 15728640, 16252928, 16515072, 16777216]
starting benchmark...
replicas primary file /tmp67108864microec.dat capacity 0
replicas slave file /tmp67108864microec.datLQL0 capacity 0
replicas slave file /tmp67108864microec.datLQL1 capacity 0
replicas slave file /tmp67108864microec.datLQL2 capacity 0
replicas slave file /tmp67108864microec.datLQL3 capacity 0
replicas slave file /tmp67108864microec.datLQL4 capacity 0
CrailConstants.REPLICATION_FACTOR has changed to 5
ops 1000
final loop (us) 19469.832
Loop 0 (us) 19362.441
Loop 1 (us) 17523.194
Loop 2 (us) 19400.556
Loop 3 (us) 16572.993
Loop 4 (us) 18373.293
Loop 5 (us) 17104.545
Loop 6 (us) 20757.191
Loop 7 (us) 19156.142
Loop 8 (us) 19429.991
Loop 9 (us) 19253.449
Loop 10 (us) 17481.526
Loop 11 (us) 20632.736
Loop 12 (us) 19507.397
Loop 13 (us) 19234.003
Loop 14 (us) 20835.415
Loop 15 (us) 19485.035
Loop 16 (us) 18907.34
Loop 17 (us) 19493.402
Loop 18 (us) 19353.503
Loop 19 (us) 19356.4
Loop 20 (us) 20673.754
Loop 21 (us) 19507.033
Loop 22 (us) 18995.114
Loop 23 (us) 17710.857
Loop 24 (us) 16549.662
Loop 25 (us) 16561.027
Loop 26 (us) 19403.705
Loop 27 (us) 16574.997
Loop 28 (us) 16595.329
Loop 29 (us) 19399.853
Loop 30 (us) 17734.612
Loop 31 (us) 16533.475
Loop 32 (us) 19463.702
Loop 33 (us) 20732.526
Loop 34 (us) 19413.752
Loop 35 (us) 17645.955
Loop 36 (us) 19198.376
Loop 37 (us) 20753.886
Loop 38 (us) 17672.407
Loop 39 (us) 19346.205
Loop 40 (us) 20712.526
Loop 41 (us) 19392.836
Loop 42 (us) 19326.767
Loop 43 (us) 17439.195
Loop 44 (us) 20708.175
Loop 45 (us) 19457.533
Loop 46 (us) 19235.167
Loop 47 (us) 17479.035
Loop 48 (us) 17508.178
Loop 49 (us) 16546.29
Loop 50 (us) 19182.858
Loop 51 (us) 20722.353
Loop 52 (us) 17687.724
Loop 53 (us) 19444.999
Loop 54 (us) 20665.069
Loop 55 (us) 19369.379
Loop 56 (us) 19339.98
Loop 57 (us) 19288.261
Loop 58 (us) 19304.813
Loop 59 (us) 20709.036
Loop 60 (us) 19457.419
Loop 61 (us) 19352.993
Loop 62 (us) 18305.46
Loop 63 (us) 19351.635
Loop 64 (us) 20768.326
Loop 65 (us) 17633.558
Loop 66 (us) 18894.557
Loop 67 (us) 16811.675
Loop 68 (us) 16549.66
Loop 69 (us) 19305.25
Loop 70 (us) 17775.365
Loop 71 (us) 20613.797
Loop 72 (us) 19188.626
Loop 73 (us) 19229.46
Loop 74 (us) 17784.875
Loop 75 (us) 20675.335
Loop 76 (us) 19307.206
Loop 77 (us) 19336.036
Loop 78 (us) 17443.672
Loop 79 (us) 19240.659
Loop 80 (us) 16529.202
Loop 81 (us) 17509.077
Loop 82 (us) 16530.805
Loop 83 (us) 20747.275
Loop 84 (us) 19224.735
Loop 85 (us) 19286.035
Loop 86 (us) 17818.685
Loop 87 (us) 20626.942
Loop 88 (us) 19441.37
Loop 89 (us) 19240.363
Loop 90 (us) 17461.194
Loop 91 (us) 20710.747
Loop 92 (us) 19233.567
Loop 93 (us) 19389.711
Loop 94 (us) 17342.216
Loop 95 (us) 19077.086
Loop 96 (us) 17861.816
Loop 97 (us) 20507.792
Loop 98 (us) 19367.579
Loop 99 (us) 19282.27
Loop 100 (us) 19276.025
Loop 101 (us) 17468.456
Loop 102 (us) 19323.245
Loop 103 (us) 19333.484
Loop 104 (us) 20701.855
Loop 105 (us) 19272.24
Loop 106 (us) 19301.604
Loop 107 (us) 17502.624
Loop 108 (us) 19361.558
Loop 109 (us) 16512.291
Loop 110 (us) 20780.99
Loop 111 (us) 19431.026
Loop 112 (us) 17792.008
Loop 113 (us) 20692.491
Loop 114 (us) 19435.053
Loop 115 (us) 17772.381
Loop 116 (us) 20658.6
Loop 117 (us) 19382.746
Loop 118 (us) 19257.134
Loop 119 (us) 17420.731
Loop 120 (us) 20685.437
Loop 121 (us) 19328.97
Loop 122 (us) 19274.012
Loop 123 (us) 17835.638
Loop 124 (us) 19331.92
Loop 125 (us) 17782.971
Loop 126 (us) 19286.031
Loop 127 (us) 17749.659
Loop 128 (us) 19326.134
Loop 129 (us) 20604.139
Loop 130 (us) 17625.453
Loop 131 (us) 19198.031
Loop 132 (us) 16505.302
Loop 133 (us) 16542.116
Loop 134 (us) 19334.948
Loop 135 (us) 17751.035
Loop 136 (us) 19145.181
Loop 137 (us) 16684.23
Loop 138 (us) 20633.748
Loop 139 (us) 19419.436
Loop 140 (us) 19363.446
Loop 141 (us) 20950.939
Loop 142 (us) 19211.913
Loop 143 (us) 19420.668
Loop 144 (us) 17749.756
Loop 145 (us) 19317.886
Loop 146 (us) 20598.787
Loop 147 (us) 17596.772
Loop 148 (us) 16505.435
Loop 149 (us) 19279.721
Loop 150 (us) 19317.133
Loop 151 (us) 17486.078
Loop 152 (us) 17481.248
Loop 153 (us) 16629.805
Loop 154 (us) 18997.282
Loop 155 (us) 17802.313
Loop 156 (us) 19086.904
Loop 157 (us) 17766.493
Loop 158 (us) 16519.088
Loop 159 (us) 23727.847
Loop 160 (us) 23407.873
Loop 161 (us) 17334.081
Loop 162 (us) 19211.805
Loop 163 (us) 20705.464
Loop 164 (us) 19453.198
Loop 165 (us) 19356.641
Loop 166 (us) 17783.503
Loop 167 (us) 20747.763
Loop 168 (us) 16519.822
Loop 169 (us) 19356.911
Loop 170 (us) 20723.363
Loop 171 (us) 19119.979
Loop 172 (us) 19251.624
Loop 173 (us) 19359.493
Loop 174 (us) 19372.089
Loop 175 (us) 17736.899
Loop 176 (us) 20755.22
Loop 177 (us) 16796.624
Loop 178 (us) 19341.089
Loop 179 (us) 16558.138
Loop 180 (us) 20750.872
Loop 181 (us) 16649.586
Loop 182 (us) 16570.64
Loop 183 (us) 19342.602
Loop 184 (us) 17769.844
Loop 185 (us) 16516.965
Loop 186 (us) 20667.588
Loop 187 (us) 19133.235
Loop 188 (us) 19427.261
Loop 189 (us) 19073.226
Loop 190 (us) 17805.874
Loop 191 (us) 19188.413
Loop 192 (us) 16643.125
Loop 193 (us) 16511.625
Loop 194 (us) 19228.588
Loop 195 (us) 17635.276
Loop 196 (us) 16485.545
Loop 197 (us) 16562.227
Loop 198 (us) 19134.64
Loop 199 (us) 17648.91
Loop 200 (us) 20681.444
Loop 201 (us) 19425.898
Loop 202 (us) 19111.882
Loop 203 (us) 17524.858
Loop 204 (us) 16491.879
Loop 205 (us) 20741.671
Loop 206 (us) 19221.128
Loop 207 (us) 19394.641
Loop 208 (us) 19217.997
Loop 209 (us) 17683.623
Loop 210 (us) 19315.068
Loop 211 (us) 20729.932
Loop 212 (us) 19299.286
Loop 213 (us) 18763.433
Loop 214 (us) 19357.19
Loop 215 (us) 17391.37
Loop 216 (us) 19415.686
Loop 217 (us) 17772.978
Loop 218 (us) 20640.397
Loop 219 (us) 16834.684
Loop 220 (us) 19353.286
Loop 221 (us) 16501.24
Loop 222 (us) 17512.863
Loop 223 (us) 19347.343
Loop 224 (us) 19109.777
Loop 225 (us) 20701.336
Loop 226 (us) 18399.542
Loop 227 (us) 19265.662
Loop 228 (us) 17799.563
Loop 229 (us) 19266.409
Loop 230 (us) 17784.914
Loop 231 (us) 16527.3
Loop 232 (us) 19355.258
Loop 233 (us) 20677.744
Loop 234 (us) 19162.968
Loop 235 (us) 19370.858
Loop 236 (us) 19207.879
Loop 237 (us) 20595.977
Loop 238 (us) 19248.345
Loop 239 (us) 19430.14
Loop 240 (us) 19327.821
Loop 241 (us) 17801.547
Loop 242 (us) 19312.001
Loop 243 (us) 20721.379
Loop 244 (us) 19349.95
Loop 245 (us) 18930.471
Loop 246 (us) 19431.342
Loop 247 (us) 19311.185
Loop 248 (us) 17467.695
Loop 249 (us) 20615.918
Loop 250 (us) 19424.448
Loop 251 (us) 17731.456
Loop 252 (us) 19283.505
Loop 253 (us) 16482.242
Loop 254 (us) 17421.297
Loop 255 (us) 16523.934
Loop 256 (us) 16580.924
Loop 257 (us) 19262.348
Loop 258 (us) 20876.344
Loop 259 (us) 19535.62
Loop 260 (us) 17681.536
Loop 261 (us) 19416.099
Loop 262 (us) 19362.373
Loop 263 (us) 17818.115
Loop 264 (us) 16525.971
Loop 265 (us) 19224.089
Loop 266 (us) 20704.122
Loop 267 (us) 19444.515
Loop 268 (us) 18846.79
Loop 269 (us) 19372.95
Loop 270 (us) 17368.402
Loop 271 (us) 17657.192
Loop 272 (us) 19320.012
Loop 273 (us) 17842.618
Loop 274 (us) 20547.877
Loop 275 (us) 19121.456
Loop 276 (us) 19445.103
Loop 277 (us) 19218.931
Loop 278 (us) 19265.336
Loop 279 (us) 19289.042
Loop 280 (us) 17580.447
Loop 281 (us) 16501.474
Loop 282 (us) 16568.068
Loop 283 (us) 19291.289
Loop 284 (us) 16560.579
Loop 285 (us) 19330.95
Loop 286 (us) 16603.27
Loop 287 (us) 19385.229
Loop 288 (us) 20661.414
Loop 289 (us) 18807.295
Loop 290 (us) 17838.545
Loop 291 (us) 19333.809
Loop 292 (us) 19306.065
Loop 293 (us) 17473.892
Loop 294 (us) 20737.469
Loop 295 (us) 19185.375
Loop 296 (us) 17882.166
Loop 297 (us) 19416.159
Loop 298 (us) 17665.886
Loop 299 (us) 19320.891
Loop 300 (us) 17726.626
Loop 301 (us) 16497.867
Loop 302 (us) 20635.747
Loop 303 (us) 19270.434
Loop 304 (us) 19251.253
Loop 305 (us) 20750.089
Loop 306 (us) 19400.648
Loop 307 (us) 18860.263
Loop 308 (us) 19432.699
Loop 309 (us) 17444.443
Loop 310 (us) 17653.511
Loop 311 (us) 16505.862
Loop 312 (us) 20714.01
Loop 313 (us) 16580.104
Loop 314 (us) 19392.2
Loop 315 (us) 17825.367
Loop 316 (us) 19110.234
Loop 317 (us) 19871.971
Loop 318 (us) 19470.905
Loop 319 (us) 19327.558
Loop 320 (us) 19176.114
Loop 321 (us) 19334.716
Loop 322 (us) 20809.574
Loop 323 (us) 19419.057
Loop 324 (us) 18954.981
Loop 325 (us) 19425.593
Loop 326 (us) 19317.61
Loop 327 (us) 25559.798
Loop 328 (us) 23210.534
Loop 329 (us) 19441.782
Loop 330 (us) 19334.987
Loop 331 (us) 20639.871
Loop 332 (us) 19344.048
Loop 333 (us) 17983.285
Loop 334 (us) 16914.365
Loop 335 (us) 19422.654
Loop 336 (us) 19325.33
Loop 337 (us) 17512.625
Loop 338 (us) 17464.957
Loop 339 (us) 20408.461
Loop 340 (us) 16525.435
Loop 341 (us) 16571.264
Loop 342 (us) 19326.117
Loop 343 (us) 17748.18
Loop 344 (us) 19298.238
Loop 345 (us) 16687.201
Loop 346 (us) 17442.071
Loop 347 (us) 20787.48
Loop 348 (us) 19121.323
Loop 349 (us) 19223.158
Loop 350 (us) 17830.859
Loop 351 (us) 16496.957
Loop 352 (us) 16510.893
Loop 353 (us) 16559.471
Loop 354 (us) 16556.829
Loop 355 (us) 19345.938
Loop 356 (us) 20813.647
Loop 357 (us) 19341.289
Loop 358 (us) 17754.486
Loop 359 (us) 16537.148
Loop 360 (us) 19325.755
Loop 361 (us) 16530.759
Loop 362 (us) 18929.923
Loop 363 (us) 19321.575
Loop 364 (us) 18329.411
Loop 365 (us) 17460.542
Loop 366 (us) 16512.757
Loop 367 (us) 19242.906
Loop 368 (us) 17744.707
