No,Size,Type,IsDegradeRead,replicas,nativeec,microec
0,26443776,GET,false,4059.357,4062.444,4058.098
1,2144,GET,true,5.29,26.629,13.42
2,2310144,GET,false,785.451,360.505,359.843
3,1980,GET,true,4.95,21.76,12.455
4,1152,GET,true,4.389,26.46,13.909
5,2404,GET,false,5.691,19.931,10.261
6,2628,GET,false,4.514,14.882,7.292
7,1336,GET,true,4.557,20.657,11.123
8,1772,GET,true,5.002,22.575,11.646
9,14708,GET,true,7.437,23.143,13.004
10,40943616,GET,false,6856.376,6281.372,6278.648
11,2195456,GET,true,343.391,706.224,497.743
12,2404,GET,false,4.97,25.57,9.876
13,4931584,GET,false,1155.21,764.75,765.424
14,2420,GET,false,5.269,18.029,8.849
15,30720000,GET,false,4729.3,4716.742,4712.207
16,2212,GET,false,5.078,17.578,9.56
17,1584,GET,true,4.778,38.707,13.523
18,114688,GET,true,25.162,46.045,33.01
19,20365312,GET,false,3700.033,3129.672,3126.477
20,65536,PUT,false,181.027,183.065,137.445
21,16187392,GET,true,3048.134,5914.771,2722.961
22,4016,GET,false,6.19,49.833,10.613
23,15548416,GET,false,2388.381,2396.179,2388.139
24,10764288,GET,false,2224.415,1658.764,1653.768
25,14663680,GET,false,2811.248,2260.606,2252.439
26,23822336,GET,false,4217.817,3667.693,3654.032
27,1116,GET,true,6.024,60.602,13.745
28,2628,GET,false,5.74,23.934,8.421
29,1152,GET,false,4.94,14.051,8.454
30,10088,GET,false,7.192,13.395,8.882
31,16384,GET,false,9.465,20.221,10.086
32,1980,GET,true,4.999,22.988,12.234
33,1900544,GET,false,297.931,307.931,296.007
34,2628,GET,true,5.855,19.359,12.907
35,2996,GET,false,5.473,13.943,8.504
36,54394880,GET,false,8337.942,8355.612,8336.034
37,3000,GET,false,6.265,12.325,11.032
38,2628,GET,true,5.507,18.042,12.511
39,3784,GET,true,6.321,18.155,12.508
40,851968,GET,false,156.501,137.271,135.856
41,671744,GET,true,124.135,241.522,166.642
42,7476,GET,true,7.003,48.286,14.648
43,2628,GET,false,5.81,17.739,8.862
44,2080768,GET,false,736.86,325.876,324.294
45,3342336,GET,true,518.702,1210.604,629.067
46,3784,GET,true,5.424,56.413,12.274
47,3342336,GET,true,517.757,1085.004,620.323
48,1720,PUT,false,21.283,89.219,31.587
49,1332,GET,false,4.924,13.691,9.217
50,819200,GET,false,152.467,139.383,130.456
51,2628,GET,false,7.307,12.924,7.583
52,12284,GET,false,7.466,13.314,9.131
53,7596,GET,true,7.569,20.331,14.267
54,3376,GET,true,6.119,16.098,12.589
55,9544,GET,false,7.391,14.036,9.782
56,1336,GET,true,5.224,15.145,9.769
57,7852,GET,false,6.852,18.203,8.593
58,2097152,GET,true,326.63,620.299,396.014
59,32768,GET,true,11.454,51.895,18.649
60,1372,GET,false,5.092,15.374,9.464
61,65536,GET,false,17.224,17.409,15.995
62,3020,GET,true,5.937,18.344,12.866
63,86900736,GET,true,13318.695,28601.709,18609.744
64,2340,GET,false,6.578,38.624,9.1
65,12284,GET,true,8.237,63.794,15.933
66,2080768,GET,false,325.837,328.725,324.017
67,2340,GET,true,5.755,24.311,12.122
68,10088,GET,false,7.06,15.194,9.155
69,1900544,GET,true,720.19,715.872,973.586
70,2628,GET,false,5.92,30.872,9.772
71,2844,GET,true,5.42,51.041,12.962
72,28606464,GET,false,4389.935,4394.233,4386.802
73,132939776,GET,false,20367.99,20393.701,20366.773
74,9338880,GET,false,2005.614,1453.171,1450.772
75,2144,GET,false,5.964,15.197,7.949
76,1576,GET,true,4.791,24.356,11.79
77,17743872,GET,false,2723.967,2739.208,2732.786
78,55967744,GET,false,8593.807,8593.342,8577.939
79,14663680,GET,false,2254.493,2256.999,2252.294
80,10764288,GET,false,1673.56,1672.538,1675.216
81,1788,GET,false,5.122,13.581,7.485
82,1966080,GET,true,307.939,699.426,25446.321
83,1788,PUT,false,19.404,74.125,29.477
84,62947328,GET,false,9650.202,9666.23,9647.059
85,4524,GET,false,6.887,12.709,9.891
86,1980,GET,false,5.002,12.883,7.54
87,1332,GET,false,4.767,10.643,8.606
88,3680,GET,false,5.449,10.839,7.963
89,1128,GET,false,4.479,10.715,7.458
90,2340,GET,false,4.803,10.275,6.354
91,1336,GET,true,4.667,18.511,12.905
92,10404,GET,true,6.936,16.981,13.118
93,16187392,GET,false,2488.149,2498.824,2496.531
94,2195456,GET,true,343.274,669.124,515.403
95,1788,GET,false,6.126,37.172,9.223
96,1128,GET,false,3.619,16.118,6.284
97,54394880,GET,false,8353.922,8353.823,8352.372
98,32768,GET,false,11.273,14.336,11.355
99,3020,GET,false,5.282,13.508,8.117
100,2844,GET,false,5.263,13.157,8.299
101,3784,GET,true,5.503,33.865,12.449
102,4960,GET,true,5.693,19.97,12.222
103,6728,GET,true,6.409,18.645,12.159
104,110198784,GET,false,17455.2,16888.565,16885.574
105,3162112,GET,false,491.379,491.125,490.406
106,12284,GET,false,7.476,11.843,9.581
107,14663680,GET,false,2252.432,2255.371,2251.492
108,3342336,GET,false,517.933,517.889,517.474
109,33767424,PUT,false,16663.865,18341.047,9062.961
110,2628,GET,true,6.686,68.375,27.488
111,2310144,GET,true,360.044,706.273,25554.328
112,6920,GET,true,6.476,42.71,18.754
113,51478528,GET,true,7892.279,17166.78,11145.833
114,2628,GET,false,6.067,39.493,12.004
115,1156,GET,true,4.879,55.214,16.68
116,2628,GET,false,5.37,19.982,10.344
117,1988,GET,true,4.986,26.183,14.4
118,2112,GET,true,4.993,66.378,13.979
119,2490368,GET,false,387.873,389.801,387.528
120,114688,GET,true,25.433,66.165,31.675
121,55197696,GET,false,8483.13,8473.9,8465.815
122,16384,GET,true,8.942,62.708,18.481
123,294912,GET,false,58.669,52.251,51.49
124,3000,GET,false,6.308,13.38,11.104
125,2820,GET,false,5.469,12.99,9.733
126,32768,GET,true,10.453,23.751,19.469
127,2628,GET,true,5.412,18.667,13.759
128,2949120,GET,true,458.348,1103.209,558.509
129,7476,GET,false,6.737,32.212,9.303
130,2785280,GET,false,432.881,437.088,431.945
131,2060,GET,false,5.316,21.938,10.263
132,2628,GET,true,5.295,45.471,13.534
133,2628,GET,true,5.299,35.103,14.283
134,3024,GET,true,5.397,18.068,12.962
135,1332,GET,false,4.157,18.009,8.453
136,2628,GET,true,5.78,19.639,13.71
137,1772,GET,true,5.273,19.506,12.962
138,2228224,PUT,false,1039.434,1274.608,744.808
139,3784,GET,false,5.979,28.282,12.302
140,2628,GET,false,5.58,21.335,10.828
141,54394880,GET,true,8353.834,18569.258,10220.642
142,2628,GET,true,6.11,89.889,22.117
143,12656,PUT,false,21.933,64.946,40.881
144,1152,GET,false,4.664,19.413,12.761
145,2628,GET,true,5.827,22.432,15.831
146,65536,GET,true,17.41,29.081,26.417
147,4448,GET,false,5.931,15.985,11.213
148,1332,GET,false,4.995,12.807,11.333
149,1900,GET,true,4.986,18.247,14.955
150,16384,GET,true,7.953,19.025,17.163
151,17743872,GET,false,2723.432,2734.162,2725.228
152,8004,GET,true,8.037,24.863,15.711
153,2628,GET,false,5.236,13.216,9.975
154,2144,GET,true,5.237,18.1,14.29
155,3256,GET,true,6.156,18.347,13.954
156,6908,GET,false,7.162,14.548,10.807
157,5236,GET,true,5.824,18.634,14.108
158,196608,GET,true,39.644,116.227,79.931
159,2628,GET,true,5.259,57.782,42.005
160,1916928,GET,true,344.638,736.729,377.511
