No,Size,Type,IsDegradeRead,replicas,nativeec,microec
0,2628,GET,true,5.983,94.133,20.08
1,1368,GET,true,5.187,42.34,19.109
2,5948,GET,true,6.235,24.745,18.459
3,3896,GET,true,5.836,27.141,17.592
4,16384,GET,true,7.225,26.801,27.071
5,25640960,GET,true,3934.527,9769.343,5506.592
6,1836,GET,true,5.298,77.26,17.217
7,22609920,GET,true,4043.245,7760.469,4779.675
8,5648,GET,true,6.421,56.461,17.337
9,1388,GET,true,4.492,28.868,15.687
10,1132,GET,true,4.266,28.816,16.094
11,2056,GET,true,5.045,32.66,14.171
12,11120,GET,true,7.256,23.366,14.798
13,2056,GET,true,5.116,25.686,14.785
14,2196,GET,true,4.584,23.578,12.354
15,5420,GET,true,6.297,29.773,16.843
16,1835008,GET,true,697.873,693.652,354.088
17,2228224,PUT,false,1211.812,1786.839,815.191
18,19070976,GET,true,3493.936,6835.462,3260.39
19,1372,GET,true,4.59,60.802,18.463
20,2876,GET,true,5.608,34.566,12.401
21,7984,GET,true,6.22,30.255,13.557
22,16384,GET,true,8.164,29.921,17.894
23,4898816,GET,true,772.96,1590.242,884.68
24,15826944,GET,true,2978.637,5266.104,2674.248
25,1292,GET,true,4.599,48.266,13.048
26,5232,PUT,false,31.338,67.961,40.337
27,2832,GET,true,4.793,25.937,12.136
28,2628,GET,true,5.588,23.489,13.539
29,2632,GET,true,4.87,21.993,18.913
30,458752,GET,true,83.09,210.874,127.608
31,688128,PUT,false,328.953,456.985,281.966
32,5420,GET,true,5.403,54.089,14.474
33,12156,GET,true,6.858,33.299,28.677
34,2628,GET,true,5.297,21.597,12.086
35,1372,GET,true,4.571,20.53,15.746
36,8585216,PUT,false,3997.05,4063.905,2937.089
37,82493440,GET,true,12645.444,28458.634,26882.815
38,1292,PUT,false,30.926,115.076,33.72
39,1744,PUT,false,27.253,72.011,28.069
40,15716,GET,true,8.565,34.303,17.455
41,1392640,GET,true,229.806,447.954,314.918
42,314654720,PUT,false,155992.593,167374.136,105813.875
43,1336,GET,true,6.351,67.177,36.379
44,147456,GET,true,32.191,85.787,123.619
45,16172,GET,true,8.533,51.183,67.097
46,23478272,GET,true,3602.116,7630.743,5254.53
47,1916928,GET,true,712.645,619.712,408.288
48,1753088,PUT,false,814.877,1011.672,544.232
49,2628,GET,true,5.823,52.447,20.985
50,95813632,GET,true,14680.535,34774.789,17858.758
51,99876864,GET,true,15303.735,34039.881,21577.868
52,6728,GET,true,6.92,84.534,24.41
53,1776,GET,true,5.358,33.919,15.922
54,82509824,GET,true,12647.945,30373.652,19131.649
55,2628,GET,true,5.268,84.901,15.324
56,5136,GET,true,6.098,75.614,15.066
57,74891264,GET,true,12034.89,25482.568,16541.995
58,1032,GET,true,4.892,65.487,14.838
59,16384,GET,true,7.571,30.566,14.894
60,5420,GET,true,5.74,27.988,13.103
61,2628,GET,true,5.148,22.558,12.058
62,25034752,PUT,false,12046.031,14501.327,7488.614
63,16384,GET,true,8.622,59.378,22.703
64,1900,GET,true,4.803,33.445,18.053
65,6756,GET,true,5.784,23.029,14.548
66,1492,GET,true,4.753,24.012,13.864
67,11368,GET,true,7.12,38.61,19.333
68,16384,GET,true,7.732,22.388,36.74
69,6012928,GET,true,1323.853,2009.645,1079.544
70,18825216,GET,true,3445.345,6819.128,3721.598
71,278528,GET,true,54.718,123.066,446.056
72,6720,GET,true,7.269,43.912,16.253
73,32768,GET,true,10.448,29.581,18.562
74,2056,GET,true,5.151,20.084,12.031
75,2824,GET,true,5.207,20.41,13.012
76,51576832,GET,true,8456.605,17539.656,21418.609
77,74366976,PUT,false,36647.898,39599.587,22963.049
78,13910016,GET,true,2136.71,5335.923,27713.91
79,2605056,GET,true,404.583,889.217,12966.65
80,4592,GET,true,6.028,56.996,22.262
81,13484032,GET,true,2075.454,4536.951,2693.11
82,6316,GET,true,6.639,53.086,18.717
83,16068,PUT,false,15.242,45.279,31.682
84,54394880,GET,true,8893.514,20120.515,10018.851
85,61063168,GET,true,9381.167,22889.061,12025.303
86,196608,GET,true,39.057,145.117,61.833
87,1152,GET,true,4.301,54.609,18.736
88,61030400,GET,true,9914.698,21215.572,47013.221
89,373112832,GET,true,57152.902,119970.439,77127.974
90,5236,GET,true,6.96,85.66,23.735
91,7880704,GET,true,1609.405,2338.679,1512.948
92,64733184,GET,true,9937.522,23957.032,14715.871
93,5062656,GET,true,1172.827,1724.314,26688.475
94,66945024,GET,true,10269.742,24996.93,26716.347
95,1132,GET,true,4.7,95.734,14.633
96,1788,GET,true,5.075,32.168,13.005
97,1388,GET,true,4.353,25.433,11.988
98,2628,GET,true,4.799,26.127,12.433
99,16384,GET,true,8.606,28.255,14.349
100,122093568,PUT,false,60346.228,67898.609,36226.573
101,12156,GET,true,8.476,61.493,17.825
102,983040,GET,true,173.984,332.44,220.28
103,49152,GET,true,13.954,57.2,26.152
104,6720,GET,true,5.974,32.378,15.681
105,1156,GET,true,4.5,31.099,12.314
106,13972,GET,true,8.661,27.133,14.797
107,884736,PUT,false,413.558,538.292,298.814
108,82509824,GET,true,13199.09,30853.301,17511.454
109,32768,GET,true,10.782,94.414,20.685
110,2212,GET,true,4.439,31.814,13.035
111,61014016,GET,true,9350.908,20390.352,10187.934
112,1428,GET,true,4.629,71.7,19.045
113,81920,GET,true,19.794,47.464,28.393
114,1372,GET,true,4.588,28.149,18.833
115,1376,GET,true,4.809,36.171,13.589
116,589824,GET,true,111.638,221.018,271.955
117,2628,GET,true,4.993,53.278,15.573
118,3220,GET,true,5.578,30.154,13.233
119,2056,GET,true,4.567,47.603,37.389
120,1372,GET,true,4.282,22.533,12.989
121,2628,GET,true,4.98,24.157,13.632
122,7900,GET,true,6.335,24.134,14.005
123,1900544,GET,true,333.366,741.408,5990.476
124,8260,GET,true,6.052,61.058,15.891
125,22609920,GET,true,3487.557,7723.018,3827.116
126,2748,GET,true,4.725,50.124,16.76
127,100073472,GET,true,15333.383,32545.777,18283.525
128,18530304,GET,true,3397.411,6330.58,3817.495
129,2628,GET,true,5.732,62.087,25.557
130,1080,GET,true,4.609,27.582,15.755
131,16629760,GET,true,3103.969,5940.015,3076.617
132,1156,GET,true,5.509,65.419,23.34
133,16068,GET,true,8.245,28.815,18.517
134,8120,GET,true,6.233,24.286,15.036
135,76365824,GET,true,12263.127,28205.411,17579.623
136,34455552,GET,true,5298.31,11829.77,7678.948
137,1620,GET,true,5.267,90.809,23.698
138,5455872,GET,true,1244.987,1969.179,981.679
139,1988,GET,true,4.915,52.915,17.388
140,2628,GET,true,4.617,30.902,14.989
141,12284,GET,true,6.94,27.11,15.158
142,41893888,GET,true,6971.855,15145.683,9224.669
143,10348,GET,true,7.42,60.945,18.168
144,82493440,GET,true,12648.248,27186.518,14803.624
145,5232,GET,true,6.669,69.338,25.94
146,2056,GET,true,4.998,29.411,17.068
147,82493440,GET,true,12642.77,24995.112,13239.489
148,83574784,GET,true,12807.395,24314.919,18180.932
149,13058048,GET,true,2559.828,4844.566,2270.197
150,10649600,GET,true,1656.465,3629.829,2224.335
151,479412224,GET,true,73457.598,152899.995,97969.437
152,6716,GET,true,27.699,72.929,19.489
153,2056,GET,true,6.531,31.774,12.735
154,17186816,GET,true,2656.296,5855.204,2917.046
155,6740,PUT,false,29.13,69.983,30.707
156,16384,GET,true,9.176,29.983,15.255
157,1824,GET,true,6.151,22.462,12.159
158,6728,GET,true,7.135,23.96,13.843
159,147456,GET,true,32.691,75.439,82.418
160,2628,GET,true,5.432,43.839,49.507
161,6792,PUT,false,18.052,41.741,33.361
162,1376,GET,true,5.768,25.64,15.788
163,44220416,GET,true,6781.729,16342.761,10015.426
164,2608,GET,true,7.386,68.58,15.802
165,2196,GET,true,6.365,28.328,13.065
166,1372,GET,true,4.998,23.885,12.51
167,16384,GET,true,9.231,25.478,14.178
168,2628,GET,true,6.294,22.989,12.034
169,180224,GET,true,37.586,115.038,71.818
170,1376,GET,true,4.68,59.953,32.453
171,1192,GET,true,5.813,27.599,16.145
172,82493440,GET,true,12646.602,29710.482,15525.839
173,2523136,GET,true,797.326,988.841,493.498
174,2064384,GET,true,730.068,770.283,883.133
175,22102016,GET,true,3408.747,8259.743,14321.775
176,2608,GET,true,6.351,61.114,20.849
177,16384,GET,true,9.047,33.642,18.125
178,84525056,GET,true,12969.934,29317.247,19268.377
179,2628,GET,true,6.596,81.429,17.249
180,6780,GET,true,7.332,35.347,14.102
181,14188544,GET,true,2734.215,5363.694,2883.986
182,2056,GET,true,6.702,59.747,15.276
183,7476,GET,true,7.763,27.915,14.883
184,8060928,GET,true,1270.952,2747.2,26943.989
185,1368,GET,true,5.511,51.131,19.756
186,6724,GET,true,7.493,28.014,15.522
187,2056,PUT,false,14.679,39.441,31.16
188,67092480,GET,true,10851.766,24672.125,26109.915
189,2572288,GET,true,400.542,999.638,507.109
190,1188,GET,true,5.533,57.76,15.499
191,2097152,GET,true,733.584,686.687,404.62
192,15974400,GET,true,2453.044,6024.021,3312.205
193,163840,GET,true,34.127,115.322,81.008
194,16384,GET,true,7.489,85.497,57.71
195,16384,GET,true,8.245,27.37,20.73
196,7360,GET,true,6.377,19.861,12.829
197,16384,GET,true,8.003,23.58,12.993
198,2628,GET,true,5.326,20.739,11.634
199,5420,GET,true,6.527,19.907,12.145
200,7180,GET,true,6.875,19.749,12.933
201,51200000,GET,true,8392.233,18529.436,11127.606
202,4524,GET,true,7.184,69.113,14.766
203,3248,GET,true,5.44,23.781,12.668
204,802816,GET,true,145.847,293.135,199.186
205,2256,GET,true,5.212,42.472,14.659
206,1308,GET,true,5.2,23.981,12.479
207,1372,GET,true,4.631,20.656,11.88
208,1244,GET,true,4.127,19.295,11.537
209,1132,GET,true,4.568,17.55,12.844
210,2056,GET,true,4.829,17.302,41.118
211,2208,GET,true,4.782,18.212,11.488
212,1244,GET,true,3.747,15.139,8.705
213,2360,GET,true,5.091,18.899,12.067
214,6740,PUT,false,16.406,32.998,35.983
215,7416,GET,true,6.39,19.901,15.66
216,2056,GET,true,4.567,17.652,19.339
217,4688,GET,true,6.348,19.939,12.521
218,2056,GET,true,5.408,17.628,11.181
219,5136,GET,true,5.971,18.573,12.547
220,27017216,GET,true,4700.038,8244.32,4510.587
221,67092480,GET,true,10837.192,24646.931,11204.221
222,6728,GET,true,7.07,89.244,22.411
223,884736,GET,true,160.689,306.207,245.907
224,294912,GET,true,58.866,165.489,94.384
225,278528,GET,true,55.141,140.825,82.204
226,1804,GET,true,5.147,40.849,15.516
227,12264,GET,true,7.452,23.388,15.566
228,18202624,GET,true,2808.509,6028.94,3251.247
229,6908,GET,true,6.595,43.093,16.717
230,2056,GET,true,5.081,18.743,13.991
231,3376,GET,true,5.386,18.974,14.667
232,36995072,GET,true,5671.806,13354.251,7436.337
233,2506752,GET,true,421.919,913.503,560.612
234,1835008,GET,true,286.738,641.83,384.087
235,84459520,GET,true,12946.453,31076.89,18453.023
236,2628,GET,true,5.626,85.613,15.818
237,2000,GET,true,4.92,21.97,13.02
238,2632,GET,true,5.895,21.477,13.704
239,10010624,GET,true,1551.459,3321.749,1691.168
240,2000,PUT,false,15.918,57.223,27.949
241,12845056,GET,true,1988.065,4712.182,2216.501
242,6460,GET,true,6.356,62.867,14.171
243,2736,GET,true,5.028,28.881,12.763
244,12156,GET,true,7.369,23.803,14.283
245,2364,GET,true,5.4,22.088,11.477
