Size,Type,IsDegradeRead,NativeecTimes,MicroecTimes
1024,GET,True,16.16,5.23
1024,GET,True,4.29,2.45
1024,GET,True,5.63,3.37
1024,GET,True,3.99,2.52
1028,GET,True,9.06,2.72
1028,GET,True,4.68,3.17
1028,GET,True,14.99,4.09
1028,GET,True,8.08,3.87
1028,GET,True,4.15,4.66
1032,GET,True,13.39,3.03
1032,GET,True,9.9,4.08
1032,GET,True,5.52,2.34
1036,GET,True,10.07,6.46
1040,GET,True,4.79,4.81
1040,GET,True,,
1040,GET,True,3.43,3.61
1040,GET,True,4.81,5.01
1040,GET,True,4.82,3.99
1040,GET,True,,
1040,GET,True,8.57,3.33
1040,GET,True,5.14,5.8
1040,GET,True,5.52,5.74
1044,GET,True,10.16,3.47
1060,GET,True,3.9,2.88
1064,GET,True,14.88,5.45
1064,GET,True,4.32,3.26
1064,GET,True,4.71,2.98
1064,GET,True,,
1064,GET,True,4.14,2.79
1068,GET,True,11.35,6.92
1068,GET,True,3.27,3.45
1068,GET,True,16.0,16.67
1068,GET,True,5.16,2.49
1068,GET,True,6.34,2.78
1072,GET,True,2.71,2.35
1076,GET,True,5.96,2.63
1076,GET,True,4.51,2.7
1076,GET,True,6.06,3.49
1080,GET,True,5.98,3.42
1080,GET,True,4.78,2.71
1080,GET,True,5.56,3.81
1088,GET,True,11.77,3.23
1088,GET,True,3.09,2.42
1088,GET,True,3.82,3.06
1096,GET,True,7.21,3.3
1108,GET,True,5.85,1.89
1116,GET,True,14.65,7.78
1116,GET,True,4.45,4.0
1116,GET,True,4.57,4.49
1116,GET,True,5.09,5.65
1116,GET,True,4.82,4.29
1116,GET,True,4.41,3.7
1116,GET,True,,
1116,GET,True,,
1116,GET,True,,
1116,GET,True,4.76,5.3
1116,GET,True,4.55,4.82
1116,GET,True,4.97,7.66
1116,GET,True,4.44,4.26
1116,GET,True,5.39,4.83
1116,GET,True,4.99,3.81
1116,GET,True,4.17,4.11
1116,GET,True,,
1116,GET,True,,
1116,GET,True,,
1116,GET,True,4.12,4.08
1116,GET,True,,
1116,GET,True,4.99,4.73
1116,GET,True,4.36,4.27
1120,GET,True,5.51,2.86
1120,GET,True,14.59,5.25
1124,GET,True,4.37,2.82
1128,GET,True,5.09,5.14
1128,GET,True,,
1128,GET,True,5.4,3.55
1128,GET,True,11.33,4.82
1128,GET,True,,
1128,GET,True,9.86,4.33
1128,GET,True,3.66,4.24
1128,GET,True,3.72,3.91
1128,GET,True,5.57,2.79
1128,GET,True,,
1128,GET,True,3.59,2.71
1128,GET,True,,
1128,GET,True,3.91,3.26
1128,GET,True,12.7,3.95
1128,GET,True,4.74,5.16
1128,GET,True,5.52,3.72
1128,GET,True,6.47,3.68
1128,GET,True,,
1128,GET,True,4.57,3.57
1128,GET,True,4.31,3.55
1128,GET,True,3.57,2.56
1128,GET,True,4.18,3.58
1128,GET,True,5.21,5.45
1128,GET,True,7.68,4.43
1128,GET,True,5.45,3.18
1128,GET,True,4.5,4.8
1128,GET,True,12.52,4.71
1128,GET,True,5.31,4.48
1128,GET,True,,
1128,GET,True,9.81,2.81
1128,GET,True,9.73,3.68
1128,GET,True,17.15,2.74
1128,GET,True,6.13,3.04
1128,GET,True,12.66,3.25
1132,GET,True,9.48,2.89
1132,GET,True,4.56,3.77
1132,GET,True,8.39,3.11
1132,GET,True,12.43,3.74
1132,GET,True,13.77,18.79
1132,GET,True,7.64,4.43
1132,GET,True,20.37,3.11
