No,Size,Type,IsDegradeRead,replicas,nativeec,microec,NativeecTimes,MicroecTimes
7764,10616832,GET,TRUE,1639.65,3329.644,2152.27,2.03,1.31
8347,10649600,GET,FALSE,1637.505,1642.321,1639.008,1,1
2044,10698752,GET,TRUE,1660.564,3715.616,1876.317,2.24,1.13
3233,10715136,GET,TRUE,1662.637,3332.959,2052.019,2,1.23
9286,10731520,GET,TRUE,1649.39,3776.989,2157.902,2.29,1.31
9269,10747904,GET,TRUE,1661.753,3452.682,2000.446,2.08,1.2
8700,10747904,GET,TRUE,1662.142,3488.707,1902.304,2.1,1.14
1977,10764288,GET,FALSE,1669.488,1659.605,1656.262,0.99,0.99
577,10764288,GET,TRUE,1655.585,3178.373,1754.29,1.92,1.06
827,10764288,GET,FALSE,1674.268,1660.661,1655.385,0.99,0.99
6830,10764288,GET,TRUE,1695.051,3824.785,2163.436,2.26,1.28
886,10764288,GET,FALSE,1673.136,1657.988,1655.033,0.99,0.99
1121,10764288,GET,FALSE,1671.723,1671.286,1655.009,1,0.99
2480,10764288,GET,FALSE,1671.712,1668.008,1658.644,1,0.99
10114,10764288,GET,FALSE,1664.281,1675.623,1657.879,1.01,1
10685,10764288,GET,TRUE,1669.879,3351.65,2070.807,2.01,1.24
7211,10764288,GET,TRUE,1656.7,3874.48,1996.32,2.34,1.2
8506,10764288,GET,FALSE,1662.524,1678.474,1658.541,1.01,1
189,10764288,GET,TRUE,1668.643,3758.554,1852.072,2.25,1.11
1443,10764288,GET,TRUE,1671.87,3586.884,2151.584,2.15,1.29
4685,10764288,GET,TRUE,1689.118,3236.341,2097.709,1.92,1.24
225,10764288,GET,TRUE,1667.041,3673.262,1892.908,2.2,1.14
5443,10764288,GET,TRUE,1656.374,3754.385,2108.749,2.27,1.27
1524,10764288,GET,FALSE,1673.053,1687.577,1670.136,1.01,1
478,10764288,GET,FALSE,1673.456,1676.142,1673.01,1,1
978,10764288,GET,TRUE,1662.096,3866.853,2286.67,2.33,1.38
6190,10764288,GET,FALSE,1658.577,1657.523,1655.821,1,1
8703,10764288,GET,FALSE,1662.298,1673.286,1658.88,1.01,1
2733,10764288,GET,TRUE,1669.742,3849.163,1877.26,2.31,1.12
7267,10764288,GET,TRUE,1655.914,3848.811,1934.013,2.32,1.17
3553,10764288,GET,TRUE,1656.383,3451.979,2196.356,2.08,1.33
24,10764288,GET,FALSE,2224.415,1657.337,1653.768,0.75,0.74
826,10764288,GET,TRUE,1653.855,3611.119,1881.646,2.18,1.14
80,10764288,GET,FALSE,1673.56,1673.04,1675.216,1,1
2616,10764288,GET,FALSE,1673.541,1673.461,1657.86,1,0.99
1664,10780672,GET,FALSE,1677.264,1663.761,1656.672,0.99,0.99
7908,10780672,GET,FALSE,1667.546,1666.182,1661.021,1,1
5078,10829824,GET,FALSE,1681.933,1687.023,1684.292,1,1
8640,10862592,GET,FALSE,1669.988,1685.313,1672.668,1.01,1
6923,10911744,GET,FALSE,1677.915,1680.577,1679.562,1,1
9069,10977280,GET,FALSE,1711.151,1688.351,1703.695,0.99,1
8487,11010048,GET,TRUE,1710.415,3131.332,2140.404,1.83,1.25
9677,11010048,GET,FALSE,1708.771,1698.705,1694.877,0.99,0.99
373,11059200,PUT,FALSE,5306.402,6183.533,3433.656,1.17,0.65
2129,11059200,GET,TRUE,1717.607,3936.933,2216.797,2.29,1.29
2598,11059200,GET,FALSE,1721.909,1703.427,1700.884,0.99,0.99
1235,11059200,GET,FALSE,1700.271,1703.077,1700.703,1,1
2663,11059200,PUT,FALSE,5215.585,6240.4,3354.337,1.2,0.64
2683,11059200,GET,TRUE,1722.507,3932.024,2310.76,2.28,1.34
6789,11091968,GET,TRUE,1716.891,3694.265,2030.143,2.15,1.18
4132,11141120,GET,TRUE,1727.517,3353.221,2027.928,1.94,1.17
7997,11141120,GET,FALSE,1713.013,1719.621,1722.644,1,1.01
3377,11157504,GET,FALSE,1738.63,1716.685,1715.53,0.99,0.99
9010,11157504,GET,TRUE,1725.647,3911.457,2219.252,2.27,1.29
2895,11157504,GET,FALSE,1730.457,1738.428,1716.453,1,0.99
7971,11190272,GET,TRUE,1742.836,3608.809,2268.241,2.07,1.3
6756,11223040,GET,FALSE,1746.668,1756.009,1748.074,1.01,1
8771,11321344,GET,FALSE,1771.082,1742.493,1739.679,0.98,0.98
3618,11419648,GET,FALSE,1773.427,1761.023,1756.15,0.99,0.99
6734,11419648,GET,TRUE,1761.214,3878.14,2206.926,2.2,1.25
4766,11468800,GET,FALSE,1778.659,1768.207,1763.59,0.99,0.99
6065,11468800,PUT,FALSE,5835.581,6768.11,3391.244,1.16,0.58
5362,11485184,GET,FALSE,1780.233,1774.542,1766.401,1,0.99
3716,11485184,GET,TRUE,1779.705,3801.947,2313.631,2.14,1.3
8713,11517952,GET,TRUE,1786.654,4404.077,2388.638,2.46,1.34
8692,11714560,GET,TRUE,1822.959,3789.521,2263.965,2.08,1.24
8968,11714560,GET,TRUE,1800.649,3950.947,2432.921,2.19,1.35
1254,11747328,GET,TRUE,1820.688,3560.685,2294.182,1.96,1.26
6357,11862016,GET,TRUE,1831.558,3662.989,2006.649,2,1.1
3437,11862016,GET,TRUE,1843.496,4449.406,2312.695,2.41,1.25
666,11862016,GET,TRUE,1834.558,3906.87,1919.027,2.13,1.05
9710,11862016,GET,FALSE,1842.058,1830.416,1829.604,0.99,0.99
3293,11862016,GET,TRUE,1826.786,3569.074,2143.286,1.95,1.17
8599,11943936,GET,FALSE,1847.19,1842.331,1836.391,1,0.99
3333,11943936,GET,TRUE,1836.316,4006.636,2087.126,2.18,1.14
9409,11960320,GET,TRUE,1860.276,4064.715,2365.579,2.19,1.27
4524,11960320,GET,FALSE,1849.623,1850.742,1839.446,1,0.99
4237,11960320,GET,FALSE,1891.765,1848.843,1837.261,0.98,0.97
2197,11976704,GET,FALSE,1852.528,1871.348,1854.44,1.01,1
9733,11976704,GET,TRUE,1863.605,4468.724,2061.492,2.4,1.11
5755,12009472,GET,TRUE,1865.413,4343.418,2405.985,2.33,1.29
3658,12042240,GET,TRUE,1852.704,3604.498,2435.521,1.95,1.31
7920,12042240,GET,TRUE,4035.9,3679.383,2126.192,0.91,0.53
5989,12042240,GET,TRUE,1865.567,4015.715,2367.932,2.15,1.27
5869,12042240,GET,TRUE,1914.034,4395.557,2205.394,2.3,1.15
7046,12058624,GET,TRUE,1857.527,4150.189,2222.957,2.23,1.2
4059,12058624,GET,FALSE,1868.075,1861.528,1852.799,1,0.99
5849,12107776,GET,FALSE,1879.369,1881.901,1882.248,1,1
5169,12107776,GET,FALSE,1866.114,1866.338,1864.07,1,1
5919,12107776,PUT,FALSE,6154.172,5731.762,3839.923,0.93,0.62
9387,12156928,PUT,FALSE,6152.183,6272.524,15102.783,1.02,2.45
10048,12156928,GET,FALSE,1883.981,1870.244,1867.714,0.99,0.99
7771,12173312,GET,FALSE,1877.013,1883.632,1871.433,1,1
5029,12189696,GET,TRUE,1890.403,3680.326,2341.764,1.95,1.24
6657,12255232,GET,FALSE,1906.024,1885.203,1884.367,0.99,0.99
4345,12288000,GET,TRUE,1910.577,4102.277,2367.779,2.15,1.24
6469,12435456,GET,TRUE,1929.769,4176.501,2139.131,2.16,1.11
6368,12451840,GET,FALSE,1934.169,1918.048,1916.5,0.99,0.99
2024,12517376,GET,FALSE,1940.938,1929.745,1925.174,0.99,0.99
4696,12550144,PUT,FALSE,6300.349,7196.398,8731.518,1.14,1.39
3998,12550144,GET,FALSE,1939.595,1932.869,1930.97,1,1
6962,12550144,GET,FALSE,1946.656,1930.147,1928.615,0.99,0.99
5525,12550144,GET,FALSE,1932.04,1943.268,1932.488,1.01,1
6836,12550144,GET,FALSE,1948.248,1948.286,1941.268,1,1
6192,12550144,GET,FALSE,1942.57,2261.634,1939.983,1.16,1
4571,12550144,GET,TRUE,1944.289,4204.116,2478.873,2.16,1.27
8987,12582912,GET,FALSE,1948.947,1969.806,1933.243,1.01,0.99
9564,12582912,PUT,FALSE,6332.281,7389.337,4226.326,1.17,0.67
9656,12582912,PUT,FALSE,6345.39,6927.036,3572.802,1.09,0.56
4979,12664832,GET,FALSE,1962.277,1962.023,1945.357,1,0.99
1062,12664832,GET,FALSE,1961.029,1957.898,1947.16,1,0.99
7212,12664832,GET,FALSE,2026.156,1958.935,1950.209,0.97,0.96
4946,12681216,GET,TRUE,1964.06,4352.839,2365.128,2.22,1.2
6815,12697600,GET,FALSE,2026.865,1957.203,1951.637,0.97,0.96
9320,12713984,GET,FALSE,1969.555,1961.835,1953.539,1,0.99
9615,12763136,GET,FALSE,1978.207,1976.473,1964.437,1,0.99
4809,12812288,GET,TRUE,1979.291,4411.152,2508.311,2.23,1.27
10757,12845056,GET,TRUE,1986.164,4494.183,2235.667,2.26,1.13
8438,12845056,GET,TRUE,1977.71,4560.148,2118.354,2.31,1.07
9135,12845056,GET,FALSE,1986.514,1985.914,1974.036,1,0.99
9319,12861440,GET,TRUE,1999.527,3097.499,2110.652,1.55,1.06
7740,12861440,GET,FALSE,1997.953,1983.11,1975.871,0.99,0.99
9205,12861440,GET,TRUE,1978.183,4719.331,2487.117,2.39,1.26
10000,12877824,GET,TRUE,1982.067,4900.831,2581.329,2.47,1.3
7679,12894208,GET,FALSE,1990.464,1982.877,1981.263,1,1
7203,12959744,GET,TRUE,2001.596,4272.906,2417.221,2.13,1.21
5882,12976128,GET,FALSE,2000.786,1997.275,1993.286,1,1
9976,12976128,GET,FALSE,2002.209,1994.652,1994.695,1,1
8346,13058048,GET,FALSE,2013.438,2013.197,2011.528,1,1
8456,13090816,GET,TRUE,2019.01,3770.537,2217.986,1.87,1.1
4096,13123584,GET,FALSE,2020.313,2030.785,2019.868,1.01,1
3958,13123584,GET,TRUE,2031.832,4621.802,2283.107,2.27,1.12
3504,13303808,GET,FALSE,2046.466,2051.234,2044.426,1,1
5756,13352960,GET,FALSE,2053.931,2059.869,2052.194,1,1
8901,13467648,GET,FALSE,2071.305,2070.146,2069.178,1,1
9574,13484032,GET,FALSE,2073.945,2090.831,2072.298,1.01,1
8278,13484032,GET,FALSE,2075.598,2081.063,2074,1,1
7038,13484032,GET,FALSE,2074.995,2087.338,2072.542,1.01,1
8997,13500416,GET,TRUE,2073.982,4805.93,2312.631,2.32,1.12
10509,13500416,GET,FALSE,2108.292,2079.103,2074.555,0.99,0.98
8928,13500416,GET,TRUE,2077.111,5008.149,2831.75,2.41,1.36
291,13565952,GET,TRUE,2085.269,4195.929,2754.441,2.01,1.32
2614,13598720,GET,FALSE,2092.073,2092.407,2088.694,1,1
5775,13598720,GET,FALSE,2091.595,2091.2,2089.248,1,1
1904,13598720,GET,FALSE,2089.594,2091.014,2089.045,1,1
3273,13598720,GET,FALSE,2089.667,2089.283,2087.627,1,1
2634,13598720,GET,FALSE,2090.899,2101.983,2090.872,1.01,1
4019,13631488,GET,FALSE,2093.415,2102.029,2094.749,1,1
7501,13778944,GET,FALSE,2120.29,2138.135,2115.446,1.01,1
4379,13828096,PUT,FALSE,7016.408,6247.095,4538.242,0.89,0.65
7324,13828096,GET,FALSE,2126.229,2125.928,2123.564,1,1
4839,13828096,PUT,FALSE,7021.479,7269.438,4408.838,1.04,0.63
3900,13828096,PUT,FALSE,7048.944,7968.849,4632.682,1.13,0.66
10743,13910016,GET,TRUE,2136.934,4466.217,2794.453,2.09,1.31
9228,13910016,GET,FALSE,2135.708,2139.783,2140.101,1,1
8275,13910016,GET,FALSE,2139.826,2150.843,2141.772,1.01,1
1356,13910016,GET,FALSE,2138.334,2159.754,2141.25,1.01,1
8832,13910016,GET,FALSE,2136.839,2143.06,2137.634,1,1
9741,13942784,GET,FALSE,2145.045,2159.682,2144.832,1.01,1
5261,13942784,GET,FALSE,2143.95,2145.929,2141.687,1,1
9736,13942784,GET,TRUE,2142.856,5110.971,2361.293,2.39,1.1
6885,13942784,GET,TRUE,2143.762,4359.051,5790.886,2.03,2.7
5880,13942784,GET,TRUE,2142.564,4594.064,2261.505,2.14,1.06
10279,13942784,GET,FALSE,2143.985,2150.879,2143.326,1,1
6273,13942784,GET,TRUE,2142.744,5046.322,2381.349,2.36,1.11
6886,13942784,GET,TRUE,2142.511,4139.547,4305.201,1.93,2.01
9788,13942784,GET,FALSE,2142.198,2145.219,2145.499,1,1
10325,13942784,GET,TRUE,2141.826,4388.049,2737.175,2.05,1.28
8021,13942784,GET,FALSE,2143.416,2145.7,2144.846,1,1
7031,13942784,GET,FALSE,2141.93,2146.984,2142.871,1,1
6275,13942784,GET,FALSE,2160.451,2160.374,2143.195,1,0.99
5712,13975552,GET,TRUE,2146.475,5180.078,2568.351,2.41,1.2
4338,14106624,GET,FALSE,2167.92,2175.397,2165.966,1,1
6151,14188544,GET,FALSE,2180.789,2181.388,2178.691,1,1
8378,14188544,GET,FALSE,2181.421,2195.242,2181.424,1.01,1
8049,14204928,PUT,FALSE,7214.227,7603.303,16209.996,1.05,2.25
10919,14237696,GET,TRUE,2187.112,5360.525,2413.213,2.45,1.1
4408,14286848,GET,FALSE,2196.417,2201.171,2195.447,1,1
5126,14286848,GET,FALSE,2279.473,2206.808,2198.203,0.97,0.96
9115,14286848,GET,FALSE,2200.506,2200.953,2194.218,1,1
5610,14303232,GET,FALSE,2196.669,2207.351,2197.02,1,1
6891,14319616,GET,FALSE,2223.015,2204.682,2200.126,0.99,0.99
5456,14319616,GET,TRUE,2199.306,4914.516,2587.41,2.23,1.18
6299,14336000,GET,TRUE,2203.746,5000.607,2519.816,2.27,1.14
5143,14336000,GET,TRUE,2203.1,4805.62,2638.935,2.18,1.2
5449,14352384,GET,FALSE,2204.433,2209.698,2205.153,1,1
4679,14385152,GET,FALSE,2209.114,2215.008,2210.634,1,1
1716,14385152,GET,FALSE,2211.179,2224.45,2212.231,1.01,1
7898,14385152,GET,TRUE,2213.289,16640.467,2705.679,7.52,1.22
2851,14417920,GET,FALSE,2218.656,2219.653,2219.789,1,1
2452,14663680,GET,TRUE,2255.533,4817.239,2499.02,2.14,1.11
107,14663680,GET,FALSE,2252.432,2254.707,2251.492,1,1
25,14663680,GET,FALSE,2811.248,2260.591,2252.439,0.8,0.8
965,14663680,GET,TRUE,2254.294,5364.487,2678.013,2.38,1.19
979,14663680,GET,TRUE,2257.762,5216.198,2582.89,2.31,1.14
784,14663680,GET,TRUE,2251.837,4851.843,3221.486,2.15,1.43
1984,14663680,GET,TRUE,2254.056,5291.149,3026.098,2.35,1.34
2767,14663680,GET,TRUE,2251.337,5167.407,2450.37,2.3,1.09
2796,14663680,GET,TRUE,2255.546,5047.926,2851.142,2.24,1.26
2259,14663680,GET,FALSE,2254.645,2260.935,2266.362,1,1.01
1947,14663680,GET,FALSE,2255.499,2269.482,2255.674,1.01,1
858,14663680,GET,FALSE,2255.321,2274.178,2256.686,1.01,1
79,14663680,GET,FALSE,2254.493,2254.257,2252.294,1,1
2734,14663680,GET,FALSE,2251.87,2261.807,2254.397,1,1
1032,14663680,GET,TRUE,2255.927,4714.622,2861.059,2.09,1.27
7216,14843904,GET,TRUE,2364.066,5367.081,2483.585,2.27,1.05
9160,14991360,GET,FALSE,2302.31,2308.054,2302.863,1,1
619,15024128,GET,TRUE,2324.308,4936.644,2763.927,2.12,1.19
7677,15040512,GET,FALSE,2345.476,2337.005,2312.206,1,0.99
4752,15056896,GET,FALSE,2331.984,2317.706,2313.901,0.99,0.99
8834,15056896,GET,TRUE,2312.406,4965.462,3084.455,2.15,1.33
3544,15056896,GET,TRUE,2314.29,5142.058,2610.882,2.22,1.13
6500,15237120,GET,TRUE,2345.61,4978.059,2813.746,2.12,1.2
6499,15237120,GET,FALSE,2342.774,2344.76,2340.2,1,1
6498,15237120,GET,FALSE,2340.546,2349.084,2342.203,1,1
6321,15237120,PUT,FALSE,7758.638,8317.215,4839.616,1.07,0.62
4199,15253504,GET,FALSE,2342.564,2344.24,2342.4,1,1
196,15269888,GET,TRUE,2347.717,5225.497,3215.41,2.23,1.37
6589,15319040,GET,FALSE,2363.352,2369.572,2355.061,1,1
10532,15351808,GET,TRUE,2357.868,4599.245,2543.134,1.95,1.08
10554,15351808,GET,FALSE,2358.346,2363.393,2358.908,1,1
1772,15368192,PUT,FALSE,7366.853,8538.379,4613.114,1.16,0.63
10880,15368192,GET,FALSE,2359.931,2369.92,2368.525,1,1
1727,15368192,GET,TRUE,2360.072,5582.247,3188.291,2.37,1.35
9765,15433728,GET,TRUE,2371.178,4685.277,3112.112,1.98,1.31
278,15548416,GET,TRUE,2942.162,5587.405,2688.74,1.9,0.91
1523,15548416,GET,TRUE,2388.962,5322.318,3156.324,2.23,1.32
2966,15548416,GET,FALSE,2389.917,2399.029,2388.296,1,1
430,15548416,GET,TRUE,2389.551,5368.366,2820.31,2.25,1.18
930,15548416,GET,FALSE,2391.071,2405.291,2387.415,1.01,1
610,15548416,GET,TRUE,2391.571,5424.825,3087.423,2.27,1.29
1869,15548416,GET,TRUE,2389.683,5308.918,3065.615,2.22,1.28
1617,15548416,GET,FALSE,2387.645,2399.04,2392.047,1,1
23,15548416,GET,FALSE,2388.381,2396.524,2388.139,1,1
2927,15548416,GET,FALSE,2387.906,2397.413,2387.769,1,1
2154,15548416,GET,TRUE,2387.28,5619.119,2984.1,2.35,1.25
1249,15548416,GET,FALSE,2390.304,2400.942,2388.326,1,1
7443,15695872,GET,TRUE,2423.824,5215.903,2990.603,2.15,1.23
4859,15695872,GET,TRUE,2410.412,4564.547,3138.902,1.89,1.3
6683,15695872,GET,FALSE,2413.102,2433.074,2422.076,1.01,1
4143,15777792,GET,FALSE,2475.692,2449.551,2435.741,0.99,0.98
