No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec,NativeecTimes,HydraTimes,MicroecTimes,,,
5502,1024,GET,FALSE,5.179,15.413,17.403,8.431,2.98,3.36,1.63,,,
6310,1024,GET,FALSE,4.477,15.45,12.522,9.408,3.45,2.8,2.1,,,
7029,1024,GET,TRUE,4.488,22.388,16.16,11.395,4.99,3.6,2.54,,,
10542,1028,GET,FALSE,4.523,14.452,15.182,9.816,3.2,3.36,2.17,,,
9188,1028,GET,FALSE,4.574,9.737,15.984,11.881,2.13,3.49,2.6,,,
8770,1032,GET,FALSE,5.1,14.653,19.486,8.181,2.87,3.82,1.6,,,
229,1040,GET,FALSE,4.813,23.885,13.514,7.927,4.96,2.81,1.65,,,
265,1040,GET,FALSE,3.823,9.289,10.603,6.459,2.43,2.77,1.69,,,
2022,1040,GET,FALSE,4.334,18.406,16.886,10.087,4.25,3.9,2.33,,,
1489,1040,GET,FALSE,4.63,26.873,18.862,11.284,5.8,4.07,2.44,,,
8509,1040,GET,FALSE,3.707,18.61,14.991,8.493,5.02,4.04,2.29,,,
9811,1044,GET,FALSE,4.355,15.248,16.61,9.825,3.5,3.81,2.26,,,
7778,1064,GET,FALSE,4.51,16.673,12.291,9.887,3.7,2.73,2.19,,,
2425,1064,GET,FALSE,4.538,18.397,10.806,11.233,4.05,2.38,2.48,,,
4861,1068,GET,FALSE,4.219,15.456,14.484,8.707,3.66,3.43,2.06,,,
6537,1072,GET,TRUE,5.073,20.875,17.257,11.926,4.11,3.4,2.35,,,
4063,1080,GET,FALSE,4.416,11.42,14.226,8.368,2.59,3.22,1.89,,,
8327,1080,GET,FALSE,4.4,13.94,9.944,10.54,3.17,2.26,2.4,,,
3526,1088,GET,FALSE,4.968,17.919,20.18,10.441,3.61,4.06,2.1,,,
10510,1088,GET,FALSE,4.667,12.424,18.911,8.444,2.66,4.05,1.81,,,
302,1116,GET,TRUE,4.632,28.687,17.795,12.151,6.19,3.84,2.62,,,
1092,1116,GET,FALSE,4.436,19.863,16.884,8.902,4.48,3.81,2.01,,,
1009,1116,GET,FALSE,4.241,14.957,12.863,9.041,3.53,3.03,2.13,,,
233,1116,GET,FALSE,4.816,20.568,16.015,9.183,4.27,3.33,1.91,,,
947,1116,GET,TRUE,5.384,32.55,18.187,11.84,6.05,3.38,2.2,,,
1511,1116,GET,FALSE,4.108,17.941,11.305,8.615,4.37,2.75,2.1,,,
27,1116,GET,TRUE,6.024,40.476,23.072,13.745,6.72,3.83,2.28,,,
1021,1116,GET,FALSE,5.098,13.766,14.798,8.045,2.7,2.9,1.58,,,
417,1116,GET,FALSE,4.228,19.583,13.48,9.306,4.63,3.19,2.2,,,
504,1116,GET,FALSE,5.514,22.957,14.111,10.72,4.16,2.56,1.94,,,
1036,1116,GET,FALSE,4.556,15.704,17.779,8.353,3.45,3.9,1.83,,,
1971,1116,GET,FALSE,4.49,18.496,14.131,11.262,4.12,3.15,2.51,,,
205,1116,GET,FALSE,4.918,16.398,15.904,8.234,3.33,3.23,1.67,,,
5113,1120,GET,FALSE,4.686,15.197,13.078,8.168,3.24,2.79,1.74,,,
5747,1128,GET,FALSE,4.325,15.977,12.604,9.731,3.69,2.91,2.25,,,
9008,1128,GET,FALSE,3.843,12.702,14.108,8.743,3.31,3.67,2.28,,,
5046,1128,GET,FALSE,4.769,13.155,11.952,9.316,2.76,2.51,1.95,,,
8601,1128,GET,FALSE,4.299,16.183,15.805,10.362,3.76,3.68,2.41,,,
1876,1128,GET,FALSE,4.355,22.252,11.299,10.673,5.11,2.59,2.45,,,
6571,1128,GET,FALSE,4.189,9.632,11.749,8.783,2.3,2.8,2.1,,,
89,1128,GET,FALSE,4.479,10.338,11.049,7.458,2.31,2.47,1.67,,,
1595,1128,GET,FALSE,4.411,16.95,14.564,11.457,3.84,3.3,2.6,,,
3470,1128,GET,FALSE,3.823,13.845,14.597,8.018,3.62,3.82,2.1,,,
6315,1128,GET,TRUE,4.611,18.134,15.203,12.116,3.93,3.3,2.63,,,
96,1128,GET,FALSE,3.619,19.973,10.439,6.284,5.52,2.88,1.74,,,
7621,1128,GET,FALSE,4.337,15.492,11.335,9.638,3.57,2.61,2.22,,,
9971,1128,GET,FALSE,4.33,14.934,14.383,9.471,3.45,3.32,2.19,,,
10550,1128,GET,TRUE,4.708,20.859,15.983,12.497,4.43,3.39,2.65,,,
4745,1132,GET,FALSE,4.367,21.987,17.844,8.169,5.03,4.09,1.87,,,
9754,1132,GET,TRUE,4.693,20.906,18.493,12.191,4.45,3.94,2.6,,,
7556,1132,GET,FALSE,4.58,16.541,15.133,10.332,3.61,3.3,2.26,,,
7817,1132,GET,FALSE,3.815,11.186,15.314,8.264,2.93,4.01,2.17,,,
10675,1132,GET,FALSE,4.861,13.524,18.179,8.887,2.78,3.74,1.83,,,
8406,1132,GET,TRUE,4.601,13.732,15.639,12.043,2.98,3.4,2.62,,,
5629,1132,GET,FALSE,4.375,22.979,14.191,10.412,5.25,3.24,2.38,,,
6415,1132,GET,FALSE,5.197,17.945,12.291,11.354,3.45,2.37,2.18,,,
6999,1132,GET,TRUE,4.872,32.948,15.809,11.922,6.76,3.24,2.45,,,
6103,1132,GET,FALSE,5.395,17.391,15.327,8.132,3.22,2.84,1.51,,,
10208,1136,GET,FALSE,4.229,21.022,13.784,11.135,4.97,3.26,2.63,,,
7491,1144,GET,FALSE,4.57,16.223,13.818,8.513,3.55,3.02,1.86,,,
8664,1148,GET,FALSE,4.654,15.528,16.699,9.99,3.34,3.59,2.15,,,
2702,1152,GET,FALSE,3.74,15.777,12.575,8.728,4.22,3.36,2.33,,,
2001,1152,GET,FALSE,3.974,17.318,13.714,9.758,4.36,3.45,2.46,,,
997,1152,GET,FALSE,4.549,21.382,17.895,10.312,4.7,3.93,2.27,,,
2158,1152,GET,FALSE,3.972,20.696,14.752,8.237,5.21,3.71,2.07,,,
1962,1152,GET,FALSE,5.168,18.647,20.424,10.887,3.61,3.95,2.11,,,
9089,1152,GET,FALSE,4.562,14.091,12.516,11.606,3.09,2.74,2.54,,,
9700,1152,GET,FALSE,5.69,10.395,17.946,9.768,1.83,3.15,1.72,,,
918,1152,GET,FALSE,5.835,21.764,15.964,8.801,3.73,2.74,1.51,,,
29,1152,GET,FALSE,4.94,17.643,13.163,8.454,3.57,2.66,1.71,,,
10729,1152,GET,FALSE,5.509,9.286,15.046,8.284,1.69,2.73,1.5,,,
2911,1152,GET,FALSE,4.576,10.654,13.512,8.628,2.33,2.95,1.89,,,
8518,1152,GET,FALSE,4.654,29.8,17.054,10.29,6.4,3.66,2.21,,,
5972,1156,GET,FALSE,4.394,12.737,16.398,10.462,2.9,3.73,2.38,,,
6628,1156,GET,FALSE,4.758,21.052,16.484,9.201,4.42,3.46,1.93,,,
6858,1156,GET,FALSE,4.338,25.095,13.888,9.65,5.78,3.2,2.22,,,
3246,1156,GET,TRUE,4.489,24.598,17.33,11.736,5.48,3.86,2.61,,,
8062,1156,GET,FALSE,4.285,15.48,12.526,9.551,3.61,2.92,2.23,,,
4900,1156,GET,FALSE,3.978,23.618,13.186,9.162,5.94,3.31,2.3,,,
