No,Size,Type,IsDegradeRead,replicas,nativeec,microec,NativeecTimes,MicroecTimes,
7764,10616832,GET,TRUE,1649.65,3672.273,1854.284,2.23,1.12,0.495058238
8347,10649600,GET,TRUE,1656.465,3270.22,2224.335,1.97,1.34,0.319820991
9484,10665984,GET,TRUE,1658.018,3480.121,1872.908,2.1,1.13,0.461826758
2044,10698752,GET,TRUE,1661.217,3925.322,2203.948,2.36,1.33,0.438530648
3233,10715136,GET,TRUE,1839.608,3692.8,2094.806,2.01,1.14,0.432732344
9286,10731520,GET,TRUE,1649.384,3073.405,2097.682,1.86,1.27,0.317472966
8700,10747904,GET,TRUE,1669.236,3526.789,2204.12,2.11,1.32,0.375034911
9269,10747904,GET,TRUE,1669.089,3391.351,2206.657,2.03,1.32,0.349328041
1443,10764288,GET,TRUE,1654.05,3159.656,1868.493,1.91,1.13,0.408640371
5443,10764288,GET,TRUE,1740.451,3675.591,1856.264,2.11,1.07,0.494975366
1524,10764288,GET,TRUE,1671.216,3787.715,2023.777,2.27,1.21,0.465699769
577,10764288,GET,TRUE,1654.559,3348.643,2105.573,2.02,1.27,0.371216042
8703,10764288,GET,TRUE,1670.908,3207.027,1864.94,1.92,1.12,0.418483224
10114,10764288,GET,TRUE,1671.284,3368.308,2118.511,2.02,1.27,0.371045938
1977,10764288,GET,TRUE,1654.35,3834.34,1854.284,2.32,1.12,0.516400737
3553,10764288,GET,TRUE,1726.391,3970.737,1900.166,2.3,1.1,0.521457603
2616,10764288,GET,TRUE,1671.706,3864.49,2151.74,2.31,1.29,0.443202078
478,10764288,GET,TRUE,1669.458,3713.481,2117.804,2.22,1.27,0.429698442
4685,10764288,GET,TRUE,1864.108,3715.286,1888.39,1.99,1.01,0.49172419
7267,10764288,GET,TRUE,1727.446,3826.411,1831.737,2.22,1.06,0.5212911
8506,10764288,GET,TRUE,1671.675,3960.828,1771.833,2.37,1.06,0.552660959
