Size,Type,IsDegradeRead,NativeecTimes,HydraTimes,MicroecTimes
1024,GET,False,2.98,3.36,1.63
1024,GET,False,3.45,2.8,2.1
1024,GET,True,4.99,3.6,2.54
1028,GET,False,3.2,3.36,2.17
1028,GET,False,2.13,3.49,2.6
1032,GET,False,2.87,3.82,1.6
1040,GET,False,4.96,2.81,1.65
1040,GET,False,2.43,2.77,1.69
1040,GET,False,4.25,3.9,2.33
1040,GET,False,5.8,4.07,2.44
1040,GET,False,5.02,4.04,2.29
1044,GET,False,3.5,3.81,2.26
1064,GET,False,3.7,2.73,2.19
1064,GET,False,4.05,2.38,2.48
1068,GET,False,3.66,3.43,2.06
1072,GET,True,4.11,3.4,2.35
1080,GET,False,2.59,3.22,1.89
1080,GET,False,3.17,2.26,2.4
1088,GET,False,3.61,4.06,2.1
1088,GET,False,2.66,4.05,1.81
1116,GET,True,6.19,3.84,2.62
1116,GET,False,4.48,3.81,2.01
1116,GET,False,3.53,3.03,2.13
1116,GET,False,4.27,3.33,1.91
1116,GET,True,6.05,3.38,2.2
1116,GET,False,4.37,2.75,2.1
1116,GET,True,6.72,3.83,2.28
1116,GET,False,2.7,2.9,1.58
1116,GET,False,4.63,3.19,2.2
1116,GET,False,4.16,2.56,1.94
1116,GET,False,3.45,3.9,1.83
1116,GET,False,4.12,3.15,2.51
1116,GET,False,3.33,3.23,1.67
1120,GET,False,3.24,2.79,1.74
1128,GET,False,3.69,2.91,2.25
1128,GET,False,3.31,3.67,2.28
1128,GET,False,2.76,2.51,1.95
1128,GET,False,3.76,3.68,2.41
1128,GET,False,5.11,2.59,2.45
1128,GET,False,2.3,2.8,2.1
1128,GET,False,2.31,2.47,1.67
1128,GET,False,3.84,3.3,2.6
1128,GET,False,3.62,3.82,2.1
1128,GET,True,3.93,3.3,2.63
1128,GET,False,5.52,2.88,1.74
1128,GET,False,3.57,2.61,2.22
1128,GET,False,3.45,3.32,2.19
1128,GET,True,4.43,3.39,2.65
1132,GET,False,5.03,4.09,1.87
1132,GET,True,4.45,3.94,2.6
1132,GET,False,3.61,3.3,2.26
1132,GET,False,2.93,4.01,2.17
1132,GET,False,2.78,3.74,1.83
1132,GET,True,2.98,3.4,2.62
1132,GET,False,5.25,3.24,2.38
1132,GET,False,3.45,2.37,2.18
1132,GET,True,6.76,3.24,2.45
1132,GET,False,3.22,2.84,1.51
1136,GET,False,4.97,3.26,2.63
1144,GET,False,3.55,3.02,1.86
1148,GET,False,3.34,3.59,2.15
1152,GET,False,4.22,3.36,2.33
1152,GET,False,4.36,3.45,2.46
1152,GET,False,4.7,3.93,2.27
1152,GET,False,5.21,3.71,2.07
1152,GET,False,3.61,3.95,2.11
1152,GET,False,3.09,2.74,2.54
1152,GET,False,1.83,3.15,1.72
1152,GET,False,3.73,2.74,1.51
1152,GET,False,3.57,2.66,1.71
1152,GET,False,1.69,2.73,1.5
1152,GET,False,2.33,2.95,1.89
1152,GET,False,6.4,3.66,2.21
1156,GET,False,2.9,3.73,2.38
1156,GET,False,4.42,3.46,1.93
1156,GET,False,5.78,3.2,2.22
1156,GET,True,5.48,3.86,2.61
1156,GET,False,3.61,2.92,2.23
1156,GET,False,5.94,3.31,2.3
1156,GET,False,2.14,2.82,1.89
1156,GET,False,2.93,3.69,2.2
1156,GET,True,3.67,3.48,2.4
1156,GET,False,5.02,2.93,2.52
1156,GET,False,3.03,3.0,2.41
1156,GET,False,3.61,2.89,2.41
1156,GET,False,5.8,3.97,2.52
1156,GET,False,3.06,2.36,1.34
1156,GET,False,4.87,3.95,1.94
1156,GET,False,3.56,3.27,1.8
1156,GET,False,4.13,3.42,2.55
1156,GET,False,3.24,3.6,2.31
1156,GET,False,3.51,3.42,1.98
1156,GET,False,3.85,3.1,2.44
1156,GET,False,4.76,2.48,2.27
1156,GET,False,3.59,4.11,2.43
1156,GET,True,4.85,3.62,2.6
1156,GET,False,3.72,2.54,2.55
1156,GET,False,2.8,3.24,2.25
1156,GET,True,5.1,3.48,2.55
1156,GET,False,2.63,2.93,1.8
1156,GET,False,4.05,4.12,2.25
1156,GET,True,3.01,3.88,2.3
1156,GET,False,2.5,2.9,1.97
1156,GET,False,5.65,3.08,1.97
1156,GET,False,3.65,4.04,2.37
1156,GET,False,4.75,3.21,2.59
1156,GET,False,5.14,3.27,2.53
1156,GET,False,4.38,2.87,2.17
1156,GET,False,1.82,2.39,1.62
1156,GET,False,3.68,2.7,2.65
1156,GET,False,3.01,2.34,1.61
1156,GET,False,3.71,3.78,2.08
1156,GET,False,4.06,4.16,2.15
1156,GET,False,3.56,4.08,2.07
1156,GET,False,4.41,3.99,2.05
1156,GET,False,2.04,3.49,1.81
1156,GET,False,2.22,1.69,1.61
1156,GET,True,3.58,2.44,1.91
1156,GET,False,6.02,3.08,2.03
1156,GET,True,4.67,3.62,2.62
1156,GET,False,3.48,3.62,1.68
1156,GET,False,6.94,3.79,2.16
1156,GET,False,5.44,3.69,1.71
1156,GET,False,3.49,3.59,1.67
1156,GET,False,2.48,2.08,1.62
1160,GET,False,3.83,3.54,1.68
1164,PUT,False,0.28,0.24,0.22
