Size,Type,IsDegradeRead,NativeecTimes,MicroecTimes
1024,GET,True,13.41,5.54
1024,GET,False,3.45,2.1
1024,GET,False,2.98,1.63
1024,GET,True,4.99,2.54
1028,GET,False,2.13,2.6
1028,GET,False,3.2,2.17
1028,GET,True,14.78,5.0
1028,GET,True,10.24,3.04
1028,GET,False,5.6,2.05
1032,GET,False,7.96,2.2
1032,GET,False,2.87,1.6
1032,GET,True,13.26,3.29
1036,GET,True,10.78,3.35
1040,GET,False,2.43,1.69
1040,GET,True,14.08,4.74
1040,GET,True,12.48,3.73
1040,GET,False,4.96,1.65
1040,GET,True,13.99,2.81
1040,GET,False,4.25,2.33
1040,GET,False,5.02,2.29
1040,GET,False,5.8,2.44
1040,GET,True,5.66,2.83
1044,GET,False,3.5,2.26
1060,GET,True,6.61,4.14
1064,GET,False,8.05,5.18
1064,GET,False,3.7,2.19
1064,GET,True,4.28,3.28
1064,GET,False,4.05,2.48
1064,GET,True,11.24,4.42
1068,GET,True,9.42,4.62
1068,GET,True,5.79,3.23
1068,GET,False,5.7,3.28
1068,GET,False,3.66,2.06
1068,GET,True,7.72,3.68
1072,GET,True,4.11,2.35
1076,GET,True,6.22,2.87
1076,GET,True,3.92,3.46
1076,GET,True,9.11,3.09
1080,GET,False,3.17,2.4
1080,GET,False,2.59,1.89
1080,GET,False,6.31,2.37
1088,GET,False,2.66,1.81
1088,GET,True,5.93,3.48
1088,GET,False,3.61,2.1
1096,GET,True,9.65,3.46
1108,GET,True,7.62,3.13
1116,GET,False,3.53,2.13
1116,GET,False,4.37,2.1
1116,GET,False,3.33,1.67
1116,GET,True,8.14,3.51
1116,GET,True,6.05,2.2
1116,GET,True,6.06,3.22
1116,GET,True,11.25,4.01
1116,GET,False,9.41,2.14
1116,GET,False,4.12,2.51
1116,GET,False,4.16,1.94
1116,GET,False,4.63,2.2
1116,GET,True,11.93,3.04
1116,GET,True,6.19,2.62
1116,GET,True,6.72,2.28
1116,GET,False,4.67,2.3
1116,GET,False,2.7,1.58
